Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740321417472,4392.747512817383,2200,2,0.85,3270.672866821289,2200,2,0.85,3339.1588745117188,2200,2,0.85,3646.2806701660156,2200,2,0.84375,4737.369445800781,2200,2,0.84375,3465.369430541992,2200,2,0.84375,3594.3839416503906,2200,2,0.84375,3861.2229919433594,2200,2,0.84375,25584.426498413086,2105,2195,2200,2104,2200,3145,2200,1927,2200,2193,2077,2200,2200,2200,2200,2236,6.25,12.121212005615234,3.125,6.060606002807617,8.823529243469238,6.25,6.060606002807617,6.060606002807617,9.090909004211426,14.705883026123047,6.060606002807617,8.823529243469238,6.25,6.060606002807617,9.375,11.764705657958984,16665825280,4294963200,3804233728,0
199,1740321417473,4392.7510986328125,2200,2,0.84375,3270.6732482910156,2200,2,0.84375,3339.1589965820313,2200,2,0.84375,3646.2839965820313,2200,2,0.84375,4737.374038696289,2200,2,0.84375,3465.369583129883,2200,2,0.84375,3594.3840942382813,2200,2,0.84375,3861.2234497070313,2200,2,0.84375,25584.455184936523,2105,2195,2200,2104,2200,3145,2200,1927,2200,2193,2077,2200,2200,2200,2200,2236,6.25,12.121212005615234,3.125,6.060606002807617,8.823529243469238,6.25,6.060606002807617,6.060606002807617,9.090909004211426,14.705883026123047,6.060606002807617,8.823529243469238,6.25,6.060606002807617,9.375,11.764705657958984,16665825280,4294963200,3804233728,0
199,1740321417673,4393.175933837891,4125,0,1.41875,3271.062973022461,2062.5,2,1.41875,3340.2974853515625,4125,0,1.41875,3646.841766357422,2062.5,2,1.41875,4738.558563232422,4125,0,1.41875,3465.9755859375,2062.5,2,1.41875,3596.8955688476563,4125,0,1.41875,3862.304397583008,4125,0,1.41875,25594.895614624023,2105,2195,2200,2104,2200,3145,2200,1927,2200,2193,2077,2200,2200,2200,2200,2236,20,20,52.38095474243164,0,15.000000953674316,0,0,20,0,26.3157901763916,33.333335876464844,21.052631378173828,95,33.333335876464844,4.761904716491699,0,16665825280,4294963200,3855065088,0
199,1740321417873,4394.090957641602,2200,2,1.36875,3271.9059143066406,2200,2,1.36875,3341.0560302734375,2200,2,1.36875,3647.0465545654297,2200,2,1.36875,4740.067672729492,4100,0,1.36875,3466.713836669922,2050,2,1.36875,3598.6734771728516,2733.333333333333,2,1.36875,3863.2119750976563,2050,2,1.36875,25604.971420288086,2105,2195,2200,2104,2200,3145,2200,1927,2200,2193,2077,2200,2200,2200,2200,2236,47.36842346191406,31.57894515991211,36.842105865478516,0,45,23.809524536132813,0,25,0,0,25,15.789472579956055,70,31.57894515991211,0,35,16665825280,4294963200,3881459712,0
199,1740321418073,4395.997116088867,4050,0,1.3875,3272.7606048583984,2025,2,1.3875,3342.302505493164,4050,0,1.3875,3648.295639038086,4050,0,1.3875,4742.503768920898,4050,0,1.3875,3467.697525024414,2700,2,1.3875,3600.172637939453,4050,0,1.3875,3864.751251220703,4050,0,1.3875,25618.822189331055,2105,2195,2200,2104,2200,3145,2200,1927,2200,2193,2077,2200,2200,2200,2200,2236,47.36842346191406,31.57894515991211,36.842105865478516,0,45,23.809524536132813,0,25,0,0,25,15.789472579956055,70,31.57894515991211,0,35,16665825280,4294963200,3926102016,0
199,1740321418273,4398.030654907227,4075,0,1.38125,3273.590316772461,2037.5,2,1.38125,3344.3309478759766,4075,0,1.38125,3649.952835083008,4075,0,1.38125,4744.932174682617,4075,0,1.38125,3468.2740936279297,2037.5,2,1.38125,3602.11083984375,4075,0,1.38125,3866.700668334961,4075,0,1.38125,25634.037658691406,2105,2195,2200,2104,2200,3145,2200,1927,2200,2193,2077,2200,2200,2200,2200,2236,89.74359130859375,30.76923179626465,70,70,97.5,37.5,10,69.23077392578125,7.894736289978027,0,0,0,75,38.46154022216797,0,35.135135650634766,16665825280,4294963200,4004290560,0
199,1740321418473,4399.870880126953,3975,0,1.3,3275.6009368896484,3975,0,1.3,3345.4773559570313,3975,0,1.3,3651.9491424560547,3975,0,1.3,4747.062789916992,3975,0,1.3,3469.2254180908203,3975,0,1.3,3604.3873138427734,3975,0,1.3,3868.7835388183594,3975,0,1.3,25650.193908691406,2105,2195,2200,2104,2200,3145,2200,1927,2200,2193,2077,2200,2200,2200,2200,2236,100,100,20,30.000001907348633,100,52.6315803527832,60.000003814697266,100,50,100,0,10,95,15.000000953674316,0,5,16665825280,4294963200,4076535808,0
199,1740321418673,4401.254470825195,4025,0,1.35625,3277.5223541259766,4025,0,1.35625,3346.7011108398438,4025,0,1.35625,3653.763885498047,4025,0,1.35625,4749.234649658203,4025,0,1.35625,3470.5181732177734,4025,0,1.35625,3606.308120727539,4025,0,1.35625,3869.7291412353516,2012.5,2,1.35625,25665.17398071289,2105,2195,2200,2104,2200,3145,2200,1927,2200,2193,2077,2200,2200,2200,2200,2236,100,100,20,30.000001907348633,100,52.6315803527832,60.000003814697266,100,50,100,0,10,95,15.000000953674316,0,5,16665825280,4294963200,4097175552,0
199,1740321418873,4402.872467041016,2733.333333333333,2,1.4,3278.189178466797,2050,2,1.4,3347.0997161865234,2050,2,1.4,3655.9066009521484,4100,0,1.4,4752.106140136719,4100,0,1.4,3470.9429779052734,2050,2,1.4,3607.4553833007813,4100,0,1.4,3870.3226623535156,2050,2,1.4,25677.73243713379,2105,2195,2200,2104,2200,3145,2200,1927,2200,2193,2077,2200,2200,2200,2200,2236,36.585365295410156,43.589744567871094,5.263157844543457,12.820513725280762,100,32.5,25.641027450561523,29.268291473388672,33.333335876464844,90,25,15.384615898132324,74.35897827148438,12.820513725280762,31.707317352294922,33.333335876464844,16665825280,4294963200,4100272128,0
199,1740321419073,4403.26432800293,2050,2,1.3875,3279.7415618896484,4100,0,1.3875,3347.689483642578,2050,2,1.3875,3657.0846557617188,2050,2,1.3875,4754.758987426758,4100,0,1.3875,3471.3203887939453,2050,2,1.3875,3608.7264709472656,4100,0,1.3875,3870.7947692871094,2050,2,1.39375,25689.09310913086,2105,2195,2200,2104,2200,3145,2200,1927,2200,2193,2077,2200,2200,2200,2200,2236,5,0,9.523809432983398,10,95,10,55,15.000000953674316,30.000001907348633,42.105262756347656,25,0,9.523809432983398,10,15.000000953674316,75,16665825280,4294963200,4130459648,0
