Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1738252471851,14681.401901245117,3200,1,1,28168.912200927734,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,16.326248168945313,0.604583740234375,28.450836181640625,20.765419006347656,38.25666809082031,0,19.03125,14.917083740234375,75.09083557128906,1.3295822143554688,11.622917175292969,5.162086486816406,9.232498168945313,1.707916259765625,12.146247863769531,1.820831298828125,17089679360,10200547328,10254401536,1971179520
200,1738252471851,12091.51010131836,3200,1,0.9875,28169.055709838867,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,9.390090942382813,0,45.180686950683594,0,2.1796875,0,21.239822387695313,52.1896858215332,99.56434631347656,0,1.7783203125,0,0,0,0.2342529296875,7.606056213378906,17089679360,10200547328,10254954496,1976283136
200,1738252472052,12092.198318481445,3200,1,1.00625,28173.78451538086,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,36.85790252685547,4.392219543457031,5.0912017822265625,78.2441635131836,23.723403930664063,25.068397521972656,24.245384216308594,17.360939025878906,30.171859741210938,1.8088302612304688,23.348434448242188,3.6003875732421875,15.680747985839844,3.2987060546875,33.204437255859375,3.7996368408203125,17089679360,10200547328,10298028032,2379718656
200,1738252472252,14681.827438354492,3200,1,1,28176.633895874023,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,8.112258911132813,2.7947998046875,5.8169403076171875,0.866729736328125,4.142143249511719,0.43489837646484375,10.295967102050781,3.8313064575195313,5.7864227294921875,0.5705413818359375,6.9821624755859375,0.405792236328125,2.3589019775390625,1.796844482421875,32.602935791015625,1.3546218872070313,17089679360,10200547328,10298654720,2381180928
200,1738252472453,14379.20376586914,3200,1,0.9875,28181.96502685547,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,35.3243408203125,9.061561584472656,16.839210510253906,59.16360855102539,55.03845977783203,9.455894470214844,41.35761642456055,9.900901794433594,43.860984802246094,1.6892166137695313,37.6083984375,13.555503845214844,20.538055419921875,4.1358184814453125,29.91883087158203,24.501548767089844,17089679360,10200547328,10317832192,2385879040
200,1738252472654,14379.728759765625,3200,1,0.9812500000000001,28188.338745117188,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,57.74263381958008,9.46710205078125,16.977561950683594,64.6211929321289,82.92430114746094,6.047492980957031,39.469505310058594,29.77141571044922,38.582027435302734,7.335296630859375,39.618629455566406,7.158531188964844,58.665218353271484,11.717216491699219,16.290496826171875,71.68672180175781,17089679360,10200547328,10333548544,2391126016
200,1738252472855,14380.330520629883,3200,1,0.9875,28194.57209777832,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,59.263816833496094,6.505462646484375,23.149932861328125,64.06869506835938,83.80119323730469,5.684173583984375,46.69348907470703,33.43565368652344,46.285282135009766,7.143714904785156,36.138763427734375,8.183204650878906,29.709869384765625,8.087188720703125,38.3936653137207,42.32387924194336,17089679360,10200547328,10350952448,2391384064
200,1738252473055,12094.730010986328,3200,1,1,28200.203567504883,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,46.009422302246094,8.546005249023438,25.96459197998047,33.48157501220703,45.96525192260742,21.874183654785156,26.467185974121094,32.23675537109375,36.52687454223633,7.1097259521484375,20.117279052734375,56.89867401123047,44.53386306762695,8.959968566894531,55.06486892700195,21.184219360351563,17089679360,10200547328,10349580288,2357596160
200,1738252473256,11987.293350219727,3200,1,1,28205.45947265625,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,47.411094665527344,6.317283630371094,29.92072296142578,23.24852752685547,43.159515380859375,3.9294815063476563,48.52463150024414,24.307754516601563,33.03380584716797,4.7647857666015625,27.18000030517578,13.068794250488281,31.228485107421875,6.335075378417969,52.05141830444336,11.192008972167969,17089679360,10200547328,10392801280,2359627776
200,1738252473456,11987.638427734375,3200,1,0.99375,28209.6258392334,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,31.848373413085938,3.15234375,16.98181915283203,15.161331176757813,39.38750076293945,0.5924301147460938,12.038917541503906,41.2220344543457,28.85285186767578,1.2408676147460938,10.623428344726563,0.6161422729492188,8.218276977539063,3.4671783447265625,32.363182067871094,0.9597244262695313,17089679360,10200547328,10417217536,2357354496
200,1738252473657,14684.231170654297,3200,1,0.9875,28214.08122253418,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,22.365013122558594,4.148040771484375,14.132881164550781,30.944442749023438,27.7921142578125,4.448936462402344,25.003440856933594,40.07238006591797,22.3118896484375,4.065834045410156,10.018753051757813,7.0944976806640625,7.467475891113281,2.597076416015625,34.607765197753906,1.96923828125,17089679360,10200547328,10436608000,2356109312
200,1738252473857,11988.359725952148,3200,1,0.99375,28218.698181152344,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,25.243301391601563,5.6654205322265625,12.025955200195313,22.247909545898438,45.43035888671875,3.216278076171875,53.88161087036133,20.617454528808594,24.37084197998047,1.3323211669921875,15.542457580566406,1.9673843383789063,20.33129119873047,8.142501831054688,40.42348861694336,3.3539199829101563,17089679360,10200547328,10437308416,2355257344
200,1738252474058,11988.872467041016,3200,1,0.99375,28223.66815185547,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,38.85725784301758,4.5250701904296875,21.515121459960938,23.05724334716797,49.0458984375,4.791160583496094,16.643516540527344,47.97005081176758,36.89875411987305,1.4957275390625,13.299781799316406,1.4972763061523438,16.669166564941406,5.594970703125,53.948204040527344,1.9468536376953125,17089679360,10200547328,10439172096,2353487872
200,1738252474259,11989.27912902832,3200,1,1,28228.06788635254,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,30.083587646484375,3.3271102905273438,6.742027282714844,37.710853576660156,40.37303161621094,3.1324996948242188,32.27488708496094,11.89666748046875,10.038383483886719,5.2933502197265625,9.107757568359375,1.6132888793945313,6.6321258544921875,0.8531265258789063,40.281410217285156,3.3848190307617188,17089679360,10200547328,10439135232,2353307648
200,1738252474460,11989.774307250977,3200,1,0.9875,28233.356048583984,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,40.07502365112305,10.231231689453125,29.2076416015625,17.413612365722656,71.00467681884766,2.456390380859375,25.1221923828125,32.01609802246094,36.52109909057617,9.560150146484375,22.074813842773438,5.0603179931640625,23.95653533935547,7.758583068847656,52.904666900634766,5.672088623046875,17089679360,10200547328,10447040512,2356994048
200,1738252474661,14685.925048828125,3200,1,1,28238.964569091797,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,49.93125915527344,8.313323974609375,38.4191780090332,16.665061950683594,61.45204544067383,18.427490234375,23.661972045898438,47.83879089355469,56.95919418334961,7.7803497314453125,30.72119140625,13.911048889160156,37.11506271362305,6.691413879394531,45.55472946166992,8.695396423339844,17089679360,10200547328,10448732160,2355937280
