Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1738247168768,7817.599258422852,3200,1,0.99375,11135.33676147461,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,28.671913146972656,3.2129287719726563,28.107620239257813,3.8758010864257813,7.823394775390625,0,73.34188079833984,15.843940734863281,22.613563537597656,0,5.225120544433594,8.672882080078125,6.04425048828125,0.1496429443359375,19.218299865722656,1.5991439819335938,17089679360,10200547328,10653437952,0
200,1738247168768,7817.61848449707,3200,1,0.99375,11135.546279907227,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,100,3.362457275390625,98.66376495361328,0.3837432861328125,1.2249832153320313,0.06749725341796875,0.6637420654296875,100,12.449844360351563,0.28624725341796875,5.1361846923828125,3.7787017822265625,5.373680114746094,0.6887435913085938,26.799667358398438,0.21125030517578125,17089679360,10200547328,10664521728,0
200,1738247168969,7817.875518798828,3200,1,0.99375,11140.506378173828,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,52.738590240478516,11.692680358886719,25.315162658691406,9.429115295410156,13.933753967285156,13.994277954101563,9.3392333984375,84.68278503417969,40.70682907104492,12.816925048828125,26.10649871826172,19.198959350585938,24.419677734375,13.42529296875,25.309707641601563,25.09497833251953,17089679360,10200547328,10677383168,0
200,1738247169170,7818.09342956543,3200,1,0.99375,11144.93716430664,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,24.51677703857422,5.492530822753906,16.206344604492188,1.9294967651367188,35.88270568847656,16.385169982910156,2.9400100708007813,58.73406982421875,18.104415893554688,22.600433349609375,13.098564147949219,0.8858642578125,6.676544189453125,2.3171234130859375,30.403221130371094,2.7161102294921875,17089679360,10200547328,10681364480,0
200,1738247169370,7818.4259033203125,3200,1,1,11149.423645019531,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,24.244407653808594,5.184928894042969,34.946495056152344,1.9044876098632813,19.390708923339844,1.2088623046875,11.388542175292969,45.19675064086914,7.5463409423828125,55.410247802734375,20.290733337402344,1.94708251953125,14.330314636230469,2.1881866455078125,21.65760040283203,7.411376953125,17089679360,10200547328,10696847360,0
200,1738247169571,7818.568634033203,3200,1,1,11153.203796386719,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,22.025657653808594,4.3949432373046875,7.53515625,1.1811981201171875,9.019790649414063,0.396270751953125,1.811004638671875,46.67625427246094,7.283363342285156,34.864166259765625,21.185012817382813,1.5808486938476563,16.452903747558594,1.973388671875,12.657012939453125,5.73046875,17089679360,10200547328,10699669504,0
200,1738247169772,9713.223693847656,3200,1,0.9875,11159.191009521484,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,52.927642822265625,13.38055419921875,46.913047790527344,5.948387145996094,27.998184204101563,8.968299865722656,11.733779907226563,34.70390319824219,24.530250549316406,66.91203308105469,69.00993347167969,8.666778564453125,46.37276077270508,11.069404602050781,51.48899459838867,7.657920837402344,17089679360,10200547328,10729275392,0
200,1738247169973,7995.58576965332,3200,1,0.9875,11166.253662109375,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,63.69187927246094,29.22858428955078,36.30668640136719,65.29670715332031,44.82114791870117,21.448081970214844,38.48161697387695,41.41462707519531,54.7598876953125,49.57154846191406,76.11524200439453,25.622146606445313,76.0822525024414,24.32695770263672,63.57804870605469,17.23553466796875,17089679360,10200547328,10736648192,0
199,1738247170174,7820.339340209961,3200,1,0.9875,11173.247436523438,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,62.294700622558594,31.761451721191406,51.6317138671875,43.770774841308594,52.28243637084961,30.579490661621094,53.871028900146484,37.613868713378906,68.20671081542969,40.958465576171875,73.40083312988281,26.726318359375,68.75484466552734,26.88092803955078,65.72892761230469,24.94525146484375,17089679360,10200547328,10743853056,0
200,1738247170374,7996.589553833008,3200,1,0.99375,11178.301895141602,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,46.36802291870117,8.096633911132813,27.053932189941406,5.63616943359375,27.841018676757813,3.2128677368164063,12.9713134765625,44.846004486083984,21.88799285888672,53.062286376953125,45.41741180419922,5.506317138671875,26.672149658203125,6.6992645263671875,27.687591552734375,13.752593994140625,17089679360,10200547328,10758004736,0
