Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1738276907094,8982.838897705078,3200,1,1,2076.3363494873047,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,21.001670837402344,0,90.54679107666016,0,21.688201904296875,0,30.792274475097656,2.4952621459960938,25.353485107421875,7.626220703125,5.2422637939453125,0,0.7934951782226563,0,16.391586303710938,12.96978759765625,17089679360,10200547328,9611489280,0
199,1738276907095,8982.860488891602,3200,1,1,2076.511032104492,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,29.201828002929688,0,95.55596923828125,0,21.01006317138672,0.30626678466796875,28.51678466796875,0,31.253204345703125,0,2.871429443359375,0.30377197265625,4.5227813720703125,0.135009765625,0.331268310546875,11.054443359375,17089679360,10200547328,9613307904,0
199,1738276907294,8983.610900878906,3200,1,1,2080.860580444336,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,30.273483276367188,2.0585784912109375,10.241050720214844,80.56189727783203,22.368728637695313,8.5494384765625,37.430721282958984,4.273521423339844,13.801078796386719,1.6236953735351563,10.451095581054688,7.381370544433594,9.618949890136719,1.2887725830078125,27.07867431640625,2.668182373046875,17089679360,10200547328,9651462144,0
200,1738276907494,8674.800003051758,3200,1,0.99375,2086.855255126953,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,61.30958557128906,9.215782165527344,31.42235565185547,47.25040817260742,68.197509765625,19.07086944580078,51.14870834350586,21.644981384277344,46.22593688964844,8.524124145507813,40.159881591796875,12.405441284179688,33.81280517578125,19.168075561523438,48.690486907958984,22.809913635253906,17089679360,10200547328,9609244672,0
200,1738276907695,8675.386489868164,3200,1,0.9875,2093.511459350586,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,62.9691047668457,15.671760559082031,53.19559860229492,29.307174682617188,87.67306518554688,10.266403198242188,59.72038269042969,20.484970092773438,47.35566711425781,7.1867828369140625,54.38630294799805,7.229888916015625,43.81941604614258,8.070304870605469,54.385807037353516,20.348472595214844,17089679360,10200547328,9646301184,0
200,1738276907897,8985.577239990234,3200,1,0.9875,2101.1172637939453,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,66.44908905029297,46.827877044677734,78.76846313476563,41.136619567871094,78.89628601074219,47.43709945678711,74.9507064819336,47.174320220947266,72.1484146118164,43.051509857177734,68.02021026611328,39.575645446777344,65.20738220214844,39.79846954345703,58.167972564697266,60.42410659790039,17089679360,10200547328,9658720256,0
200,1738276908098,8488.471054077148,3200,1,1.00625,2106.6514434814453,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,47.413055419921875,12.270637512207031,34.65111541748047,30.03656768798828,65.2787857055664,9.037384033203125,58.688419342041016,11.729583740234375,46.802303314208984,8.834068298339844,33.46142578125,9.762557983398438,35.43267059326172,7.407447814941406,31.21686553955078,21.412391662597656,17089679360,10200547328,9687130112,0
200,1738276908298,8488.788848876953,3200,1,0.99375,2111.2443084716797,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,33.459022521972656,7.4906005859375,13.71612548828125,61.6971321105957,40.5626106262207,2.4199981689453125,24.261932373046875,10.221702575683594,12.808204650878906,2.2746429443359375,7.970710754394531,3.0067596435546875,8.296768188476563,1.0829238891601563,39.989498138427734,1.5589828491210938,17089679360,10200547328,9735749632,0
200,1738276908499,7701.050567626953,3200,1,0.99375,2115.4937133789063,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,19.30561065673828,3.3684158325195313,8.253623962402344,70.13761901855469,21.449913024902344,12.400184631347656,20.824249267578125,13.044448852539063,14.4141845703125,1.688385009765625,7.792976379394531,1.7482376098632813,9.792007446289063,1.8783340454101563,20.423858642578125,37.3067626953125,17089679360,10200547328,9775153152,0
200,1738276908700,8651.196548461914,3200,1,1,2119.4891204833984,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,17.27886199951172,2.6510696411132813,0.8877029418945313,88.04762268066406,28.8287353515625,0.625457763671875,14.315696716308594,8.715156555175781,7.016998291015625,0.45305633544921875,8.785209655761719,1.7739639282226563,5.392433166503906,0.6947021484375,6.318443298339844,4.221427917480469,17089679360,10200547328,9774768128,0
