Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1738252855774,15085.52377319336,3200,1,1.01875,34704.36917114258,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,10.755027770996094,2.1413421630859375,28.87328338623047,12.343849182128906,33.451393127441406,0,11.757156372070313,41.225467681884766,60.99504089355469,0,25.185218811035156,0.367095947265625,3.7693252563476563,0,32.11842346191406,0,17089679360,10200547328,10511409152,2122104832
200,1738252855775,15085.545761108398,3200,1,0.99375,34704.51937866211,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,6.750999450683594,6.341011047363281,0.75372314453125,3.0461349487304688,19.818008422851563,1.17120361328125,8.115943908691406,0.6162261962890625,97.0101089477539,0.69122314453125,4.886070251464844,0.9124679565429688,19.354270935058594,1.3699493408203125,2.2499160766601563,1.9749221801757813,17089679360,10200547328,10511765504,2127745024
200,1738252855975,15085.745559692383,3200,1,0.99375,34708.6354675293,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,24.36358642578125,1.081146240234375,15.870033264160156,46.931175231933594,30.906143188476563,19.33026123046875,17.73442840576172,12.289794921875,18.07708740234375,0.864349365234375,18.18494415283203,0.5988616943359375,14.3975830078125,1.96221923828125,14.490447998046875,2.2924270629882813,17089679360,10200547328,10550108160,2496356352
200,1738252856176,12363.287887573242,3200,1,0.99375,34712.91696166992,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,28.846572875976563,1.736968994140625,3.0437850952148438,71.89616394042969,26.80597686767578,14.066543579101563,34.84270477294922,4.667869567871094,21.353775024414063,1.4349746704101563,10.44573974609375,0.9337310791015625,11.482261657714844,1.4284591674804688,21.713775634765625,2.3011474609375,17089679360,10200547328,10523361280,2466889728
200,1738252856378,12485.416122436523,3200,1,0.9875,34718.924407958984,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,58.276851654052734,4.84368896484375,30.802749633789063,45.48313522338867,86.1756362915039,5.626945495605469,77.85954284667969,10.105171203613281,30.918365478515625,2.5175628662109375,28.130165100097656,3.0377120971679688,14.424369812011719,8.749443054199219,67.21147155761719,9.585067749023438,17089679360,10200547328,10547466240,2474135552
199,1738252856578,12486.02067565918,3200,1,0.99375,34725.388442993164,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,53.23209762573242,12.945442199707031,47.424800872802734,33.83171844482422,84.84780883789063,9.712944030761719,77.29098510742188,20.429603576660156,63.49772262573242,5.4873504638671875,31.94305419921875,15.896293640136719,39.780616760253906,23.454574584960938,61.20809555053711,12.948715209960938,17089679360,10200547328,10565722112,2470514688
200,1738252856778,12364.942443847656,3200,1,0.99375,34730.461990356445,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,37.32444381713867,12.1944580078125,25.98883056640625,12.66693115234375,57.55986785888672,3.3308639526367188,51.925601959228516,16.137771606445313,37.42668533325195,5.668060302734375,21.998458862304688,2.26300048828125,13.825592041015625,3.0059280395507813,45.6181640625,11.472511291503906,17089679360,10200547328,10581041152,2469986304
200,1738252856979,12365.353118896484,3200,1,1,34735.62202453613,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,51.859649658203125,4.7393035888671875,49.433650970458984,20.797149658203125,65.86054992675781,2.3938522338867188,18.061996459960938,27.79560089111328,33.09795379638672,1.2503509521484375,18.654197692871094,3.3666000366210938,13.7657470703125,1.803802490234375,38.30619812011719,11.820747375488281,17089679360,10200547328,10633994240,2468855808
200,1738252857180,12365.612518310547,3200,1,0.9875,34740.18623352051,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,27.747711181640625,3.9303131103515625,7.286369323730469,58.75350570678711,28.83710479736328,3.0849227905273438,20.424560546875,12.587997436523438,13.720512390136719,32.43737030029297,28.14191436767578,2.3695831298828125,9.2225341796875,2.028350830078125,25.707923889160156,1.5154800415039063,17089679360,10200547328,10674135040,2471059456
200,1738252857381,12366.185913085938,3200,1,0.9875,34746.57319641113,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,54.64718246459961,12.136222839355469,43.1975212097168,17.459739685058594,70.87881469726563,10.885459899902344,27.77635955810547,48.95264434814453,46.54399108886719,39.6785888671875,44.462554931640625,13.692085266113281,56.2105827331543,8.814201354980469,53.282196044921875,15.218460083007813,17089679360,10200547328,10689986560,2475057152
