Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740326341505,8072.435958862305,2133.333333333333,2,0.975,6153.11555480957,3200,1,0.975,6398.233108520508,2133.333333333333,2,0.975,6546.0260009765625,2133.333333333333,2,0.975,8647.311874389648,2133.333333333333,2,0.9812500000000001,6372.801315307617,2133.333333333333,2,0.9812500000000001,6432.223739624023,3200,1,0.9812500000000001,7413.215896606445,2133.333333333333,2,0.9812500000000001,27813.581802368164,2128,3125,2129,2129,2123,2127,3193,2122,2130,2130,2129,2128,3157,2128,2123,3197,9.090909004211426,3.125,8.823529243469238,8.823529243469238,6.060606002807617,6.25,3.125,6.060606002807617,9.375,6.060606002807617,8.823529243469238,9.090909004211426,12.121212005615234,6.060606002807617,11.428571701049805,8.823529243469238,16665825280,4294963200,6599200768,0
199,1740326341505,8072.436584472656,2133.333333333333,2,0.9812500000000001,6153.115783691406,3200,1,0.9812500000000001,6398.233657836914,2133.333333333333,2,0.9812500000000001,6546.029159545898,2000,2,0.9812500000000001,8647.312057495117,2133.333333333333,2,0.9812500000000001,6372.806045532227,2133.333333333333,2,0.9812500000000001,6432.23063659668,3200,1,0.9812500000000001,7413.21662902832,2133.333333333333,2,0.9812500000000001,27813.618606567383,2128,3125,2129,2129,2123,2127,3193,2122,2130,2130,2129,2128,3157,2128,2123,3197,9.090909004211426,3.125,8.823529243469238,8.823529243469238,6.060606002807617,6.25,3.125,6.060606002807617,9.375,6.060606002807617,8.823529243469238,9.090909004211426,12.121212005615234,6.060606002807617,11.428571701049805,8.823529243469238,16665825280,4294963200,6599200768,0
199,1740326341705,8073.080505371094,4125,0,1.4312500000000001,6153.897705078125,4125,0,1.4312500000000001,6398.780456542969,2062.5,2,1.4312500000000001,6546.342956542969,4125,0,1.4312500000000001,8649.856002807617,4125,0,1.4312500000000001,6373.792221069336,4125,0,1.4312500000000001,6433.091247558594,2062.5,2,1.4312500000000001,7414.111480712891,2062.5,2,1.4312500000000001,27823.726318359375,2128,3125,2129,2129,2123,2127,3193,2122,2130,2130,2129,2128,3157,2128,2123,3197,23.809524536132813,0,20,10.526315689086914,90,47.619049072265625,38.095237731933594,26.3157901763916,4.545454502105713,0,5,9.523809432983398,0,23.809524536132813,10,40,16665825280,4294963200,6650236928,0
199,1740326341905,8073.64697265625,2050,2,1.38125,6154.7257080078125,4100,0,1.38125,6399.468963623047,2050,2,1.38125,6547.057769775391,2050,2,1.38125,8652.358810424805,4100,0,1.38125,6374.525985717773,2050,2,1.38125,6433.833221435547,2050,2,1.38125,7414.93180847168,2050,2,1.38125,27833.920623779297,2128,3125,2129,2129,2123,2127,3193,2122,2130,2130,2129,2128,3157,2128,2123,3197,22.22222328186035,0,36.842105865478516,40,100,36.842105865478516,15.000000953674316,35,0,0,0,0,30.000001907348633,31.57894515991211,4.761904716491699,38.88888931274414,16665825280,4294963200,6673461248,0
199,1740326342105,8074.94026184082,4025,0,1.34375,6157.01301574707,4025,0,1.34375,6400.554977416992,4025,0,1.34375,6548.169021606445,4025,0,1.34375,8654.647094726563,4025,0,1.34375,6376.035781860352,4025,0,1.34375,6434.998580932617,4025,0,1.34375,7415.858505249023,2012.5,2,1.34375,27847.90235900879,2128,3125,2129,2129,2123,2127,3193,2122,2130,2130,2129,2128,3157,2128,2123,3197,22.22222328186035,0,36.842105865478516,40,100,36.842105865478516,15.000000953674316,35,0,0,0,0,30.000001907348633,31.57894515991211,4.761904716491699,38.88888931274414,16665825280,4294963200,6720684032,0
199,1740326342305,8076.085388183594,4100,0,1.375,6158.127517700195,2050,2,1.375,6401.533798217773,2733.333333333333,2,1.375,6550.032257080078,4100,0,1.375,8657.265716552734,4100,0,1.375,6378.483535766602,4100,0,1.375,6436.056655883789,2050,2,1.38125,7416.501052856445,2050,2,1.38125,27861.85806274414,2128,3125,2129,2129,2123,2127,3193,2122,2130,2130,2129,2128,3157,2128,2123,3197,15.384615898132324,23.076923370361328,50,2.5,97.43589782714844,76.92308044433594,20.512821197509766,35.897438049316406,0,72.5,15.789472579956055,45,46.153846740722656,22.5,55.26315689086914,65.8536605834961,16665825280,4294963200,6794227712,0
199,1740326342505,8077.946228027344,3975,0,1.3125,6159.666702270508,3975,0,1.3125,6403.312057495117,3975,0,1.3125,6551.852233886719,3975,0,1.3125,8659.217666625977,3975,0,1.3125,6380.391372680664,3975,0,1.3125,6437.592514038086,3975,0,1.3125,7417.993453979492,3975,0,1.3125,27877.586868286133,2128,3125,2129,2129,2123,2127,3193,2122,2130,2130,2129,2128,3157,2128,2123,3197,20,5,10,5,95,95.23809814453125,21.052631378173828,26.3157901763916,89.47368621826172,90.47618865966797,10,31.57894515991211,95,78.94737243652344,95.23809814453125,94.73684692382813,16665825280,4294963200,6871121920,0
199,1740326342705,8079.189971923828,2050,2,1.4312500000000001,6161.448623657227,4100,0,1.4312500000000001,6404.321701049805,2733.333333333333,2,1.4312500000000001,6553.59211730957,4100,0,1.4312500000000001,8661.238357543945,4100,0,1.4312500000000001,6381.966873168945,4100,0,1.4312500000000001,6438.823181152344,2733.333333333333,2,1.4312500000000001,7419.623123168945,4100,0,1.4312500000000001,27891.979858398438,2128,3125,2129,2129,2123,2127,3193,2122,2130,2130,2129,2128,3157,2128,2123,3197,20,5,10,5,95,95.23809814453125,21.052631378173828,26.3157901763916,89.47368621826172,90.47618865966797,10,31.57894515991211,95,78.94737243652344,95.23809814453125,94.73684692382813,16665825280,4294963200,6898216960,0
199,1740326342906,8079.973358154297,4075,0,1.3625,6162.403915405273,2037.5,2,1.3625,6404.791763305664,4075,0,1.3625,6555.054595947266,4075,0,1.3625,8663.755187988281,4075,0,1.36875,6382.557113647461,2037.5,2,1.36875,6439.512222290039,2037.5,2,1.36875,7421.100189208984,4075,0,1.36875,27903.817840576172,2128,3125,2129,2129,2123,2127,3193,2122,2130,2130,2129,2128,3157,2128,2123,3197,10.526315689086914,17.073171615600586,2.5,2.5,66.66667175292969,39.47368621826172,12.5,80,32.5,78.94737243652344,42.5,17.948719024658203,45,12.195121765136719,46.153846740722656,60.97561264038086,16665825280,4294963200,6902603776,0
199,1740326343106,8081.917938232422,4050,0,1.3375,6162.906280517578,2025,2,1.3375,6406.325408935547,4050,0,1.3375,6556.495178222656,2025,2,1.3375,8665.990295410156,4050,0,1.3375,6383.146331787109,2025,2,1.3375,6440.087005615234,2025,2,1.3375,7421.772521972656,2025,2,1.3375,27915.6815032959,2128,3125,2129,2129,2123,2127,3193,2122,2130,2130,2129,2128,3157,2128,2123,3197,10.526315689086914,17.073171615600586,2.5,2.5,66.66667175292969,39.47368621826172,12.5,80,32.5,78.94737243652344,42.5,17.948719024658203,45,12.195121765136719,46.153846740722656,60.97561264038086,16665825280,4294963200,6919372800,0
