Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740326339152,8064.650787353516,2100,2,1.425,6138.503601074219,4200,0,1.425,6389.358779907227,2800,2,1.425,6529.839492797852,2100,2,1.41875,8637.913040161133,2200,2,1.41875,6362.653396606445,2200,2,1.41875,6420.161712646484,2200,2,1.41875,7400.41535949707,2200,2,1.41875,27693.361236572266,2187,2159,2192,2192,2194,2106,2188,2186,2177,2195,2176,2182,2189,2184,2182,2194,9.090909004211426,59.375,21.212121963500977,18.18181800842285,9.090909004211426,6.25,3.125,6.25,9.090909004211426,11.764705657958984,12.121212005615234,18.18181800842285,9.090909004211426,6.25,24.24242401123047,17.647058486938477,16665825280,4294963200,6579912704,0
199,1740326339153,8064.6519775390625,2100,2,1.4125,6138.512786865234,4200,0,1.4125,6389.375259399414,2800,2,1.4125,6529.841659545898,2100,2,1.4125,8637.915145874023,2200,2,1.4125,6362.665557861328,2200,2,1.4125,6420.1746826171875,2200,2,1.4125,7400.417617797852,2200,2,1.4125,27693.46011352539,2187,2159,2192,2192,2194,2106,2188,2186,2177,2195,2176,2182,2189,2184,2182,2194,9.090909004211426,59.375,21.212121963500977,18.18181800842285,9.090909004211426,6.25,3.125,6.25,9.090909004211426,11.764705657958984,12.121212005615234,18.18181800842285,9.090909004211426,6.25,24.24242401123047,17.647058486938477,16665825280,4294963200,6580428800,0
199,1740326339353,8065.223434448242,4100,0,1.375,6139.525619506836,4125,0,1.375,6390.216690063477,4125,0,1.36875,6530.543609619141,4125,0,1.36875,8638.643493652344,2062.5,2,1.36875,6363.565505981445,2062.5,2,1.36875,6421.040863037109,4125,0,1.36875,7402.655166625977,4125,0,1.36875,27703.936584472656,2187,2159,2192,2192,2194,2106,2188,2186,2177,2195,2176,2182,2189,2184,2182,2194,5,30.000001907348633,0,9.523809432983398,0,0,5,85.71428680419922,40,25,26.3157901763916,35,42.105262756347656,0,15.000000953674316,20,16665825280,4294963200,6618890240,0
199,1740326339553,8065.930206298828,2100,2,1.39375,6141.957000732422,4200,0,1.39375,6391.054260253906,2100,2,1.39375,6531.270736694336,2100,2,1.39375,8639.205993652344,2200,2,1.39375,6364.13899230957,2200,2,1.39375,6421.692092895508,2200,2,1.39375,7403.275466918945,2200,2,1.39375,27713.707122802734,2187,2159,2192,2192,2194,2106,2188,2186,2177,2195,2176,2182,2189,2184,2182,2194,15.000000953674316,78.94737243652344,13.043478012084961,21.052631378173828,0,0,0,0,45,21.052631378173828,25,26.3157901763916,30.000001907348633,35,13.636363983154297,36.842105865478516,16665825280,4294963200,6647001088,0
199,1740326339753,8066.43782043457,2037.5,2,1.3625,6144.225875854492,4075,0,1.3625,6392.015914916992,2037.5,2,1.3625,6533.464080810547,4075,0,1.3625,8640.522521972656,4075,0,1.3625,6364.367324829102,2037.5,2,1.38125,6422.914093017578,4075,0,1.38125,7404.318771362305,4075,0,1.38125,27725.887008666992,2187,2159,2192,2192,2194,2106,2188,2186,2177,2195,2176,2182,2189,2184,2182,2194,0,36.3636360168457,5.263157844543457,31.57894515991211,0,0,27.77777862548828,0,40,90,66.66667175292969,0,52.38095474243164,50,25,75,16665825280,4294963200,6670999552,0
199,1740326339953,8067.033294677734,2037.5,2,1.38125,6146.514022827148,4075,0,1.38125,6392.640350341797,2037.5,2,1.38125,6535.898391723633,4075,0,1.38125,8642.483596801758,4075,0,1.38125,6365.808090209961,4075,0,1.38125,6424.147048950195,2037.5,2,1.38125,7406.390197753906,4075,0,1.38125,27740.377197265625,2187,2159,2192,2192,2194,2106,2188,2186,2177,2195,2176,2182,2189,2184,2182,2194,35,36.842105865478516,0,0,0,0,38.095237731933594,0,31.57894515991211,100,85,66.66667175292969,30.000001907348633,94.73684692382813,4.761904716491699,84.21052551269531,16665825280,4294963200,6749704192,0
199,1740326340153,8068.244934082031,3950,0,1.29375,6148.695526123047,3950,0,1.29375,6393.657196044922,3950,0,1.29375,6538.083038330078,3950,0,1.2875,8644.485137939453,3950,0,1.2875,6367.804641723633,3950,0,1.2875,6424.922393798828,3950,0,1.2875,7408.438781738281,3950,0,1.2875,27755.306182861328,2187,2159,2192,2192,2194,2106,2188,2186,2177,2195,2176,2182,2189,2184,2182,2194,70,36.842105865478516,5,10,30.000001907348633,4.761904716491699,5.263157844543457,36.842105865478516,60.000003814697266,95,78.94737243652344,100,31.57894515991211,95.23809814453125,5.555555820465088,95,16665825280,4294963200,6827606016,0
199,1740326340353,8069.937591552734,4050,0,1.33125,6150.27278137207,4050,0,1.33125,6395.253021240234,4050,0,1.33125,6539.984069824219,4050,0,1.33125,8645.946014404297,2700,2,1.33125,6369.544677734375,4050,0,1.33125,6426.476959228516,4050,0,1.33125,7410.311233520508,4050,0,1.3375,27770.874053955078,2187,2159,2192,2192,2194,2106,2188,2186,2177,2195,2176,2182,2189,2184,2182,2194,84.21052551269531,60.000003814697266,10,5,65,85,15.000000953674316,100,85.71428680419922,100,20,30.000001907348633,78.94737243652344,80.95238494873047,28.571430206298828,40,16665825280,4294963200,6852304896,0
199,1740326340553,8070.560775756836,2062.5,2,1.375,6151.557907104492,4125,0,1.375,6396.394790649414,2062.5,2,1.375,6542.477081298828,4125,0,1.375,8646.407470703125,2062.5,2,1.375,6370.862197875977,2062.5,2,1.375,6428.578918457031,4125,0,1.375,7412.035125732422,2750,2,1.375,27784.809188842773,2187,2159,2192,2192,2194,2106,2188,2186,2177,2195,2176,2182,2189,2184,2182,2194,20,60.000003814697266,15.000000953674316,15.000000953674316,20,47.36842346191406,0,55,36.842105865478516,100,5,10,95.23809814453125,21.052631378173828,15.000000953674316,0,16665825280,4294963200,6858219520,0
199,1740326340753,8071.870620727539,2062.5,2,1.3875,6152.6470947265625,2750,2,1.3875,6397.029113769531,4125,0,1.3875,6544.967498779297,4125,0,1.3875,8646.789916992188,2062.5,2,1.3875,6371.644592285156,4125,0,1.3875,6430.429382324219,4125,0,1.3875,7412.5618896484375,2062.5,2,1.3875,27796.885528564453,2187,2159,2192,2192,2194,2106,2188,2186,2177,2195,2176,2182,2189,2184,2182,2194,60.000003814697266,55,0,10,10,47.619049072265625,9.523809432983398,20,35,100,0,5.263157844543457,75,10,5.263157844543457,4.761904716491699,16665825280,4294963200,6879379456,0
