Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740326343871,8082.795364379883,2200,2,0.8375,6163.454315185547,2200,2,0.8375,6407.717880249023,2200,2,0.8375,6557.229141235352,2200,2,0.8375,8666.87680053711,2200,2,0.8375,6383.796432495117,2200,2,0.8375,6440.682327270508,2200,2,0.8375,7422.322692871094,2200,2,0.8375,27930.243270874023,2195,2195,2195,2196,2128,2097,3182,2128,2193,2191,2111,2127,3169,2093,2192,2151,8.571429252624512,11.764705657958984,11.428571701049805,5.882352828979492,8.571429252624512,3.125,8.571429252624512,3.0303030014038086,8.823529243469238,8.823529243469238,5.882352828979492,14.285715103149414,8.823529243469238,5.714285850524902,8.571429252624512,5.882352828979492,16665825280,4294963200,6614306816,0
199,1740326343871,8082.795700073242,2200,2,0.8375,6163.454483032227,2200,2,0.8375,6407.721145629883,2200,2,0.8375,6557.230072021484,2200,2,0.8375,8666.876968383789,2200,2,0.8375,6383.799758911133,2200,2,0.8375,6440.68278503418,2200,2,0.8375,7422.326187133789,2200,2,0.8375,27930.2723236084,2195,2195,2195,2196,2128,2097,3182,2128,2193,2191,2111,2127,3169,2093,2192,2151,8.571429252624512,11.764705657958984,11.428571701049805,5.882352828979492,8.571429252624512,3.125,8.571429252624512,3.0303030014038086,8.823529243469238,8.823529243469238,5.882352828979492,14.285715103149414,8.823529243469238,5.714285850524902,8.571429252624512,5.882352828979492,16665825280,4294963200,6614306816,0
199,1740326344071,8085.371826171875,4125,0,1.4125,6164.147659301758,2062.5,2,1.4125,6408.775177001953,4125,0,1.4125,6557.829605102539,4125,0,1.41875,8667.61735534668,4125,0,1.41875,6384.890731811523,2062.5,2,1.41875,6441.256484985352,2062.5,2,1.41875,7422.941909790039,4125,0,1.41875,27940.98289489746,2195,2195,2195,2196,2128,2097,3182,2128,2193,2191,2111,2127,3169,2093,2192,2151,0,30.000001907348633,50,20,0,4.761904716491699,0,4.761904716491699,0,0,42.85714340209961,38.095237731933594,21.052631378173828,25,94.73684692382813,0,16665825280,4294963200,6647824384,0
199,1740326344271,8087.867691040039,4125,0,1.38125,6165.200164794922,4125,0,1.38125,6409.588317871094,2062.5,2,1.38125,6558.671737670898,4125,0,1.38125,8668.915985107422,3200,0,1.38125,6385.594680786133,2133.333333333333,2,1.39375,6442.061904907227,2133.333333333333,2,1.39375,7423.266632080078,2133.333333333333,2,1.39375,27951.788482666016,2195,2195,2195,2196,2128,2097,3182,2128,2193,2191,2111,2127,3169,2093,2192,2151,0,52.6315803527832,0,47.36842346191406,26.3157901763916,38.095237731933594,31.57894515991211,0,42.105262756347656,0,45,0,30.000001907348633,5,100,0,16665825280,4294963200,6676725760,0
200,1740326344471,8090.232452392578,4075,0,1.4,6166.932327270508,4075,0,1.4,6410.29573059082,2037.5,2,1.4,6560.418167114258,4075,0,1.4,8671.171356201172,4075,0,1.4,6386.755859375,4075,0,1.4,6443.173492431641,2716.666666666667,2,1.4,7424.092590332031,2037.5,2,1.4,27963.95100402832,2195,2195,2195,2196,2128,2097,3182,2128,2193,2191,2111,2127,3169,2093,2192,2151,0,52.6315803527832,0,47.36842346191406,26.3157901763916,38.095237731933594,31.57894515991211,0,42.105262756347656,0,45,0,30.000001907348633,5,100,0,16665825280,4294963200,6714142720,0
199,1740326344672,8092.562026977539,4050,0,1.35625,6168.904983520508,4050,0,1.35625,6410.911773681641,2025,2,1.3625,6562.407897949219,4050,0,1.3625,8673.510620117188,4050,0,1.3625,6387.60041809082,4050,0,1.3625,6444.00129699707,2025,2,1.3625,7426.206390380859,4050,0,1.3625,27979.070388793945,2195,2195,2195,2196,2128,2097,3182,2128,2193,2191,2111,2127,3169,2093,2192,2151,0,87.5,0,87.80487823486328,80.48780822753906,5,40,60.000003814697266,38.46154022216797,0,47.36842346191406,42.5,27.5,20,95.1219482421875,0,16665825280,4294963200,6808846336,0
199,1740326344872,8094.614517211914,3950,0,1.3,6170.840606689453,3950,0,1.3,6412.207916259766,3950,0,1.3,6564.369033813477,3950,0,1.3,8675.540893554688,3950,0,1.3,6389.562789916992,3950,0,1.3,6445.15544128418,3950,0,1.3,7428.04443359375,3950,0,1.3,27995.506118774414,2195,2195,2195,2196,2128,2097,3182,2128,2193,2191,2111,2127,3169,2093,2192,2151,0,95,0,100,100,0,40,90,73.68421173095703,5.555555820465088,70,100,63.15789031982422,5.263157844543457,100,10,16665825280,4294963200,6874386432,0
199,1740326345072,8096.140182495117,4100,0,1.38125,6172.628128051758,2050,2,1.38125,6413.639694213867,4100,0,1.38125,6566.044418334961,4100,0,1.38125,8676.855026245117,4100,0,1.38125,6391.088943481445,4100,0,1.38125,6446.540267944336,2733.333333333333,2,1.38125,7429.784896850586,4100,0,1.38125,28010.18894958496,2195,2195,2195,2196,2128,2097,3182,2128,2193,2191,2111,2127,3169,2093,2192,2151,65,47.36842346191406,5,100,36.842105865478516,0,21.052631378173828,100,78.94737243652344,14.285715103149414,65,80,71.42857360839844,33.333335876464844,35,78.94737243652344,16665825280,4294963200,6892191744,0
199,1740326345272,8098.762222290039,4150,0,1.4125,6173.242858886719,2766.666666666667,2,1.4125,6414.365219116211,2075,2,1.4125,6567.446517944336,4150,0,1.4125,8677.658218383789,2075,2,1.4125,6392.103851318359,4150,0,1.4125,6447.2833251953125,2075,2,1.4125,7432.059768676758,4150,0,1.4125,28023.31396484375,2195,2195,2195,2196,2128,2097,3182,2128,2193,2191,2111,2127,3169,2093,2192,2151,10,14.285715103149414,0,60.000003814697266,10,0,10,30.000001907348633,35,10,30.000001907348633,45,31.57894515991211,73.68421173095703,100,14.285715103149414,16665825280,4294963200,6899417088,0
199,1740326345472,8101.238830566406,4150,0,1.4,6174.442810058594,4150,0,1.4,6414.871734619141,2075,2,1.4,6568.7347412109375,2075,2,1.4,8678.04118347168,2062.5,2,1.4,6393.45539855957,4125,0,1.39375,6447.725448608398,2062.5,2,1.39375,7433.779434204102,4125,0,1.39375,28035.518341064453,2195,2195,2195,2196,2128,2097,3182,2128,2193,2191,2111,2127,3169,2093,2192,2151,10.526315689086914,55,10.526315689086914,45,5,4.761904716491699,10,10.526315689086914,15.789472579956055,10,10,60.000003814697266,10,66.66667175292969,100,5,16665825280,4294963200,6977576960,0
