Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740326337001,8053.885025024414,2200,2,0.8375,6126.275939941406,2200,2,0.8375,6379.293014526367,2200,2,0.8375,6509.491424560547,2200,2,0.8375,8624.622650146484,2200,2,0.8375,6354.044097900391,2200,2,0.8375,6411.069488525391,2200,2,0.8375,7389.636123657227,2200,2,0.8375,27571.704147338867,2188,2101,2200,2190,3193,2200,2014,2103,1791,2200,3200,2127,2200,2200,1997,3193,12.820513725280762,7.894736289978027,8.108107566833496,8.108107566833496,2.777777910232544,5.555555820465088,8.108107566833496,10.526315689086914,8.108107566833496,5.555555820465088,5.555555820465088,7.894736289978027,5.405405521392822,7.894736289978027,5.405405521392822,5.263157844543457,16665825280,4294963200,6593044480,0
199,1740326337001,8053.88525390625,2200,2,0.8375,6126.276092529297,2200,2,0.8375,6379.293167114258,2200,2,0.8375,6509.494613647461,2200,2,0.8375,8624.62287902832,2200,2,0.8375,6354.047592163086,2200,2,0.8375,6411.069641113281,2200,2,0.8375,7389.636581420898,2200,2,0.8375,27571.731826782227,2188,2101,2200,2190,3193,2200,2014,2103,1791,2200,3200,2127,2200,2200,1997,3193,12.820513725280762,7.894736289978027,8.108107566833496,8.108107566833496,2.777777910232544,5.555555820465088,8.108107566833496,10.526315689086914,8.108107566833496,5.555555820465088,5.555555820465088,7.894736289978027,5.405405521392822,7.894736289978027,5.405405521392822,5.263157844543457,16665825280,4294963200,6593044480,0
199,1740326337201,8054.883499145508,4125,0,1.41875,6126.686218261719,4125,0,1.41875,6380.1292724609375,2062.5,2,1.41875,6512.110092163086,4125,0,1.41875,8625.176452636719,4125,0,1.41875,6354.980621337891,2062.5,2,1.41875,6411.704818725586,2062.5,2,1.41875,7390.413345336914,4125,0,1.41875,27582.390991210938,2188,2101,2200,2190,3193,2200,2014,2103,1791,2200,3200,2127,2200,2200,1997,3193,0,20,0,0,28.571430206298828,35,0,0,30.000001907348633,95.23809814453125,0,0,30.000001907348633,40,50,0,16665825280,4294963200,6641299456,0
199,1740326337401,8055.641891479492,2100,2,1.39375,6127.89826965332,4200,0,1.39375,6380.8687744140625,2100,2,1.39375,6514.615280151367,4200,0,1.39375,8626.244659423828,2200,2,1.39375,6355.230728149414,2200,2,1.39375,6412.577560424805,2200,2,1.4,7391.073043823242,2200,2,1.4,27592.9942779541,2188,2101,2200,2190,3193,2200,2014,2103,1791,2200,3200,2127,2200,2200,1997,3193,5,52.38095474243164,0,95.23809814453125,35,0,30.000001907348633,0,42.105262756347656,0,31.57894515991211,0,40,36.842105865478516,40,0,16665825280,4294963200,6664011776,0
199,1740326337601,8057.37712097168,4075,0,1.38125,6129.783645629883,4075,0,1.38125,6381.651779174805,2037.5,2,1.38125,6517.003601074219,4075,0,1.38125,8628.458724975586,4075,0,1.38125,6355.605697631836,4075,0,1.38125,6413.452453613281,2037.5,2,1.38125,7392.44677734375,4075,0,1.38125,27606.913497924805,2188,2101,2200,2190,3193,2200,2014,2103,1791,2200,3200,2127,2200,2200,1997,3193,5,52.38095474243164,0,95.23809814453125,35,0,30.000001907348633,0,42.105262756347656,0,31.57894515991211,0,40,36.842105865478516,40,0,16665825280,4294963200,6699880448,0
199,1740326337801,8058.884689331055,2037.5,2,1.3875,6131.7581787109375,4075,0,1.3875,6382.295700073242,2037.5,2,1.38125,6519.3492431640625,4075,0,1.38125,8630.84603881836,4075,0,1.38125,6357.00163269043,4075,0,1.38125,6414.438201904297,4075,0,1.38125,7394.034408569336,2037.5,2,1.38125,27621.716018676758,2188,2101,2200,2190,3193,2200,2014,2103,1791,2200,3200,2127,2200,2200,1997,3193,2.5,84.61538696289063,0,97.43589782714844,75,15.000000953674316,37.5,12.195121765136719,45,0,57.5,28.205129623413086,42.5,60.97561264038086,73.17073059082031,7.317072868347168,16665825280,4294963200,6790713344,0
199,1740326338001,8060.352447509766,3975,0,1.30625,6133.693252563477,3975,0,1.30625,6383.335174560547,3975,0,1.30625,6521.594573974609,3975,0,1.30625,8632.621109008789,3975,0,1.30625,6359.0150146484375,3975,0,1.30625,6416.337615966797,3975,0,1.30625,7395.683517456055,3975,0,1.30625,27637.506866455078,2188,2101,2200,2190,3193,2200,2014,2103,1791,2200,3200,2127,2200,2200,1997,3193,2.5,84.61538696289063,0,97.43589782714844,75,15.000000953674316,37.5,12.195121765136719,45,0,57.5,28.205129623413086,42.5,60.97561264038086,73.17073059082031,7.317072868347168,16665825280,4294963200,6854193152,0
199,1740326338201,8061.798873901367,2062.5,2,1.425,6134.998489379883,2062.5,2,1.425,6384.833511352539,4125,0,1.425,6523.765441894531,4125,0,1.425,8634.376220703125,4125,0,1.425,6360.517547607422,4125,0,1.425,6417.474914550781,2062.5,2,1.425,7397.424407958984,2062.5,2,1.425,27652.143463134766,2188,2101,2200,2190,3193,2200,2014,2103,1791,2200,3200,2127,2200,2200,1997,3193,70,37.5,22.72727394104004,97.5,38.46154022216797,64.10256958007813,21.052631378173828,42.5,69.04761505126953,29.545454025268555,60.000003814697266,35,64.10256958007813,69.23077392578125,32.55813980102539,60.000003814697266,16665825280,4294963200,6859608064,0
199,1740326338401,8062.761032104492,2733.333333333333,2,1.40625,6135.676376342773,2050,2,1.40625,6386.6412353515625,4100,0,1.40625,6526.221939086914,4100,0,1.40625,8636.12956237793,4100,0,1.40625,6361.206451416016,2050,2,1.40625,6418.18229675293,2050,2,1.40625,7398.807281494141,2733.333333333333,2,1.40625,27665.252212524414,2188,2101,2200,2190,3193,2200,2014,2103,1791,2200,3200,2127,2200,2200,1997,3193,50,33.333335876464844,9.523809432983398,100,35,25,20,55,80.95238494873047,10,55,10.526315689086914,28.571430206298828,10,9.523809432983398,9.523809432983398,16665825280,4294963200,6901411840,0
199,1740326338601,8063.4439697265625,4175,0,1.4,6136.17317199707,2783.333333333333,2,1.4,6388.376647949219,2087.5,2,1.4,6528.710418701172,4175,0,1.4,8637.227264404297,2087.5,2,1.4,6361.931381225586,2087.5,2,1.4,6418.986618041992,4175,0,1.4,7399.5506591796875,2087.5,2,1.4,27677.170684814453,2188,2101,2200,2190,3193,2200,2014,2103,1791,2200,3200,2127,2200,2200,1997,3193,30.000001907348633,11.111111640930176,47.619049072265625,95.23809814453125,15.000000953674316,33.333335876464844,15.000000953674316,21.052631378173828,50,15.000000953674316,36.842105865478516,10,35,25,9.523809432983398,24,16665825280,4294963200,6931083264,0
