Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1738830617075,4334.522598266602,3200,1,0.99375,46760.92835998535,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,9.409622192382813,0.6363677978515625,7.1018218994140625,0.45252227783203125,4.5568084716796875,0.4633636474609375,98.57363891601563,0.17724609375,0.73248291015625,0.0341796875,0.46134185791015625,1.8936386108398438,1.808990478515625,0.19245147705078125,1.9462432861328125,2.2127456665039063,17089679360,11274289152,6614024192,0
199,1738830617076,4334.543991088867,3200,1,1.025,46761.09158325195,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,8.365646362304688,7.3824310302734375,64.85873413085938,8.134559631347656,13.243934631347656,7.463531494140625,40.27952194213867,7.361320495605469,95.68941497802734,7.40020751953125,9.748809814453125,7.421318054199219,8.443412780761719,7.4068756103515625,7.571296691894531,13.195053100585938,17089679360,11274289152,6613782528,0
199,1738830617276,2689.5345306396484,3200,1,0.9875,46765.08921813965,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,10.381088256835938,0.81146240234375,3.8616256713867188,85.99856567382813,24.368301391601563,7.032318115234375,30.277755737304688,1.1674957275390625,9.596694946289063,0.3724365234375,3.3540267944335938,0,1.0547561645507813,0,20.73651885986328,0.9512786865234375,17089679360,11274289152,6640996352,0
200,1738830617477,4334.948318481445,3200,1,0.9875,46769.007232666016,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,16.257232666015625,1.3100433349609375,27.495697021484375,37.394737243652344,31.626060485839844,3.6296844482421875,16.091522216796875,7.3793182373046875,23.49352264404297,6.401145935058594,9.665191650390625,0.8419876098632813,3.8289718627929688,0.7521133422851563,10.669044494628906,5.409934997558594,17089679360,11274289152,6663110656,0
200,1738830617678,2689.9674530029297,3200,1,0.9875,46773.00881958008,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,13.347145080566406,0.3478851318359375,5.876190185546875,85.56068420410156,26.754539489746094,7.7874603271484375,23.132530212402344,0.9063568115234375,14.645622253417969,0.087554931640625,2.9144363403320313,0,1.4058303833007813,0.04178619384765625,19.781455993652344,0.5783233642578125,17089679360,11274289152,6659846144,0
200,1738830617879,3330.4488220214844,3200,1,0.99375,46777.09051513672,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,7.702796936035156,0.7366409301757813,4.416961669921875,90.35073852539063,28.44702911376953,7.092491149902344,26.5166015625,2.0985870361328125,2.4949951171875,0.4034881591796875,5.957611083984375,0.29592132568359375,6.431541442871094,0.38690948486328125,23.06201171875,1.9379501342773438,17089679360,11274289152,6675689472,0
200,1738830618080,2562.238571166992,3200,1,0.99375,46781.29112243652,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,7.033424377441406,0.2836151123046875,7.957672119140625,62.05852127075195,53.857879638671875,4.88946533203125,21.641204833984375,0.1986083984375,6.821113586425781,0.5233306884765625,8.183135986328125,5.695304870605469,22.619110107421875,0,17.576744079589844,4.801460266113281,17089679360,11274289152,6687084544,0
200,1738830618281,2690.853485107422,3200,1,0.99375,46786.09745788574,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,22.866226196289063,0.250640869140625,0.43735504150390625,97.11226654052734,32.525779724121094,34.67212677001953,35.93858337402344,3.812744140625,14.107368469238281,1.3748092651367188,11.436447143554688,0.6220321655273438,8.090560913085938,0.6101913452148438,26.69579315185547,14.13079833984375,17089679360,11274289152,6691405824,0
200,1738830618482,2562.801773071289,3200,1,0.9875,46790.31491088867,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,11.470932006835938,0.32955169677734375,0.5287628173828125,99.98532104492188,28.54479217529297,10.460075378417969,12.837059020996094,3.11181640625,8.193046569824219,0.34995269775390625,7.365577697753906,0.32915496826171875,5.735267639160156,0.2156219482421875,23.410675048828125,7.793342590332031,17089679360,11274289152,6686543872,0
200,1738830618683,3333.6748657226563,3200,1,0.9875,46794.21710205078,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,5.065879821777344,0.12030029296875,7.544486999511719,92.6227798461914,24.36981201171875,5.1916046142578125,13.852973937988281,0.6666793823242188,5.9762420654296875,0.1451263427734375,2.0462112426757813,0.12213897705078125,10.034385681152344,0.32279205322265625,21.12834930419922,1.8087921142578125,17089679360,11274289152,6686482432,0
200,1738830618884,3031.4581298828125,3200,1,0.9875,46798.54902648926,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,6.579444885253906,0.189697265625,0.340240478515625,95.64102935791016,48.852848052978516,3.4343185424804688,26.281517028808594,1.6821365356445313,10.668472290039063,0.237457275390625,5.7845458984375,3.6047134399414063,20.20941925048828,0.176910400390625,17.41338348388672,2.8219528198242188,17089679360,11274289152,6698565632,0
200,1738830619085,2691.897903442383,3200,1,0.9875,46802.69696044922,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,5.0225830078125,0.0511474609375,0.12462615966796875,99.89408111572266,37.77021026611328,3.3687057495117188,16.771377563476563,0.204925537109375,3.6777114868164063,0.08219146728515625,3.6440277099609375,0.00751495361328125,14.61669921875,0.05587005615234375,25.1446533203125,0.8007431030273438,17089679360,11274289152,6710222848,0
200,1738830619286,4335.945068359375,2560,2,0.99375,46807.05615234375,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,8.416168212890625,0.3702545166015625,0.5828399658203125,99.92572021484375,43.524051666259766,13.726081848144531,39.63047409057617,1.5364837646484375,3.6597976684570313,0.45224761962890625,3.2783966064453125,0.371795654296875,24.48168182373047,0.3916473388671875,21.682846069335938,3.0838699340820313,17089679360,11274289152,6709108736,0
200,1738830619487,2692.3885345458984,3200,1,0.9875,46811.15873718262,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,12.266731262207031,0.00751495361328125,1.2441940307617188,98.57292175292969,29.66490936279297,2.10101318359375,14.364860534667969,0.5718460083007813,7.651817321777344,0.1600494384765625,10.944732666015625,5.009300231933594,4.124015808105469,0.03870391845703125,20.390487670898438,3.4365463256835938,17089679360,11274289152,6723280896,0
200,1738830619688,4336.050033569336,2560,2,0.99375,46814.841735839844,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3.3370819091796875,0.081787109375,0.5542221069335938,99.98577117919922,11.481239318847656,2.6982345581054688,12.133323669433594,0.30223846435546875,2.1635589599609375,0.0754241943359375,3.9424057006835938,5.798553466796875,1.8028717041015625,0.08184051513671875,23.870834350585938,2.268341064453125,17089679360,11274289152,6723571712,0
200,1738830619889,4336.183395385742,3200,1,0.99375,46819.51303100586,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,22.78923797607422,0.47751617431640625,2.532806396484375,78.1668930053711,71.78718566894531,4.398643493652344,23.973472595214844,1.6081695556640625,10.384910583496094,1.08184814453125,16.99475860595703,0.3775177001953125,9.765602111816406,0.34716796875,43.9085578918457,2.001708984375,17089679360,11274289152,6728704000,0
200,1738830620090,4336.3302001953125,3200,1,0.99375,46823.475662231445,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,6.877838134765625,0,3.221282958984375,72.33784484863281,4.548210144042969,11.617149353027344,7.652626037597656,8.969802856445313,12.039886474609375,0,30.375221252441406,0,5.331703186035156,0,21.151039123535156,6.92938232421875,17089679360,11274289152,6738640896,0
200,1738830620291,4336.444030761719,3200,1,0.99375,46827.683166503906,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,11.0587158203125,1.9293212890625,10.292205810546875,38.137794494628906,55.67539978027344,4.1421661376953125,20.59710693359375,0.97406005859375,7.047340393066406,0.2501983642578125,44.75151062011719,0.76123046875,5.138420104980469,0.28357696533203125,26.459983825683594,2.4720458984375,17089679360,11274289152,6740021248,0
200,1738830620492,2693.862838745117,3200,1,0.9875,46831.46109008789,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,33.16303253173828,0.06218719482421875,9.250480651855469,72.05213165283203,13.60107421875,3.3663101196289063,17.40723419189453,0.516815185546875,4.224571228027344,0.0616455078125,1.319549560546875,0.06781005859375,0.5301971435546875,0.03427886962890625,18.046241760253906,2.7463150024414063,17089679360,11274289152,6740111360,0
200,1738830620693,2694.197006225586,3200,1,0.9875,46835.465423583984,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,19.099021911621094,0.0194091796875,19.12194061279297,61.06011962890625,36.53287124633789,0.758026123046875,21.819198608398438,1.1364974975585938,2.5016632080078125,0.01168060302734375,6.596702575683594,0.01668548583984375,0.6549072265625,0.37747955322265625,32.918479919433594,4.043357849121094,17089679360,11274289152,6740471808,0
200,1738830620894,2694.4822692871094,3200,1,0.99375,46839.72499084473,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,13.325164794921875,0.01850128173828125,32.88359832763672,20.201560974121094,99.95494842529297,0.1548919677734375,29.77373504638672,1.3237152099609375,3.9505844116210938,0.0157012939453125,10.116409301757813,0.012451171875,1.734100341796875,0.03424835205078125,27.368209838867188,1.265716552734375,17089679360,11274289152,6755037184,0
200,1738830621095,2694.7486572265625,3200,1,0.99375,46843.948791503906,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,4.770896911621094,0,0.19045257568359375,97.78604888916016,82.49531555175781,0.106201171875,11.650741577148438,0.6632461547851563,4.7095947265625,0,0.6933517456054688,5.5950469970703125,3.3981475830078125,0,21.107879638671875,6.732292175292969,17089679360,11274289152,6754324480,0
200,1738830621296,4336.68327331543,3200,1,0.9875,46847.89765930176,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,15.285110473632813,0.15920257568359375,0.2205963134765625,99.95338439941406,26.030502319335938,9.092819213867188,11.407722473144531,1.219696044921875,5.078071594238281,0.16934967041015625,4.811012268066406,0.116119384765625,3.6608200073242188,0.17885589599609375,28.85913848876953,2.04864501953125,17089679360,11274289152,6764040192,0
