Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1738830522509,2604.3047790527344,3200,1,0.9875,45067.93446350098,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,11.598556518554688,7.641807556152344,35.10991668701172,0,1.649200439453125,0,7.9798431396484375,4.8254852294921875,26.37499237060547,0,12.863204956054688,0,0,0,2.3564453125,10.620140075683594,17089679360,11274289152,6646231040,0
200,1738830522509,2889.5528869628906,3200,1,0.9875,45068.05712890625,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,100,76.7763671875,90.53215789794922,9.556198120117188,20.4544677734375,9.539527893066406,19.642562866210938,9.551200866699219,33.096595764160156,9.491180419921875,15.506317138671875,9.506187438964844,9.537864685058594,9.54119873046875,99.07972717285156,9.556198120117188,17089679360,11274289152,6647648256,0
200,1738830522710,2604.5306091308594,3200,1,0.9875,45072.16101074219,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,18.242591857910156,0,2.86419677734375,92.66820526123047,29.725982666015625,7.595542907714844,27.40973663330078,0.48509979248046875,15.180442810058594,0.19519805908203125,5.6156005859375,0.14354705810546875,1.924896240234375,0.055999755859375,15.199691772460938,1.03289794921875,17089679360,11274289152,6686822400,0
200,1738830522910,2604.731674194336,3200,1,0.9875,45076.070541381836,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,12.952560424804688,0.8364410400390625,25.28998565673828,37.80354690551758,33.84089660644531,2.4609603881835938,18.342880249023438,0.477386474609375,20.43145751953125,6.851280212402344,7.84039306640625,17.27880096435547,2.773895263671875,0.8907928466796875,10.062484741210938,5.606773376464844,17089679360,11274289152,6702624768,0
200,1738830523112,2605.0035247802734,3200,1,0.99375,45080.47276306152,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,24.822402954101563,0.901885986328125,3.8120880126953125,89.49213409423828,24.33733367919922,9.72540283203125,24.57166290283203,2.2472610473632813,11.266853332519531,1.7984542846679688,7.1395111083984375,1.091796875,21.10382843017578,1.63018798828125,21.923095703125,2.2909317016601563,17089679360,11274289152,6661025792,0
199,1738830523313,2890.9144439697266,3200,1,0.9875,45084.737869262695,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,17.140716552734375,1.9105758666992188,0.20005035400390625,98.99343872070313,28.020553588867188,6.5726318359375,23.973251342773438,0,2.9570846557617188,4.387351989746094,12.280555725097656,0,2.3215789794921875,0.640411376953125,13.833526611328125,3.0139846801757813,17089679360,11274289152,6658658304,0
200,1738830523513,2605.592071533203,3200,1,0.9812500000000001,45089.185302734375,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,20.192771911621094,1.5685958862304688,4.624458312988281,90.05525207519531,14.313560485839844,12.432907104492188,30.634178161621094,0.8216552734375,11.583915710449219,2.4384078979492188,13.098609924316406,0.4254608154296875,2.4688339233398438,1.13043212890625,36.32139587402344,4.108573913574219,17089679360,11274289152,6675906560,0
200,1738830523714,4294.802688598633,3200,1,0.99375,45093.64845275879,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,21.895904541015625,3.48187255859375,0.5366592407226563,99.59911346435547,41.78011703491211,16.35120391845703,17.500045776367188,6.74322509765625,15.674339294433594,8.419342041015625,5.7208404541015625,0.338714599609375,7.020500183105469,6.53631591796875,15.518302917480469,11.300018310546875,17089679360,11274289152,6668939264,0
200,1738830523915,4294.950454711914,3200,1,0.99375,45097.76351928711,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3.2565155029296875,0.13571929931640625,0.16790771484375,99.64686584472656,32.58696746826172,2.5018386840820313,25.47791290283203,0.2114410400390625,3.351837158203125,10.093879699707031,1.491241455078125,5.8233795166015625,6.459251403808594,0.8573150634765625,12.271240234375,3.6464157104492188,17089679360,11274289152,6680489984,0
200,1738830524116,2606.2186279296875,3200,1,0.99375,45101.80422973633,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,18.808074951171875,0.6379623413085938,5.045661926269531,86.25654602050781,13.931861877441406,7.04351806640625,37.870323181152344,2.0303421020507813,10.91778564453125,5.773468017578125,2.5782546997070313,4.555511474609375,8.4468994140625,1.9991531372070313,4.451835632324219,8.935653686523438,17089679360,11274289152,6687776768,0
