Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1738830417686,2913.853225708008,3200,1,1.025,43238.67134094238,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,7.4687652587890625,1.3573684692382813,8.728874206542969,0.3131561279296875,1.5964584350585938,0.17435455322265625,0.0568084716796875,88.37804412841797,1.9543304443359375,0.19226837158203125,1.9257049560546875,1.96746826171875,0.5491485595703125,1.0789947509765625,2.949371337890625,0.975067138671875,17089679360,11274289152,7259652096,0
199,1738830417687,2913.873306274414,3200,1,0.99375,43238.8330078125,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,31.70081329345703,10.403984069824219,99.814453125,6.288612365722656,8.425178527832031,6.508598327636719,7.5118865966796875,6.18194580078125,60.58175277709961,7.02191162109375,8.98626708984375,6.324165344238281,12.408340454101563,7.275230407714844,33.65739440917969,7.4530029296875,17089679360,11274289152,7259746304,0
200,1738830417887,2914.000030517578,3200,1,0.9875,43242.78526306152,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,19.953170776367188,0.3853912353515625,9.530853271484375,0,8.245895385742188,0,0.7558059692382813,0,0,86.69992065429688,14.840011596679688,11.671653747558594,30.77086639404297,0.915863037109375,13.206451416015625,0.45247650146484375,17089679360,11274289152,7305052160,0
199,1738830418088,2533.982147216797,3200,1,0.9812500000000001,43247.14569091797,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,14.465766906738281,4.750579833984375,25.910682678222656,6.9207000732421875,32.573875427246094,3.680145263671875,12.134506225585938,6.8948822021484375,24.448219299316406,25.62187957763672,20.78363800048828,3.9066619873046875,25.239303588867188,2.2938461303710938,14.016769409179688,7.6670074462890625,17089679360,11274289152,7308005376,0
200,1738830418288,2373.3402099609375,3200,1,0.9875,43252.26754760742,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,30.953941345214844,4.45465087890625,30.640670776367188,6.166587829589844,35.04144287109375,1.6215744018554688,7.210151672363281,6.26300048828125,17.33574676513672,61.26254653930664,37.56639099121094,12.390701293945313,41.02120590209961,2.0723419189453125,23.721893310546875,2.5602874755859375,17089679360,11274289152,7311101952,0
200,1738830418489,2915.048858642578,3200,1,0.9812500000000001,43257.024337768555,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,24.386436462402344,4.367347717285156,36.84394073486328,0.6812667846679688,29.42022705078125,1.47711181640625,14.902107238769531,7.59600830078125,23.356201171875,42.519142150878906,19.508621215820313,16.63355255126953,25.87842559814453,2.1363372802734375,61.45476150512695,2.2091751098632813,17089679360,11274289152,7310176256,0
200,1738830418690,2915.321029663086,3200,1,0.9875,43261.73359680176,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,18.46704864501953,2.2991485595703125,25.403099060058594,0.09940338134765625,22.85639190673828,0.03655242919921875,6.964851379394531,4.19049072265625,4.836555480957031,86.57000732421875,35.95281982421875,5.9622802734375,20.615089416503906,1.3472824096679688,32.58744812011719,2.5262527465820313,17089679360,11274289152,7323578368,0
200,1738830418891,2915.608642578125,3200,1,0.99375,43266.54641723633,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,14.994171142578125,1.8550033569335938,22.80231475830078,3.2289657592773438,17.09636688232422,29.793792724609375,16.826873779296875,4.391685485839844,0.34613800048828125,99.97665405273438,9.758598327636719,25.935890197753906,19.768043518066406,1.1342239379882813,20.729270935058594,7.6201019287109375,17089679360,11274289152,7335477248,0
200,1738830419092,2535.746780395508,3200,1,0.9875,43270.77474975586,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,9.288665771484375,2.7784194946289063,20.615234375,0.27030181884765625,15.548255920410156,1.2206268310546875,4.220390319824219,3.5119171142578125,0.34801483154296875,99.92716217041016,21.886260986328125,6.75457763671875,13.267807006835938,2.1150741577148438,19.17833709716797,5.0281219482421875,17089679360,11274289152,7341719552,0
199,1738830419293,2916.156295776367,3200,1,0.99375,43275.65158081055,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,31.97277069091797,3.6606521606445313,30.991622924804688,4.207832336425781,20.420455932617188,6.481651306152344,26.236114501953125,8.083541870117188,8.823295593261719,83.84574127197266,33.4072265625,3.8472900390625,16.900146484375,4.001495361328125,28.422164916992188,7.9598236083984375,17089679360,11274289152,7353950208,0
