Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1738831772985,5712.472427368164,3200,1,0.9875,109.0274658203125,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2.7075042724609375,0,4.2820281982421875,0,8.621818542480469,0,7.011871337890625,0.20599365234375,7.4290618896484375,0,0.19884490966796875,0,0.1539306640625,0,3.6902008056640625,1.1585617065429688,17089679360,11274289152,6884978688,0
199,1738831772986,5712.489273071289,3200,1,1,109.12336730957031,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,10.076835632324219,8.360137939453125,30.925514221191406,8.533477783203125,12.541877746582031,8.530143737792969,8.518478393554688,8.521812438964844,96.52327728271484,8.356803894042969,8.366806030273438,8.358474731445313,8.356803894042969,8.360137939453125,8.306808471679688,8.311805725097656,17089679360,11274289152,6886359040,0
200,1738831773185,5712.530380249023,3200,1,1,111.23320007324219,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,1.67462158203125,0.19142913818359375,0.18717193603515625,0.13988494873046875,0.15174102783203125,0.7213287353515625,0.3122406005859375,0.12722015380859375,2.6221084594726563,0.21094512939453125,0.365692138671875,0.3263092041015625,0.5291976928710938,0.24468231201171875,1.8302688598632813,0.13687896728515625,17089679360,11274289152,6886416384,0
200,1738831773385,5712.586929321289,3200,1,0.9812500000000001,113.88456726074219,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2.615631103515625,0.5932083129882813,4.975761413574219,29.36700439453125,5.105552673339844,2.5971145629882813,6.9285125732421875,0.30315399169921875,6.527854919433594,0.33933258056640625,0.43582916259765625,0.7444992065429688,0.41336822509765625,0.3010406494140625,2.50201416015625,1.1008682250976563,17089679360,11274289152,6919700480,0
200,1738831773586,3503.284194946289,3200,1,0.9812500000000001,118.19786071777344,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,26.12982940673828,5.747352600097656,7.624244689941406,66.93199157714844,31.50360870361328,7.822273254394531,35.18635559082031,3.4469375610351563,24.522789001464844,1.5996856689453125,13.531547546386719,1.3902053833007813,8.768081665039063,0.7541427612304688,25.278846740722656,0.9818115234375,17089679360,11274289152,6935187456,0
200,1738831773787,5349.201156616211,3200,1,0.9812500000000001,123.76158142089844,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,43.6681022644043,0.8402328491210938,6.0510101318359375,76.58187103271484,78.6879653930664,4.3690643310546875,71.93395233154297,3.0949859619140625,27.80986785888672,2.03253173828125,29.440032958984375,0.7399826049804688,11.545654296875,0.6844406127929688,41.74250030517578,2.3679733276367188,17089679360,11274289152,6966599680,0
200,1738831773989,4146.254608154297,3200,1,0.9812500000000001,130.11817932128906,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,53.230350494384766,6.7801971435546875,23.6578369140625,60.214378356933594,85.97119903564453,12.304931640625,79.32289123535156,10.459869384765625,39.15602493286133,13.015472412109375,34.9913330078125,14.805908203125,44.213897705078125,6.699951171875,50.01335906982422,22.683509826660156,17089679360,11274289152,6981550080,0
199,1738831774189,5713.850448608398,3200,1,0.9875,135.62783813476563,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,35.42401123046875,8.298431396484375,24.8897705078125,65.02865600585938,44.556373596191406,11.063034057617188,41.57442855834961,14.558906555175781,27.38799285888672,15.416549682617188,26.628135681152344,10.700775146484375,37.921627044677734,3.4745635986328125,39.86385726928711,12.458480834960938,17089679360,11274289152,6983016448,0
200,1738831774390,4147.016143798828,3200,1,0.9875,139.95025634765625,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,10.556350708007813,2.1745986938476563,1.88299560546875,92.46267700195313,22.97840118408203,7.506385803222656,37.53366470336914,7.385719299316406,18.858474731445313,1.9848098754882813,2.9174575805664063,6.728630065917969,8.6629638671875,0.8146896362304688,6.925422668457031,17.953216552734375,17089679360,11274289152,7028707328,0
199,1738831774591,5714.230453491211,3200,1,0.99375,144.44203186035156,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,24.406143188476563,3.8194351196289063,4.265068054199219,82.3988265991211,22.4482421875,24.18206024169922,22.332664489746094,11.343330383300781,10.009071350097656,3.269622802734375,4.292778015136719,0.6359329223632813,6.968955993652344,0.45473480224609375,15.361968994140625,20.85467529296875,17089679360,11274289152,7074353152,0
