Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1738831290129,3121.6336059570313,3200,1,0.9812500000000001,57106.87905883789,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,100,0,72.3614273071289,0,27.223709106445313,0.22107696533203125,8.392143249511719,0,28.91424560546875,0,7.949440002441406,0,0.34405517578125,0,13.237258911132813,19.191299438476563,17089679360,11274289152,6896836608,0
200,1738831290129,3121.6456756591797,3200,1,0.99375,57106.993743896484,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,100,0,0,100,0,0,0,0,24.433860778808594,0,0,0,0,0,98.5396499633789,0,17089679360,11274289152,6898749440,0
200,1738831290330,4779.812438964844,3200,1,0.9875,57110.114685058594,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,7.7908172607421875,0.5879440307617188,53.178550720214844,6.264091491699219,0.5520248413085938,7.7926177978515625,6.680641174316406,0.49034881591796875,3.6576690673828125,0.6155929565429688,0.6548080444335938,0.2822723388671875,0.4189910888671875,0.4679412841796875,2.122161865234375,25.963302612304688,17089679360,11274289152,6886621184,0
200,1738831290531,4779.84309387207,3200,1,0.9875,57113.60371398926,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,1.6583251953125,0.20580291748046875,69.49530029296875,0.1318817138671875,1.3582534790039063,0.12949371337890625,0.6155776977539063,0.1254119873046875,2.541046142578125,0.3155975341796875,0.33758544921875,3.467041015625,17.186874389648438,0.32868194580078125,0.16162872314453125,65.0391845703125,17089679360,11274289152,6894329856,0
200,1738831290732,3663.1917114257813,3200,1,0.99375,57116.78062438965,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,4.261924743652344,0.1646270751953125,33.95903778076172,5.3806304931640625,41.728759765625,0.0249786376953125,4.674308776855469,0.07183837890625,2.8624801635742188,0.18283843994140625,0.35765838623046875,0.141693115234375,0.2564697265625,0.149505615234375,1.742431640625,29.16114044189453,17089679360,11274289152,6892769280,0
200,1738831290933,4779.8800048828125,3200,1,1,57119.78511047363,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2.6404037475585938,0.1310577392578125,40.65907669067383,15.455528259277344,41.16095733642578,0.0811004638671875,2.1028518676757813,0.5093917846679688,2.385955810546875,0.2161865234375,0.25524139404296875,0.20732879638671875,0.3407745361328125,0.13782501220703125,2.619903564453125,5.4168853759765625,17089679360,11274289152,6894297088,0
200,1738831291134,4691.868621826172,3200,1,0.9875,57122.805236816406,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,8.07928466796875,0,18.342613220214844,23.4794921875,17.318946838378906,0,6.878471374511719,0,2.7432861328125,0,0,5.468925476074219,0,0,5.131439208984375,19.770652770996094,17089679360,11274289152,6896783360,0
200,1738831291334,4779.963195800781,3200,1,0.99375,57125.558181762695,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,4.538360595703125,0.2584686279296875,18.77399444580078,24.939552307128906,2.821533203125,3.1513900756835938,5.717216491699219,1.3275527954101563,5.884552001953125,0.01232147216796875,0.34719085693359375,0.09378814697265625,0.445892333984375,0,2.330902099609375,9.5694580078125,17089679360,11274289152,6902886400,0
200,1738831291535,3123.722427368164,3200,1,0.9875,57129.15684509277,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,23.308990478515625,0.11865234375,4.328277587890625,41.503170013427734,52.826358795166016,0.10765838623046875,13.684211730957031,0.0448760986328125,3.2339324951171875,0,0.5656509399414063,0.03293609619140625,0.05059814453125,0.19049072265625,9.840499877929688,29.851585388183594,17089679360,11274289152,6927740928,0
200,1738831291736,3124.0569610595703,3200,1,0.9812500000000001,57134.15885925293,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,44.59943389892578,2.31195068359375,60.90414047241211,29.451095581054688,53.853946685791016,1.0141525268554688,38.70802307128906,3.180145263671875,17.80108642578125,12.85205078125,22.649131774902344,0.9022750854492188,18.7122802734375,6.467674255371094,30.24913787841797,8.296226501464844,17089679360,11274289152,6955483136,0
