Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1738831654005,3153.943862915039,3200,1,0.9875,63507.42660522461,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,9.716667175292969,0,66.24278259277344,0,14.828330993652344,0,0,0,53.42333221435547,0,0,63.89611053466797,11.572219848632813,0,25.4022216796875,13.196662902832031,17089679360,11274289152,6757789696,0
199,1738831654006,5257.793426513672,3200,1,0.99375,63507.55563354492,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,23.507347106933594,0.3000335693359375,72.1722183227539,0.25335693359375,0.27669525146484375,0.6500625610351563,0.5650558471679688,0.2866973876953125,30.009666442871094,3.8953857421875,0.6333999633789063,100,0.541717529296875,0.46504974365234375,21.17711639404297,11.541152954101563,17089679360,11274289152,6757703680,0
199,1738831654206,5257.882736206055,3200,1,0.9875,63511.27870178223,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,18.547286987304688,0.32253265380859375,3.0287017822265625,0,3.15484619140625,0.0084075927734375,0.27973175048828125,0.51611328125,2.286865234375,70.97456359863281,16.497451782226563,16.437530517578125,22.638145446777344,0.20909881591796875,10.142852783203125,0.5607147216796875,17089679360,11274289152,6784192512,0
200,1738831654406,5257.940048217773,3200,1,1,63513.790130615234,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2.1339187622070313,0.22104644775390625,2.5013427734375,0.20825958251953125,1.7018051147460938,0.20951080322265625,0.27208709716796875,0.2169036865234375,0.5059738159179688,7.601280212402344,1.4427566528320313,6.526603698730469,1.8649749755859375,0.261199951171875,1.20068359375,0.2648468017578125,17089679360,11274289152,6792597504,0
200,1738831654606,3397.240951538086,3200,1,0.9875,63518.71115112305,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,37.08351516723633,1.1651687622070313,20.349876403808594,1.26544189453125,26.18750762939453,0.3221588134765625,10.278556823730469,4.0195465087890625,3.99432373046875,78.93295288085938,43.309898376464844,21.678390502929688,40.44325256347656,0.7912673950195313,37.373443603515625,3.1284637451171875,17089679360,11274289152,6809522176,0
200,1738831654807,3155.126922607422,3200,1,0.9875,63524.13442993164,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,67.76163482666016,2.2481918334960938,38.02236557006836,0.7119140625,11.922706604003906,1.580078125,4.78033447265625,6.363365173339844,1.792633056640625,89.92402648925781,38.494625091552734,40.50565719604492,50.49153518676758,0.62310791015625,32.58136749267578,2.6230926513671875,17089679360,11274289152,6832779264,0
200,1738831655008,3397.917190551758,3200,1,0.9875,63529.24850463867,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,36.7020263671875,8.507316589355469,13.727752685546875,2.3318252563476563,30.293869018554688,4.406425476074219,12.897254943847656,9.39666748046875,5.776130676269531,81.50626373291016,19.858436584472656,47.24547576904297,34.77361297607422,0.8795547485351563,31.355445861816406,6.9089508056640625,17089679360,11274289152,6846373888,0
199,1738831655209,5258.896911621094,3200,1,1.0375,63533.400466918945,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,6.31072998046875,38.14930725097656,14.723533630371094,0.14707183837890625,11.108573913574219,9.114967346191406,11.858558654785156,6.1207427978515625,3.5884170532226563,68.7248764038086,27.028915405273438,2.5186538696289063,9.1602783203125,0.2014007568359375,2.751007080078125,12.053703308105469,17089679360,11274289152,6903947264,0
200,1738831655409,5259.001953125,3200,1,0.99375,63537.1374206543,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,12.849090576171875,2.69659423828125,5.4385528564453125,0.20732879638671875,4.530540466308594,0.15972137451171875,4.134521484375,5.313606262207031,0.4217529296875,77.02409362792969,12.716545104980469,23.78668975830078,13.538673400878906,0.1279449462890625,8.449241638183594,2.7032852172851563,17089679360,11274289152,6950641664,0
200,1738831655610,3298.152114868164,3200,1,0.9812500000000001,63541.80139160156,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,33.31694793701172,0.15482330322265625,13.548103332519531,6.5815887451171875,9.996139526367188,28.922157287597656,17.78205108642578,5.807121276855469,11.360305786132813,57.95033645629883,25.5411376953125,8.282371520996094,26.29570770263672,0.23880767822265625,9.072563171386719,25.759742736816406,17089679360,11274289152,6965706752,0
