Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744882859646,32535.597259521484,2200,2,0.8375,28294.891830444336,2200,2,0.8375,14156.961532592773,2200,2,0.8375,21364.89047241211,2200,2,0.8375,24990.734436035156,2200,2,0.8375,30041.245559692383,2200,2,0.8375,13222.439834594727,2200,2,0.8375,39179.84085083008,2200,2,0.8375,63855.2356262207,2128,3192,2157,2123,2020,2195,2066,2195,2087,1957,2016,2194,2187,1954,2108,2180,3.22580623626709,3.22580623626709,0,6.060606002807617,6.25,3.22580623626709,3.125,0,3.125,3.22580623626709,12.90322494506836,6.25,3.22580623626709,0,3.125,3.22580623626709,16665841664,4294963200,911355904,248774656
1000,1744882859647,32535.597610473633,2200,2,0.8375,28294.894241333008,2200,2,0.8375,14156.96304321289,2200,2,0.8375,21364.890625,2200,2,0.8375,24990.73764038086,2200,2,0.8375,30041.245712280273,2200,2,0.8375,13222.439987182617,2200,2,0.8375,39179.841049194336,2200,2,0.8375,63855.26184082031,2128,3192,2157,2123,2020,2195,2066,2195,2087,1957,2016,2194,2187,1954,2108,2180,3.22580623626709,3.22580623626709,0,6.060606002807617,6.25,3.22580623626709,3.125,0,3.125,3.22580623626709,12.90322494506836,6.25,3.22580623626709,0,3.125,3.22580623626709,16665841664,4294963200,911355904,248774656
1000,1744882860647,32535.599609375,2133.333333333333,2,0.88125,28294.89877319336,3200,1,0.95625,14156.967651367188,2000,2,0.95625,21364.89338684082,2000,2,0.95625,24990.75225830078,2200,2,0.95625,30041.24789428711,2200,2,0.95625,13222.442520141602,2200,2,0.95625,39179.84344482422,2200,2,0.95625,63861.5037689209,2128,3192,2157,2123,2020,2195,2066,2195,2087,1957,2016,2194,2187,1954,2108,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911355904,248774656
1000,1744882861648,32535.603073120117,2200,2,0.8375,28294.90266418457,2200,2,0.8375,14156.970962524414,2200,2,0.8375,21364.895874023438,2200,2,0.8375,24990.763778686523,2200,2,0.8375,30041.255737304688,2200,2,0.8375,13222.44741821289,2200,2,0.8375,39179.845794677734,2200,2,0.8375,63867.68273925781,2128,3192,2157,2123,2020,2195,2066,2195,2087,1957,2016,2194,2187,1954,2108,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911355904,248774656
1000,1744882862648,32535.606506347656,2000,2,0.9625,28294.90640258789,3000,2,0.9625,14156.975326538086,2000,2,0.9625,21364.900512695313,2000,2,0.9625,24990.772583007813,2200,2,0.9625,30041.25929260254,2200,2,0.9625,13222.450790405273,2200,2,0.9625,39179.849670410156,2200,2,0.9625,63873.85493469238,2128,3192,2157,2123,2020,2195,2066,2195,2087,1957,2016,2194,2187,1954,2108,2180,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,911355904,248774656
1000,1744882863649,32535.61016845703,2133.333333333333,2,0.8125,28294.910873413086,3200,1,0.8125,14156.979690551758,2133.333333333333,2,0.8125,21364.904891967773,2133.333333333333,2,0.8125,24990.781799316406,2200,2,0.95625,30041.26203918457,2200,2,0.95625,13222.454223632813,2200,2,0.95625,39179.85316467285,2200,2,0.95625,63880.05743408203,2128,3192,2157,2123,2020,2195,2066,2195,2087,1957,2016,2194,2187,1954,2108,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911355904,248774656
1000,1744882864649,32535.612274169922,2200,2,0.8375,28294.913513183594,2200,2,0.8375,14156.982299804688,2200,2,0.8375,21364.907028198242,2200,2,0.8375,24990.788040161133,2200,2,0.8375,30041.264083862305,2200,2,0.8375,13222.456329345703,2200,2,0.8375,39179.85508728027,2200,2,0.84375,63886.12532043457,2128,3192,2157,2123,2020,2195,2066,2195,2087,1957,2016,2194,2187,1954,2108,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,912330752,248774656
1000,1744882865650,32535.613998413086,2200,2,0.8125,28294.915634155273,2200,2,0.8375,14156.984405517578,2200,2,0.8375,21364.908416748047,2200,2,0.8375,24990.79473876953,2200,2,0.8375,30041.265380859375,2200,2,0.8375,13222.457595825195,2200,2,0.8375,39179.85632324219,2200,2,0.8375,63892.169677734375,2128,3192,2157,2123,2020,2195,2066,2195,2087,1957,2016,2194,2187,1954,2108,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,912330752,248774656
1000,1744882866650,32535.61573791504,2000,2,0.9625,28294.917388916016,3000,2,0.9625,14156.9873046875,2000,2,0.9625,21364.910110473633,2000,2,0.9625,24990.80113220215,2200,2,0.9625,30041.26789855957,2200,2,0.95625,13222.459503173828,2200,2,0.95625,39179.85997009277,2200,2,0.95625,63898.27648925781,2128,3192,2157,2123,2020,2195,2066,2195,2087,1957,2016,2194,2187,1954,2108,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,912330752,248774656
1000,1744882867651,32535.619735717773,2200,2,0.8375,28294.92301940918,2200,2,0.8375,14156.994033813477,2200,2,0.8375,21364.913330078125,2200,2,0.8375,24990.808349609375,2200,2,0.8375,30041.27081298828,2200,2,0.8375,13222.462432861328,2200,2,0.8375,39179.863037109375,2200,2,0.8375,63904.42167663574,2128,3192,2157,2123,2020,2195,2066,2195,2087,1957,2016,2194,2187,1954,2108,2180,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,912322560,248774656
