Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745074914020,28280.780197143555,2200,2,0.8375,43534.68701171875,2200,2,0.8375,20206.945419311523,2200,2,0.8375,46110.87185668945,2200,2,0.8375,1763.5166778564453,2200,2,0.8375,51964.47805786133,2200,2,0.8375,28425.438049316406,2200,2,0.8375,7172.620635986328,2200,2,0.8375,51517.19444274902,2136,1970,2192,2186,2178,2159,2133,2168,2179,2180,2194,2188,2184,2186,2178,2145,0,0,0,0,3.4482758045196533,0,0,0,3.3333334922790527,6.6666669845581055,3.3333334922790527,6.6666669845581055,10.344827651977539,0,0,3.3333334922790527,16665841664,4294963200,884129792,295960576
1000,1745074914020,28280.780364990234,2200,2,0.8375,43534.6897277832,2200,2,0.8375,20206.946563720703,2200,2,0.8375,46110.872009277344,2200,2,0.8375,1763.5168151855469,2200,2,0.8375,51964.47816467285,2200,2,0.8375,28425.439697265625,2200,2,0.8375,7172.620880126953,2200,2,0.8375,51517.2068939209,2136,1970,2192,2186,2178,2159,2133,2168,2179,2180,2194,2188,2184,2186,2178,2145,0,0,0,0,3.4482758045196533,0,0,0,3.3333334922790527,6.6666669845581055,3.3333334922790527,6.6666669845581055,10.344827651977539,0,0,3.3333334922790527,16665841664,4294963200,884129792,295960576
1000,1745074915021,28280.78221130371,2000,2,0.9625,43534.69471740723,3000,2,0.9625,20206.950469970703,2000,2,0.9625,46110.874435424805,2000,2,0.9625,1763.5183410644531,2200,2,0.9625,51964.48034667969,2200,2,0.9625,28425.474365234375,2200,2,0.9625,7172.632019042969,2200,2,0.9625,51523.6251373291,2136,1970,2192,2186,2178,2159,2133,2168,2179,2180,2194,2188,2184,2186,2178,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,884387840,295960576
1000,1745074916021,28280.78630065918,2200,2,0.8125,43534.70085144043,2200,2,0.8125,20206.954696655273,2200,2,0.8125,46110.879135131836,2200,2,0.8375,1763.5257873535156,2200,2,0.8375,51964.48387145996,2200,2,0.8375,28425.482940673828,2200,2,0.8375,7172.635238647461,2200,2,0.8375,51529.73538208008,2136,1970,2192,2186,2178,2159,2133,2168,2179,2180,2194,2188,2184,2186,2178,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,884252672,295960576
1000,1745074917022,28280.7882232666,2000,2,0.9625,43534.70495605469,3000,2,0.9625,20206.95635986328,2000,2,0.9625,46110.881256103516,2000,2,0.9625,1763.527359008789,2200,2,0.9625,51964.48570251465,2200,2,0.9625,28425.49087524414,2200,2,0.9625,7172.636810302734,2200,2,0.91875,51535.76388549805,2136,1970,2192,2186,2178,2159,2133,2168,2179,2180,2194,2188,2184,2186,2178,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,884252672,295960576
1000,1745074918022,28280.791625976563,2175,2,0.88125,43534.71340942383,4350,0,0.88125,20206.959854125977,2000,2,1.5250000000000001,46110.88674926758,2000,2,1.5250000000000001,1763.5331726074219,2200,2,1.5250000000000001,51964.489669799805,2200,2,1.5250000000000001,28425.501953125,2200,2,1.5250000000000001,7172.641189575195,2200,2,1.5250000000000001,51541.866622924805,2136,1970,2192,2186,2178,2159,2133,2168,2179,2180,2194,2188,2184,2186,2178,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,883228672,295960576
1000,1745074919023,28280.794815063477,2200,2,0.8375,43534.717056274414,2200,2,0.8375,20206.96273803711,2200,2,0.8375,46110.88961791992,2200,2,0.8375,1763.5376586914063,2200,2,0.8375,51964.49575805664,2200,2,0.88125,28425.511993408203,2200,2,0.88125,7172.644927978516,2200,2,0.88125,51547.95881652832,2136,1970,2192,2186,2178,2159,2133,2168,2179,2180,2194,2188,2184,2186,2178,2145,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,16665841664,4294963200,883228672,295960576
1000,1745074920023,28280.7970123291,2200,2,0.8375,43534.71961975098,2200,2,0.8375,20206.96499633789,2200,2,0.8375,46110.8924407959,2200,2,0.8375,1763.541732788086,2200,2,0.8375,51964.49806213379,2200,2,0.8375,28425.517974853516,2200,2,0.8375,7172.64697265625,2200,2,0.8375,51553.979415893555,2136,1970,2192,2186,2178,2159,2133,2168,2179,2180,2194,2188,2184,2186,2178,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882257920,295960576
1000,1745074921024,28280.79948425293,2200,2,0.8375,43534.72506713867,2200,2,0.8375,20206.968231201172,2200,2,0.8375,46110.902587890625,2200,2,0.86875,1763.5435180664063,2200,2,0.86875,51964.50045776367,2200,2,0.86875,28425.525024414063,2200,2,0.86875,7172.648895263672,2200,2,0.86875,51559.99821472168,2136,1970,2192,2186,2178,2159,2133,2168,2179,2180,2194,2188,2184,2186,2178,2145,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882257920,295960576
1000,1745074922024,28280.80145263672,2133.333333333333,2,0.925,43534.72752380371,3200,1,0.925,20206.970504760742,2133.333333333333,2,0.925,46110.90557861328,2133.333333333333,2,0.925,1763.5476531982422,2200,2,0.925,51964.5027923584,2200,2,0.925,28425.530242919922,2200,2,0.925,7172.651397705078,2200,2,0.925,51566.00212097168,2136,1970,2192,2186,2178,2159,2133,2168,2179,2180,2194,2188,2184,2186,2178,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,881405952,295960576
