Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744867687273,63797.06085205078,2133.333333333333,2,0.9125,9510.40054321289,3200,1,0.9125,444.77642822265625,2000,2,0.95625,7369.435028076172,2000,2,0.95625,61716.63996887207,2200,2,0.95625,13893.900833129883,2200,2,0.95625,1323.1011657714844,2200,2,0.95625,20970.77801513672,2200,2,0.95625,23777.751419067383,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,3.125,6.25,3.125,0,6.060606002807617,6.25,3.125,3.125,3.22580623626709,3.125,3.125,6.45161247253418,3.125,3.125,0,0,16665841664,4294963200,925921280,245366784
1000,1744867687274,63797.06134033203,2133.333333333333,2,0.9125,9510.400680541992,3200,1,0.9125,444.7765655517578,2133.333333333333,2,0.9125,7369.435256958008,2000,2,0.9125,61716.64018249512,2200,2,0.95625,13893.905059814453,2200,2,0.95625,1323.1036224365234,2200,2,0.95625,20970.778228759766,2200,2,0.95625,23777.78009033203,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,3.125,6.25,3.125,0,6.060606002807617,6.25,3.125,3.125,3.22580623626709,3.125,3.125,6.45161247253418,3.125,3.125,0,0,16665841664,4294963200,925921280,245366784
1000,1744867688274,63797.0680847168,2200,2,0.8375,9510.404983520508,2200,2,0.8375,444.7801055908203,2200,2,0.8375,7369.438323974609,2200,2,0.86875,61716.64393615723,2200,2,0.86875,13893.929931640625,2200,2,0.86875,1323.1084594726563,2200,2,0.86875,20970.782348632813,2200,2,0.86875,23784.098602294922,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,926470144,245366784
1000,1744867689274,63797.06977844238,2200,2,0.8375,9510.407272338867,2200,2,0.8375,444.7820587158203,2200,2,0.8375,7369.439804077148,2200,2,0.8375,61716.64602661133,2200,2,0.8375,13893.93392944336,2200,2,0.8375,1323.1098175048828,2200,2,0.8375,20970.78546142578,2200,2,0.8375,23790.160766601563,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,926470144,245366784
1000,1744867690275,63797.07180786133,2200,2,0.8125,9510.409698486328,2200,2,0.8125,444.7850799560547,2200,2,0.8125,7369.441741943359,2200,2,0.8375,61716.647872924805,2200,2,0.8375,13893.940521240234,2200,2,0.8375,1323.1131439208984,2200,2,0.8375,20970.7890625,2200,2,0.8375,23796.282318115234,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16665841664,4294963200,926470144,245366784
1000,1744867691275,63797.07371520996,2000,2,0.9625,9510.41244506836,3000,2,0.9625,444.7871398925781,2000,2,0.9625,7369.443710327148,2000,2,0.9625,61716.64971923828,2200,2,0.9625,13893.949523925781,2200,2,0.9625,1323.1150360107422,2200,2,0.9625,20970.793060302734,2200,2,0.9125,23802.4141998291,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,926470144,245366784
1000,1744867692276,63797.07662963867,2200,2,0.8125,9510.41520690918,2200,2,0.8375,444.7892150878906,2200,2,0.8375,7369.445541381836,2200,2,0.8375,61716.65165710449,2200,2,0.8375,13893.954391479492,2200,2,0.8375,1323.1172790527344,2200,2,0.8375,20970.79508972168,2200,2,0.8375,23808.4608001709,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,924774400,245366784
1000,1744867693276,63797.07969665527,2200,2,0.84375,9510.419815063477,2200,2,0.84375,444.7915954589844,2200,2,0.84375,7369.44775390625,2200,2,0.84375,61716.65507507324,2200,2,0.89375,13893.961959838867,2200,2,0.89375,1323.1194458007813,2200,2,0.89375,20970.798873901367,2200,2,0.89375,23814.570098876953,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,924033024,245366784
1000,1744867694277,63797.082763671875,2000,2,0.9625,9510.423248291016,3000,2,0.9625,444.7942810058594,2000,2,0.9625,7369.4503173828125,2000,2,0.9625,61716.65946960449,2200,2,0.9625,13893.96859741211,2200,2,0.9625,1323.1222534179688,2200,2,0.9625,20970.802459716797,2200,2,0.9625,23820.664016723633,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,922386432,245366784
1000,1744867695277,63797.084533691406,2133.333333333333,2,0.88125,9510.42593383789,3200,1,0.88125,444.7965087890625,2133.333333333333,2,0.88125,7369.452362060547,2133.333333333333,2,0.9625,61716.661361694336,2200,2,0.9625,13893.977020263672,2200,2,0.9625,1323.1240844726563,2200,2,0.9625,20970.806060791016,2200,2,0.9625,23826.76316833496,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,922386432,245366784
1000,1744867696278,63797.087829589844,2200,2,0.84375,9510.429748535156,2200,2,0.84375,444.79942321777344,2200,2,0.84375,7369.455215454102,2200,2,0.84375,61716.66456604004,2200,2,0.84375,13893.985977172852,2200,2,0.84375,1323.128677368164,2200,2,0.84375,20970.81021118164,2200,2,0.85,23832.864852905273,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,16665841664,4294963200,919302144,245366784
1000,1744867697278,63797.08930969238,2200,2,0.8125,9510.431350708008,2200,2,0.8125,444.8008575439453,2200,2,0.85,7369.457260131836,2200,2,0.85,61716.66603088379,2200,2,0.85,13893.99087524414,2200,2,0.85,1323.1302642822266,2200,2,0.85,20970.81300354004,2200,2,0.85,23838.900177001953,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,919302144,245366784
1000,1744867698279,63797.09434509277,2200,2,0.84375,9510.434356689453,2200,2,0.84375,444.80287170410156,2200,2,0.84375,7369.460861206055,2200,2,0.84375,61716.66961669922,2200,2,0.89375,13893.999481201172,2200,2,0.89375,1323.1338806152344,2200,2,0.89375,20970.815994262695,2200,2,0.89375,23845.047943115234,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916602880,245366784
1000,1744867699279,63797.09696960449,2200,2,0.85,9510.437484741211,2200,2,0.85,444.80517578125,2200,2,0.85,7369.463317871094,2200,2,0.85,61716.6717376709,2200,2,0.85,13894.005783081055,2200,2,0.85,1323.1361389160156,2200,2,0.85,20970.820037841797,2200,2,0.85,23851.175720214844,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916590592,245366784
1000,1744867700280,63797.098861694336,2200,2,0.8125,9510.440139770508,2200,2,0.8375,444.80706787109375,2200,2,0.8375,7369.464828491211,2200,2,0.8375,61716.67333984375,2200,2,0.8375,13894.01106262207,2200,2,0.8375,1323.137954711914,2200,2,0.8375,20970.82147216797,2200,2,0.8375,23857.215072631836,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,914223104,245366784
1000,1744867701280,63797.10009765625,2000,2,0.9625,9510.442001342773,3000,2,0.9625,444.8087158203125,2000,2,0.9625,7369.466567993164,2000,2,0.9625,61716.674575805664,2200,2,0.9625,13894.017211914063,2200,2,0.9625,1323.1391906738281,2200,2,0.94375,20970.82484436035,2200,2,0.94375,23863.261795043945,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,913604608,245366784
1000,1744867702281,63797.103439331055,2200,2,0.8125,9510.44595336914,2200,2,0.85,444.81138610839844,2200,2,0.85,7369.469177246094,2200,2,0.85,61716.679763793945,2200,2,0.85,13894.024795532227,2200,2,0.85,1323.144790649414,2200,2,0.85,20970.829299926758,2200,2,0.85,23869.368362426758,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911540224,245366784
1000,1744867703281,63797.10549926758,2200,2,0.84375,9510.44906616211,2200,2,0.84375,444.81341552734375,2200,2,0.84375,7369.471115112305,2200,2,0.84375,61716.68151855469,2200,2,0.84375,13894.031768798828,2200,2,0.88125,1323.1465606689453,2200,2,0.88125,20970.833053588867,2200,2,0.88125,23875.448013305664,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,911540224,245366784
1000,1744867704282,63797.10969543457,2200,2,0.85,9510.451461791992,2200,2,0.85,444.81585693359375,2200,2,0.85,7369.472885131836,2200,2,0.85,61716.68354797363,2200,2,0.85,13894.036483764648,2200,2,0.85,1323.1485443115234,2200,2,0.85,20970.834869384766,2200,2,0.85,23881.50828552246,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,909733888,245366784
1000,1744867705282,63797.111877441406,2133.333333333333,2,0.88125,9510.453994750977,3200,1,0.88125,444.81825256347656,2000,2,0.9625,7369.475540161133,2000,2,0.9625,61716.68600463867,2200,2,0.9625,13894.044876098633,2200,2,0.9625,1323.1506042480469,2200,2,0.9625,20970.838653564453,2200,2,0.9625,23887.57810974121,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,909729792,245366784
1000,1744867706283,63797.114669799805,2200,2,0.85,9510.458526611328,2200,2,0.85,444.82183837890625,2200,2,0.85,7369.479156494141,2200,2,0.85,61716.69174194336,2200,2,0.9,13894.055969238281,2200,2,0.9,1323.1570739746094,2200,2,0.9,20970.84245300293,2200,2,0.9,23893.688034057617,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,908148736,245366784
1000,1744867707283,63797.116775512695,2000,2,0.9625,9510.461074829102,3000,2,0.9625,444.8238067626953,2000,2,0.9625,7369.48095703125,2000,2,0.9625,61716.69334411621,2200,2,0.9625,13894.062728881836,2200,2,0.9625,1323.1588592529297,2200,2,0.9625,20970.846145629883,2200,2,0.9625,23899.765731811523,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,908148736,245366784
1000,1744867708284,63797.11918640137,2175,2,0.9125,9510.464660644531,4350,0,0.9125,444.82762145996094,2175,2,0.9125,7369.484146118164,2175,2,0.9125,61716.696533203125,2200,2,0.9125,13894.081176757813,2200,2,0.9125,1323.1628875732422,2200,2,0.9125,20970.84831237793,2200,2,0.9125,23905.862182617188,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906768384,245366784
1000,1744867709284,63797.126556396484,2000,2,1.475,9510.468017578125,3000,2,1.475,444.83045959472656,2000,2,1.475,7369.486785888672,2000,2,1.475,61716.698669433594,2200,2,1.475,13894.095703125,2200,2,1.475,1323.1651916503906,2200,2,1.475,20970.85383605957,2200,2,1.475,23912.004623413086,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906768384,245366784
1000,1744867710285,63797.132873535156,2200,2,0.8125,9510.473236083984,2200,2,0.8125,444.83746337890625,2200,2,0.85,7369.489929199219,2200,2,0.85,61716.70506286621,2200,2,0.85,13894.10920715332,2200,2,0.85,1323.171371459961,2200,2,0.85,20970.857803344727,2200,2,0.85,23918.136688232422,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,905932800,245366784
1000,1744867711285,63797.13525390625,2200,2,0.84375,9510.476623535156,2200,2,0.84375,444.8396759033203,2200,2,0.84375,7369.492538452148,2200,2,0.84375,61716.7073059082,2200,2,0.84375,13894.117736816406,2200,2,0.84375,1323.173583984375,2200,2,0.8625,20970.861724853516,2200,2,0.8625,23924.235321044922,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905932800,245366784
1000,1744867712286,63797.13748168945,2200,2,0.8125,9510.479019165039,2200,2,0.85,444.84165954589844,2200,2,0.85,7369.493881225586,2200,2,0.85,61716.7088470459,2200,2,0.85,13894.123519897461,2200,2,0.85,1323.1752014160156,2200,2,0.85,20970.86375427246,2200,2,0.85,23930.266830444336,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905732096,245366784
1000,1744867713286,63797.138916015625,2000,2,0.95625,9510.481002807617,3000,2,0.95625,444.8445281982422,2000,2,0.95625,7369.496780395508,2000,2,0.95625,61716.71008300781,2200,2,0.95625,13894.12971496582,2200,2,0.95625,1323.1774291992188,2200,2,0.95625,20970.866775512695,2200,2,0.95625,23936.335845947266,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905732096,245366784
1000,1744867714287,63797.14155578613,2200,2,0.84375,9510.483963012695,2200,2,0.84375,444.8471984863281,2200,2,0.84375,7369.499923706055,2200,2,0.84375,61716.71578979492,2200,2,0.84375,13894.137649536133,2200,2,0.84375,1323.181625366211,2200,2,0.84375,20970.87046813965,2200,2,0.84375,23942.416015625,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905732096,245366784
1000,1744867715287,63797.14569091797,2133.333333333333,2,0.88125,9510.487518310547,3200,1,0.88125,444.85166931152344,2133.333333333333,2,0.88125,7369.503677368164,2000,2,0.88125,61716.718521118164,2200,2,0.9625,13894.146423339844,2200,2,0.9625,1323.187728881836,2200,2,0.9625,20970.875198364258,2200,2,0.9625,23948.57289123535,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905691136,245366784
1000,1744867716288,63797.14842224121,2000,2,1.50625,9510.490768432617,3000,2,1.50625,444.85455322265625,2000,2,1.50625,7369.506622314453,2000,2,1.50625,61716.72157287598,2200,2,1.50625,13894.159957885742,2200,2,1.50625,1323.193618774414,2200,2,1.50625,20970.87841796875,2200,2,1.50625,23954.65657043457,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905691136,245366784
1000,1744867717288,63797.152084350586,2000,2,1.475,9510.494415283203,3000,2,1.475,444.858154296875,2000,2,1.475,7369.512680053711,2000,2,1.475,61716.72431945801,2200,2,1.475,13894.175964355469,2200,2,1.475,1323.1963195800781,2200,2,1.475,20970.884155273438,2200,2,1.475,23960.75555419922,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905691136,245366784
1000,1744867718289,63797.154693603516,2200,2,0.85,9510.499237060547,2200,2,0.85,444.86248779296875,2200,2,0.85,7369.516036987305,2200,2,0.875,61716.73114013672,2200,2,0.875,13894.191345214844,2200,2,0.875,1323.2033081054688,2200,2,0.875,20970.887573242188,2200,2,0.875,23966.893280029297,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,905691136,245366784
1000,1744867719289,63797.1570892334,2000,2,0.9625,9510.502151489258,3000,2,0.9625,444.8649597167969,2000,2,0.9625,7369.518402099609,2000,2,0.9625,61716.733306884766,2200,2,0.9625,13894.198287963867,2200,2,0.9625,1323.2055053710938,2200,2,0.9625,20970.891571044922,2200,2,0.9625,23972.967575073242,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905691136,245366784
1000,1744867720290,63797.15919494629,2133.333333333333,2,0.88125,9510.504913330078,3200,1,0.88125,444.8672790527344,2133.333333333333,2,0.88125,7369.520065307617,2000,2,0.9625,61716.735092163086,2200,2,0.9625,13894.207946777344,2200,2,0.9625,1323.2073822021484,2200,2,0.9625,20970.89356994629,2200,2,0.9625,23979.001098632813,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905691136,245366784
1000,1744867721290,63797.1637878418,2200,2,0.84375,9510.507385253906,2200,2,0.84375,444.86900329589844,2200,2,0.84375,7369.521820068359,2200,2,0.84375,61716.73652648926,2200,2,0.84375,13894.214859008789,2200,2,0.84375,1323.2087707519531,2200,2,0.84375,20970.896865844727,2200,2,0.85,23985.054458618164,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905691136,245366784
1000,1744867722291,63797.17056274414,2200,2,0.8125,9510.50991821289,2200,2,0.85,444.87274169921875,2200,2,0.85,7369.523788452148,2200,2,0.85,61716.74020385742,2200,2,0.85,13894.221389770508,2200,2,0.85,1323.2125854492188,2200,2,0.85,20970.899444580078,2200,2,0.85,23991.135513305664,2126,1927,2129,3184,2145,2193,2193,2176,2129,3031,2195,2183,2154,2194,2104,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905691136,245366784
