Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745041168495,18900.08953857422,2200,2,0.84375,5686.698822021484,2200,2,0.84375,51465.90516662598,2200,2,0.84375,9489.758895874023,2200,2,0.84375,8816.048583984375,2200,2,0.84375,10556.86752319336,2200,2,0.84375,61578.63075256348,2200,2,0.84375,31012.56478881836,2200,2,0.84375,23223.926986694336,2171,2194,2082,2171,2194,2065,2182,1926,2190,2008,2195,2180,2185,1925,2179,2167,3.4482758045196533,0,6.896551609039307,7.407407283782959,0,6.896551609039307,3.5714287757873535,3.5714287757873535,3.4482758045196533,0,3.5714287757873535,6.896551609039307,6.896551609039307,6.896551609039307,0,3.5714287757873535,16665841664,4294963200,885321728,292290560
1000,1745041168495,18900.0897064209,2200,2,0.8375,5686.698974609375,2200,2,0.84375,51465.90544128418,2200,2,0.84375,9489.762145996094,2200,2,0.84375,8816.048751831055,2200,2,0.84375,10556.869232177734,2200,2,0.84375,61578.633041381836,2200,2,0.84375,31012.56494140625,2200,2,0.84375,23223.952178955078,2171,2194,2082,2171,2194,2065,2182,1926,2190,2008,2195,2180,2185,1925,2179,2167,3.4482758045196533,0,6.896551609039307,7.407407283782959,0,6.896551609039307,3.5714287757873535,3.5714287757873535,3.4482758045196533,0,3.5714287757873535,6.896551609039307,6.896551609039307,6.896551609039307,0,3.5714287757873535,16665841664,4294963200,885321728,292290560
1000,1745041169496,18900.091369628906,2133.333333333333,2,0.88125,5686.7005615234375,3200,1,0.9625,51465.90753173828,2000,2,0.9625,9489.768814086914,2000,2,0.9625,8816.05046081543,2200,2,0.9625,10556.87240600586,2200,2,0.9625,61578.63638305664,2200,2,0.9625,31012.566619873047,2200,2,0.9625,23230.017135620117,2171,2194,2082,2171,2194,2065,2182,1926,2190,2008,2195,2180,2185,1925,2179,2167,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,885575680,292290560
1000,1745041170496,18900.093811035156,2000,2,1.50625,5686.705474853516,3000,2,1.50625,51465.91174316406,2000,2,1.50625,9489.78140258789,2000,2,1.50625,8816.055969238281,2200,2,1.50625,10556.876449584961,2200,2,1.50625,61578.641052246094,2200,2,1.50625,31012.570281982422,2200,2,1.0875,23236.141677856445,2171,2194,2082,2171,2194,2065,2182,1926,2190,2008,2195,2180,2185,1925,2179,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,885104640,292290560
1000,1745041171497,18900.098510742188,2000,2,0.88125,5686.711364746094,3000,2,0.9625,51465.917236328125,2000,2,0.9625,9489.794250488281,2000,2,0.9625,8816.06071472168,2200,2,0.9625,10556.880767822266,2200,2,0.9625,61578.64514160156,2200,2,0.9625,31012.574417114258,2200,2,0.9625,23242.303756713867,2171,2194,2082,2171,2194,2065,2182,1926,2190,2008,2195,2180,2185,1925,2179,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,884473856,292290560
1000,1745041172497,18900.101959228516,2133.333333333333,2,0.9125,5686.713409423828,3200,1,0.9125,51465.919845581055,2133.333333333333,2,0.9125,9489.796447753906,2133.333333333333,2,0.9125,8816.062362670898,2200,2,0.9125,10556.882247924805,2200,2,0.9625,61578.64697265625,2200,2,0.9625,31012.57566833496,2200,2,0.9625,23248.319061279297,2171,2194,2082,2171,2194,2065,2182,1926,2190,2008,2195,2180,2185,1925,2179,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,883544064,292290560
1000,1745041173498,18900.109497070313,2200,2,0.84375,5686.716247558594,2200,2,0.84375,51465.923828125,2200,2,0.84375,9489.798095703125,2200,2,0.84375,8816.064056396484,2200,2,0.84375,10556.88542175293,2200,2,0.84375,61578.64859008789,2200,2,0.84375,31012.578643798828,2200,2,0.84375,23254.4041595459,2171,2194,2082,2171,2194,2065,2182,1926,2190,2008,2195,2180,2185,1925,2179,2167,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,881774592,292290560
1000,1745041174498,18900.113525390625,2133.333333333333,2,0.88125,5686.718353271484,3200,1,0.88125,51465.926681518555,2133.333333333333,2,0.88125,9489.800262451172,2133.333333333333,2,0.88125,8816.066223144531,2200,2,0.9625,10556.887115478516,2200,2,0.9625,61578.65138244629,2200,2,0.9625,31012.581497192383,2200,2,0.9625,23260.43128967285,2171,2194,2082,2171,2194,2065,2182,1926,2190,2008,2195,2180,2185,1925,2179,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,880963584,292290560
1000,1745041175499,18900.117752075195,2200,2,0.84375,5686.725204467773,2200,2,0.84375,51465.92892456055,2200,2,0.84375,9489.802169799805,2200,2,0.84375,8816.068740844727,2200,2,0.84375,10556.88931274414,2200,2,0.84375,61578.65344238281,2200,2,0.84375,31012.583709716797,2200,2,0.86875,23266.48194885254,2171,2194,2082,2171,2194,2065,2182,1926,2190,2008,2195,2180,2185,1925,2179,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,879415296,292290560
1000,1745041176499,18900.119506835938,2200,2,0.88125,5686.732528686523,2200,2,0.88125,51465.93174743652,2200,2,0.88125,9489.803817749023,2200,2,0.85,8816.070556640625,2200,2,0.85,10556.890747070313,2200,2,0.85,61578.6551361084,2200,2,0.85,31012.58529663086,2200,2,0.85,23272.50978088379,2171,2194,2082,2171,2194,2065,2182,1926,2190,2008,2195,2180,2185,1925,2179,2167,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878706688,292290560
