Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745060905282,63709.39370727539,2133.333333333333,2,0.95625,26288.340621948242,3200,1,0.95625,7750.993209838867,2133.333333333333,2,0.95625,31028.93881225586,2133.333333333333,2,0.95625,47408.6340637207,2200,2,0.95625,34078.666595458984,2200,2,0.95625,15051.570007324219,2200,2,0.95625,58213.71676635742,2200,2,0.95625,36682.420181274414,2197,2194,2171,2192,1938,2027,3169,2013,2195,2130,1946,2128,2903,2122,2195,2045,3.22580623626709,3.125,3.125,0,3.125,6.060606002807617,3.125,0,3.125,9.67741870880127,0,6.25,0,3.125,3.125,3.125,16665841664,4294963200,865832960,294387712
1000,1745060905282,63709.39424133301,2133.333333333333,2,0.95625,26288.340881347656,3200,1,0.95625,7750.993423461914,2133.333333333333,2,0.95625,31028.943115234375,2133.333333333333,2,0.95625,47408.63749694824,2200,2,0.95625,34078.66682434082,2200,2,0.95625,15051.570220947266,2200,2,0.95625,58213.7186126709,2200,2,0.95625,36682.44873046875,2197,2194,2171,2192,1938,2027,3169,2013,2195,2130,1946,2128,2903,2122,2195,2045,3.22580623626709,3.125,3.125,0,3.125,6.060606002807617,3.125,0,3.125,9.67741870880127,0,6.25,0,3.125,3.125,3.125,16665841664,4294963200,865832960,294387712
1000,1745060906283,63709.39659118652,2200,2,0.825,26288.343826293945,2200,2,0.8375,7750.996932983398,2200,2,0.8375,31028.958221435547,2200,2,0.8375,47408.643005371094,2200,2,0.8375,34078.66940307617,2200,2,0.8375,15051.572448730469,2200,2,0.8375,58213.72319030762,2200,2,0.8375,36688.59753417969,2197,2194,2171,2192,1938,2027,3169,2013,2195,2130,1946,2128,2903,2122,2195,2045,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,16665841664,4294963200,865832960,294387712
1000,1745060907283,63709.3991394043,2133.333333333333,2,0.9125,26288.347747802734,3200,1,0.9125,7750.999603271484,2133.333333333333,2,0.9125,31028.966049194336,2133.333333333333,2,0.9125,47408.64530944824,2200,2,0.9625,34078.67303466797,2200,2,0.9625,15051.57504272461,2200,2,0.9625,58213.725646972656,2200,2,0.9625,36694.72058105469,2197,2194,2171,2192,1938,2027,3169,2013,2195,2130,1946,2128,2903,2122,2195,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865832960,294387712
1000,1745060908284,63709.405014038086,2133.333333333333,2,0.9625,26288.350387573242,3200,1,0.9625,7751.001693725586,2133.333333333333,2,0.9625,31028.96826171875,2133.333333333333,2,0.9625,47408.64712524414,2200,2,0.9625,34078.67469787598,2200,2,0.9625,15051.577056884766,2200,2,0.9625,58213.72735595703,2200,2,0.9625,36700.72001647949,2197,2194,2171,2192,1938,2027,3169,2013,2195,2130,1946,2128,2903,2122,2195,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865918976,294387712
1000,1745060909284,63709.410552978516,2200,2,0.8125,26288.356536865234,2200,2,0.8125,7751.005142211914,2200,2,0.8125,31028.97117614746,2200,2,0.8125,47408.65347290039,2200,2,0.8375,34078.67686462402,2200,2,0.8375,15051.579071044922,2200,2,0.8375,58213.729248046875,2200,2,0.8375,36706.75679016113,2197,2194,2171,2192,1938,2027,3169,2013,2195,2130,1946,2128,2903,2122,2195,2045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865918976,294387712
1000,1745060910284,63709.418029785156,2200,2,0.84375,26288.359939575195,2200,2,0.84375,7751.008972167969,2200,2,0.84375,31028.97494506836,2200,2,0.84375,47408.65693664551,2200,2,0.84375,34078.679428100586,2200,2,0.84375,15051.583450317383,2200,2,0.84375,58213.731353759766,2200,2,0.85,36712.84588623047,2197,2194,2171,2192,1938,2027,3169,2013,2195,2130,1946,2128,2903,2122,2195,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865918976,294387712
1000,1745060911285,63709.42317199707,2133.333333333333,2,0.88125,26288.365997314453,3200,1,0.88125,7751.012130737305,2133.333333333333,2,0.88125,31028.977981567383,2133.333333333333,2,0.88125,47408.66160583496,2200,2,0.88125,34078.682388305664,2200,2,0.88125,15051.585906982422,2200,2,0.88125,58213.73588562012,2200,2,0.88125,36718.93360900879,2197,2194,2171,2192,1938,2027,3169,2013,2195,2130,1946,2128,2903,2122,2195,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865918976,294387712
1000,1745060912285,63709.42509460449,2200,2,0.8375,26288.374069213867,2200,2,0.8375,7751.0137939453125,2200,2,0.8375,31028.97998046875,2200,2,0.8375,47408.66296386719,2200,2,0.8375,34078.68362426758,2200,2,0.8875,15051.587341308594,2200,2,0.8875,58213.7373046875,2200,2,0.8875,36724.895599365234,2197,2194,2171,2192,1938,2027,3169,2013,2195,2130,1946,2128,2903,2122,2195,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864997376,294387712
1000,1745060913286,63709.430755615234,2133.333333333333,2,0.88125,26288.380477905273,3200,1,0.9625,7751.017059326172,2133.333333333333,2,0.9625,31028.981964111328,2133.333333333333,2,0.9625,47408.666412353516,2200,2,0.9625,34078.6867980957,2200,2,0.9625,15051.589324951172,2200,2,0.9625,58213.73913574219,2200,2,0.9625,36730.949127197266,2197,2194,2171,2192,1938,2027,3169,2013,2195,2130,1946,2128,2903,2122,2195,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864997376,294387712
