Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744840240445,15265.23812866211,2133.333333333333,2,0.88125,44020.279357910156,3200,1,0.88125,35126.309997558594,2133.333333333333,2,0.88125,44474.428802490234,2133.333333333333,2,0.88125,9118.695907592773,2200,2,0.88125,47078.00801086426,2200,2,0.88125,33659.05320739746,2200,2,0.88125,42596.42720031738,2200,2,0.88125,52022.75119018555,2170,4319,2164,2153,2190,2195,2195,2195,2170,2170,2195,2187,2187,2201,2164,4116,3.125,3.125,3.22580623626709,6.25,0,3.125,0,3.125,0,0,3.125,6.6666669845581055,3.125,0,3.125,3.22580623626709,16665841664,4294963200,940888064,230948864
1000,1744840240445,15265.238525390625,2133.333333333333,2,0.95625,44020.28324890137,3200,1,0.95625,35126.31231689453,2133.333333333333,2,0.95625,44474.42900085449,2133.333333333333,2,0.95625,9118.696105957031,2200,2,0.95625,47078.0124206543,2200,2,0.95625,33659.0535736084,2200,2,0.95625,42596.42735290527,2200,2,0.95625,52022.76528930664,2170,4319,2164,2153,2190,2195,2195,2195,2170,2170,2195,2187,2187,2201,2164,4116,3.125,3.125,3.22580623626709,6.25,0,3.125,0,3.125,0,0,3.125,6.6666669845581055,3.125,0,3.125,3.22580623626709,16665841664,4294963200,940888064,230948864
1000,1744840241446,15265.241760253906,2175,2,0.9125,44020.2907409668,4350,0,1.48125,35126.31921386719,2175,2,1.48125,44474.43376159668,2175,2,1.48125,9118.699157714844,2200,2,1.48125,47078.04040527344,2200,2,1.48125,33659.0574798584,2200,2,1.48125,42596.43162536621,2200,2,1.48125,52029.04719543457,2170,4319,2164,2153,2190,2195,2195,2195,2170,2170,2195,2187,2187,2201,2164,4116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,941142016,230948864
1000,1744840242447,15265.245864868164,2175,2,0.88125,44020.29568481445,4350,0,0.88125,35126.32682800293,2000,2,1.5250000000000001,44474.43835449219,2000,2,1.5250000000000001,9118.709182739258,2200,2,1.5250000000000001,47078.06602478027,2200,2,1.5250000000000001,33659.064453125,2200,2,1.5250000000000001,42596.438232421875,2200,2,1.5250000000000001,52035.236251831055,2170,4319,2164,2153,2190,2195,2195,2195,2170,2170,2195,2187,2187,2201,2164,4116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,941080576,230948864
1000,1744840243447,15265.248138427734,2000,2,0.95625,44020.29832458496,3000,2,0.95625,35126.32849121094,2000,2,0.95625,44474.44090270996,2000,2,0.95625,9118.711029052734,2200,2,0.95625,47078.07595825195,2200,2,0.9625,33659.066467285156,2200,2,0.9625,42596.44041442871,2200,2,0.9625,52041.32243347168,2170,4319,2164,2153,2190,2195,2195,2195,2170,2170,2195,2187,2187,2201,2164,4116,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,941080576,230948864
1000,1744840244448,15265.250930786133,2000,2,1.51875,44020.30062866211,3000,2,1.51875,35126.33183288574,2000,2,1.51875,44474.44340515137,2000,2,1.51875,9118.713455200195,2200,2,1.51875,47078.087890625,2200,2,1.51875,33659.06851196289,2200,2,1.51875,42596.442123413086,2200,2,1.51875,52047.356704711914,2170,4319,2164,2153,2190,2195,2195,2195,2170,2170,2195,2187,2187,2201,2164,4116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,941080576,230948864
1000,1744840245448,15265.252517700195,2175,2,0.9125,44020.30278015137,4350,0,0.9125,35126.3332824707,2175,2,0.9125,44474.44772338867,2175,2,0.9125,9118.714736938477,2200,2,0.9125,47078.100845336914,2200,2,0.9125,33659.06970214844,2200,2,0.9125,42596.44337463379,2200,2,0.9125,52053.38441467285,2170,4319,2164,2153,2190,2195,2195,2195,2170,2170,2195,2187,2187,2201,2164,4116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16665841664,4294963200,941080576,230948864
1000,1744840246448,15265.257049560547,2000,2,1.48125,44020.308364868164,3000,2,1.48125,35126.34133911133,2000,2,1.48125,44474.459548950195,2000,2,1.48125,9118.721801757813,2200,2,1.48125,47078.12013244629,2200,2,1.48125,33659.076904296875,2200,2,1.48125,42596.45031738281,2200,2,1.48125,52059.55047607422,2170,4319,2164,2153,2190,2195,2195,2195,2170,2170,2195,2187,2187,2201,2164,4116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,940822528,230948864
1000,1744840247449,15265.260208129883,2175,2,0.88125,44020.31246948242,4350,0,0.88125,35126.34440612793,2175,2,0.88125,44474.465896606445,1500,2,0.88125,9118.727676391602,2200,2,1.475,47078.13577270508,2200,2,1.475,33659.07977294922,2200,2,1.475,42596.45310974121,2200,2,1.475,52065.68768310547,2170,4319,2164,2153,2190,2195,2195,2195,2170,2170,2195,2187,2187,2201,2164,4116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,940085248,230948864
1000,1744840248450,15265.264266967773,2000,2,0.9625,44020.31657409668,3000,2,0.9625,35126.34809875488,2000,2,0.9625,44474.46975708008,2000,2,0.9625,9118.73405456543,2200,2,0.9625,47078.14741516113,2200,2,0.9625,33659.08334350586,2200,2,0.95,42596.45574951172,2200,2,0.95,52071.73783874512,2170,4319,2164,2153,2190,2195,2195,2195,2170,2170,2195,2187,2187,2201,2164,4116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,940085248,230948864
