Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745016506884,36323.43276977539,2133.333333333333,2,0.95625,44474.64456176758,3200,1,0.95625,20674.32876586914,2133.333333333333,2,0.95625,47079.8837890625,2133.333333333333,2,0.95625,29103.681259155273,2200,2,0.95625,49661.25700378418,2200,2,0.95625,33957.46307373047,2200,2,0.95625,5442.651123046875,2200,2,0.95625,49547.71745300293,2187,2105,2151,2149,2183,1923,2163,2168,2189,2171,2195,1924,2186,2035,2188,2185,0,0,2.941176414489746,0,0,0,0,3.0303030014038086,8.823529243469238,3.0303030014038086,5.882352828979492,3.125,2.941176414489746,0,2.941176414489746,5.714285850524902,16665841664,4294963200,877891584,290979840
1000,1745016506884,36323.437072753906,2133.333333333333,2,0.95625,44474.64517211914,3200,1,0.95625,20674.32893371582,2133.333333333333,2,0.95625,47079.8839263916,2133.333333333333,2,0.95625,29103.681411743164,2200,2,0.95625,49661.25714111328,2200,2,0.95625,33957.46531677246,2200,2,0.9625,5442.6539306640625,2200,2,0.9625,49547.74450683594,2187,2105,2151,2149,2183,1923,2163,2168,2189,2171,2195,1924,2186,2035,2188,2185,0,0,2.941176414489746,0,0,0,0,3.0303030014038086,8.823529243469238,3.0303030014038086,5.882352828979492,3.125,2.941176414489746,0,2.941176414489746,5.714285850524902,16665841664,4294963200,877891584,290979840
1000,1745016507885,36323.44989013672,2175,2,1.4875,44474.65121459961,4350,0,1.4875,20674.33480834961,2175,2,1.4875,47079.88975524902,2175,2,1.4875,29103.68670654297,2200,2,1.4875,49661.261642456055,2200,2,1.4875,33957.473724365234,2200,2,1.4875,5442.659042358398,2200,2,1.4875,49553.94226074219,2187,2105,2151,2149,2183,1923,2163,2168,2189,2171,2195,1924,2186,2035,2188,2185,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878022656,290979840
1000,1745016508885,36323.45652770996,2133.333333333333,2,0.88125,44474.66313171387,3200,1,0.88125,20674.33772277832,2133.333333333333,2,0.88125,47079.89210510254,2133.333333333333,2,0.88125,29103.689239501953,2200,2,0.88125,49661.264083862305,2200,2,0.88125,33957.476303100586,2200,2,0.88125,5442.661758422852,2200,2,0.9625,49560.03025817871,2187,2105,2151,2149,2183,1923,2163,2168,2189,2171,2195,1924,2186,2035,2188,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878022656,290979840
1000,1745016509886,36323.459075927734,2200,2,0.85,44474.672454833984,2200,2,0.85,20674.340744018555,2200,2,0.85,47079.89431762695,2200,2,0.85,29103.694946289063,2200,2,0.85,49661.26647949219,2200,2,0.89375,33957.48188781738,2200,2,0.89375,5442.663833618164,2200,2,0.89375,49566.16401672363,2187,2105,2151,2149,2183,1923,2163,2168,2189,2171,2195,1924,2186,2035,2188,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878022656,290979840
1000,1745016510886,36323.46153259277,2133.333333333333,2,0.9,44474.67874145508,3200,1,0.9,20674.344161987305,2133.333333333333,2,0.9,47079.89617919922,2133.333333333333,2,0.9,29103.69808959961,2200,2,0.9,49661.270080566406,2200,2,0.95625,33957.484115600586,2200,2,0.95625,5442.665954589844,2200,2,0.95625,49572.23278808594,2187,2105,2151,2149,2183,1923,2163,2168,2189,2171,2195,1924,2186,2035,2188,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878022656,290979840
1000,1745016511887,36323.46577453613,2200,2,0.9125,44474.69564819336,2200,2,0.9125,20674.347946166992,2200,2,0.9125,47079.89971923828,2200,2,0.9125,29103.701950073242,2200,2,0.9125,49661.273666381836,2200,2,0.9125,33957.48751831055,2200,2,0.8875,5442.669494628906,2200,2,0.8875,49578.36308288574,2187,2105,2151,2149,2183,1923,2163,2168,2189,2171,2195,1924,2186,2035,2188,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878022656,290979840
1000,1745016512887,36323.46853637695,2200,2,0.84375,44474.70196533203,2200,2,0.84375,20674.350692749023,2200,2,0.84375,47079.900955200195,2200,2,0.84375,29103.70329284668,2200,2,0.84375,49661.275787353516,2200,2,0.84375,33957.488861083984,2200,2,0.84375,5442.670715332031,2200,2,0.84375,49584.392837524414,2187,2105,2151,2149,2183,1923,2163,2168,2189,2171,2195,1924,2186,2035,2188,2185,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878022656,290979840
1000,1745016513888,36323.470458984375,2133.333333333333,2,0.88125,44474.70700073242,3200,1,0.88125,20674.352584838867,2133.333333333333,2,0.88125,47079.90263366699,2133.333333333333,2,0.88125,29103.705108642578,2200,2,0.88125,49661.27746582031,2200,2,0.88125,33957.49055480957,2200,2,0.88125,5442.672180175781,2200,2,0.88125,49590.385971069336,2187,2105,2151,2149,2183,1923,2163,2168,2189,2171,2195,1924,2186,2035,2188,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878022656,290979840
1000,1745016514888,36323.473205566406,2133.333333333333,2,0.9125,44474.71725463867,3200,1,0.9125,20674.3563079834,2133.333333333333,2,0.9625,47079.904541015625,2133.333333333333,2,0.9625,29103.71141052246,2200,2,0.9625,49661.28291320801,2200,2,0.9625,33957.49320983887,2200,2,0.9625,5442.675323486328,2200,2,0.9625,49596.47897338867,2187,2105,2151,2149,2183,1923,2163,2168,2189,2171,2195,1924,2186,2035,2188,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878022656,290979840
