Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744961793213,58813.825912475586,2133.333333333333,2,0.95625,49551.3741607666,3200,1,0.95625,23659.595153808594,2133.333333333333,2,0.95625,44665.20639038086,2133.333333333333,2,0.95625,50693.92094421387,2200,2,0.95625,51215.24253845215,2200,2,0.95625,37961.89874267578,2200,2,0.95625,4286.565200805664,2200,2,0.95625,29944.95263671875,2125,3160,2089,2131,2193,2189,2194,2185,2127,2130,2166,2129,2189,1941,2061,3192,3.125,0,0,3.125,3.0303030014038086,3.125,0,3.0303030014038086,3.0303030014038086,0,9.375,0,3.0303030014038086,3.125,0,6.060606002807617,16665841664,4294963200,871821312,283377664
1000,1744961793213,58813.8263092041,2133.333333333333,2,0.95625,49551.37437438965,3200,1,0.95625,23659.59898376465,2133.333333333333,2,0.95625,44665.207580566406,2133.333333333333,2,0.95625,50693.925369262695,2200,2,0.95625,51215.24269104004,2200,2,0.95625,37961.89889526367,2200,2,0.95625,4286.565353393555,2200,2,0.95625,29944.966735839844,2125,3160,2089,2131,2193,2189,2194,2185,2127,2130,2166,2129,2189,1941,2061,3192,3.125,0,0,3.125,3.0303030014038086,3.125,0,3.0303030014038086,3.0303030014038086,0,9.375,0,3.0303030014038086,3.125,0,6.060606002807617,16665841664,4294963200,871821312,283377664
1000,1744961794213,58813.82963562012,2000,2,0.9625,49551.37858581543,3000,2,0.9625,23659.60545349121,2000,2,0.9625,44665.214920043945,2000,2,0.9625,50693.939041137695,2200,2,0.9625,51215.245193481445,2200,2,0.9625,37961.90104675293,2200,2,0.9625,4286.567398071289,2200,2,0.9625,29951.162796020508,2125,3160,2089,2131,2193,2189,2194,2185,2127,2130,2166,2129,2189,1941,2061,3192,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,871780352,283377664
1000,1744961795214,58813.831451416016,2133.333333333333,2,0.88125,49551.38168334961,3200,1,0.88125,23659.607315063477,2133.333333333333,2,0.88125,44665.216384887695,2133.333333333333,2,0.95625,50693.946365356445,2200,2,0.95625,51215.247802734375,2200,2,0.95625,37961.90232849121,2200,2,0.95625,4286.570327758789,2200,2,0.95625,29957.23439025879,2125,3160,2089,2131,2193,2189,2194,2185,2127,2130,2166,2129,2189,1941,2061,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,870748160,283377664
1000,1744961796214,58813.83464050293,2000,2,0.9625,49551.385314941406,3000,2,0.9625,23659.609924316406,2000,2,0.9625,44665.2190246582,2000,2,0.9625,50693.9533996582,2200,2,0.9625,51215.25004577637,2200,2,0.9625,37961.90461730957,2200,2,0.9625,4286.5728759765625,2200,2,0.9625,29963.329818725586,2125,3160,2089,2131,2193,2189,2194,2185,2127,2130,2166,2129,2189,1941,2061,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,870010880,283377664
1000,1744961797215,58813.83793640137,2175,2,0.88125,49551.38986206055,3000,2,1.5125,23659.612991333008,2000,2,1.5125,44665.22132873535,2000,2,1.5125,50693.96694946289,2200,2,1.5125,51215.25228881836,2200,2,1.5125,37961.90707397461,2200,2,1.5125,4286.576553344727,2200,2,1.5125,29969.43280029297,2125,3160,2089,2131,2193,2189,2194,2185,2127,2130,2166,2129,2189,1941,2061,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,869367808,283377664
1000,1744961798215,58813.842712402344,2000,2,0.9625,49551.39881896973,3000,2,0.9625,23659.617919921875,2000,2,0.9625,44665.225997924805,2000,2,0.9625,50693.975173950195,2200,2,0.9625,51215.25564575195,2200,2,0.95625,37961.91262817383,2200,2,0.95625,4286.57878112793,2200,2,0.95625,29975.5486907959,2125,3160,2089,2131,2193,2189,2194,2185,2127,2130,2166,2129,2189,1941,2061,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868970496,283377664
1000,1744961799216,58813.84559631348,2000,2,1.475,49551.402267456055,3000,2,1.475,23659.620361328125,2000,2,1.475,44665.22836303711,2000,2,1.475,50693.98651123047,2200,2,1.475,51215.259033203125,2200,2,1.475,37961.915267944336,2200,2,1.475,4286.581192016602,2200,2,1.475,29981.638671875,2125,3160,2089,2131,2193,2189,2194,2185,2127,2130,2166,2129,2189,1941,2061,3192,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,868970496,283377664
1000,1744961800216,58813.84844970703,2200,2,0.8125,49551.40759277344,2200,2,0.8125,23659.625213623047,2200,2,0.8125,44665.23417663574,2200,2,0.85,50693.9948425293,2200,2,0.85,51215.26271057129,2200,2,0.85,37961.91877746582,2200,2,0.85,4286.58349609375,2200,2,0.85,29987.746353149414,2125,3160,2089,2131,2193,2189,2194,2185,2127,2130,2166,2129,2189,1941,2061,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868970496,283377664
1000,1744961801217,58813.85026550293,2000,2,0.9625,49551.41033935547,3000,2,0.9625,23659.62823486328,2000,2,0.9625,44665.2360534668,2000,2,0.9625,50694.00051879883,2200,2,0.9625,51215.26426696777,2200,2,0.9625,37961.920333862305,2200,2,0.9625,4286.5853271484375,2200,2,0.9625,29993.821853637695,2125,3160,2089,2131,2193,2189,2194,2185,2127,2130,2166,2129,2189,1941,2061,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868970496,283377664
