Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744840361107,16002.221694946289,2200,2,0.81875,44032.595794677734,2200,2,0.81875,35138.97741699219,2200,2,0.81875,44489.49353027344,2200,2,0.81875,9133.982864379883,2200,2,0.81875,47094.41639709473,2200,2,0.81875,33691.26756286621,2200,2,0.81875,42612.106369018555,2200,2,0.81875,54096.45623779297,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,3.125,3.125,6.25,3.125,9.375,3.125,3.125,0,3.125,3.125,6.060606002807617,3.125,0,3.125,3.125,16665841664,4294963200,949596160,230948864
1000,1744840361108,16002.222793579102,2200,2,0.8375,44032.59851074219,2200,2,0.8375,35138.97756958008,2200,2,0.8375,44489.49368286133,2200,2,0.8375,9133.983016967773,2200,2,0.8375,47094.41961669922,2200,2,0.8375,33691.267669677734,2200,2,0.8375,42612.10647583008,2200,2,0.8375,54096.467681884766,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,3.125,3.125,6.25,3.125,9.375,3.125,3.125,0,3.125,3.125,6.060606002807617,3.125,0,3.125,3.125,16665841664,4294963200,950108160,230948864
1000,1744840362108,16002.226776123047,2200,2,0.85,44032.60186767578,2200,2,0.85,35138.979888916016,2200,2,0.85,44489.495361328125,2200,2,0.85,9133.986114501953,2200,2,0.85,47094.440002441406,2200,2,0.85,33691.26940917969,2200,2,0.85,42612.10789489746,2200,2,0.85,54102.72608947754,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,949444608,230948864
1000,1744840363109,16002.228240966797,2200,2,0.8125,44032.60534667969,2200,2,0.8125,35138.98162841797,2200,2,0.8125,44489.4972076416,2200,2,0.85,9133.987442016602,2200,2,0.85,47094.44647216797,2200,2,0.85,33691.270767211914,2200,2,0.85,42612.109466552734,2200,2,0.85,54108.76573181152,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,949444608,230948864
1000,1744840364109,16002.232711791992,2200,2,0.84375,44032.61016845703,2200,2,0.84375,35138.984634399414,2200,2,0.84375,44489.50016784668,2200,2,0.84375,9133.990173339844,2200,2,0.84375,47094.45637512207,2200,2,0.85,33691.27339172363,2200,2,0.85,42612.11283874512,2200,2,0.85,54114.912826538086,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,948183040,230948864
1000,1744840365110,16002.233917236328,2200,2,0.8125,44032.612716674805,2200,2,0.85,35138.98597717285,2200,2,0.85,44489.501403808594,2200,2,0.85,9133.991226196289,2200,2,0.85,47094.460220336914,2200,2,0.85,33691.27462768555,2200,2,0.85,42612.11380004883,2200,2,0.85,54120.897537231445,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,948183040,230948864
1000,1744840366110,16002.236373901367,2000,2,0.95625,44032.6159362793,3000,2,0.95625,35138.98838806152,2000,2,0.95625,44489.50354003906,2000,2,0.95625,9133.994155883789,2200,2,0.9,47094.46875,2200,2,0.9,33691.276306152344,2200,2,0.9,42612.11570739746,2200,2,0.9,54126.92086791992,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,947081216,230948864
1000,1744840367110,16002.23779296875,2200,2,0.85,44032.618591308594,2200,2,0.85,35138.98970031738,2200,2,0.85,44489.504974365234,2200,2,0.85,9133.995513916016,2200,2,0.85,47094.47422790527,2200,2,0.85,33691.27764892578,2200,2,0.85,42612.11698913574,2200,2,0.85,54132.916275024414,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,947081216,230948864
1000,1744840368111,16002.240783691406,2200,2,0.84375,44032.62162780762,2200,2,0.84375,35138.99223327637,2200,2,0.84375,44489.507247924805,2200,2,0.8625,9133.997665405273,2200,2,0.8625,47094.48013305664,2200,2,0.8625,33691.27947998047,2200,2,0.8625,42612.11853027344,2200,2,0.8625,54138.96324157715,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,946114560,230948864
1000,1744840369111,16002.242858886719,2200,2,0.85,44032.624603271484,2200,2,0.85,35138.994384765625,2200,2,0.85,44489.50959777832,2200,2,0.85,9133.999786376953,2200,2,0.85,47094.486907958984,2200,2,0.85,33691.281326293945,2200,2,0.85,42612.12243652344,2200,2,0.85,54145.053314208984,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,946114560,230948864
1000,1744840370112,16002.245666503906,2200,2,0.8125,44032.62797546387,2200,2,0.85,35138.99705505371,2200,2,0.85,44489.51206970215,2200,2,0.85,9134.003997802734,2200,2,0.85,47094.496322631836,2200,2,0.85,33691.28355407715,2200,2,0.85,42612.12683105469,2200,2,0.85,54151.11636352539,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,945270784,230948864
1000,1744840371112,16002.247817993164,2000,2,0.95625,44032.63119506836,3000,2,0.95625,35138.99900817871,2000,2,0.95625,44489.514068603516,2000,2,0.95625,9134.005920410156,2200,2,0.95625,47094.50323486328,2200,2,0.95625,33691.28550720215,2200,2,0.95625,42612.13009643555,2200,2,0.95625,54157.1198425293,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,945270784,230948864
1000,1744840372113,16002.269989013672,2200,2,0.85,44032.63542175293,2200,2,0.85,35139.00297546387,2200,2,0.85,44489.5173034668,2200,2,0.85,9134.008972167969,2200,2,0.85,47094.50926208496,2200,2,0.85,33691.28845214844,2200,2,0.85,42612.13212585449,2200,2,0.85,54163.1678314209,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,944533504,230948864
1000,1744840373113,16002.273025512695,2000,2,0.9625,44032.63986206055,3000,2,0.9625,35139.00622558594,2000,2,0.9625,44489.52067565918,2000,2,0.9625,9134.010604858398,2200,2,0.93125,47094.517166137695,2200,2,0.93125,33691.29136657715,2200,2,0.93125,42612.13368225098,2200,2,0.93125,54169.18896484375,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,944533504,230948864
1000,1744840374114,16002.275329589844,2200,2,0.85,44032.642486572266,2200,2,0.85,35139.00881958008,2200,2,0.85,44489.522705078125,2200,2,0.85,9134.014038085938,2200,2,0.85,47094.52473449707,2200,2,0.85,33691.293395996094,2200,2,0.85,42612.13594055176,2200,2,0.85,54175.18435668945,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943886336,230948864
1000,1744840375114,16002.277404785156,2133.333333333333,2,0.88125,44032.64668273926,3000,2,0.9625,35139.010986328125,2000,2,0.9625,44489.52598571777,2000,2,0.9625,9134.015579223633,2200,2,0.9625,47094.53233337402,2200,2,0.9625,33691.29525756836,2200,2,0.9625,42612.13903808594,2200,2,0.9625,54181.22692871094,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943886336,230948864
1000,1744840376115,16002.281219482422,2200,2,0.84375,44032.650802612305,2200,2,0.84375,35139.01429748535,2200,2,0.84375,44489.53065490723,2200,2,0.84375,9134.01904296875,2200,2,0.84375,47094.5400390625,2200,2,0.8875,33691.298248291016,2200,2,0.8875,42612.14372253418,2200,2,0.8875,54187.283767700195,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943685632,230948864
1000,1744840377115,16002.28286743164,2133.333333333333,2,0.88125,44032.652770996094,3200,1,0.88125,35139.01583862305,2133.333333333333,2,0.9625,44489.532455444336,2000,2,0.9625,9134.020629882813,2200,2,0.9625,47094.54487609863,2200,2,0.9625,33691.299545288086,2200,2,0.9625,42612.14517211914,2200,2,0.9625,54193.241638183594,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943685632,230948864
1000,1744840378116,16002.309524536133,2200,2,0.84375,44032.65605163574,2200,2,0.84375,35139.01856994629,2200,2,0.84375,44489.53775024414,2200,2,0.84375,9134.024047851563,2200,2,0.84375,47094.55381774902,2200,2,0.8875,33691.30229187012,2200,2,0.8875,42612.14686584473,2200,2,0.8875,54199.28773498535,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943685632,230948864
1000,1744840379116,16002.311233520508,2000,2,0.9625,44032.65969848633,3000,2,0.9625,35139.02005004883,2000,2,0.9625,44489.54039001465,2000,2,0.9625,9134.025253295898,2200,2,0.9625,47094.55815124512,2200,2,0.9625,33691.30366516113,2200,2,0.9625,42612.15022277832,2200,2,0.9625,54205.29496765137,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943685632,230948864
1000,1744840380117,16002.317016601563,2200,2,0.85,44032.66450500488,2200,2,0.85,35139.0246887207,2200,2,0.85,44489.545181274414,2200,2,0.88125,9134.02995300293,2200,2,0.88125,47094.5682220459,2200,2,0.88125,33691.307861328125,2200,2,0.88125,42612.15637207031,2200,2,0.88125,54211.42216491699,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943513600,230948864
1000,1744840381117,16002.320297241211,2000,2,1.475,44032.66760253906,3000,2,1.475,35139.039154052734,2000,2,1.475,44489.551193237305,2000,2,1.475,9134.031646728516,2200,2,1.475,47094.57655334473,2200,2,1.475,33691.309478759766,2200,2,1.475,42612.15782165527,2200,2,1.475,54217.446853637695,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,943513600,230948864
1000,1744840382118,16002.323318481445,2200,2,0.8125,44032.672103881836,2200,2,0.8125,35139.042572021484,2200,2,0.85,44489.554458618164,2200,2,0.85,9134.036376953125,2200,2,0.85,47094.59046936035,2200,2,0.85,33691.31280517578,2200,2,0.85,42612.16371154785,2200,2,0.85,54223.47804260254,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,942862336,230948864
1000,1744840383118,16002.324951171875,2000,2,0.9625,44032.67547607422,3000,2,0.9625,35139.04377746582,2000,2,0.9625,44489.55732727051,2000,2,0.9625,9134.037811279297,2200,2,0.9625,47094.59799194336,2200,2,0.95,33691.3143157959,2200,2,0.95,42612.16506958008,2200,2,0.95,54229.47529602051,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,942862336,230948864
1000,1744840384119,16002.327621459961,2200,2,0.8125,44032.67771911621,2200,2,0.85,35139.047622680664,2200,2,0.85,44489.5592956543,2200,2,0.85,9134.039916992188,2200,2,0.85,47094.602935791016,2200,2,0.85,33691.316009521484,2200,2,0.85,42612.168060302734,2200,2,0.85,54235.48092651367,2178,1944,2190,2185,2174,2195,2187,2187,2193,2161,2194,2182,2192,2193,2002,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,942862336,230948864
