Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744890396248,47171.54333496094,2200,2,0.8375,35599.09634399414,2200,2,0.8375,21055.83869934082,2200,2,0.8375,25619.6690826416,2200,2,0.8375,38262.15774536133,2200,2,0.8375,38901.134521484375,2200,2,0.8375,21609.258361816406,2200,2,0.8375,48116.04579162598,2200,2,0.8375,13852.097518920898,2117,2129,3190,2125,2185,2194,2194,2193,3078,2029,2195,2164,2098,2195,1951,2123,3.125,0,3.125,0,3.22580623626709,3.125,3.22580623626709,0,0,9.67741870880127,3.22580623626709,3.125,6.060606002807617,6.060606002807617,3.125,3.125,16665841664,4294963200,903331840,249298944
1000,1744890396248,47171.54350280762,2200,2,0.8375,35599.09649658203,2200,2,0.8375,21055.83885192871,2200,2,0.8375,25619.672302246094,2200,2,0.8375,38262.15789794922,2200,2,0.8375,38901.13668823242,2200,2,0.8375,21609.260131835938,2200,2,0.8375,48116.04624938965,2200,2,0.8375,13852.123947143555,2117,2129,3190,2125,2185,2194,2194,2193,3078,2029,2195,2164,2098,2195,1951,2123,3.125,0,3.125,0,3.22580623626709,3.125,3.22580623626709,0,0,9.67741870880127,3.22580623626709,3.125,6.060606002807617,6.060606002807617,3.125,3.125,16665841664,4294963200,903331840,249298944
1000,1744890397249,47171.54507446289,2200,2,0.8125,35599.09867858887,2200,2,0.8125,21055.840393066406,2200,2,0.8125,25619.678451538086,2200,2,0.8125,38262.1598815918,2200,2,0.84375,38901.139556884766,2200,2,0.84375,21609.264099121094,2200,2,0.84375,48116.05642700195,2200,2,0.84375,13858.317916870117,2117,2129,3190,2125,2185,2194,2194,2193,3078,2029,2195,2164,2098,2195,1951,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903331840,249298944
999,1744890398249,47171.54879760742,2000,2,0.95625,35599.101806640625,3000,2,0.95625,21055.846298217773,2000,2,0.95625,25619.6866607666,2000,2,0.95625,38262.162994384766,2200,2,0.95625,38901.14334106445,2200,2,0.95625,21609.268157958984,2200,2,0.9375,48116.06114196777,2200,2,0.9375,13864.498580932617,2117,2129,3190,2125,2185,2194,2194,2193,3078,2029,2195,2164,2098,2195,1951,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903331840,249298944
1000,1744890399249,47171.55154418945,2000,2,0.8875,35599.10551452637,3000,2,0.8875,21055.849319458008,2000,2,0.8875,25619.69451904297,2000,2,0.8875,38262.16548156738,2200,2,0.8875,38901.146728515625,2200,2,0.8875,21609.272689819336,2200,2,0.9125,48116.0636138916,2200,2,0.9125,13870.592590332031,2117,2129,3190,2125,2185,2194,2194,2193,3078,2029,2195,2164,2098,2195,1951,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903331840,249298944
1000,1744890400250,47171.55972290039,2200,2,0.8375,35599.10774230957,2200,2,0.8375,21055.853591918945,2200,2,0.8375,25619.698806762695,2200,2,0.8375,38262.166900634766,2200,2,0.8375,38901.14807128906,2200,2,0.8375,21609.27471923828,2200,2,0.8375,48116.065185546875,2200,2,0.8375,13876.661697387695,2117,2129,3190,2125,2185,2194,2194,2193,3078,2029,2195,2164,2098,2195,1951,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903331840,249298944
1000,1744890401250,47171.56135559082,2200,2,0.8125,35599.10981750488,2200,2,0.8125,21055.85546875,2200,2,0.8125,25619.705184936523,2200,2,0.8125,38262.16975402832,2200,2,0.85,38901.149673461914,2200,2,0.85,21609.278106689453,2200,2,0.85,48116.06819152832,2200,2,0.85,13882.767120361328,2117,2129,3190,2125,2185,2194,2194,2193,3078,2029,2195,2164,2098,2195,1951,2123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16665841664,4294963200,903331840,249298944
999,1744890402251,47171.563247680664,2000,2,0.95625,35599.11180114746,3000,2,0.95625,21055.858337402344,2000,2,0.95625,25619.71173095703,2000,2,0.95625,38262.17272949219,2200,2,0.95625,38901.15138244629,2200,2,0.95625,21609.28126525879,2200,2,0.93125,48116.06944274902,2200,2,0.93125,13888.850296020508,2117,2129,3190,2125,2185,2194,2194,2193,3078,2029,2195,2164,2098,2195,1951,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903331840,249298944
1000,1744890403251,47171.56571960449,2200,2,0.81875,35599.115234375,2200,2,0.81875,21055.86100769043,2200,2,0.81875,25619.719818115234,2200,2,0.81875,38262.17562866211,2200,2,0.81875,38901.15480041504,2200,2,0.88125,21609.286056518555,2200,2,0.88125,48116.07177734375,2200,2,0.88125,13894.9716796875,2117,2129,3190,2125,2185,2194,2194,2193,3078,2029,2195,2164,2098,2195,1951,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903331840,249298944
1000,1744890404251,47171.56736755371,2000,2,0.95625,35599.117111206055,3000,2,0.95625,21055.863021850586,2000,2,0.95625,25619.7254486084,2000,2,0.95625,38262.176986694336,2200,2,0.95625,38901.156494140625,2200,2,0.95625,21609.287521362305,2200,2,0.95625,48116.07305908203,2200,2,0.95625,13901.026077270508,2117,2129,3190,2125,2185,2194,2194,2193,3078,2029,2195,2164,2098,2195,1951,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903331840,249298944
