Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745049534906,40136.89561462402,2133.333333333333,2,0.9625,15534.260131835938,3200,1,0.9625,59680.263244628906,2133.333333333333,2,0.9625,18991.82814025879,2133.333333333333,2,0.9625,26310.249755859375,2200,2,0.9625,19144.46466064453,2200,2,0.9625,4454.15803527832,2200,2,0.9625,43763.60722351074,2200,2,0.9625,2899.79541015625,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,10,0,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,0,0,3.3333334922790527,3.3333334922790527,16665841664,4294963200,864538624,293863424
1000,1745049534907,40136.89862060547,2200,2,0.8375,15534.26057434082,2200,2,0.8375,59680.263610839844,2200,2,0.8375,18991.829818725586,2200,2,0.8375,26310.249938964844,2200,2,0.8375,19144.464965820313,2200,2,0.8375,4454.161956787109,2200,2,0.8375,43763.607498168945,2200,2,0.8375,2899.8233489990234,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,10,0,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,0,0,3.3333334922790527,3.3333334922790527,16665841664,4294963200,865959936,293863424
1000,1745049535907,40136.90348815918,2133.333333333333,2,0.88125,15534.26333618164,3000,2,0.9625,59680.2654876709,2000,2,0.9625,18991.834243774414,2000,2,0.9625,26310.251892089844,2200,2,0.9625,19144.467849731445,2200,2,0.9625,4454.192626953125,2200,2,0.9625,43763.609146118164,2200,2,0.9625,2906.2477416992188,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865959936,293863424
1000,1745049536908,40136.90684509277,2000,2,0.9625,15534.266464233398,3000,2,0.9625,59680.267807006836,2000,2,0.9625,18991.836364746094,2000,2,0.9625,26310.25408935547,2200,2,0.9625,19144.470413208008,2200,2,0.95625,4454.200378417969,2200,2,0.95625,43763.61103820801,2200,2,0.95625,2912.303924560547,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865959936,293863424
1000,1745049537908,40136.91017150879,2000,2,1.51875,15534.270812988281,3000,2,1.51875,59680.270431518555,2000,2,1.51875,18991.840225219727,2000,2,1.51875,26310.25682067871,2200,2,1.51875,19144.474716186523,2200,2,1.51875,4454.216491699219,2200,2,1.51875,43763.61317443848,2200,2,1.51875,2918.4473266601563,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865959936,293863424
1000,1745049538909,40136.911865234375,2175,2,0.88125,15534.27311706543,4350,0,0.88125,59680.27407836914,2175,2,0.88125,18991.842025756836,2175,2,0.88125,26310.260345458984,2200,2,0.88125,19144.478637695313,2200,2,0.88125,4454.23420715332,2200,2,1.5250000000000001,43763.61506652832,2200,2,1.5250000000000001,2924.499313354492,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865959936,293863424
1000,1745049539909,40136.92041015625,2000,2,1.5125,15534.287887573242,3000,2,1.5125,59680.283294677734,2000,2,1.5125,18991.849319458008,2000,2,1.5125,26310.267639160156,2200,2,1.5125,19144.486282348633,2200,2,1.5125,4454.25505065918,2200,2,1.5125,43763.62030029297,2200,2,1.5125,2930.7298583984375,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865959936,293863424
1000,1745049540910,40136.92306518555,2175,2,0.88125,15534.290832519531,3000,2,1.5250000000000001,59680.285705566406,2000,2,1.5250000000000001,18991.85140991211,2000,2,1.5250000000000001,26310.27017211914,2200,2,1.5250000000000001,19144.488647460938,2200,2,1.5250000000000001,4454.267303466797,2200,2,1.5250000000000001,43763.62245178223,2200,2,1.5250000000000001,2936.7330474853516,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865959936,293863424
1000,1745049541910,40136.932373046875,2000,2,0.95,15534.298736572266,3000,2,0.95,59680.28779602051,2000,2,0.95,18991.85418701172,2000,2,0.95,26310.272430419922,2200,2,0.93125,19144.491775512695,2200,2,0.93125,4454.27392578125,2200,2,0.93125,43763.62400817871,2200,2,0.93125,2942.795944213867,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865275904,293863424
1000,1745049542910,40136.943298339844,2000,2,1.51875,15534.301345825195,3000,2,1.51875,59680.290939331055,2000,2,1.51875,18991.855590820313,2000,2,1.51875,26310.274124145508,2200,2,1.51875,19144.494735717773,2200,2,1.51875,4454.2794189453125,2200,2,1.51875,43763.62582397461,2200,2,1.51875,2948.7989807128906,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864387072,293863424
1000,1745049543911,40136.95346069336,2133.333333333333,2,0.88125,15534.304550170898,3200,1,0.88125,59680.29376220703,2133.333333333333,2,0.88125,18991.858367919922,2133.333333333333,2,0.88125,26310.276809692383,2200,2,0.9625,19144.497924804688,2200,2,0.9625,4454.284423828125,2200,2,0.9625,43763.62841796875,2200,2,0.9625,2954.856414794922,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,863608832,293863424
1000,1745049544911,40136.956954956055,2133.333333333333,2,0.9125,15534.311798095703,3200,1,0.9125,59680.29521179199,2133.333333333333,2,0.9625,18991.859451293945,2133.333333333333,2,0.9625,26310.278030395508,2200,2,0.9625,19144.499420166016,2200,2,0.9625,4454.285675048828,2200,2,0.9625,43763.62953186035,2200,2,0.9625,2960.8143768310547,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862928896,293863424
1000,1745049545912,40136.959213256836,2175,2,0.88125,15534.319305419922,4350,0,0.88125,59680.29783630371,2175,2,0.88125,18991.8623046875,2175,2,0.88125,26310.281204223633,2200,2,0.88125,19144.50340270996,2200,2,0.88125,4454.289825439453,2200,2,0.88125,43763.631744384766,2200,2,0.88125,2966.881881713867,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049546912,40136.962799072266,2175,2,1.45625,15534.3427734375,4350,0,1.45625,59680.30284118652,2175,2,1.45625,18991.865005493164,2175,2,1.45625,26310.286743164063,2200,2,1.45625,19144.507415771484,2200,2,1.45625,4454.295761108398,2200,2,1.45625,43763.634201049805,2200,2,1.45625,2972.9258880615234,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049547913,40136.96942138672,2175,2,0.95625,15534.361251831055,4350,0,0.95625,59680.3088684082,2175,2,0.95625,18991.8720703125,2175,2,0.95625,26310.29248046875,2200,2,0.95625,19144.513458251953,2200,2,0.95625,4454.301116943359,2200,2,0.95625,43763.638900756836,2200,2,1.5,2979.0591583251953,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049548913,40136.97792053223,2175,2,0.95625,15534.373428344727,4350,0,0.95625,59680.31132507324,2175,2,0.95625,18991.873931884766,2175,2,0.95625,26310.29441833496,2200,2,0.95625,19144.515563964844,2200,2,0.95625,4454.303619384766,2200,2,0.95625,43763.64060974121,2200,2,0.95625,2985.0390014648438,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049549914,40136.98768615723,2175,2,0.9125,15534.395080566406,4350,0,0.9125,59680.318359375,2175,2,0.9125,18991.878616333008,2175,2,0.9125,26310.29916381836,2200,2,0.9125,19144.522918701172,2200,2,0.9125,4454.311325073242,2200,2,0.9125,43763.6435546875,2200,2,0.9125,2991.1197509765625,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049550914,40136.99133300781,2175,2,0.88125,15534.408340454102,4350,0,0.88125,59680.32354736328,2175,2,0.88125,18991.880905151367,2175,2,0.88125,26310.301712036133,2200,2,0.88125,19144.527282714844,2200,2,0.88125,4454.317153930664,2200,2,0.88125,43763.646072387695,2200,2,0.88125,2997.1561737060547,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049551915,40136.99755859375,2175,2,0.9125,15534.434143066406,4350,0,0.9125,59680.33029174805,2175,2,1.45,18991.88656616211,2175,2,1.45,26310.30630493164,2200,2,1.45,19144.53175354004,2200,2,1.45,4454.321197509766,2200,2,1.45,43763.649841308594,2200,2,1.45,3003.299102783203,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049552915,40136.99978637695,2133.333333333333,2,0.88125,15534.447723388672,3200,1,0.88125,59680.33270263672,2133.333333333333,2,0.88125,18991.88865661621,2133.333333333333,2,0.88125,26310.308502197266,2200,2,0.88125,19144.534255981445,2200,2,0.88125,4454.3232421875,2200,2,0.95625,43763.6516418457,2200,2,0.95625,3009.3080444335938,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049553916,40137.002044677734,2175,2,0.9125,15534.456832885742,4350,0,0.9125,59680.3350982666,2175,2,0.9125,18991.890731811523,2175,2,0.9125,26310.31037902832,2200,2,0.9125,19144.53678894043,2200,2,0.9125,4454.32502746582,2200,2,0.9125,43763.65335083008,2200,2,0.9125,3015.316909790039,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049554916,40137.00535583496,2175,2,0.90625,15534.472091674805,4350,0,0.90625,59680.340759277344,2175,2,0.90625,18991.89324951172,2175,2,0.90625,26310.315994262695,2200,2,0.90625,19144.54103088379,2200,2,0.90625,4454.331268310547,2200,2,0.90625,43763.65565490723,2200,2,0.90625,3021.368698120117,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049555917,40137.01078796387,2175,2,0.88125,15534.493896484375,4350,0,0.88125,59680.347564697266,2175,2,0.88125,18991.899795532227,2175,2,0.88125,26310.3214263916,2200,2,0.88125,19144.547134399414,2200,2,0.88125,4454.339401245117,2200,2,0.88125,43763.65966796875,2200,2,0.88125,3027.5235290527344,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049556917,40137.01417541504,2133.333333333333,2,0.90625,15534.512603759766,3200,1,0.90625,59680.35079956055,2133.333333333333,2,0.95625,18991.903549194336,2133.333333333333,2,0.95625,26310.325576782227,2200,2,0.95625,19144.550262451172,2200,2,0.95625,4454.34196472168,2200,2,0.95625,43763.661865234375,2200,2,0.95625,3033.5738220214844,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049557918,40137.0164642334,2175,2,0.88125,15534.518630981445,4350,0,0.88125,59680.35321044922,2175,2,0.88125,18991.907135009766,2175,2,0.88125,26310.328353881836,2200,2,0.88125,19144.552825927734,2200,2,0.88125,4454.344253540039,2200,2,0.88125,43763.66352844238,2200,2,0.88125,3039.5974884033203,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049558918,40137.01936340332,2133.333333333333,2,0.95625,15534.537826538086,3200,1,0.95625,59680.3564453125,2133.333333333333,2,0.95625,18991.909713745117,2133.333333333333,2,0.95625,26310.33071899414,2200,2,0.95625,19144.555603027344,2200,2,0.95625,4454.347457885742,2200,2,0.95625,43763.66548156738,2200,2,0.95625,3045.5812377929688,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049559918,40137.02299499512,2175,2,0.9,15534.546005249023,4350,0,0.9,59680.36152648926,2175,2,0.9,18991.9132232666,2175,2,0.9,26310.33445739746,2200,2,0.9,19144.559204101563,2200,2,0.9,4454.351013183594,2200,2,0.9,43763.66828918457,2200,2,1.46875,3051.681381225586,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049560919,40137.02549743652,2133.333333333333,2,0.88125,15534.565170288086,3200,1,0.88125,59680.36421203613,2133.333333333333,2,0.88125,18991.915267944336,2133.333333333333,2,0.88125,26310.33656311035,2200,2,0.88125,19144.561325073242,2200,2,0.88125,4454.353164672852,2200,2,0.88125,43763.67008972168,2200,2,0.88125,3057.646682739258,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
1000,1745049561920,40137.028869628906,2175,2,0.9,15534.58024597168,4350,0,0.9,59680.366958618164,2175,2,1.50625,18991.917739868164,2175,2,1.50625,26310.33918762207,2200,2,1.50625,19144.563995361328,2200,2,1.50625,4454.357666015625,2200,2,1.50625,43763.672134399414,2200,2,1.50625,3063.673828125,2185,2188,2068,2139,2195,2178,2185,2186,2077,2191,2186,2154,2180,2101,2160,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862482432,293863424
