Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744848120889,29756.876541137695,2150,2,1.4312500000000001,51966.46368408203,4300,0,1.4312500000000001,41994.57292175293,2150,2,1.4312500000000001,54118.65994262695,2150,2,1.4312500000000001,23024.9638671875,2200,2,1.4312500000000001,58237.155044555664,2200,2,1.4312500000000001,46622.69030761719,2200,2,1.4312500000000001,58233.83792114258,2200,2,1.4312500000000001,22380.75489807129,2179,2194,2188,2150,2160,2072,2096,2150,2192,2186,2194,2065,2093,2187,2098,2182,10,6.45161247253418,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,6.45161247253418,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,7.142857551574707,10,0,0,16665841664,4294963200,925364224,241434624
1000,1744848120889,29756.888427734375,2200,2,1.4312500000000001,51966.46530151367,2200,2,1.4312500000000001,41994.57389831543,2200,2,1.4312500000000001,54118.66069030762,2200,2,1.4312500000000001,23024.974090576172,2200,2,1.4312500000000001,58237.159408569336,2200,2,1.4312500000000001,46622.69250488281,2200,2,1.4312500000000001,58233.839111328125,2200,2,1.4312500000000001,22380.785263061523,2179,2194,2188,2150,2160,2072,2096,2150,2192,2186,2194,2065,2093,2187,2098,2182,10,6.45161247253418,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,6.45161247253418,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,7.142857551574707,10,0,0,16665841664,4294963200,925364224,241434624
1000,1744848121890,29756.895416259766,2200,2,0.9625,51966.46844482422,2200,2,0.9625,41994.5768737793,2200,2,0.9625,54118.662826538086,2200,2,0.9625,23024.980926513672,2200,2,0.9625,58237.16427612305,2200,2,0.9625,46622.70249938965,2200,2,0.9625,58233.868103027344,2200,2,0.9625,22387.1759185791,2179,2194,2188,2150,2160,2072,2096,2150,2192,2186,2194,2065,2093,2187,2098,2182,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,924196864,241434624
1000,1744848122890,29756.898071289063,2200,2,0.8125,51966.472579956055,2200,2,0.8125,41994.580642700195,2200,2,0.8125,54118.664291381836,2200,2,0.8125,23024.98324584961,2200,2,0.8375,58237.16612243652,2200,2,0.8375,46622.70474243164,2200,2,0.8375,58233.8720703125,2200,2,0.8375,22393.2166595459,2179,2194,2188,2150,2160,2072,2096,2150,2192,2186,2194,2065,2093,2187,2098,2182,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16665841664,4294963200,924196864,241434624
1000,1744848123890,29756.90138244629,2133.333333333333,2,0.9125,51966.48390197754,3200,1,0.9125,41994.58387756348,2200,2,0.9625,54118.66700744629,2200,2,0.9625,23024.98599243164,2200,2,0.9625,58237.16879272461,2200,2,0.9625,46622.707458496094,2200,2,0.9625,58233.87495422363,2200,2,0.9625,22399.284301757813,2179,2194,2188,2150,2160,2072,2096,2150,2192,2186,2194,2065,2093,2187,2098,2182,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,922599424,241434624
1000,1744848124891,29756.90313720703,2200,2,0.8125,51966.489196777344,2200,2,0.8125,41994.5869140625,2200,2,0.85,54118.66896057129,2200,2,0.85,23024.98780822754,2200,2,0.85,58237.17041015625,2200,2,0.85,46622.71032714844,2200,2,0.85,58233.876388549805,2200,2,0.85,22405.311477661133,2179,2194,2188,2150,2160,2072,2096,2150,2192,2186,2194,2065,2093,2187,2098,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,921845760,241434624
1000,1744848125891,29756.905853271484,2200,2,0.84375,51966.49546813965,2200,2,0.84375,41994.590087890625,2200,2,0.84375,54118.67199707031,2200,2,0.84375,23024.990997314453,2200,2,0.84375,58237.17451477051,2200,2,0.89375,46622.71505737305,2200,2,0.89375,58233.8790435791,2200,2,0.89375,22411.38932800293,2179,2194,2188,2150,2160,2072,2096,2150,2192,2186,2194,2065,2093,2187,2098,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,920371200,241434624
1000,1744848126892,29756.90850830078,2200,2,0.85,51966.5030670166,2200,2,0.85,41994.59338378906,2200,2,0.85,54118.674377441406,2200,2,0.85,23024.993133544922,2200,2,0.85,58237.176834106445,2200,2,0.85,46622.71830749512,2200,2,0.85,58233.881927490234,2200,2,0.85,22417.414657592773,2179,2194,2188,2150,2160,2072,2096,2150,2192,2186,2194,2065,2093,2187,2098,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,920371200,241434624
1000,1744848127892,29756.916915893555,2200,2,0.84375,51966.50946044922,2200,2,0.84375,41994.59638977051,2200,2,0.84375,54118.678161621094,2200,2,0.84375,23024.997665405273,2200,2,0.84375,58237.17951965332,2200,2,0.88125,46622.72155761719,2200,2,0.88125,58233.884536743164,2200,2,0.88125,22423.513580322266,2179,2194,2188,2150,2160,2072,2096,2150,2192,2186,2194,2065,2093,2187,2098,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,917278720,241434624
1000,1744848128893,29756.91896057129,2200,2,0.85,51966.51672363281,2200,2,0.85,41994.59873962402,2200,2,0.85,54118.6824798584,2200,2,0.85,23024.999572753906,2200,2,0.85,58237.18115234375,2200,2,0.85,46622.723388671875,2200,2,0.85,58233.88638305664,2200,2,0.85,22429.536514282227,2179,2194,2188,2150,2160,2072,2096,2150,2192,2186,2194,2065,2093,2187,2098,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,917278720,241434624
