Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745030666937,63667.082580566406,2200,2,0.8375,57554.47331237793,2200,2,0.8375,38170.771224975586,2200,2,0.8375,59684.84484863281,2200,2,0.8375,54726.53631591797,2200,2,0.8375,64438.5055847168,2200,2,0.8375,47400.69204711914,2200,2,0.8375,19389.91664123535,2200,2,0.8375,63879.73937988281,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,3.5714287757873535,3.4482758045196533,6.896551609039307,3.5714287757873535,0,3.5714287757873535,3.4482758045196533,3.5714287757873535,7.142857551574707,6.6666669845581055,0,3.4482758045196533,0,3.5714287757873535,0,0,16665841664,4294963200,853987328,290717696
1000,1745030666937,63667.082916259766,2200,2,0.8375,57554.47344970703,2200,2,0.8375,38170.77444458008,2200,2,0.8375,59684.844955444336,2200,2,0.8375,54726.53758239746,2200,2,0.8375,64438.50639343262,2200,2,0.8375,47400.692306518555,2200,2,0.8375,19389.917114257813,2200,2,0.8375,63879.76417541504,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,3.5714287757873535,3.4482758045196533,6.896551609039307,3.5714287757873535,0,3.5714287757873535,3.4482758045196533,3.5714287757873535,7.142857551574707,6.6666669845581055,0,3.4482758045196533,0,3.5714287757873535,0,0,16665841664,4294963200,853987328,290717696
1000,1745030667938,63667.08561706543,2133.333333333333,2,0.95625,57554.47703552246,3200,1,0.95625,38170.78186035156,2133.333333333333,2,0.95625,59684.847427368164,2133.333333333333,2,0.95625,54726.54150390625,2200,2,0.95625,64438.511795043945,2200,2,0.95625,47400.70512390137,2200,2,0.95625,19389.931610107422,2200,2,0.95625,63885.98059082031,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0,0,0,0,0,0,0,0.9900990128517151,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,854626304,290717696
1000,1745030668938,63667.08770751953,2133.333333333333,2,0.88125,57554.481201171875,3000,2,0.9625,38170.78970336914,2000,2,0.9625,59684.849365234375,2000,2,0.9625,54726.544372558594,2200,2,0.9625,64438.513732910156,2200,2,0.9625,47400.706771850586,2200,2,0.9625,19389.933319091797,2200,2,0.9625,63891.978942871094,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854626304,290717696
1000,1745030669939,63667.09100341797,2175,2,0.9125,57554.4864654541,4350,0,0.9125,38170.79357910156,2175,2,0.9125,59684.85264587402,2175,2,0.9125,54726.549880981445,2200,2,0.9125,64438.519271850586,2200,2,0.9125,47400.710510253906,2200,2,0.9125,19389.937438964844,2200,2,0.9125,63898.0119934082,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,853999616,290717696
1000,1745030670939,63667.11535644531,2175,2,1.475,57554.491287231445,4350,0,1.475,38170.79739379883,2175,2,1.475,59684.85580444336,2175,2,1.475,54726.55274963379,2200,2,1.475,64438.524154663086,2200,2,1.475,47400.714935302734,2200,2,1.475,19389.943969726563,2200,2,1.475,63904.059494018555,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,853999616,290717696
1000,1745030671939,63667.13626098633,2133.333333333333,2,0.975,57554.504791259766,3200,1,0.975,38170.8024597168,2133.333333333333,2,0.975,59684.86019897461,2133.333333333333,2,0.975,54726.559814453125,2200,2,0.975,64438.52801513672,2200,2,0.975,47400.718658447266,2200,2,0.975,19389.947311401367,2200,2,0.975,63910.15661621094,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,853925888,290717696
1000,1745030672940,63667.137954711914,2133.333333333333,2,0.9125,57554.51336669922,3200,1,0.9125,38170.8049621582,2133.333333333333,2,0.9125,59684.86231994629,2133.333333333333,2,0.9125,54726.5616607666,2200,2,0.95625,64438.52993774414,2200,2,0.95625,47400.72053527832,2200,2,0.95625,19389.94891357422,2200,2,0.95625,63916.14083862305,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,853925888,290717696
1000,1745030673940,63667.14144897461,2175,2,0.88125,57554.521392822266,4350,0,0.88125,38170.80993652344,2175,2,0.88125,59684.8662109375,2175,2,0.88125,54726.56944274902,2200,2,0.88125,64438.5383605957,2200,2,0.88125,47400.724670410156,2200,2,0.88125,19389.95329284668,2200,2,0.88125,63922.28903198242,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,853925888,290717696
1000,1745030674941,63667.15115356445,2175,2,0.91875,57554.54588317871,4350,0,1.5,38170.81478881836,2175,2,1.5,59684.87014770508,2175,2,1.5,54726.57261657715,2200,2,1.5,64438.5440826416,2200,2,1.5,47400.7276763916,2200,2,1.5,19389.95835876465,2200,2,1.5,63928.33627319336,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,853925888,290717696
1000,1745030675941,63667.15605163574,2175,2,0.88125,57554.56182861328,4350,0,0.88125,38170.81945800781,2175,2,0.88125,59684.875259399414,2175,2,0.88125,54726.58038330078,2200,2,0.88125,64438.5489654541,2200,2,0.88125,47400.731994628906,2200,2,1.4937500000000001,19389.96226501465,2200,2,1.4937500000000001,63934.453186035156,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,853925888,290717696
1000,1745030676942,63667.16598510742,2133.333333333333,2,0.95625,57554.57270812988,3200,1,0.95625,38170.8215637207,2133.333333333333,2,0.95625,59684.87747192383,2133.333333333333,2,0.95625,54726.58235168457,2200,2,0.95625,64438.552337646484,2200,2,0.95625,47400.73422241211,2200,2,0.9875,19389.964248657227,2200,2,0.9875,63940.46612548828,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,853925888,290717696
1000,1745030677942,63667.17007446289,2175,2,0.90625,57554.578216552734,4350,0,0.90625,38170.823959350586,2175,2,0.90625,59684.87928771973,2175,2,0.90625,54726.58625793457,2200,2,0.90625,64438.555908203125,2200,2,0.90625,47400.736083984375,2200,2,0.90625,19389.967697143555,2200,2,0.90625,63946.514877319336,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,853106688,290717696
1000,1745030678943,63667.174377441406,2133.333333333333,2,0.88125,57554.60008239746,3200,1,0.88125,38170.82763671875,2133.333333333333,2,0.88125,59684.88188171387,2133.333333333333,2,0.88125,54726.5887298584,2200,2,0.88125,64438.563049316406,2200,2,0.88125,47400.739822387695,2200,2,0.88125,19389.97250366211,2200,2,0.88125,63952.53221130371,2149,2188,2152,2190,2177,2180,2191,2187,2192,2178,2184,2177,2173,2071,2176,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,853106688,290717696
