Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744870351951,4789.939910888672,2200,2,0.8375,13761.935791015625,2200,2,0.8375,2404.8946838378906,2200,2,0.8375,9439.485717773438,2200,2,0.8375,985.3087463378906,2200,2,0.8375,16496.420669555664,2200,2,0.8375,3319.559783935547,2200,2,0.8375,24114.9630279541,2200,2,0.8375,11467.798248291016,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,6.6666669845581055,10.714285850524902,0,3.4482758045196533,0,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.4482758045196533,16665841664,4294963200,900542464,246677504
1000,1744870351951,4789.94026184082,2200,2,0.8375,13761.935943603516,2200,2,0.8375,2404.8974609375,2200,2,0.8375,9439.486724853516,2200,2,0.8375,985.3088531494141,2200,2,0.8375,16496.420776367188,2200,2,0.8375,3319.5614471435547,2200,2,0.8375,24114.963500976563,2200,2,0.8375,11467.822036743164,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,6.6666669845581055,10.714285850524902,0,3.4482758045196533,0,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.4482758045196533,16665841664,4294963200,901054464,246677504
1000,1744870352952,4789.943252563477,2000,2,0.9625,13761.938919067383,3000,2,0.9625,2404.9015350341797,2000,2,0.9625,9439.49267578125,2000,2,0.9625,985.3124237060547,2200,2,0.9625,16496.423309326172,2200,2,0.9625,3319.5752868652344,2200,2,0.9625,24114.98764038086,2200,2,0.9625,11474.20491027832,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,901312512,246677504
1000,1744870353952,4789.945327758789,2133.333333333333,2,0.88125,13761.942474365234,3200,1,0.88125,2404.903839111328,2133.333333333333,2,0.88125,9439.494827270508,2000,2,0.9625,985.3140106201172,2200,2,0.9625,16496.42463684082,2200,2,0.9625,3319.581024169922,2200,2,0.9625,24114.988723754883,2200,2,0.9625,11480.244979858398,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,901189632,246677504
1000,1744870354953,4789.949844360352,2200,2,0.84375,13761.950805664063,2200,2,0.84375,2404.9080200195313,2200,2,0.84375,9439.49723815918,2200,2,0.84375,985.3169250488281,2200,2,0.84375,16496.429977416992,2200,2,0.84375,3319.590316772461,2200,2,0.84375,24114.9910736084,2200,2,0.84375,11486.396743774414,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,901189632,246677504
1000,1744870355953,4789.952972412109,2133.333333333333,2,0.88125,13761.953231811523,3000,2,0.9625,2404.9107055664063,2000,2,0.9625,9439.49919128418,2000,2,0.9625,985.3187561035156,2200,2,0.9625,16496.431701660156,2200,2,0.9625,3319.595230102539,2200,2,0.9625,24114.99285888672,2200,2,0.9625,11492.474990844727,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,16665841664,4294963200,899727360,246677504
1000,1744870356954,4789.955825805664,2000,2,0.9625,13761.956634521484,3000,2,0.9625,2404.9161376953125,2000,2,0.9625,9439.501403808594,2000,2,0.9625,985.3211517333984,2200,2,0.94375,16496.433517456055,2200,2,0.94375,3319.6038208007813,2200,2,0.94375,24114.99476623535,2200,2,0.94375,11498.56689453125,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,898191360,246677504
1000,1744870357954,4789.959091186523,2000,2,0.9625,13761.959426879883,3000,2,0.9625,2404.919387817383,2000,2,0.9625,9439.50375366211,2000,2,0.9625,985.3253631591797,2200,2,0.9625,16496.436126708984,2200,2,0.9625,3319.609420776367,2200,2,0.9625,24114.996810913086,2200,2,0.9625,11504.63508605957,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,896847872,246677504
1000,1744870358955,4789.96223449707,2200,2,0.8125,13761.967590332031,2200,2,0.8125,2404.923324584961,2200,2,0.8125,9439.505722045898,2200,2,0.8125,985.3281097412109,2200,2,0.84375,16496.43992614746,2200,2,0.84375,3319.6194763183594,2200,2,0.84375,24114.998657226563,2200,2,0.84375,11510.756774902344,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,896847872,246677504
1000,1744870359955,4789.965774536133,2000,2,0.95625,13761.970397949219,3000,2,0.95625,2404.9266357421875,2000,2,0.95625,9439.508102416992,2000,2,0.95625,985.3304290771484,2200,2,0.95625,16496.4422454834,2200,2,0.95625,3319.6278228759766,2200,2,0.95625,24115.000717163086,2200,2,0.96875,11516.865432739258,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,16665841664,4294963200,895672320,246677504
1000,1744870360956,4789.96826171875,2133.333333333333,2,0.88125,13761.97265625,3200,1,0.88125,2404.9288482666016,2000,2,0.88125,9439.509963989258,2000,2,0.9625,985.3325653076172,2200,2,0.9625,16496.444381713867,2200,2,0.9625,3319.633285522461,2200,2,0.9625,24115.002365112305,2200,2,0.9625,11522.897171020508,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,895672320,246677504
1000,1744870361956,4789.971450805664,2000,2,1.425,13761.98127746582,3000,2,1.425,2404.9328002929688,2000,2,1.425,9439.512023925781,2000,2,1.425,985.3347473144531,2200,2,1.425,16496.446319580078,2200,2,1.425,3319.6445922851563,2200,2,1.425,24115.004180908203,2200,2,1.425,11529.00454711914,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,894644224,246677504
1000,1744870362956,4789.976409912109,1500,2,0.9,13761.99203491211,3000,2,1.48125,2404.9420776367188,2000,2,1.48125,9439.515609741211,2000,2,1.48125,985.3401031494141,2200,2,1.48125,16496.45330810547,2200,2,1.48125,3319.6642456054688,2200,2,1.48125,24115.007690429688,2200,2,1.48125,11535.176864624023,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,894644224,246677504
1000,1744870363957,4789.982070922852,2175,2,0.9125,13761.996444702148,4350,0,0.9125,2404.9462890625,2175,2,0.9125,9439.522171020508,2175,2,0.9125,985.3448638916016,2200,2,0.9125,16496.45703125,2200,2,0.9125,3319.6822357177734,2200,2,1.425,24115.011322021484,2200,2,1.425,11541.319747924805,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893743104,246677504
1000,1744870364957,4789.985916137695,2200,2,0.85,13761.999404907227,2200,2,0.85,2404.9490966796875,2200,2,0.85,9439.524475097656,2200,2,0.85,985.3475952148438,2200,2,0.85,16496.45932006836,2200,2,0.85,3319.6910705566406,2200,2,0.85,24115.013427734375,2200,2,0.85,11547.376022338867,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893743104,246677504
1000,1744870365958,4789.988357543945,2133.333333333333,2,0.88125,13762.002655029297,3200,1,0.88125,2404.951614379883,2133.333333333333,2,0.88125,9439.526321411133,2000,2,0.9625,985.3496551513672,2200,2,0.9625,16496.461380004883,2200,2,0.9625,3319.698471069336,2200,2,0.9625,24115.01463317871,2200,2,0.9625,11553.436492919922,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,892956672,246677504
1000,1744870366958,4789.990753173828,2000,2,1.5250000000000001,13762.010879516602,3000,2,1.5250000000000001,2404.9539337158203,2000,2,1.5250000000000001,9439.527954101563,2000,2,1.5250000000000001,985.3518218994141,2200,2,1.5250000000000001,16496.464233398438,2200,2,1.5250000000000001,3319.712692260742,2200,2,1.5250000000000001,24115.017471313477,2200,2,1.5250000000000001,11559.535751342773,2032,1967,2196,2180,2189,2013,2183,2186,2189,2130,2188,2177,2027,2099,2173,1969,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,16665841664,4294963200,892956672,246677504
