Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744879350014,24012.873504638672,2200,2,0.84375,24896.332138061523,2200,2,0.84375,11744.498001098633,2200,2,0.84375,17084.622192382813,2200,2,0.84375,20519.347885131836,2200,2,0.84375,26961.660247802734,2200,2,0.8375,9528.382553100586,2200,2,0.8375,34768.673919677734,2200,2,0.8375,60776.55613708496,2163,2140,2154,2187,2192,2092,2022,1918,2193,2135,2173,2177,1896,1968,2061,2191,0,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.4482758045196533,0,0,0,6.896551609039307,3.4482758045196533,0,3.4482758045196533,3.5714287757873535,7.407407283782959,6.896551609039307,16665841664,4294963200,912654336,248512512
1000,1744879350014,24012.876739501953,2200,2,0.8375,24896.332489013672,2200,2,0.8375,11744.498092651367,2200,2,0.8375,17084.622299194336,2200,2,0.8375,20519.34799194336,2200,2,0.8375,26961.66227722168,2200,2,0.8375,9528.382705688477,2200,2,0.8375,34768.67558288574,2200,2,0.8375,60776.57997131348,2163,2140,2154,2187,2192,2092,2022,1918,2193,2135,2173,2177,1896,1968,2061,2191,0,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.4482758045196533,0,0,0,6.896551609039307,3.4482758045196533,0,3.4482758045196533,3.5714287757873535,7.407407283782959,6.896551609039307,16665841664,4294963200,912654336,248512512
1000,1744879351015,24012.884338378906,2000,2,0.95625,24896.33576965332,3000,2,0.95625,11744.50015258789,2000,2,0.95625,17084.624221801758,2000,2,0.95625,20519.35060119629,2200,2,0.95625,26961.666702270508,2200,2,0.95625,9528.386199951172,2200,2,0.95625,34768.67964172363,2200,2,0.9375,60782.67868041992,2163,2140,2154,2187,2192,2092,2022,1918,2193,2135,2173,2177,1896,1968,2061,2191,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0.9900990128517151,0,16665841664,4294963200,912908288,248512512
1000,1744879352015,24012.916961669922,2175,2,0.88125,24896.34312438965,4350,0,0.88125,11744.505432128906,2175,2,1.475,17084.62873840332,2175,2,1.475,20519.35464477539,2200,2,1.475,26961.67286682129,2200,2,1.475,9528.390151977539,2200,2,1.475,34768.68251037598,2200,2,1.475,60788.81735229492,2163,2140,2154,2187,2192,2092,2022,1918,2193,2135,2173,2177,1896,1968,2061,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,912674816,248512512
1000,1744879353016,24012.91896057129,2200,2,0.84375,24896.35122680664,2200,2,0.84375,11744.507720947266,2200,2,0.84375,17084.63070678711,2200,2,0.84375,20519.356536865234,2200,2,0.84375,26961.67448425293,2200,2,0.875,9528.391860961914,2200,2,0.875,34768.683670043945,2200,2,0.875,60794.87937927246,2163,2140,2154,2187,2192,2092,2022,1918,2193,2135,2173,2177,1896,1968,2061,2191,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,912224256,248512512
1000,1744879354016,24012.92445373535,2200,2,0.81875,24896.355346679688,2200,2,0.81875,11744.510345458984,2200,2,0.8375,17084.633728027344,2200,2,0.8375,20519.360321044922,2200,2,0.8375,26961.677185058594,2200,2,0.8375,9528.394271850586,2200,2,0.8375,34768.68701171875,2200,2,0.8375,60800.929458618164,2163,2140,2154,2187,2192,2092,2022,1918,2193,2135,2173,2177,1896,1968,2061,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,909066240,248512512
1000,1744879355017,24012.925842285156,2200,2,0.84375,24896.360778808594,2200,2,0.84375,11744.512145996094,2200,2,0.84375,17084.635192871094,2200,2,0.84375,20519.36311340332,2200,2,0.84375,26961.67886352539,2200,2,0.88125,9528.39633178711,2200,2,0.88125,34768.68850708008,2200,2,0.88125,60806.97985839844,2163,2140,2154,2187,2192,2092,2022,1918,2193,2135,2173,2177,1896,1968,2061,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,908902400,248512512
1000,1744879356017,24012.93421936035,2200,2,0.85,24896.36767578125,2200,2,0.85,11744.515808105469,2200,2,0.85,17084.640029907227,2200,2,0.85,20519.3663482666,2200,2,0.85,26961.681884765625,2200,2,0.85,9528.39990234375,2200,2,0.85,34768.69139099121,2200,2,0.85,60813.11378479004,2163,2140,2154,2187,2192,2092,2022,1918,2193,2135,2173,2177,1896,1968,2061,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906977280,248512512
1000,1744879357018,24012.942901611328,2133.333333333333,2,0.88125,24896.37126159668,3200,1,0.88125,11744.518859863281,2133.333333333333,2,0.9625,17084.64259338379,2133.333333333333,2,0.9625,20519.369201660156,2200,2,0.9625,26961.684997558594,2200,2,0.9625,9528.403793334961,2200,2,0.9625,34768.69372558594,2200,2,0.9625,60819.17677307129,2163,2140,2154,2187,2192,2092,2022,1918,2193,2135,2173,2177,1896,1968,2061,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906977280,248512512
1000,1744879358018,24012.949966430664,2200,2,0.85,24896.375198364258,2200,2,0.85,11744.523056030273,2200,2,0.85,17084.647079467773,2200,2,0.85,20519.372528076172,2200,2,0.85,26961.689880371094,2200,2,0.89375,9528.407012939453,2200,2,0.89375,34768.69607543945,2200,2,0.89375,60825.29786682129,2163,2140,2154,2187,2192,2092,2022,1918,2193,2135,2173,2177,1896,1968,2061,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905707520,248512512
