Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745016874184,37975.09646606445,2200,2,0.8375,44558.229431152344,2200,2,0.8375,20814.175186157227,2200,2,0.8375,47168.568618774414,2200,2,0.8375,29318.719146728516,2200,2,0.8375,49734.58612060547,2200,2,0.8375,34064.64051818848,2200,2,0.8375,6387.302169799805,2200,2,0.8375,56403.485931396484,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,3.125,6.060606002807617,3.125,0,0,3.125,3.125,0,3.0303030014038086,0,0,3.125,3.125,6.45161247253418,0,0,16665841664,4294963200,871649280,290979840
1000,1745016874184,37975.1012878418,2200,2,0.8375,44558.229583740234,2200,2,0.8375,20814.17742919922,2200,2,0.8375,47168.57032775879,2200,2,0.8375,29318.719299316406,2200,2,0.8375,49734.58628845215,2200,2,0.8375,34064.64067077637,2200,2,0.8375,6387.305374145508,2200,2,0.8375,56403.51206970215,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,3.125,6.060606002807617,3.125,0,0,3.125,3.125,0,3.0303030014038086,0,0,3.125,3.125,6.45161247253418,0,0,16665841664,4294963200,871649280,290979840
1000,1745016875184,37975.10255432129,2200,2,0.8125,44558.23243713379,2200,2,0.8125,20814.179946899414,2200,2,0.8125,47168.57339477539,2200,2,0.8375,29318.720947265625,2200,2,0.8375,49734.58728027344,2200,2,0.8375,34064.64175415039,2200,2,0.8375,6387.353973388672,2200,2,0.8375,56410.06851196289,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,871903232,290979840
1000,1745016876185,37975.10580444336,2000,2,0.95625,44558.236557006836,3000,2,0.95625,20814.182861328125,2000,2,0.95625,47168.576095581055,2000,2,0.95625,29318.724197387695,2200,2,0.95625,49734.59115600586,2200,2,0.95625,34064.64463806152,2200,2,0.93125,6387.362548828125,2200,2,0.93125,56416.21383666992,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871903232,290979840
1000,1745016877185,37975.1076965332,2200,2,0.81875,44558.238525390625,2200,2,0.84375,20814.184494018555,2200,2,0.84375,47168.57783508301,2200,2,0.84375,29318.72560119629,2200,2,0.84375,49734.59260559082,2200,2,0.84375,34064.64601135254,2200,2,0.84375,6387.36865234375,2200,2,0.84375,56422.274490356445,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871903232,290979840
1000,1745016878186,37975.111068725586,2133.333333333333,2,0.9125,44558.24287414551,3200,1,0.9125,20814.186645507813,2133.333333333333,2,0.9125,47168.57997131348,2133.333333333333,2,0.9125,29318.729690551758,2200,2,0.9125,49734.59704589844,2200,2,0.9125,34064.65043640137,2200,2,0.9125,6387.37727355957,2200,2,0.9125,56428.41162109375,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871903232,290979840
1000,1745016879186,37975.11520385742,2175,2,0.9125,44558.24676513672,4350,0,1.53125,20814.191360473633,2175,2,1.53125,47168.58312988281,2175,2,1.53125,29318.73667907715,2200,2,1.53125,49734.59999084473,2200,2,1.53125,34064.653091430664,2200,2,1.53125,6387.3927001953125,2200,2,1.53125,56434.51982116699,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,871903232,290979840
1000,1745016880187,37975.11981201172,2200,2,0.8125,44558.253479003906,2200,2,0.8125,20814.19595336914,2200,2,0.8125,47168.5887298584,2200,2,0.8125,29318.741104125977,2200,2,0.85,49734.60368347168,2200,2,0.85,34064.656494140625,2200,2,0.85,6387.407028198242,2200,2,0.85,56440.67297363281,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871903232,290979840
1000,1745016881187,37975.12170410156,2133.333333333333,2,0.9125,44558.25624084473,4350,0,0.95625,20814.19807434082,2175,2,0.95625,47168.59086608887,2175,2,0.95625,29318.7442779541,2200,2,0.95625,49734.60514831543,2200,2,0.95625,34064.65841674805,2200,2,0.95625,6387.419525146484,2200,2,0.95625,56446.75,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871903232,290979840
1000,1745016882188,37975.12747192383,2133.333333333333,2,0.8125,44558.26397705078,3200,1,0.8125,20814.200897216797,2133.333333333333,2,0.9625,47168.59359741211,2133.333333333333,2,0.9625,29318.747314453125,2200,2,0.9625,49734.61209106445,2200,2,0.9625,34064.662368774414,2200,2,0.9625,6387.429138183594,2200,2,0.9625,56452.85252380371,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871903232,290979840
1000,1745016883188,37975.13098144531,2175,2,0.95625,44558.268630981445,4350,0,0.95625,20814.203536987305,2175,2,0.95625,47168.59706115723,2175,2,0.95625,29318.750091552734,2200,2,0.95625,49734.6169128418,2200,2,0.95625,34064.665267944336,2200,2,0.95625,6387.442855834961,2200,2,0.95625,56458.97245788574,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871895040,290979840
1000,1745016884189,37975.13545227051,2175,2,0.88125,44558.274169921875,4350,0,0.88125,20814.207580566406,2175,2,0.88125,47168.60209655762,2175,2,1.48125,29318.754302978516,2200,2,1.48125,49734.62501525879,2200,2,1.48125,34064.6690826416,2200,2,1.48125,6387.456466674805,2200,2,1.48125,56465.08322143555,2145,1988,4276,2145,2145,2143,4291,2145,4292,2140,2138,2145,4283,2138,2144,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871698432,290979840
