Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744907430935,18151.338485717773,2200,2,0.8375,55159.22494506836,2200,2,0.8375,35479.059310913086,2200,2,0.8375,51340.79666137695,2200,2,0.8375,4024.4594116210938,2200,2,0.8375,56184.21957397461,2200,2,0.8375,38979.069244384766,2200,2,0.8375,3196.5781860351563,2200,2,0.8375,35779.826263427734,2126,2129,3168,1874,2191,2195,2194,1917,3717,2127,2194,2190,2191,1968,2105,2125,3.125,3.125,0,0,0,6.060606002807617,3.125,0,5.882352828979492,6.060606002807617,3.0303030014038086,0,0,9.375,3.125,0,16665841664,4294963200,901595136,255590400
999,1744907430935,18151.340072631836,2200,2,0.8375,55159.225189208984,2200,2,0.8375,35479.05941772461,2200,2,0.8375,51340.796813964844,2200,2,0.8375,4024.4613494873047,2200,2,0.8375,56184.21974182129,2200,2,0.8375,38979.069412231445,2200,2,0.8375,3196.580291748047,2200,2,0.8375,35779.852798461914,2126,2129,3168,1874,2191,2195,2194,1917,3717,2127,2194,2190,2191,1968,2105,2125,3.125,3.125,0,0,0,6.060606002807617,3.125,0,5.882352828979492,6.060606002807617,3.0303030014038086,0,0,9.375,3.125,0,16665841664,4294963200,902107136,255590400
999,1744907431935,18151.35025024414,2200,2,0.8375,55159.23057556152,2200,2,0.8375,35479.062759399414,2200,2,0.8375,51340.80093383789,2200,2,0.8375,4024.465805053711,2200,2,0.8375,56184.22261047363,2200,2,0.8375,38979.07371520996,2200,2,0.8625,3196.621109008789,2200,2,0.8625,35786.52276611328,2126,2129,3168,1874,2191,2195,2194,1917,3717,2127,2194,2190,2191,1968,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,902356992,255590400
1000,1744907432935,18151.353607177734,2200,2,0.8375,55159.23580932617,2200,2,0.8375,35479.06521606445,2200,2,0.8375,51340.80401611328,2200,2,0.8375,4024.467987060547,2200,2,0.8375,56184.224533081055,2200,2,0.875,38979.07557678223,2200,2,0.875,3196.623046875,2200,2,0.875,35792.60598754883,2126,2129,3168,1874,2191,2195,2194,1917,3717,2127,2194,2190,2191,1968,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,902356992,255590400
1000,1744907433936,18151.3563079834,2133.333333333333,2,0.88125,55159.242248535156,3200,1,0.88125,35479.06727600098,2133.333333333333,2,0.88125,51340.80651855469,2133.333333333333,2,0.88125,4024.470245361328,2200,2,0.9625,56184.22801208496,2200,2,0.9625,38979.07748413086,2200,2,0.9625,3196.6268157958984,2200,2,0.9625,35798.71830749512,2126,2129,3168,1874,2191,2195,2194,1917,3717,2127,2194,2190,2191,1968,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,902356992,255590400
1000,1744907434936,18151.363693237305,2175,2,0.9125,55159.24996948242,4350,0,0.9125,35479.07174682617,2175,2,1.4312500000000001,51340.80844116211,2175,2,1.4312500000000001,4024.4733276367188,2200,2,1.4312500000000001,56184.23146057129,2200,2,1.4312500000000001,38979.08036804199,2200,2,1.4312500000000001,3196.6321411132813,2200,2,1.4312500000000001,35804.85940551758,2126,2129,3168,1874,2191,2195,2194,1917,3717,2127,2194,2190,2191,1968,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,902356992,255590400
1000,1744907435937,18151.37501525879,2200,2,0.8375,55159.261489868164,2200,2,0.8375,35479.07681274414,2200,2,0.8375,51340.81427001953,2200,2,0.8375,4024.4776306152344,2200,2,0.8375,56184.235122680664,2200,2,0.8375,38979.083984375,2200,2,0.8625,3196.635543823242,2200,2,0.8625,35811.04658508301,2126,2129,3168,1874,2191,2195,2194,1917,3717,2127,2194,2190,2191,1968,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,902356992,255590400
1000,1744907436937,18151.384689331055,2200,2,0.8125,55159.2654876709,2200,2,0.8125,35479.07862854004,2200,2,0.8125,51340.8157043457,2200,2,0.8125,4024.479202270508,2200,2,0.8375,56184.23663330078,2200,2,0.8375,38979.08573913574,2200,2,0.8375,3196.637420654297,2200,2,0.8375,35817.10494995117,2126,2129,3168,1874,2191,2195,2194,1917,3717,2127,2194,2190,2191,1968,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,902356992,255590400
1000,1744907437938,18151.38882446289,2200,2,0.8375,55159.271713256836,2200,2,0.8375,35479.080993652344,2200,2,0.8375,51340.817962646484,2200,2,0.8375,4024.4813537597656,2200,2,0.8375,56184.23878479004,2200,2,0.8375,38979.08769226074,2200,2,0.8375,3196.6393127441406,2200,2,0.85,35823.21049499512,2126,2129,3168,1874,2191,2195,2194,1917,3717,2127,2194,2190,2191,1968,2105,2125,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,902356992,255590400
1000,1744907438938,18151.390853881836,2133.333333333333,2,0.88125,55159.27510070801,3200,1,0.88125,35479.08221435547,2133.333333333333,2,0.88125,51340.81898498535,2133.333333333333,2,0.88125,4024.483444213867,2200,2,0.88125,56184.2405090332,2200,2,0.88125,38979.08935546875,2200,2,0.88125,3196.6407623291016,2200,2,0.88125,35829.27592468262,2126,2129,3168,1874,2191,2195,2194,1917,3717,2127,2194,2190,2191,1968,2105,2125,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,902356992,255590400
