Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744819891598,41286.1389465332,2133.333333333333,2,0.95625,20774.71141052246,3200,1,0.95625,16420.9451751709,2133.333333333333,2,0.95625,20198.0281829834,2133.333333333333,2,0.95625,34386.570404052734,2200,2,0.95625,19458.73223876953,2200,2,0.95625,15411.456176757813,2200,2,0.95625,20089.18295288086,2200,2,0.95625,36071.63252258301,1987,2200,1954,1847,3002,1936,2064,2415,4290,2200,2200,1855,2200,2303,2200,3082,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,0,0,0,6.6666669845581055,3.5714287757873535,0,3.4482758045196533,3.3333334922790527,0,3.4482758045196533,3.3333334922790527,16665841664,4294963200,1036529664,192413696
1000,1744819891598,41286.13934326172,2133.333333333333,2,0.95625,20774.715454101563,3200,1,0.95625,16420.945388793945,2133.333333333333,2,0.95625,20198.032180786133,2133.333333333333,2,0.95625,34386.572845458984,2200,2,0.95625,19458.732391357422,2200,2,0.95625,15411.456329345703,2200,2,0.9625,20089.184539794922,2200,2,0.9625,36071.65882873535,1987,2200,1954,1847,3002,1936,2064,2415,4290,2200,2200,1855,2200,2303,2200,3082,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,0,0,0,6.6666669845581055,3.5714287757873535,0,3.4482758045196533,3.3333334922790527,0,3.4482758045196533,3.3333334922790527,16665841664,4294963200,1036529664,192413696
1000,1744819892599,41286.14521789551,2000,2,1.5,20774.725372314453,3000,2,1.5,16420.951782226563,2000,2,1.5,20198.055587768555,2000,2,1.5,34386.58235168457,2200,2,1.5,19458.735946655273,2200,2,1.5,15411.460098266602,2200,2,1.5,20089.190368652344,2200,2,1.075,36077.97850036621,1987,2200,1954,1847,3002,1936,2064,2415,4290,2200,2200,1855,2200,2303,2200,3082,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,16665841664,4294963200,1036783616,192413696
1000,1744819893599,41286.14987182617,2200,2,0.83125,20774.737014770508,2200,2,0.8375,16420.958404541016,2200,2,0.8375,20198.07228088379,2200,2,0.8375,34386.58865356445,2200,2,0.8375,19458.749221801758,2200,2,0.8375,15411.473236083984,2200,2,0.8375,20089.194702148438,2200,2,0.8375,36084.20957946777,1987,2200,1954,1847,3002,1936,2064,2415,4290,2200,2200,1855,2200,2303,2200,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1036111872,192413696
1000,1744819894600,41286.15321350098,2133.333333333333,2,0.9125,20774.74217224121,3200,1,0.9125,16420.96273803711,2133.333333333333,2,0.9125,20198.083740234375,2133.333333333333,2,0.9125,34386.593032836914,2200,2,0.9625,19458.753799438477,2200,2,0.9625,15411.477416992188,2200,2,0.9625,20089.197814941406,2200,2,0.9625,36090.39791870117,1987,2200,1954,1847,3002,1936,2064,2415,4290,2200,2200,1855,2200,2303,2200,3082,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,16665841664,4294963200,1032019968,192413696
1000,1744819895600,41286.15751647949,2000,2,1.48125,20774.746170043945,3000,2,1.48125,16420.967056274414,2000,2,1.48125,20198.096908569336,2000,2,1.48125,34386.59736633301,2200,2,1.48125,19458.7568359375,2200,2,1.48125,15411.480758666992,2200,2,1.48125,20089.200912475586,2200,2,1.48125,36096.5548248291,1987,2200,1954,1847,3002,1936,2064,2415,4290,2200,2200,1855,2200,2303,2200,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1028440064,192413696
1000,1744819896601,41286.16015625,2200,2,0.8125,20774.748825073242,2200,2,0.8125,16420.970504760742,2200,2,0.8125,20198.10757446289,2200,2,0.8125,34386.600509643555,2200,2,0.8375,19458.760482788086,2200,2,0.8375,15411.484024047852,2200,2,0.8375,20089.203643798828,2200,2,0.8375,36102.61436462402,1987,2200,1954,1847,3002,1936,2064,2415,4290,2200,2200,1855,2200,2303,2200,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1028382720,192413696
1000,1744819897601,41286.16200256348,2000,2,0.95625,20774.7508392334,3000,2,0.95625,16420.972625732422,2000,2,0.95625,20198.113021850586,2000,2,0.95625,34386.60353088379,2200,2,0.95625,19458.76202392578,2200,2,0.95625,15411.485717773438,2200,2,0.9375,20089.20799255371,2200,2,0.9375,36108.70570373535,1987,2200,1954,1847,3002,1936,2064,2415,4290,2200,2200,1855,2200,2303,2200,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1026240512,192413696
1000,1744819898602,41286.17361450195,2175,2,0.88125,20774.75993347168,4350,0,1.53125,16420.97621154785,2175,2,1.53125,20198.117889404297,2175,2,1.53125,34386.60893249512,2200,2,1.53125,19458.76985168457,2200,2,1.53125,15411.489151000977,2200,2,1.53125,20089.216705322266,2200,2,1.53125,36114.86973571777,1987,2200,1954,1847,3002,1936,2064,2415,4290,2200,2200,1855,2200,2303,2200,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1018302464,192413696
1000,1744819899602,41286.18103027344,2175,2,0.9125,20774.76449584961,4350,0,0.9125,16420.981567382813,2175,2,0.9125,20198.12239074707,2175,2,0.9125,34386.61309814453,2200,2,0.9125,19458.77310180664,2200,2,0.9125,15411.49235534668,2200,2,0.9125,20089.219772338867,2200,2,0.9125,36120.96919250488,1987,2200,1954,1847,3002,1936,2064,2415,4290,2200,2200,1855,2200,2303,2200,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1016782848,192413696
