Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744885668186,36936.96725463867,2200,2,0.8375,31458.378616333008,2200,2,0.8375,16386.120040893555,2200,2,0.8375,22801.887237548828,2200,2,0.8375,29575.614166259766,2200,2,0.8375,34420.53186035156,2200,2,0.8375,17755.898208618164,2200,2,0.8375,42936.66596984863,2200,2,0.8375,54155.69857788086,2128,1943,2128,3191,2128,2072,1935,3060,2125,3067,1925,2127,2125,3177,2080,1868,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.846153974533081,0,3.7037036418914795,0,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.7037036418914795,7.692307949066162,3.7037036418914795,3.7037036418914795,6.896551609039307,16665841664,4294963200,945037312,248774656
1000,1744885668186,36936.969955444336,2200,2,0.8375,31458.378860473633,2200,2,0.8375,16386.121170043945,2200,2,0.8375,22801.88739013672,2200,2,0.8375,29575.614303588867,2200,2,0.8375,34420.531967163086,2200,2,0.8375,17755.899841308594,2200,2,0.8375,42936.666259765625,2200,2,0.8375,54155.711029052734,2128,1943,2128,3191,2128,2072,1935,3060,2125,3067,1925,2127,2125,3177,2080,1868,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.846153974533081,0,3.7037036418914795,0,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.7037036418914795,7.692307949066162,3.7037036418914795,3.7037036418914795,6.896551609039307,16665841664,4294963200,945037312,248774656
1000,1744885669187,36936.97326660156,2000,2,0.9625,31458.38201904297,3000,2,0.9625,16386.125259399414,2000,2,0.9625,22801.889678955078,2000,2,0.9625,29575.61602783203,2200,2,0.9625,34420.533462524414,2200,2,0.9625,17755.9288482666,2200,2,0.9625,42936.667877197266,2200,2,0.9625,54162.09420776367,2128,1943,2128,3191,2128,2072,1935,3060,2125,3067,1925,2127,2125,3177,2080,1868,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,16665841664,4294963200,945176576,248774656
1000,1744885670187,36936.97775268555,2200,2,0.8375,31458.386810302734,2200,2,0.8375,16386.13050842285,2200,2,0.8375,22801.891723632813,2200,2,0.8375,29575.621063232422,2200,2,0.8375,34420.5412902832,2200,2,0.8375,17755.932388305664,2200,2,0.8375,42936.67059326172,2200,2,0.8375,54168.25648498535,2128,1943,2128,3191,2128,2072,1935,3060,2125,3067,1925,2127,2125,3177,2080,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,945664000,248774656
1000,1744885671188,36936.984313964844,2133.333333333333,2,0.9625,31458.389404296875,3200,1,0.9625,16386.132614135742,2133.333333333333,2,0.9625,22801.89532470703,2133.333333333333,2,0.9625,29575.624450683594,2200,2,0.9625,34420.54342651367,2200,2,0.9625,17755.934371948242,2200,2,0.9625,42936.67251586914,2200,2,0.9625,54174.33317565918,2128,1943,2128,3191,2128,2072,1935,3060,2125,3067,1925,2127,2125,3177,2080,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,944582656,248774656
1000,1744885672188,36936.98861694336,2200,2,0.8125,31458.39860534668,2200,2,0.8125,16386.13702392578,2200,2,0.8125,22801.899536132813,2200,2,0.8125,29575.628494262695,2200,2,0.84375,34420.54782104492,2200,2,0.84375,17755.938217163086,2200,2,0.84375,42936.674743652344,2200,2,0.84375,54180.46807861328,2128,1943,2128,3191,2128,2072,1935,3060,2125,3067,1925,2127,2125,3177,2080,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,944582656,248774656
1000,1744885673189,36936.99133300781,2133.333333333333,2,0.9125,31458.40560913086,3200,1,0.95625,16386.1407623291,2133.333333333333,2,0.95625,22801.90155029297,2133.333333333333,2,0.95625,29575.630493164063,2200,2,0.95625,34420.55049133301,2200,2,0.95625,17755.939895629883,2200,2,0.95625,42936.67678833008,2200,2,0.95625,54186.54316711426,2128,1943,2128,3191,2128,2072,1935,3060,2125,3067,1925,2127,2125,3177,2080,1868,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,944582656,248774656
1000,1744885674189,36936.99955749512,2200,2,0.8125,31458.410751342773,2200,2,0.8125,16386.145217895508,2200,2,0.85,22801.904174804688,2200,2,0.85,29575.634216308594,2200,2,0.85,34420.556579589844,2200,2,0.85,17755.946228027344,2200,2,0.85,42936.67956542969,2200,2,0.85,54192.70756530762,2128,1943,2128,3191,2128,2072,1935,3060,2125,3067,1925,2127,2125,3177,2080,1868,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943489024,248774656
1000,1744885675190,36937.00442504883,2000,2,0.95625,31458.413024902344,3000,2,0.95625,16386.147674560547,2000,2,0.95625,22801.905670166016,2000,2,0.95625,29575.63575744629,2200,2,0.95625,34420.55821228027,2200,2,0.95625,17755.949630737305,2200,2,0.95625,42936.681213378906,2200,2,0.95625,54198.79000854492,2128,1943,2128,3191,2128,2072,1935,3060,2125,3067,1925,2127,2125,3177,2080,1868,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943489024,248774656
1000,1744885676190,36937.009704589844,2200,2,0.85,31458.419021606445,2200,2,0.85,16386.157150268555,2200,2,0.85,22801.911575317383,2200,2,0.85,29575.640884399414,2200,2,0.85,34420.56297302246,2200,2,0.85,17755.95445251465,2200,2,0.85,42936.685485839844,2200,2,0.85,54204.974212646484,2128,1943,2128,3191,2128,2072,1935,3060,2125,3067,1925,2127,2125,3177,2080,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,941207552,248774656
