Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744878495371,22633.825607299805,2133.333333333333,2,0.95625,24383.670196533203,3200,1,0.95625,10826.856704711914,2133.333333333333,2,0.95625,16304.28939819336,2133.333333333333,2,0.95625,18775.85987854004,2200,2,0.95625,26644.160552978516,2200,2,0.95625,9260.994888305664,2200,2,0.95625,33224.99725341797,2200,2,0.95625,44843.005950927734,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,6.896551609039307,6.896551609039307,3.5714287757873535,0,0,0,0,6.6666669845581055,0,6.896551609039307,0,11.111111640930176,0,3.5714287757873535,3.5714287757873535,3.5714287757873535,16665841664,4294963200,926896128,248512512
1000,1744878495371,22633.8260345459,2133.333333333333,2,0.95625,24383.67463684082,3200,1,0.9625,10826.85693359375,2133.333333333333,2,0.9625,16304.289611816406,2133.333333333333,2,0.9625,18775.86311340332,2200,2,0.9625,26644.162872314453,2200,2,0.9625,9260.9951171875,2200,2,0.9625,33224.99794006348,2200,2,0.9625,44843.03341674805,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,6.896551609039307,6.896551609039307,3.5714287757873535,0,0,0,0,6.6666669845581055,0,6.896551609039307,0,11.111111640930176,0,3.5714287757873535,3.5714287757873535,3.5714287757873535,16665841664,4294963200,926896128,248512512
1000,1744878496371,22633.830017089844,2200,2,0.8125,24383.683975219727,2200,2,0.8125,10826.861236572266,2200,2,0.8125,16304.292846679688,2200,2,0.8375,18775.871688842773,2200,2,0.8375,26644.1805267334,2200,2,0.8375,9260.998962402344,2200,2,0.8375,33225.01524353027,2200,2,0.8375,44849.30699157715,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,926896128,248512512
1000,1744878497372,22633.832397460938,2200,2,0.8375,24383.687423706055,2200,2,0.8375,10826.86491394043,2200,2,0.8375,16304.295425415039,2200,2,0.8375,18775.87727355957,2200,2,0.8375,26644.18376159668,2200,2,0.8375,9261.000732421875,2200,2,0.8375,33225.01875305176,2200,2,0.8375,44855.43055725098,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,926896128,248512512
1000,1744878498372,22633.83447265625,2200,2,0.8125,24383.692123413086,2200,2,0.85,10826.867370605469,2200,2,0.85,16304.297302246094,2200,2,0.85,18775.880630493164,2200,2,0.85,26644.192260742188,2200,2,0.85,9261.003051757813,2200,2,0.85,33225.02021789551,2200,2,0.85,44861.52517700195,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,926896128,248512512
1000,1744878499373,22633.836959838867,2200,2,0.85,24383.69566345215,2200,2,0.85,10826.869522094727,2200,2,0.85,16304.299728393555,2200,2,0.85,18775.884552001953,2200,2,0.9,26644.199951171875,2200,2,0.9,9261.007217407227,2200,2,0.9,33225.02389526367,2200,2,0.9,44867.66125488281,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,926896128,248512512
1000,1744878500373,22633.83920288086,2200,2,0.8375,24383.697875976563,2200,2,0.8375,10826.87223815918,2200,2,0.8375,16304.301666259766,2200,2,0.8375,18775.886352539063,2200,2,0.8375,26644.20538330078,2200,2,0.8375,9261.009094238281,2200,2,0.8375,33225.02526855469,2200,2,0.8375,44873.72380065918,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,926896128,248512512
1000,1744878501374,22633.84097290039,2133.333333333333,2,0.88125,24383.699951171875,3200,1,0.88125,10826.875381469727,2133.333333333333,2,0.88125,16304.303619384766,2133.333333333333,2,0.88125,18775.888275146484,2200,2,0.9625,26644.212631225586,2200,2,0.9625,9261.010848999023,2200,2,0.9625,33225.02844238281,2200,2,0.9625,44879.822982788086,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,926896128,248512512
1000,1744878502374,22633.8438873291,2200,2,0.8375,24383.706802368164,2200,2,0.8375,10826.877624511719,2200,2,0.8375,16304.306167602539,2200,2,0.8375,18775.89224243164,2200,2,0.8375,26644.22772216797,2200,2,0.8375,9261.01449584961,2200,2,0.8375,33225.03009033203,2200,2,0.8375,44885.93240356445,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,926650368,248512512
1000,1744878503375,22633.84652709961,2200,2,0.8125,24383.71144104004,2200,2,0.8125,10826.881591796875,2200,2,0.8375,16304.309143066406,2200,2,0.8375,18775.894744873047,2200,2,0.8375,26644.235137939453,2200,2,0.8375,9261.017074584961,2200,2,0.8375,33225.03283691406,2200,2,0.8375,44892.06741333008,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,926019584,248512512
1000,1744878504375,22633.852996826172,2200,2,0.8375,24383.714904785156,2200,2,0.8375,10826.883743286133,2200,2,0.8375,16304.310989379883,2200,2,0.8375,18775.896362304688,2200,2,0.88125,26644.241485595703,2200,2,0.88125,9261.01919555664,2200,2,0.88125,33225.034240722656,2200,2,0.88125,44898.114654541016,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,925626368,248512512
999,1744878505376,22633.856491088867,2000,2,0.9625,24383.717407226563,3000,2,0.9625,10826.88671875,2000,2,0.9625,16304.313110351563,2000,2,0.9625,18775.89793395996,2200,2,0.9625,26644.24769592285,2200,2,0.9625,9261.020721435547,2200,2,0.9625,33225.03575134277,2200,2,0.9625,44904.19352722168,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,925626368,248512512
1000,1744878506376,22633.85955810547,2000,2,1.0437500000000002,24383.725357055664,3000,2,1.0437500000000002,10826.8896484375,2000,2,1.0437500000000002,16304.31607055664,2000,2,1.0437500000000002,18775.902389526367,2200,2,1.0437500000000002,26644.264038085938,2200,2,1.0437500000000002,9261.023330688477,2200,2,1.0437500000000002,33225.03804016113,2200,2,1.0437500000000002,44910.32095336914,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,924729344,248512512
1000,1744878507376,22633.863220214844,2133.333333333333,2,0.88125,24383.73112487793,3000,2,0.9625,10826.896133422852,2000,2,0.9625,16304.320724487305,2000,2,0.9625,18775.90589904785,2200,2,0.9625,26644.27537536621,2200,2,0.9625,9261.026641845703,2200,2,0.9625,33225.044357299805,2200,2,0.9625,44916.487533569336,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,924729344,248512512
1000,1744878508377,22633.865173339844,2000,2,0.9625,24383.73338317871,3000,2,0.9625,10826.898193359375,2000,2,0.9625,16304.322616577148,2000,2,0.9625,18775.907608032227,2200,2,0.9625,26644.28271484375,2200,2,0.9625,9261.028564453125,2200,2,0.9625,33225.04574584961,2200,2,0.9625,44922.531326293945,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,923971584,248512512
1000,1744878509377,22633.868103027344,2200,2,0.84375,24383.738006591797,2200,2,0.84375,10826.902801513672,2200,2,0.84375,16304.326095581055,2200,2,0.84375,18775.910873413086,2200,2,0.84375,26644.288116455078,2200,2,0.84375,9261.031143188477,2200,2,0.84375,33225.05078125,2200,2,0.84375,44928.62098693848,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,923430912,248512512
1000,1744878510378,22633.87062072754,2133.333333333333,2,0.88125,24383.743103027344,3200,1,0.88125,10826.90576171875,2133.333333333333,2,0.88125,16304.328063964844,2000,2,0.88125,18775.913131713867,2200,2,0.9625,26644.297592163086,2200,2,0.9625,9261.033752441406,2200,2,0.9625,33225.05253601074,2200,2,0.9625,44934.73204040527,2010,2195,2070,2199,2087,2188,2187,2108,2013,2186,2129,4286,2145,2145,2185,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,922161152,248512512
