Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744822215335,45982.382415771484,2200,2,0.8375,22560.045822143555,2200,2,0.8375,17272.690399169922,2200,2,0.8375,22610.79705810547,2200,2,0.8375,38554.29574584961,2200,2,0.8375,23643.735397338867,2200,2,0.8375,16196.72248840332,2200,2,0.84375,21318.924591064453,2200,2,0.84375,13650.496292114258,2195,2186,2191,2195,2147,2157,4312,2151,2195,2190,2147,2146,4290,2149,2193,1958,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,0,6.896551609039307,0,0,3.3333334922790527,0,3.4482758045196533,6.6666669845581055,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,16665841664,4294963200,954900480,192413696
1000,1744822215336,45982.38265991211,2200,2,0.84375,22560.04669189453,2200,2,0.84375,17272.690841674805,2200,2,0.84375,22610.800064086914,2200,2,0.84375,38554.29585266113,2200,2,0.84375,23643.737045288086,2200,2,0.84375,16196.722595214844,2200,2,0.84375,21318.924758911133,2200,2,0.84375,13650.520538330078,2195,2186,2191,2195,2147,2157,4312,2151,2195,2190,2147,2146,4290,2149,2193,1958,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,0,6.896551609039307,0,0,3.3333334922790527,0,3.4482758045196533,6.6666669845581055,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,16665841664,4294963200,954900480,192413696
1000,1744822216336,45982.428649902344,2200,2,0.93125,22560.10301208496,2200,2,0.93125,17272.7198638916,2200,2,1.5125,22610.861557006836,2200,2,1.5125,38554.311584472656,2000,2,1.5125,23643.792251586914,2000,2,1.5125,16196.736038208008,3000,2,1.5125,21318.934173583984,2000,2,1.5125,13657.249649047852,2195,2186,2191,2195,2147,2157,4312,2151,2195,2190,2147,2146,4290,2149,2193,1958,0,0.9900990128517151,0,1.9607844352722168,0,1.9607844352722168,0,0,0,1.9801980257034302,0,0,0,0,0,0,16665841664,4294963200,956116992,192413696
1000,1744822217337,45982.432373046875,2133.333333333333,2,0.9,22560.106658935547,3000,2,0.9812500000000001,17272.723602294922,2000,2,0.9812500000000001,22610.866928100586,2000,2,0.9812500000000001,38554.31495666504,2000,2,0.9812500000000001,23643.801818847656,2000,2,0.9812500000000001,16196.739074707031,3000,2,0.9812500000000001,21318.93702697754,2000,2,0.9812500000000001,13663.40200805664,2195,2186,2191,2195,2147,2157,4312,2151,2195,2190,2147,2146,4290,2149,2193,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,956116992,192413696
1000,1744822218337,45982.44674682617,2175,2,0.9125,22560.111572265625,4350,0,0.9125,17272.727569580078,2175,2,0.9125,22610.87825012207,2175,2,0.9125,38554.319900512695,2200,2,0.9125,23643.817810058594,2200,2,0.9125,16196.742660522461,2200,2,0.9125,21318.94190979004,2200,2,0.9125,13669.617370605469,2195,2186,2191,2195,2147,2157,4312,2151,2195,2190,2147,2146,4290,2149,2193,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,956116992,192413696
1000,1744822219337,45982.45230102539,2175,2,0.9,22560.116744995117,3000,2,1.48125,17272.73274230957,2000,2,1.48125,22610.884002685547,2000,2,1.48125,38554.327087402344,2200,2,1.48125,23643.834884643555,2200,2,1.48125,16196.746505737305,2200,2,1.48125,21318.94903564453,2200,2,1.48125,13675.866821289063,2195,2186,2191,2195,2147,2157,4312,2151,2195,2190,2147,2146,4290,2149,2193,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,956116992,192413696
1000,1744822220338,45982.455978393555,2200,2,0.8375,22560.121124267578,2200,2,0.8375,17272.7381439209,2200,2,0.8375,22610.888229370117,2200,2,0.8375,38554.33041381836,2200,2,0.84375,23643.843322753906,2200,2,0.84375,16196.749969482422,2200,2,0.84375,21318.951202392578,2200,2,0.84375,13681.994384765625,2195,2186,2191,2195,2147,2157,4312,2151,2195,2190,2147,2146,4290,2149,2193,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,956116992,192413696
1000,1744822221338,45982.45994567871,2200,2,0.8375,22560.124084472656,2200,2,0.8375,17272.74058532715,2200,2,0.8375,22610.891311645508,2200,2,0.8375,38554.333740234375,2200,2,0.8375,23643.84928894043,2200,2,0.8375,16196.75210571289,2200,2,0.8375,21318.95474243164,2200,2,0.8375,13688.138977050781,2195,2186,2191,2195,2147,2157,4312,2151,2195,2190,2147,2146,4290,2149,2193,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,956116992,192413696
1000,1744822222339,45982.4635925293,2133.333333333333,2,0.88125,22560.128875732422,3200,1,0.88125,17272.74412536621,2133.333333333333,2,0.88125,22610.896682739258,2000,2,0.9625,38554.33787536621,2200,2,0.9625,23643.856414794922,2200,2,0.9625,16196.755004882813,2200,2,0.9625,21318.95883178711,2200,2,0.9625,13694.270431518555,2195,2186,2191,2195,2147,2157,4312,2151,2195,2190,2147,2146,4290,2149,2193,1958,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,956116992,192413696
1000,1744822223339,45982.467346191406,2000,2,1.48125,22560.13981628418,3000,2,1.48125,17272.747940063477,2000,2,1.48125,22610.90022277832,2000,2,1.48125,38554.34426879883,2200,2,1.48125,23643.871658325195,2200,2,1.48125,16196.758316040039,2200,2,1.48125,21318.966552734375,2200,2,1.48125,13700.51498413086,2195,2186,2191,2195,2147,2157,4312,2151,2195,2190,2147,2146,4290,2149,2193,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,956116992,192413696
