Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744875685691,16292.717544555664,2200,2,0.8375,20840.482055664063,2200,2,0.8375,7625.159652709961,2200,2,0.8375,13184.981704711914,2200,2,0.8375,12898.926086425781,2200,2,0.8375,23214.28205871582,2200,2,0.8375,6273.879180908203,2200,2,0.8375,29490.291702270508,2200,2,0.8375,51400.476806640625,2167,2191,2190,2188,3193,1874,2127,2094,2195,2195,3174,2042,2128,2128,2193,2195,3.7037036418914795,0,0,0,3.7037036418914795,0,3.5714287757873535,0,0,3.846153974533081,0,0,0,0,3.7037036418914795,7.692307949066162,16665841664,4294963200,901951488,248250368
1000,1744875685691,16292.71794128418,2200,2,0.8375,20840.485305786133,2200,2,0.8375,7625.159759521484,2200,2,0.8375,13184.981811523438,2200,2,0.8375,12898.926193237305,2200,2,0.8375,23214.283767700195,2200,2,0.8375,6273.879348754883,2200,2,0.8375,29490.293685913086,2200,2,0.8375,51400.50001525879,2167,2191,2190,2188,3193,1874,2127,2094,2195,2195,3174,2042,2128,2128,2193,2195,3.7037036418914795,0,0,0,3.7037036418914795,0,3.5714287757873535,0,0,3.846153974533081,0,0,0,0,3.7037036418914795,7.692307949066162,16665841664,4294963200,902434816,248250368
1000,1744875686692,16292.722091674805,2175,2,0.9125,20840.500259399414,2200,2,1.46875,7625.162933349609,2200,2,1.46875,13184.984680175781,2200,2,1.46875,12898.928955078125,2200,2,1.46875,23214.291473388672,2200,2,1.46875,6273.883041381836,2200,2,1.46875,29490.29835510254,2200,2,1.46875,51406.65707397461,2167,2191,2190,2188,3193,1874,2127,2094,2195,2195,3174,2042,2128,2128,2193,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903680000,248250368
1000,1744875687692,16292.72738647461,2200,2,0.81875,20840.503829956055,2200,2,0.81875,7625.165313720703,2200,2,0.84375,13184.987930297852,2200,2,0.84375,12898.931289672852,2200,2,0.84375,23214.29344177246,2200,2,0.84375,6273.885223388672,2200,2,0.84375,29490.300003051758,2200,2,0.84375,51412.76483154297,2167,2191,2190,2188,3193,1874,2127,2094,2195,2195,3174,2042,2128,2128,2193,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903680000,248250368
1000,1744875688693,16292.731048583984,2200,2,0.8375,20840.505813598633,2200,2,0.8375,7625.167694091797,2200,2,0.8375,13184.989761352539,2200,2,0.8375,12898.932815551758,2200,2,0.8375,23214.29493713379,2200,2,0.88125,6273.886642456055,2200,2,0.88125,29490.301239013672,2200,2,0.88125,51418.80880737305,2167,2191,2190,2188,3193,1874,2127,2094,2195,2195,3174,2042,2128,2128,2193,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903680000,248250368
1000,1744875689693,16292.736999511719,2133.333333333333,2,0.9625,20840.508361816406,3200,1,0.9625,7625.17106628418,2133.333333333333,2,0.9625,13184.992965698242,2133.333333333333,2,0.9625,12898.934524536133,2200,2,0.9625,23214.29637145996,2200,2,0.9625,6273.888076782227,2200,2,0.9625,29490.30258178711,2200,2,0.9625,51424.87072753906,2167,2191,2190,2188,3193,1874,2127,2094,2195,2195,3174,2042,2128,2128,2193,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903680000,248250368
1000,1744875690694,16292.74301147461,2175,2,0.88125,20840.513290405273,4350,0,0.88125,7625.173431396484,2175,2,0.88125,13184.997924804688,2175,2,0.88125,12898.936340332031,2200,2,0.88125,23214.29817199707,2200,2,1.48125,6273.8905029296875,2200,2,1.48125,29490.306213378906,2200,2,1.48125,51430.96760559082,2167,2191,2190,2188,3193,1874,2127,2094,2195,2195,3174,2042,2128,2128,2193,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903680000,248250368
1000,1744875691694,16292.761596679688,2133.333333333333,2,0.9625,20840.518173217773,3200,1,0.9625,7625.177520751953,2133.333333333333,2,0.9625,13185.004028320313,2133.333333333333,2,0.9625,12898.942733764648,2200,2,0.9625,23214.30436706543,2200,2,0.9625,6273.90022277832,2200,2,0.9875,29490.310150146484,2200,2,0.9875,51437.12658691406,2167,2191,2190,2188,3193,1874,2127,2094,2195,2195,3174,2042,2128,2128,2193,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903671808,248250368
1000,1744875692695,16292.771026611328,2133.333333333333,2,0.88125,20840.522521972656,3200,1,0.88125,7625.180374145508,2133.333333333333,2,0.9625,13185.006790161133,2133.333333333333,2,0.9625,12898.944931030273,2200,2,0.9625,23214.30662536621,2200,2,0.9625,6273.903884887695,2200,2,0.9625,29490.313049316406,2200,2,0.9625,51443.21939086914,2167,2191,2190,2188,3193,1874,2127,2094,2195,2195,3174,2042,2128,2128,2193,2195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,903671808,248250368
1000,1744875693695,16292.776092529297,2133.333333333333,2,0.95625,20840.525512695313,3200,1,0.95625,7625.183029174805,2133.333333333333,2,0.95625,13185.010299682617,2133.333333333333,2,0.95625,12898.947692871094,2200,2,0.95625,23214.309020996094,2200,2,0.99375,6273.90673828125,2200,2,0.99375,29490.314880371094,2200,2,0.99375,51449.30288696289,2167,2191,2190,2188,3193,1874,2127,2094,2195,2195,3174,2042,2128,2128,2193,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,16665841664,4294963200,903671808,248250368
