Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744976064201,23327.68441772461,2200,2,0.8375,64418.91654968262,2200,2,0.8375,38302.71565246582,2200,2,0.8375,63589.66270446777,2200,2,0.8375,12196.029815673828,2200,2,0.8375,586.0164794921875,2200,2,0.8375,52466.089935302734,2200,2,0.8375,19772.681243896484,2200,2,0.8375,56299.64712524414,2166,2194,2151,2200,2195,2140,2173,2123,2029,2071,2190,2180,2184,2177,2194,2180,3.125,3.22580623626709,0,6.25,0,6.25,3.22580623626709,3.22580623626709,3.22580623626709,0,6.45161247253418,0,3.22580623626709,9.67741870880127,0,3.22580623626709,16665841664,4294963200,878379008,289669120
1000,1744976064201,23327.684524536133,2200,2,0.8375,64418.91665649414,2200,2,0.8375,38302.71765136719,2200,2,0.8375,63589.664489746094,2200,2,0.8375,12196.029983520508,2200,2,0.8375,586.0166320800781,2200,2,0.8375,52466.090087890625,2200,2,0.8375,19772.684463500977,2200,2,0.8375,56299.67321777344,2166,2194,2151,2200,2195,2140,2173,2123,2029,2071,2190,2180,2184,2177,2194,2180,3.125,3.22580623626709,0,6.25,0,6.25,3.22580623626709,3.22580623626709,3.22580623626709,0,6.45161247253418,0,3.22580623626709,9.67741870880127,0,3.22580623626709,16665841664,4294963200,878379008,289669120
1000,1744976065202,23327.687133789063,2175,2,0.9125,64418.91976928711,4350,0,0.9125,38302.72004699707,2175,2,0.9125,63589.66683959961,2175,2,0.9125,12196.031387329102,2200,2,0.9125,586.0186920166016,2200,2,0.9125,52466.091217041016,2200,2,0.9125,19772.736373901367,2200,2,0.9125,56306.21842956543,2166,2194,2151,2200,2195,2140,2173,2123,2029,2071,2190,2180,2184,2177,2194,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878379008,289669120
1000,1744976066202,23327.69761657715,2000,2,1.5250000000000001,64418.93037414551,3000,2,1.5250000000000001,38302.72511291504,2000,2,1.5250000000000001,63589.67185974121,2000,2,1.5250000000000001,12196.043167114258,2200,2,1.5250000000000001,586.0244293212891,2200,2,1.5250000000000001,52466.09518432617,2200,2,1.5250000000000001,19772.756072998047,2200,2,1.5250000000000001,56312.450622558594,2166,2194,2151,2200,2195,2140,2173,2123,2029,2071,2190,2180,2184,2177,2194,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878608384,289669120
1000,1744976067203,23327.719268798828,2175,2,0.88125,64418.93786621094,4350,0,0.88125,38302.727478027344,2000,2,1.48125,63589.67431640625,2000,2,1.48125,12196.04541015625,2200,2,1.48125,586.0264587402344,2200,2,1.48125,52466.09744262695,2200,2,1.48125,19772.76905822754,2200,2,1.48125,56318.51254272461,2166,2194,2151,2200,2195,2140,2173,2123,2029,2071,2190,2180,2184,2177,2194,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878608384,289669120
1000,1744976068203,23327.72300720215,2000,2,1.50625,64418.94355773926,3000,2,1.50625,38302.730880737305,2000,2,1.50625,63589.67849731445,2000,2,1.50625,12196.050643920898,2200,2,1.50625,586.0304565429688,2200,2,1.50625,52466.100341796875,2200,2,1.50625,19772.78465270996,2200,2,1.50625,56324.68193054199,2166,2194,2151,2200,2195,2140,2173,2123,2029,2071,2190,2180,2184,2177,2194,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,878608384,289669120
1000,1744976069204,23327.72543334961,2200,2,0.8375,64418.94609069824,2200,2,0.8375,38302.733169555664,2200,2,0.8375,63589.680923461914,2200,2,0.8375,12196.05387878418,2200,2,0.8375,586.0328674316406,2200,2,0.8375,52466.10266113281,2200,2,0.8375,19772.792938232422,2200,2,0.8375,56330.73323059082,2166,2194,2151,2200,2195,2140,2173,2123,2029,2071,2190,2180,2184,2177,2194,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878608384,289669120
1000,1744976070204,23327.727447509766,2000,2,0.9625,64418.95036315918,3000,2,0.9625,38302.736389160156,2000,2,0.9625,63589.68272399902,2000,2,0.9625,12196.058456420898,2200,2,0.9125,586.0354461669922,2200,2,0.9125,52466.10467529297,2200,2,0.9125,19772.800567626953,2200,2,0.9125,56336.83987426758,2166,2194,2151,2200,2195,2140,2173,2123,2029,2071,2190,2180,2184,2177,2194,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,878608384,289669120
1000,1744976071204,23327.729736328125,2200,2,0.84375,64418.95307922363,2200,2,0.84375,38302.73846435547,2200,2,0.84375,63589.68704223633,2200,2,0.84375,12196.060165405273,2200,2,0.84375,586.0386352539063,2200,2,0.84375,52466.1065826416,2200,2,0.84375,19772.808074951172,2200,2,0.84375,56342.938079833984,2166,2194,2151,2200,2195,2140,2173,2123,2029,2071,2190,2180,2184,2177,2194,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878608384,289669120
1000,1744976072205,23327.733139038086,2200,2,0.8125,64418.957595825195,2200,2,0.8125,38302.74317932129,2200,2,0.84375,63589.690521240234,2200,2,0.84375,12196.063430786133,2200,2,0.84375,586.0415802001953,2200,2,0.84375,52466.10920715332,2200,2,0.84375,19772.814682006836,2200,2,0.84375,56349.06182861328,2166,2194,2151,2200,2195,2140,2173,2123,2029,2071,2190,2180,2184,2177,2194,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878600192,289669120
