Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744917673549,36767.82400512695,2200,2,0.8375,64791.621154785156,2200,2,0.8375,45987.14143371582,2200,2,0.8375,60127.774337768555,2200,2,0.8375,24707.423553466797,2200,2,0.8375,605.0385284423828,2200,2,0.8375,48795.65977478027,2200,2,0.8375,12091.797180175781,2200,2,0.8375,35792.43182373047,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,3.125,0,6.6666669845581055,3.125,3.0303030014038086,3.125,3.0303030014038086,0,0,0,0,6.060606002807617,0,3.125,16665841664,4294963200,892727296,264765440
1000,1744917673549,36767.82437133789,2200,2,0.8375,64791.624099731445,2200,2,0.8375,45987.14228820801,2200,2,0.8375,60127.77444458008,2200,2,0.8375,24707.425201416016,2200,2,0.8375,605.0386352539063,2200,2,0.8375,48795.6598815918,2200,2,0.8375,12091.797348022461,2200,2,0.8375,35792.45701599121,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,3.125,0,6.6666669845581055,3.125,3.0303030014038086,3.125,3.0303030014038086,0,0,0,0,6.060606002807617,0,3.125,16665841664,4294963200,892727296,264765440
1000,1744917674549,36767.82731628418,2000,2,0.9625,64791.62959289551,3000,2,0.9625,45987.14750671387,2000,2,0.9625,60127.77796936035,2000,2,0.9625,24707.442474365234,2200,2,0.9625,605.04150390625,2200,2,0.9625,48795.66352844238,2200,2,0.9625,12091.799713134766,2200,2,0.9125,35798.71725463867,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0.9900990128517151,0,0,1.9417475461959839,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,892981248,264765440
1000,1744917675550,36767.83058166504,2200,2,0.8125,64791.63409423828,2200,2,0.8125,45987.1501159668,2200,2,0.8375,60127.78135681152,2200,2,0.8375,24707.450286865234,2200,2,0.8375,605.0440063476563,2200,2,0.8375,48795.66862487793,2200,2,0.8375,12091.803009033203,2200,2,0.8375,35804.923248291016,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,892981248,264765440
1000,1744917676550,36767.83233642578,2200,2,0.8375,64791.636627197266,2200,2,0.8375,45987.15190124512,2200,2,0.8375,60127.78324890137,2200,2,0.8375,24707.457122802734,2200,2,0.8375,605.0455017089844,2200,2,0.86875,48795.67071533203,2200,2,0.86875,12091.804336547852,2200,2,0.86875,35811.0133972168,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893210624,264765440
1000,1744917677551,36767.83448791504,2200,2,0.8375,64791.63887023926,2200,2,0.8375,45987.1540222168,2200,2,0.8375,60127.785095214844,2200,2,0.8375,24707.46353149414,2200,2,0.8375,605.0484466552734,2200,2,0.8375,48795.67445373535,2200,2,0.8375,12091.807388305664,2200,2,0.8375,35817.17655944824,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893210624,264765440
1000,1744917678551,36767.83659362793,2200,2,0.8375,64791.642990112305,2200,2,0.8375,45987.156829833984,2200,2,0.8375,60127.789474487305,2200,2,0.83125,24707.47250366211,2200,2,0.83125,605.0508575439453,2200,2,0.83125,48795.67803955078,2200,2,0.83125,12091.809585571289,2200,2,0.83125,35823.351303100586,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893210624,264765440
1000,1744917679552,36767.8401184082,2200,2,0.8375,64791.646896362305,2200,2,0.8375,45987.15983581543,2200,2,0.8375,60127.794845581055,2200,2,0.8375,24707.480194091797,2200,2,0.8375,605.0540313720703,2200,2,0.8375,48795.68212890625,2200,2,0.8375,12091.812973022461,2200,2,0.8375,35829.53330993652,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893210624,264765440
1000,1744917680552,36767.8426361084,2133.333333333333,2,0.88125,64791.65020751953,3200,1,0.88125,45987.16244506836,2133.333333333333,2,0.88125,60127.79756164551,2000,2,0.88125,24707.489944458008,2200,2,0.9625,605.0566864013672,2200,2,0.9625,48795.684631347656,2200,2,0.9625,12091.816299438477,2200,2,0.9625,35835.6676940918,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893210624,264765440
1000,1744917681553,36767.84489440918,2200,2,0.8375,64791.65287780762,2200,2,0.8375,45987.16458129883,2200,2,0.8375,60127.799072265625,2200,2,0.8375,24707.496307373047,2200,2,0.8375,605.0582275390625,2200,2,0.8375,48795.68801879883,2200,2,0.84375,12091.817764282227,2200,2,0.84375,35841.78715515137,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893210624,264765440
1000,1744917682553,36767.84646606445,2133.333333333333,2,0.88125,64791.65614318848,3000,2,0.95625,45987.16638183594,2000,2,0.95625,60127.80244445801,2000,2,0.95625,24707.50389099121,2200,2,0.95625,605.0600433349609,2200,2,0.95625,48795.69186401367,2200,2,0.95625,12091.81918334961,2200,2,0.95625,35847.892669677734,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893210624,264765440
1000,1744917683554,36767.849380493164,2200,2,0.8375,64791.66279602051,2200,2,0.8375,45987.16911315918,2200,2,0.8375,60127.805435180664,2200,2,0.8375,24707.512939453125,2200,2,0.8375,605.0628051757813,2200,2,0.875,48795.699615478516,2200,2,0.875,12091.822036743164,2200,2,0.875,35854.06510925293,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893210624,264765440
1000,1744917684554,36767.851654052734,2200,2,0.8375,64791.66525268555,2200,2,0.8375,45987.17140197754,2200,2,0.8375,60127.807357788086,2200,2,0.8375,24707.518127441406,2200,2,0.8375,605.0649566650391,2200,2,0.8375,48795.701583862305,2200,2,0.8375,12091.823989868164,2200,2,0.8375,35860.12924194336,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893210624,264765440
1000,1744917685555,36767.8532409668,2200,2,0.8375,64791.66734313965,2200,2,0.8375,45987.17303466797,2200,2,0.8375,60127.80888366699,2200,2,0.8375,24707.523895263672,2200,2,0.8375,605.0661773681641,2200,2,0.8375,48795.70487976074,2200,2,0.8375,12091.825805664063,2200,2,0.8375,35866.21113586426,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893210624,264765440
1000,1744917686555,36767.85542297363,2000,2,0.9625,64791.67190551758,3000,2,0.9625,45987.17533874512,2000,2,0.9625,60127.81106567383,2000,2,0.9625,24707.531951904297,2200,2,0.9625,605.0685424804688,2200,2,0.9625,48795.709701538086,2200,2,0.9625,12091.828857421875,2200,2,0.9625,35872.37532043457,2050,2195,2015,2195,1964,2188,1882,2017,2195,2183,2057,2023,2182,2185,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893210624,264765440
