Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744911287728,25764.619735717773,2200,2,0.8375,58802.71760559082,2200,2,0.8375,39430.44462585449,2200,2,0.8375,53999.089782714844,2200,2,0.8375,11507.061782836914,2200,2,0.8375,58552.744720458984,2200,2,0.8375,42212.94845581055,2200,2,0.8375,6613.906478881836,2200,2,0.8375,42317.20997619629,2064,2178,2094,2192,2194,2190,2182,2191,2183,2192,2182,2159,2041,2068,2171,2182,3.5714287757873535,0,0,3.4482758045196533,0,0,3.5714287757873535,6.6666669845581055,3.4482758045196533,7.142857551574707,3.4482758045196533,0,0,3.5714287757873535,3.5714287757873535,0,16665841664,4294963200,905519104,255328256
1000,1744911287728,25764.620086669922,2200,2,0.8375,58802.71772766113,2200,2,0.8375,39430.444732666016,2200,2,0.8375,53999.091384887695,2200,2,0.8375,11507.061889648438,2200,2,0.8375,58552.74482727051,2200,2,0.8375,42212.95001220703,2200,2,0.8375,6613.908462524414,2200,2,0.8375,42317.23513793945,2064,2178,2094,2192,2194,2190,2182,2191,2183,2192,2182,2159,2041,2068,2171,2182,3.5714287757873535,0,0,3.4482758045196533,0,0,3.5714287757873535,6.6666669845581055,3.4482758045196533,7.142857551574707,3.4482758045196533,0,0,3.5714287757873535,3.5714287757873535,0,16665841664,4294963200,906035200,255328256
1000,1744911288729,25764.622024536133,2000,2,0.95625,58802.72119140625,3000,2,0.95625,39430.44696044922,2000,2,0.95625,53999.10380554199,2000,2,0.95625,11507.063781738281,2200,2,0.95625,58552.746643066406,2200,2,0.96875,42212.95330810547,2200,2,0.96875,6613.911102294922,2200,2,0.96875,42323.363861083984,2064,2178,2094,2192,2194,2190,2182,2191,2183,2192,2182,2159,2041,2068,2171,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906035200,255328256
1000,1744911289729,25764.62437438965,2133.333333333333,2,0.88125,58802.72863769531,3000,2,0.9625,39430.450927734375,2000,2,0.9625,53999.10917663574,2000,2,0.9625,11507.065902709961,2200,2,0.9625,58552.74815368652,2200,2,0.9625,42212.955322265625,2200,2,0.9625,6613.912658691406,2200,2,0.9625,42329.447998046875,2064,2178,2094,2192,2194,2190,2182,2191,2183,2192,2182,2159,2041,2068,2171,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906493952,255328256
1000,1744911290730,25764.629928588867,2175,2,0.9125,58802.732833862305,4350,0,0.9125,39430.45362854004,2175,2,0.9125,53999.11267089844,2175,2,0.9125,11507.06852722168,2200,2,0.9125,58552.75305175781,2200,2,0.9125,42212.95785522461,2200,2,0.9125,6613.916046142578,2200,2,0.9125,42335.558654785156,2064,2178,2094,2192,2194,2190,2182,2191,2183,2192,2182,2159,2041,2068,2171,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906493952,255328256
1000,1744911291730,25764.656494140625,2133.333333333333,2,0.9625,58802.73747253418,3200,1,0.9625,39430.45755004883,2133.333333333333,2,0.9625,53999.115814208984,2133.333333333333,2,0.9625,11507.071548461914,2200,2,0.9625,58552.7565612793,2200,2,0.9625,42212.96173095703,2200,2,0.9625,6613.91911315918,2200,2,0.9625,42341.71743774414,2064,2178,2094,2192,2194,2190,2182,2191,2183,2192,2182,2159,2041,2068,2171,2182,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906493952,255328256
1000,1744911292731,25764.665328979492,2200,2,0.8125,58802.74223327637,2200,2,0.8125,39430.46270751953,2200,2,0.8125,53999.119888305664,2200,2,0.8125,11507.074417114258,2200,2,0.8375,58552.75959777832,2200,2,0.8375,42212.96473693848,2200,2,0.8375,6613.921417236328,2200,2,0.8375,42347.85989379883,2064,2178,2094,2192,2194,2190,2182,2191,2183,2192,2182,2159,2041,2068,2171,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906493952,255328256
1000,1744911293731,25764.672882080078,2133.333333333333,2,0.9625,58802.74496459961,3200,1,0.9625,39430.46440124512,2133.333333333333,2,0.9625,53999.12130737305,2133.333333333333,2,0.9625,11507.075927734375,2200,2,0.9625,58552.76103210449,2200,2,0.9625,42212.96646118164,2200,2,0.9625,6613.922760009766,2200,2,0.9625,42353.95115661621,2064,2178,2094,2192,2194,2190,2182,2191,2183,2192,2182,2159,2041,2068,2171,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906493952,255328256
1000,1744911294731,25764.67803955078,2175,2,0.88125,58802.75262451172,4350,0,0.88125,39430.4676361084,2175,2,0.88125,53999.12461853027,2175,2,0.88125,11507.077911376953,2200,2,0.88125,58552.76454162598,2200,2,0.88125,42212.96919250488,2200,2,0.88125,6613.92578125,2200,2,0.88125,42360.079849243164,2064,2178,2094,2192,2194,2190,2182,2191,2183,2192,2182,2159,2041,2068,2171,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906493952,255328256
1000,1744911295732,25764.681762695313,2200,2,0.8375,58802.773681640625,2200,2,0.8375,39430.470764160156,2200,2,0.8375,53999.12728881836,2200,2,0.8375,11507.08073425293,2200,2,0.8375,58552.76698303223,2200,2,0.88125,42212.97198486328,2200,2,0.88125,6613.928329467773,2200,2,0.88125,42366.20620727539,2064,2178,2094,2192,2194,2190,2182,2191,2183,2192,2182,2159,2041,2068,2171,2182,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906493952,255328256
