Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744967393819,6528.9219970703125,2200,2,0.84375,54732.07752990723,2200,2,0.84375,26557.977111816406,2200,2,0.84375,51532.07536315918,2200,2,0.8375,60506.49606323242,2200,2,0.8375,57304.824478149414,2200,2,0.8375,41383.94859313965,2200,2,0.8375,9352.638763427734,2200,2,0.8375,6133.542739868164,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,0,10.714285850524902,0,0,3.4482758045196533,3.4482758045196533,0,16665841664,4294963200,852959232,285736960
1000,1744967393820,6528.92219543457,2200,2,0.8375,54732.07783508301,2200,2,0.8375,26557.977249145508,2200,2,0.8375,51532.077377319336,2200,2,0.8375,60506.499267578125,2200,2,0.8375,57304.82466125488,2200,2,0.8375,41383.94877624512,2200,2,0.8375,9352.638946533203,2200,2,0.8375,6133.569488525391,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,0,10.714285850524902,0,0,3.4482758045196533,3.4482758045196533,0,16665841664,4294963200,853733376,285736960
1000,1744967394820,6528.924728393555,2200,2,0.8375,54732.08581542969,2200,2,0.8375,26557.980422973633,2200,2,0.8375,51532.08285522461,2200,2,0.8375,60506.51728820801,2200,2,0.8875,57304.827224731445,2200,2,0.8875,41383.95138549805,2200,2,0.8875,9352.640625,2200,2,0.8875,6140.115798950195,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967395821,6528.933685302734,2133.333333333333,2,0.96875,54732.089904785156,3200,1,0.96875,26557.984130859375,2133.333333333333,2,0.96875,51532.08662414551,2133.333333333333,2,0.96875,60506.52095031738,2200,2,0.96875,57304.83088684082,2200,2,0.96875,41383.95684814453,2200,2,0.96875,9352.64517211914,2200,2,0.9625,6146.522674560547,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967396821,6528.940216064453,2200,2,0.81875,54732.09373474121,2200,2,0.81875,26557.987045288086,2200,2,0.81875,51532.08946228027,2200,2,0.84375,60506.52342224121,2200,2,0.84375,57304.83450317383,2200,2,0.84375,41383.96014404297,2200,2,0.84375,9352.647384643555,2200,2,0.84375,6152.819625854492,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967397822,6528.9468994140625,2133.333333333333,2,0.9625,54732.096252441406,3200,1,0.9625,26557.989837646484,2133.333333333333,2,0.9625,51532.09184265137,2133.333333333333,2,0.9625,60506.52648925781,2200,2,0.9625,57304.83709716797,2200,2,1.00625,41383.96253967285,2200,2,1.00625,9352.651245117188,2200,2,1.00625,6159.114852905273,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967398822,6528.957000732422,2200,2,0.8125,54732.10061645508,2200,2,0.8375,26557.992446899414,2200,2,0.8375,51532.09526062012,2200,2,0.8375,60506.529037475586,2200,2,0.8375,57304.83952331543,2200,2,0.8375,41383.96488952637,2200,2,0.8375,9352.653213500977,2200,2,0.8375,6165.38459777832,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967399822,6528.967300415039,2133.333333333333,2,0.9625,54732.10823059082,3200,1,0.9625,26557.995315551758,2133.333333333333,2,0.9625,51532.0979309082,2133.333333333333,2,0.9625,60506.531829833984,2200,2,0.9625,57304.842193603516,2200,2,0.9625,41383.96760559082,2200,2,0.9625,9352.655700683594,2200,2,0.9625,6171.649383544922,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967400823,6528.975601196289,2200,2,0.84375,54732.1171875,2200,2,0.84375,26557.997970581055,2200,2,0.84375,51532.100677490234,2200,2,0.84375,60506.53433227539,2200,2,0.84375,57304.84573364258,2200,2,0.84375,41383.970138549805,2200,2,0.84375,9352.659698486328,2200,2,0.84375,6177.92839050293,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967401823,6528.982238769531,2200,2,0.8375,54732.124923706055,2200,2,0.8375,26558.008682250977,2200,2,0.8125,51532.104263305664,2200,2,0.8125,60506.53694152832,2200,2,0.8125,57304.8489074707,2200,2,0.8125,41383.972564697266,2200,2,0.8125,9352.661834716797,2200,2,0.8125,6184.2113037109375,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967402824,6528.984649658203,2200,2,0.8375,54732.1318359375,2200,2,0.8375,26558.010818481445,2200,2,0.8375,51532.10597229004,2200,2,0.8375,60506.53895568848,2200,2,0.8375,57304.850845336914,2200,2,0.8375,41383.97479248047,2200,2,0.8375,9352.663513183594,2200,2,0.8625,6190.435531616211,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967403824,6528.9879150390625,2133.333333333333,2,0.8875,54732.13900756836,3200,1,0.8875,26558.013412475586,2133.333333333333,2,0.8875,51532.10873413086,2133.333333333333,2,0.8875,60506.54139709473,2200,2,0.8875,57304.85350036621,2200,2,0.8875,41383.97723388672,2200,2,0.8875,9352.665740966797,2200,2,0.8875,6196.70280456543,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967404825,6528.989929199219,2200,2,0.8375,54732.14797973633,2200,2,0.8375,26558.01577758789,2200,2,0.8375,51532.11036682129,2200,2,0.8375,60506.54286193848,2200,2,0.8375,57304.85548400879,2200,2,0.8375,41383.978607177734,2200,2,0.88125,9352.667068481445,2200,2,0.88125,6202.92985534668,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967405825,6528.993606567383,2133.333333333333,2,0.8875,54732.15333557129,3200,1,0.8875,26558.019012451172,2133.333333333333,2,0.8875,51532.11279296875,2133.333333333333,2,0.8875,60506.54527282715,2200,2,0.8875,57304.857818603516,2200,2,0.8875,41383.98239135742,2200,2,0.9625,9352.669174194336,2200,2,0.9625,6209.156448364258,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967406826,6528.996810913086,2200,2,0.8375,54732.16807556152,2200,2,0.8375,26558.023468017578,2200,2,0.8375,51532.115631103516,2200,2,0.8375,60506.54995727539,2200,2,0.8375,57304.86233520508,2200,2,0.8125,41383.98556518555,2200,2,0.8125,9352.673934936523,2200,2,0.8125,6215.497039794922,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967407826,6529.000518798828,2200,2,0.89375,54732.176986694336,2200,2,0.8375,26558.026565551758,2200,2,0.8375,51532.118423461914,2200,2,0.8375,60506.55268859863,2200,2,0.8375,57304.865158081055,2200,2,0.8375,41383.988357543945,2200,2,0.8375,9352.676544189453,2200,2,0.8375,6221.74235534668,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967408827,6529.005294799805,2200,2,0.8375,54732.179122924805,2200,2,0.8375,26558.028686523438,2200,2,0.8375,51532.12043762207,2200,2,0.8375,60506.55432128906,2200,2,0.88125,57304.86698913574,2200,2,0.88125,41383.98991394043,2200,2,0.88125,9352.677993774414,2200,2,0.88125,6227.949508666992,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967409827,6529.008743286133,2200,2,0.84375,54732.18424987793,2200,2,0.84375,26558.030731201172,2200,2,0.84375,51532.12258911133,2200,2,0.84375,60506.55630493164,2200,2,0.84375,57304.86917114258,2200,2,0.84375,41383.99220275879,2200,2,0.84375,9352.681076049805,2200,2,0.84375,6234.10400390625,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967410827,6529.026397705078,2200,2,0.89375,54732.20512390137,2200,2,0.89375,26558.05255126953,2200,2,0.89375,51532.14324951172,2200,2,0.89375,60507.43690490723,3000,0,0.89375,57304.88455200195,2000,2,1.53125,41384.0089263916,2000,2,1.53125,9352.702011108398,2000,2,1.53125,6243.014053344727,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,7.070706844329834,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967411828,6529.03173828125,2133.333333333333,2,0.91875,54732.22201538086,3200,1,0.91875,26558.055450439453,2133.333333333333,2,0.9625,51532.14613342285,2133.333333333333,2,0.9625,60507.439865112305,2200,2,0.9625,57304.887603759766,2200,2,0.9625,41384.01187133789,2200,2,0.9625,9352.706451416016,2200,2,0.9625,6249.310394287109,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
1000,1744967412829,6529.0345458984375,2200,2,0.8125,54732.23080444336,2200,2,0.8375,26558.0597076416,2200,2,0.8375,51532.148498535156,2200,2,0.8375,60507.442123413086,2200,2,0.8375,57304.89031982422,2200,2,0.8375,41384.01388549805,2200,2,0.8375,9352.708358764648,2200,2,0.8375,6255.534973144531,1995,2913,1995,1997,2191,2198,2088,2135,2129,2105,2195,2152,2192,2192,2196,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,854700032,285736960
