Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744941803078,24506.02067565918,2200,2,0.8375,29761.41343688965,2200,2,0.8375,8918.274063110352,2200,2,0.8375,26936.298294067383,2200,2,0.8375,10304.346878051758,2200,2,0.8375,32392.433181762695,2200,2,0.8375,15886.414962768555,2200,2,0.8375,43641.213119506836,2200,2,0.8375,35858.14125061035,2187,2185,2192,2159,2195,2180,2130,2193,2155,2085,2195,2105,2173,2195,2112,2195,3.125,3.125,3.125,12.121212005615234,0,3.125,3.125,3.125,3.125,3.125,3.125,6.060606002807617,3.125,3.125,0,3.125,16665841664,4294963200,890912768,275513344
1000,1744941803079,24506.02101135254,2200,2,0.8375,29761.413619995117,2200,2,0.8375,8918.27424621582,2200,2,0.8375,26936.30160522461,2200,2,0.8375,10304.348220825195,2200,2,0.8375,32392.433334350586,2200,2,0.8375,15886.417724609375,2200,2,0.8375,43641.21325683594,2200,2,0.8375,35858.15515136719,2187,2185,2192,2159,2195,2180,2130,2193,2155,2085,2195,2105,2173,2195,2112,2195,3.125,3.125,3.125,12.121212005615234,0,3.125,3.125,3.125,3.125,3.125,3.125,6.060606002807617,3.125,3.125,0,3.125,16665841664,4294963200,891424768,275513344
1000,1744941804079,24506.026290893555,2200,2,0.84375,29761.42430114746,2200,2,0.84375,8918.280334472656,2200,2,0.84375,26936.315841674805,2200,2,0.84375,10304.35610961914,2200,2,0.84375,32392.439865112305,2200,2,0.84375,15886.426071166992,2200,2,0.84375,43641.217193603516,2200,2,0.84375,35864.743713378906,2187,2185,2192,2159,2195,2180,2130,2193,2155,2085,2195,2105,2173,2195,2112,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,891150336,275513344
1000,1744941805080,24506.028564453125,2200,2,0.80625,29761.42840576172,2200,2,0.80625,8918.282760620117,2200,2,0.80625,26936.323501586914,2200,2,0.80625,10304.358474731445,2200,2,0.8375,32392.442306518555,2200,2,0.8375,15886.432113647461,2200,2,0.8375,43641.219467163086,2200,2,0.8375,35871.2024230957,2187,2185,2192,2159,2195,2180,2130,2193,2155,2085,2195,2105,2173,2195,2112,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890015744,275513344
999,1744941806080,24506.034561157227,2200,2,0.8375,29761.432022094727,2200,2,0.8375,8918.2861328125,2200,2,0.8375,26936.325637817383,2200,2,0.8375,10304.36344909668,2200,2,0.8375,32392.445068359375,2200,2,0.8375,15886.434951782227,2200,2,0.8375,43641.2243347168,2200,2,0.8375,35877.645904541016,2187,2185,2192,2159,2195,2180,2130,2193,2155,2085,2195,2105,2173,2195,2112,2195,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,889290752,275513344
1000,1744941807080,24506.03709411621,2200,2,0.8125,29761.43621826172,2200,2,0.8125,8918.289077758789,2200,2,0.8125,26936.32698059082,2200,2,0.8125,10304.364807128906,2200,2,0.8125,32392.446823120117,2200,2,0.88125,15886.43684387207,2200,2,0.88125,43641.225646972656,2200,2,0.88125,35883.965103149414,2187,2185,2192,2159,2195,2180,2130,2193,2155,2085,2195,2105,2173,2195,2112,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,888479744,275513344
1000,1744941808081,24506.039657592773,2200,2,0.8375,29761.444549560547,2200,2,0.8375,8918.292205810547,2200,2,0.8375,26936.329528808594,2200,2,0.8375,10304.368927001953,2200,2,0.8375,32392.44920349121,2200,2,0.8375,15886.439453125,2200,2,0.8375,43641.22866821289,2200,2,0.8375,35890.32308959961,2187,2185,2192,2159,2195,2180,2130,2193,2155,2085,2195,2105,2173,2195,2112,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,887246848,275513344
1000,1744941809081,24506.041275024414,2200,2,0.8125,29761.44984436035,2200,2,0.8125,8918.294036865234,2200,2,0.8125,26936.331008911133,2200,2,0.8125,10304.370254516602,2200,2,0.84375,32392.45101928711,2200,2,0.84375,15886.440902709961,2200,2,0.84375,43641.22996520996,2200,2,0.84375,35896.58233642578,2187,2185,2192,2159,2195,2180,2130,2193,2155,2085,2195,2105,2173,2195,2112,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,886734848,275513344
1000,1744941810082,24506.04360961914,2200,2,0.8375,29761.45819091797,2200,2,0.8375,8918.298873901367,2200,2,0.8375,26936.333908081055,2200,2,0.8375,10304.375411987305,2200,2,0.8375,32392.455780029297,2200,2,0.8375,15886.446090698242,2200,2,0.8375,43641.23408508301,2200,2,0.8375,35902.96504211426,2187,2185,2192,2159,2195,2180,2130,2193,2155,2085,2195,2105,2173,2195,2112,2195,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,885469184,275513344
1000,1744941811082,24506.046264648438,2200,2,0.8125,29761.46678161621,2200,2,0.8125,8918.301391601563,2200,2,0.84375,26936.336151123047,2200,2,0.84375,10304.37776184082,2200,2,0.84375,32392.459411621094,2200,2,0.84375,15886.449340820313,2200,2,0.84375,43641.23596191406,2200,2,0.84375,35909.25015258789,2187,2185,2192,2159,2195,2180,2130,2193,2155,2085,2195,2105,2173,2195,2112,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,885309440,275513344
