Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744845848801,27255.84407043457,2200,2,0.84375,50578.75665283203,2200,2,0.84375,40583.92807006836,2200,2,0.84375,52497.880142211914,2200,2,0.84375,18964.671951293945,2200,2,0.84375,53252.51631164551,2200,2,0.8375,45539.85627746582,2200,2,0.8375,52421.99932861328,2200,2,0.8375,43608.89157104492,2084,2193,2150,2186,2173,2187,1993,1973,2186,2193,1967,2181,2005,2173,2176,2170,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,6.45161247253418,0,6.45161247253418,10,0,6.45161247253418,3.3333334922790527,3.22580623626709,3.3333334922790527,3.3333334922790527,6.45161247253418,16665841664,4294963200,941985792,240910336
1000,1744845848801,27255.844360351563,2200,2,0.8375,50578.75680541992,2200,2,0.8375,40583.92973327637,2200,2,0.8375,52497.880279541016,2200,2,0.8375,18964.67335510254,2200,2,0.8375,53252.51644897461,2200,2,0.8375,45539.85841369629,2200,2,0.8375,52421.99987792969,2200,2,0.8375,43608.91633605957,2084,2193,2150,2186,2173,2187,1993,1973,2186,2193,1967,2181,2005,2173,2176,2170,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,6.45161247253418,0,6.45161247253418,10,0,6.45161247253418,3.3333334922790527,3.22580623626709,3.3333334922790527,3.3333334922790527,6.45161247253418,16665841664,4294963200,941985792,240910336
1000,1744845849802,27255.8466796875,2000,2,0.96875,50578.759185791016,3000,2,0.96875,40583.9377746582,2000,2,0.96875,52497.88380432129,2000,2,0.96875,18964.678283691406,2200,2,0.96875,53252.5192565918,2200,2,0.96875,45539.862564086914,2200,2,0.95,52422.00814819336,2200,2,0.95,43615.26789855957,2084,2193,2150,2186,2173,2187,1993,1973,2186,2193,1967,2181,2005,2173,2176,2170,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,942239744,240910336
1000,1744845850802,27255.850540161133,2200,2,0.8125,50578.766052246094,2200,2,0.84375,40583.947677612305,2200,2,0.84375,52497.88752746582,2200,2,0.84375,18964.681182861328,2200,2,0.84375,53252.52503967285,2200,2,0.84375,45539.86778259277,2200,2,0.84375,52422.01364135742,2200,2,0.84375,43621.61013793945,2084,2193,2150,2186,2173,2187,1993,1973,2186,2193,1967,2181,2005,2173,2176,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,942239744,240910336
1000,1744845851803,27255.853591918945,2000,2,0.9625,50578.77029418945,3000,2,0.9625,40583.950775146484,2000,2,0.9625,52497.89372253418,2000,2,0.9625,18964.685180664063,2200,2,0.94375,53252.52731323242,2200,2,0.94375,45539.870864868164,2200,2,0.94375,52422.01612854004,2200,2,0.94375,43627.90310668945,2084,2193,2150,2186,2173,2187,1993,1973,2186,2193,1967,2181,2005,2173,2176,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,941961216,240910336
1000,1744845852803,27255.859466552734,2200,2,0.8375,50578.77363586426,2200,2,0.8375,40583.95356750488,2200,2,0.8375,52497.896255493164,2200,2,0.8375,18964.687881469727,2200,2,0.8375,53252.52980041504,2200,2,0.8375,45539.87437438965,2200,2,0.8375,52422.018127441406,2200,2,0.8375,43634.11163330078,2084,2193,2150,2186,2173,2187,1993,1973,2186,2193,1967,2181,2005,2173,2176,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,940953600,240910336
1000,1744845853804,27255.863555908203,2133.333333333333,2,0.91875,50578.77592468262,3200,1,0.91875,40583.95625305176,2133.333333333333,2,0.91875,52497.8984375,2133.333333333333,2,0.91875,18964.691864013672,2200,2,0.91875,53252.53193664551,2200,2,0.9875,45539.87852478027,2200,2,0.9875,52422.02128601074,2200,2,0.9875,43640.38563537598,2084,2193,2150,2186,2173,2187,1993,1973,2186,2193,1967,2181,2005,2173,2176,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,940953600,240910336
1000,1744845854804,27255.86851501465,2200,2,0.8375,50578.78372192383,2200,2,0.8375,40583.96029663086,2200,2,0.8375,52497.90115356445,2200,2,0.8375,18964.69398498535,2200,2,0.8375,53252.53770446777,2200,2,0.8375,45539.88302612305,2200,2,0.8375,52422.02551269531,2200,2,0.8375,43646.67387390137,2084,2193,2150,2186,2173,2187,1993,1973,2186,2193,1967,2181,2005,2173,2176,2170,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,940953600,240910336
1000,1744845855805,27255.871215820313,2133.333333333333,2,0.8875,50578.79037475586,3200,1,0.8875,40583.965072631836,2133.333333333333,2,0.8875,52497.903884887695,2133.333333333333,2,0.8875,18964.698150634766,2200,2,0.8875,53252.54023742676,2200,2,0.8875,45539.887268066406,2200,2,0.8875,52422.027893066406,2200,2,0.8875,43652.94227600098,2084,2193,2150,2186,2173,2187,1993,1973,2186,2193,1967,2181,2005,2173,2176,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,940953600,240910336
1000,1744845856805,27255.875045776367,2200,2,0.8375,50578.799407958984,2200,2,0.8375,40583.96826171875,2200,2,0.8375,52497.906311035156,2200,2,0.8375,18964.700653076172,2200,2,0.8375,53252.54281616211,2200,2,0.8375,45539.890533447266,2200,2,0.8375,52422.03042602539,2200,2,0.8375,43659.1502532959,2084,2193,2150,2186,2173,2187,1993,1973,2186,2193,1967,2181,2005,2173,2176,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,940953600,240910336
