Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745053154947,46665.32373046875,3200,1,0.9625,18269.130126953125,2133.333333333333,2,0.9625,65092.05163574219,2133.333333333333,2,0.9625,23536.607864379883,2133.333333333333,2,0.9625,34015.61396789551,2200,2,0.9625,24710.485443115234,2200,2,0.9625,9130.605331420898,2200,2,0.9625,48964.01564025879,2200,2,0.9625,14330.799407958984,2193,2748,2001,1997,2158,2201,2196,2187,2200,2045,2198,2161,2198,2163,1967,2196,0,0,13.793103218078613,3.5714287757873535,0,6.896551609039307,0,0,6.896551609039307,3.5714287757873535,7.142857551574707,3.5714287757873535,3.5714287757873535,0,0,3.5714287757873535,16665841664,4294963200,853508096,294125568
1000,1745053154948,46665.32418823242,3200,1,0.9625,18269.13038635254,2200,2,0.9625,65092.05613708496,2200,2,0.9625,23536.608123779297,2200,2,0.9625,34015.617126464844,2200,2,0.9625,24710.485717773438,2200,2,0.9625,9130.605606079102,2200,2,0.9625,48964.01843261719,2200,2,0.9625,14330.830108642578,2193,2748,2001,1997,2158,2201,2196,2187,2200,2045,2198,2161,2198,2163,1967,2196,0,0,13.793103218078613,3.5714287757873535,0,6.896551609039307,0,0,6.896551609039307,3.5714287757873535,7.142857551574707,3.5714287757873535,3.5714287757873535,0,0,3.5714287757873535,16665841664,4294963200,853508096,294125568
1000,1745053155948,46665.328369140625,2200,2,0.80625,18269.13494873047,2200,2,0.80625,65092.06510925293,2200,2,0.80625,23536.612258911133,2200,2,0.8375,34015.62217712402,2200,2,0.8375,24710.48976135254,2200,2,0.8375,9130.6083984375,2200,2,0.8375,48964.04139709473,2200,2,0.8375,14337.396438598633,2193,2748,2001,1997,2158,2201,2196,2187,2200,2045,2198,2161,2198,2163,1967,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,853483520,294125568
1000,1745053156948,46665.33024597168,2200,2,0.8375,18269.137954711914,2200,2,0.8375,65092.07048034668,2200,2,0.8375,23536.61392211914,2200,2,0.8375,34015.62405395508,2200,2,0.8375,24710.491180419922,2200,2,0.8375,9130.60986328125,2200,2,0.84375,48964.04298400879,2200,2,0.84375,14343.629577636719,2193,2748,2001,1997,2158,2201,2196,2187,2200,2045,2198,2161,2198,2163,1967,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,853483520,294125568
1000,1745053157949,46665.3359375,2200,2,0.8125,18269.141571044922,2200,2,0.8125,65092.07452392578,2200,2,0.84375,23536.617218017578,2200,2,0.84375,34015.62698364258,2200,2,0.84375,24710.493743896484,2200,2,0.84375,9130.612075805664,2200,2,0.84375,48964.04637145996,2200,2,0.84375,14349.8916015625,2193,2748,2001,1997,2158,2201,2196,2187,2200,2045,2198,2161,2198,2163,1967,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,852553728,294125568
1000,1745053158949,46665.34201049805,2000,2,0.9625,18269.147186279297,3000,2,0.9625,65092.07931518555,2000,2,0.9625,23536.61976623535,2000,2,0.9625,34015.62977600098,2200,2,0.9625,24710.496368408203,2200,2,0.9625,9130.615097045898,2200,2,0.9625,48964.048904418945,2200,2,0.91875,14356.180236816406,2193,2748,2001,1997,2158,2201,2196,2187,2200,2045,2198,2161,2198,2163,1967,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,852553728,294125568
1000,1745053159950,46665.347915649414,2200,2,0.8375,18269.156631469727,2200,2,0.8375,65092.0841217041,2200,2,0.8375,23536.623779296875,2200,2,0.8375,34015.63366699219,2200,2,0.8375,24710.49998474121,2200,2,0.8375,9130.618560791016,2200,2,0.8375,48964.052474975586,2200,2,0.8375,14362.477905273438,2193,2748,2001,1997,2158,2201,2196,2187,2200,2045,2198,2161,2198,2163,1967,2196,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,851734528,294125568
1000,1745053160950,46665.34950256348,2200,2,0.81875,18269.161178588867,2200,2,0.81875,65092.086196899414,2200,2,0.81875,23536.625244140625,2200,2,0.81875,34015.635177612305,2200,2,0.8375,24710.501190185547,2200,2,0.8375,9130.619766235352,2200,2,0.8375,48964.053619384766,2200,2,0.8375,14368.661727905273,2193,2748,2001,1997,2158,2201,2196,2187,2200,2045,2198,2161,2198,2163,1967,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,851734528,294125568
1000,1745053161951,46665.3518371582,2133.333333333333,2,0.91875,18269.170181274414,3200,1,0.91875,65092.0887298584,2133.333333333333,2,0.9625,23536.627349853516,2133.333333333333,2,0.9625,34015.637466430664,2200,2,0.9625,24710.50372314453,2200,2,0.9625,9130.621810913086,2200,2,0.9625,48964.055236816406,2200,2,0.9625,14374.869232177734,2193,2748,2001,1997,2158,2201,2196,2187,2200,2045,2198,2161,2198,2163,1967,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,851734528,294125568
1000,1745053162951,46665.35452270508,2162.5,2,0.8875,18269.176986694336,4325,0,0.8875,65092.092712402344,2162.5,2,0.8875,23536.63067626953,2162.5,2,0.8875,34015.640060424805,2200,2,0.8875,24710.50584411621,2200,2,0.8875,9130.624099731445,2200,2,0.8875,48964.05729675293,2200,2,0.8875,14381.137451171875,2193,2748,2001,1997,2158,2201,2196,2187,2200,2045,2198,2161,2198,2163,1967,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,851734528,294125568
