Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744968733191,10900.317565917969,2200,2,0.8375,55557.0984954834,2200,2,0.8375,28226.275192260742,2200,2,0.8375,53116.66975402832,2200,2,0.8375,62409.95037841797,2200,2,0.8375,58714.81608581543,2200,2,0.8375,43345.307525634766,2200,2,0.8375,10718.090698242188,2200,2,0.8375,34108.89060974121,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,3.22580623626709,0,3.3333334922790527,3.22580623626709,6.25,0,3.22580623626709,6.6666669845581055,0,6.25,0,0,0,0,3.22580623626709,0,16665841664,4294963200,874627072,285736960
999,1744968733191,10900.317977905273,2200,2,0.8375,55557.10122680664,2200,2,0.8375,28226.276596069336,2200,2,0.8375,53116.66993713379,2200,2,0.8375,62409.95056152344,2200,2,0.8375,58714.81625366211,2200,2,0.8375,43345.30773925781,2200,2,0.8375,10718.092391967773,2200,2,0.8375,34108.90351867676,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,3.22580623626709,0,3.3333334922790527,3.22580623626709,6.25,0,3.22580623626709,6.6666669845581055,0,6.25,0,0,0,0,3.22580623626709,0,16665841664,4294963200,874627072,285736960
1000,1744968734191,10900.321060180664,2200,2,0.8125,55557.106384277344,2200,2,0.8125,28226.28240966797,2200,2,0.8125,53116.67300415039,2200,2,0.8125,62409.953521728516,2200,2,0.8375,58714.819076538086,2200,2,0.8375,43345.31076049805,2200,2,0.8375,10718.145614624023,2200,2,0.8375,34115.80290222168,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0.9900990128517151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16665841664,4294963200,873951232,285736960
1000,1744968735192,10900.327758789063,2200,2,0.84375,55557.109436035156,2200,2,0.84375,28226.286819458008,2200,2,0.84375,53116.674896240234,2200,2,0.84375,62409.9592590332,2200,2,0.84375,58714.82147216797,2200,2,0.84375,43345.31532287598,2200,2,0.875,10718.147720336914,2200,2,0.875,34122.15464782715,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,874156032,285736960
1000,1744968736192,10900.336151123047,2200,2,0.8125,55557.114013671875,2200,2,0.8375,28226.292526245117,2200,2,0.8375,53116.67890930176,2200,2,0.8375,62409.9635925293,2200,2,0.8375,58714.82580566406,2200,2,0.8375,43345.31889343262,2200,2,0.8375,10718.151016235352,2200,2,0.8375,34128.4792175293,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872988672,285736960
1000,1744968737193,10900.342193603516,2000,2,0.9625,55557.11659240723,3000,2,0.9625,28226.29507446289,2000,2,0.9625,53116.68086242676,2000,2,0.9625,62409.96601867676,2200,2,0.9625,58714.82749938965,2200,2,0.8875,43345.32125854492,2200,2,0.8875,10718.152648925781,2200,2,0.8875,34134.7352142334,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871538688,285736960
1000,1744968738193,10900.345932006836,2200,2,0.8375,55557.12440490723,2200,2,0.8375,28226.298614501953,2200,2,0.8375,53116.68362426758,2200,2,0.8375,62409.96829223633,2200,2,0.8375,58714.83100891113,2200,2,0.8375,43345.32357788086,2200,2,0.8375,10718.156005859375,2200,2,0.8375,34140.99278259277,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871538688,285736960
1000,1744968739193,10900.348129272461,2133.333333333333,2,0.91875,55557.130432128906,3200,1,0.91875,28226.301147460938,2133.333333333333,2,0.91875,53116.685302734375,2133.333333333333,2,0.91875,62409.97019958496,2200,2,0.91875,58714.83265686035,2200,2,0.91875,43345.32762145996,2200,2,0.91875,10718.157836914063,2200,2,0.91875,34147.21781921387,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871538688,285736960
1000,1744968740194,10900.351287841797,2200,2,0.8375,55557.140396118164,2200,2,0.8375,28226.30435180664,2200,2,0.8375,53116.68846130371,2200,2,0.8375,62409.97482299805,2200,2,0.8375,58714.83613586426,2200,2,0.8375,43345.33071899414,2200,2,0.8375,10718.160430908203,2200,2,0.84375,34153.52290344238,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,870264832,285736960
1000,1744968741194,10900.354461669922,2133.333333333333,2,0.8875,55557.14765930176,3200,1,0.8875,28226.308639526367,2133.333333333333,2,0.8875,53116.691146850586,2133.333333333333,2,0.8875,62409.97785949707,2200,2,0.8875,58714.83953857422,2200,2,0.8875,43345.33430480957,2200,2,0.9625,10718.162979125977,2200,2,0.9625,34159.774841308594,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,869658624,285736960
1000,1744968742195,10900.367111206055,2175,2,1.51875,55557.16110229492,4350,0,1.51875,28226.31968688965,2162.5,2,1.51875,53116.698150634766,2162.5,2,1.51875,62409.984466552734,2200,2,1.51875,58714.8445892334,2200,2,1.51875,43345.34013366699,2200,2,1.51875,10718.166275024414,2200,2,1.5125,34166.15174865723,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0.9900990128517151,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868933632,285736960
1000,1744968743195,10900.387619018555,2175,2,1.48125,55557.16841125488,4350,0,1.48125,28226.326110839844,2162.5,2,1.48125,53116.70135498047,2162.5,2,1.48125,62409.99124145508,2200,2,1.48125,58714.847579956055,2200,2,1.48125,43345.346771240234,2200,2,1.48125,10718.169082641602,2200,2,1.48125,34172.45739746094,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868933632,285736960
1000,1744968744196,10900.394744873047,2200,2,0.8375,55557.18440246582,2200,2,0.8375,28226.332748413086,2200,2,0.8375,53116.707931518555,2200,2,0.8375,62409.99702453613,2200,2,0.83125,58714.85289001465,2200,2,0.83125,43345.351806640625,2200,2,0.83125,10718.172470092773,2200,2,0.83125,34178.772201538086,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,867921920,285736960
1000,1744968745196,10900.396575927734,2133.333333333333,2,0.8875,55557.19372558594,3200,1,0.8875,28226.336059570313,2133.333333333333,2,0.8875,53116.70965576172,2133.333333333333,2,0.8875,62409.99938964844,2200,2,0.9625,58714.85438537598,2200,2,0.9625,43345.353912353516,2200,2,0.9625,10718.174209594727,2200,2,0.9625,34184.9983215332,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,867446784,285736960
1000,1744968746197,10900.40121459961,2175,2,0.91875,55557.20231628418,4350,0,0.91875,28226.34701538086,2175,2,0.91875,53116.71775817871,2175,2,0.91875,62410.006576538086,2200,2,0.91875,58714.86036682129,2200,2,0.91875,43345.360427856445,2200,2,0.91875,10718.17756652832,2200,2,0.91875,34191.38056945801,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,866562048,285736960
1000,1744968747197,10900.40705871582,2162.5,2,0.91875,55557.23059082031,4325,0,0.91875,28226.350463867188,2162.5,2,0.91875,53116.72067260742,2162.5,2,0.91875,62410.00975036621,2200,2,0.91875,58714.86631774902,2200,2,0.91875,43345.36799621582,2200,2,0.91875,10718.180740356445,2200,2,0.91875,34197.63203430176,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,866562048,285736960
1000,1744968748198,10900.411224365234,2200,2,0.8125,55557.24493408203,2200,2,0.8125,28226.35548400879,2200,2,0.8125,53116.726303100586,2200,2,0.8125,62410.01434326172,2200,2,0.84375,58714.87026977539,2200,2,0.84375,43345.372329711914,2200,2,0.84375,10718.184692382813,2200,2,0.84375,34203.90019226074,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865370112,285736960
1000,1744968749198,10900.413650512695,2133.333333333333,2,0.91875,55557.25343322754,3200,1,0.91875,28226.35919189453,2133.333333333333,2,0.95625,53116.72819519043,2133.333333333333,2,0.95625,62410.01658630371,2200,2,0.95625,58714.87211608887,2200,2,0.95625,43345.375,2200,2,0.95625,10718.186584472656,2200,2,0.95625,34210.080825805664,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864694272,285736960
1000,1744968750198,10900.41928100586,2200,2,0.8125,55557.26364135742,2200,2,0.8125,28226.364501953125,2200,2,0.8125,53116.7313079834,2200,2,0.84375,62410.020111083984,2200,2,0.84375,58714.87565612793,2200,2,0.84375,43345.37757873535,2200,2,0.84375,10718.188446044922,2200,2,0.84375,34216.35403442383,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864329728,285736960
1000,1744968751199,10900.422546386719,2133.333333333333,2,0.95625,55557.27055358887,3200,1,0.95625,28226.366989135742,2133.333333333333,2,0.95625,53116.733337402344,2133.333333333333,2,0.95625,62410.0237121582,2200,2,0.95625,58714.87774658203,2200,2,0.95625,43345.38270568848,2200,2,0.95625,10718.191024780273,2200,2,0.95625,34222.58122253418,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864329728,285736960
1000,1744968752200,10900.425857543945,2200,2,0.8375,55557.28109741211,2200,2,0.8375,28226.37498474121,2200,2,0.8375,53116.738342285156,2200,2,0.8375,62410.02835083008,2200,2,0.8375,58714.88331604004,2200,2,0.8375,43345.38734436035,2200,2,0.8375,10718.19416809082,2200,2,0.8375,34228.894439697266,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,863920128,285736960
1000,1744968753200,10900.427963256836,2200,2,0.8375,55557.28591918945,2200,2,0.8375,28226.37858581543,2200,2,0.81875,53116.740142822266,2200,2,0.81875,62410.03015136719,2200,2,0.81875,58714.88475036621,2200,2,0.81875,43345.38928222656,2200,2,0.81875,10718.19580078125,2200,2,0.81875,34235.08009338379,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,863920128,285736960
1000,1744968754200,10900.430236816406,2133.333333333333,2,0.9125,55557.29470825195,3200,1,0.9125,28226.38217163086,2133.333333333333,2,0.9625,53116.74346923828,2133.333333333333,2,0.9625,62410.032638549805,2200,2,0.9625,58714.88717651367,2200,2,0.9625,43345.39219665527,2200,2,0.9625,10718.197616577148,2200,2,0.9625,34241.263427734375,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,863920128,285736960
1000,1744968755201,10900.432708740234,2175,2,0.8875,55557.30131530762,4350,0,0.8875,28226.384216308594,2175,2,0.8875,53116.74522399902,2175,2,0.8875,62410.034729003906,2200,2,0.8875,58714.88888549805,2200,2,0.8875,43345.39781188965,2200,2,0.8875,10718.199768066406,2200,2,0.8875,34247.46960449219,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,863920128,285736960
1000,1744968756201,10900.4375,2175,2,0.9125,55557.32713317871,4350,0,0.9125,28226.389282226563,2175,2,0.9125,53116.750885009766,2175,2,0.9125,62410.040786743164,2200,2,0.9125,58714.89256286621,2200,2,1.53125,43345.40141296387,2200,2,1.53125,10718.203018188477,2200,2,1.53125,34253.76681518555,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,863600640,285736960
1000,1744968757202,10900.440322875977,2175,2,0.8875,55557.34149169922,4350,0,0.8875,28226.394592285156,2175,2,0.8875,53116.75392150879,2175,2,0.8875,62410.04783630371,2200,2,0.8875,58714.895446777344,2200,2,0.8875,43345.40481567383,2200,2,0.8875,10718.206069946289,2200,2,1.50625,34260.04756164551,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,863600640,285736960
1000,1744968758202,10900.447067260742,2200,2,0.8375,55557.355377197266,2200,2,0.8375,28226.400665283203,2200,2,0.8375,53116.75978088379,2200,2,0.8625,62410.05238342285,2200,2,0.8625,58714.901275634766,2200,2,0.8625,43345.41337585449,2200,2,0.8625,10718.209899902344,2200,2,0.8625,34266.3024597168,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,863322112,285736960
1000,1744968759203,10900.45133972168,2000,2,0.9625,55557.35818481445,3000,2,0.9625,28226.404052734375,2000,2,0.9625,53116.76254272461,2000,2,0.9625,62410.055572509766,2200,2,0.9625,58714.903732299805,2200,2,0.9625,43345.422119140625,2200,2,0.9625,10718.212860107422,2200,2,0.9625,34272.50645446777,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,863322112,285736960
1000,1744968760203,10900.453872680664,2175,2,0.9125,55557.36184692383,4350,0,1.4375,28226.407470703125,2000,2,1.4375,53116.7666015625,2000,2,1.4375,62410.05863952637,2200,2,1.4375,58714.9075012207,2200,2,1.4375,43345.43521118164,2200,2,1.4375,10718.214889526367,2200,2,1.4375,34278.705993652344,2146,2195,2047,2149,2195,2149,2190,2119,2013,2064,2191,2183,2133,2194,2182,2191,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,16665841664,4294963200,863064064,285736960
