Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744847511599,29182.169662475586,2200,2,0.8375,51782.0598449707,2200,2,0.8375,41799.45552062988,2200,2,0.8375,53977.04112243652,2200,2,0.8375,21787.04327392578,2200,2,0.8375,56572.87294006348,2200,2,0.8375,46442.92819213867,2200,2,0.8375,57356.26655578613,2200,2,0.8375,11386.209777832031,2162,2194,2066,2188,2188,2180,2182,2176,2075,2194,2019,2139,2184,2137,2043,2154,0,0,0,0,6.6666669845581055,3.4482758045196533,6.896551609039307,3.4482758045196533,3.5714287757873535,3.5714287757873535,13.333333969116211,0,0,3.4482758045196533,0,0,16665841664,4294963200,917856256,241434624
1000,1744847511599,29182.169952392578,2200,2,0.8375,51782.061920166016,2200,2,0.8375,41799.457443237305,2200,2,0.8375,53977.041275024414,2200,2,0.8375,21787.04652404785,2200,2,0.8375,56572.87309265137,2200,2,0.8375,46442.92834472656,2200,2,0.8375,57356.267013549805,2200,2,0.8375,11386.234619140625,2162,2194,2066,2188,2188,2180,2182,2176,2075,2194,2019,2139,2184,2137,2043,2154,0,0,0,0,6.6666669845581055,3.4482758045196533,6.896551609039307,3.4482758045196533,3.5714287757873535,3.5714287757873535,13.333333969116211,0,0,3.4482758045196533,0,0,16665841664,4294963200,917856256,241434624
1000,1744847512599,29182.17219543457,2200,2,0.8125,51782.06706237793,2200,2,0.8125,41799.46519470215,2200,2,0.8125,53977.04393005371,2200,2,0.8125,21787.05924987793,2200,2,0.84375,56572.876541137695,2200,2,0.84375,46442.930114746094,2200,2,0.84375,57356.27583312988,2200,2,0.84375,11392.415603637695,2162,2194,2066,2188,2188,2180,2182,2176,2075,2194,2019,2139,2184,2137,2043,2154,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,917864448,241434624
1000,1744847513600,29182.17449951172,2000,2,0.9625,51782.069915771484,3000,2,0.9625,41799.467544555664,2000,2,0.9625,53977.04591369629,2000,2,0.9625,21787.065841674805,2200,2,0.9625,56572.878326416016,2200,2,0.9625,46442.93208312988,2200,2,0.9625,57356.277404785156,2200,2,0.975,11398.444061279297,2162,2194,2066,2188,2188,2180,2182,2176,2075,2194,2019,2139,2184,2137,2043,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,918323200,241434624
1000,1744847514600,29182.17626953125,2200,2,0.8125,51782.072525024414,2200,2,0.8125,41799.47058105469,2200,2,0.8375,53977.047622680664,2200,2,0.8375,21787.07437133789,2200,2,0.8375,56572.881591796875,2200,2,0.8375,46442.934020996094,2200,2,0.8375,57356.27996826172,2200,2,0.8375,11404.49397277832,2162,2194,2066,2188,2188,2180,2182,2176,2075,2194,2019,2139,2184,2137,2043,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,917118976,241434624
1000,1744847515601,29182.18572998047,2000,2,0.95625,51782.07669067383,3000,2,0.95625,41799.47480773926,2000,2,0.95625,53977.0528717041,2000,2,0.95625,21787.085693359375,2200,2,0.95625,56572.88438415527,2200,2,0.925,46442.937561035156,2200,2,0.925,57356.2829284668,2200,2,0.925,11410.64128112793,2162,2194,2066,2188,2188,2180,2182,2176,2075,2194,2019,2139,2184,2137,2043,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,917118976,241434624
1000,1744847516601,29182.188049316406,2200,2,0.85,51782.080490112305,2200,2,0.85,41799.47807312012,2200,2,0.85,53977.055114746094,2200,2,0.85,21787.091400146484,2200,2,0.85,56572.88700866699,2200,2,0.85,46442.93997192383,2200,2,0.85,57356.28520202637,2200,2,0.85,11416.683639526367,2162,2194,2066,2188,2188,2180,2182,2176,2075,2194,2019,2139,2184,2137,2043,2154,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,916058112,241434624
1000,1744847517602,29182.18946838379,2133.333333333333,2,0.88125,51782.08416748047,3200,1,0.88125,41799.48011779785,2133.333333333333,2,0.88125,53977.05651855469,2000,2,0.95625,21787.099075317383,2200,2,0.95625,56572.88818359375,2200,2,0.95625,46442.9426574707,2200,2,0.95625,57356.28643798828,2200,2,0.95625,11422.750244140625,2162,2194,2066,2188,2188,2180,2182,2176,2075,2194,2019,2139,2184,2137,2043,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916058112,241434624
1000,1744847518602,29182.1912689209,2200,2,0.8375,51782.08740234375,2200,2,0.8375,41799.48307800293,2200,2,0.8375,53977.05807495117,2200,2,0.8375,21787.10627746582,2200,2,0.8375,56572.891189575195,2200,2,0.8375,46442.94502258301,2200,2,0.8375,57356.28895568848,2200,2,0.84375,11428.839645385742,2162,2194,2066,2188,2188,2180,2182,2176,2075,2194,2019,2139,2184,2137,2043,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915124224,241434624
1000,1744847519603,29182.193740844727,2133.333333333333,2,0.88125,51782.091873168945,3000,2,0.9625,41799.485763549805,2000,2,0.9625,53977.0602722168,2000,2,0.9625,21787.114837646484,2200,2,0.9625,56572.893127441406,2200,2,0.9625,46442.94744873047,2200,2,0.9625,57356.290939331055,2200,2,0.9625,11434.905822753906,2162,2194,2066,2188,2188,2180,2182,2176,2075,2194,2019,2139,2184,2137,2043,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915124224,241434624
