Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744945493716,30608.31578063965,2200,2,0.8375,33184.45463562012,2200,2,0.8375,10276.522262573242,2200,2,0.8375,29516.237915039063,2200,2,0.8375,16206.775817871094,2200,2,0.8375,37027.78974914551,2200,2,0.8375,19593.4461517334,2200,2,0.8375,48357.51170349121,2200,2,0.8375,38167.0407409668,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,3.4482758045196533,6.45161247253418,0,0,3.4482758045196533,6.45161247253418,6.6666669845581055,3.3333334922790527,3.3333334922790527,0,0,3.4482758045196533,13.333333969116211,3.4482758045196533,0,3.4482758045196533,16665841664,4294963200,872161280,275251200
1000,1744945493716,30608.315994262695,2200,2,0.8375,33184.45664978027,2200,2,0.8375,10276.524215698242,2200,2,0.8375,29516.238067626953,2200,2,0.8375,16206.775985717773,2200,2,0.8375,37027.7899017334,2200,2,0.8375,19593.44938659668,2200,2,0.8375,48357.51217651367,2200,2,0.8375,38167.06590270996,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,3.4482758045196533,6.45161247253418,0,0,3.4482758045196533,6.45161247253418,6.6666669845581055,3.3333334922790527,3.3333334922790527,0,0,3.4482758045196533,13.333333969116211,3.4482758045196533,0,3.4482758045196533,16665841664,4294963200,872161280,275251200
1000,1744945494717,30608.32064819336,2133.333333333333,2,0.88125,33184.46089172363,3200,1,0.88125,10276.528335571289,2133.333333333333,2,0.88125,29516.240982055664,2000,2,0.88125,16206.77865600586,2200,2,0.9625,37027.7936706543,2200,2,0.9625,19593.49269104004,2200,2,0.9625,48357.53926086426,2200,2,0.9625,38173.59701538086,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,873107456,275251200
1000,1744945495717,30608.326065063477,2000,2,1.53125,33184.46615600586,3000,2,1.53125,10276.532516479492,2000,2,1.53125,29516.245895385742,2000,2,1.53125,16206.782455444336,2200,2,1.53125,37027.797103881836,2200,2,1.53125,19593.506759643555,2200,2,1.53125,48357.54356384277,2200,2,1.53125,38179.773864746094,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872378368,275251200
1000,1744945496718,30608.328186035156,2200,2,0.8125,33184.468490600586,2200,2,0.84375,10276.534896850586,2200,2,0.84375,29516.247528076172,2200,2,0.84375,16206.784362792969,2200,2,0.84375,37027.7991027832,2200,2,0.84375,19593.510620117188,2200,2,0.84375,48357.545013427734,2200,2,0.84375,38185.83367919922,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871546880,275251200
1000,1744945497718,30608.331329345703,2000,2,0.95625,33184.47122192383,3000,2,0.95625,10276.536834716797,2000,2,0.95625,29516.24935913086,2000,2,0.95625,16206.78628540039,2200,2,0.95625,37027.800857543945,2200,2,0.975,19593.51268005371,2200,2,0.975,48357.552993774414,2200,2,0.975,38191.89750671387,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871546880,275251200
1000,1744945498719,30608.335159301758,2200,2,0.8375,33184.47491455078,2200,2,0.8375,10276.539016723633,2200,2,0.8375,29516.25340270996,2200,2,0.8375,16206.788681030273,2200,2,0.8375,37027.8048248291,2200,2,0.8375,19593.51579284668,2200,2,0.8375,48357.56037902832,2200,2,0.8375,38197.98594665527,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,870817792,275251200
1000,1744945499719,30608.340286254883,2200,2,0.8375,33184.47784423828,2200,2,0.8375,10276.541900634766,2200,2,0.8375,29516.25518798828,2200,2,0.86875,16206.791641235352,2200,2,0.86875,37027.806579589844,2200,2,0.86875,19593.517944335938,2200,2,0.86875,48357.56593322754,2200,2,0.86875,38204.12289428711,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16665841664,4294963200,870817792,275251200
1000,1744945500720,30608.34278869629,2000,2,0.9625,33184.4806060791,3000,2,0.9625,10276.544509887695,2000,2,0.9625,29516.257369995117,2000,2,0.9625,16206.793685913086,2200,2,0.9625,37027.80906677246,2200,2,0.9625,19593.520278930664,2200,2,0.9625,48357.573486328125,2200,2,0.9625,38210.16189575195,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,870178816,275251200
1000,1744945501720,30608.368576049805,2200,2,0.8125,33184.48768615723,2200,2,0.8125,10276.560150146484,2200,2,0.8125,29516.2646484375,2200,2,0.85,16206.796020507813,2200,2,0.85,37027.81172180176,2200,2,0.85,19593.52227783203,2200,2,0.85,48357.577560424805,2200,2,0.85,38216.32482910156,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,870035456,275251200
1000,1744945502720,30608.372634887695,2200,2,0.8375,33184.49137878418,2200,2,0.8375,10276.567108154297,2200,2,0.8375,29516.274291992188,2200,2,0.8375,16206.799499511719,2200,2,0.8375,37027.832260131836,2200,2,0.8375,19593.5333404541,2200,2,0.84375,48357.58549499512,2200,2,0.84375,38222.52299499512,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871837696,275251200
1000,1744945503721,30608.37518310547,2200,2,0.8125,33184.494216918945,2200,2,0.84375,10276.56916809082,2200,2,0.84375,29516.277297973633,2200,2,0.84375,16206.801162719727,2200,2,0.84375,37027.83383178711,2200,2,0.84375,19593.534927368164,2200,2,0.84375,48357.58921813965,2200,2,0.84375,38228.592712402344,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871837696,275251200
1000,1744945504721,30608.378982543945,2200,2,0.84375,33184.496673583984,2200,2,0.84375,10276.572219848633,2200,2,0.84375,29516.27978515625,2200,2,0.84375,16206.803466796875,2200,2,0.84375,37027.83657836914,2200,2,0.88125,19593.537368774414,2200,2,0.88125,48357.596435546875,2200,2,0.88125,38234.673080444336,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871837696,275251200
1000,1744945505722,30608.38264465332,2133.333333333333,2,0.88125,33184.4991607666,3000,2,0.9625,10276.57437133789,2000,2,0.9625,29516.281372070313,2000,2,0.9625,16206.805206298828,2200,2,0.9625,37027.838302612305,2200,2,0.9625,19593.5389251709,2200,2,0.9625,48357.601165771484,2200,2,0.9625,38240.71662902832,2181,2132,2193,2178,2165,2183,2097,2092,2123,2079,2148,2191,2173,2181,2178,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871837696,275251200
