Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744997160686,2861.7728576660156,2200,2,0.8375,22849.741119384766,2200,2,0.8375,63099.77618408203,2200,2,0.8375,23858.959701538086,2200,2,0.8375,52956.826232910156,2200,2,0.8375,25753.062881469727,2200,2,0.8375,10411.564453125,2200,2,0.8375,43848.26028442383,2200,2,0.8375,36061.10330200195,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,3.4482758045196533,10.344827651977539,3.3333334922790527,0,3.3333334922790527,0,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,0,3.3333334922790527,0,0,3.4482758045196533,0,16665841664,4294963200,848838656,293076992
1000,1744997160686,2861.7731018066406,2200,2,0.8375,22849.742706298828,2200,2,0.8375,63099.776458740234,2200,2,0.8375,23858.95980834961,2200,2,0.8375,52956.82633972168,2200,2,0.8375,25753.063049316406,2200,2,0.8375,10411.566360473633,2200,2,0.8375,43848.26225280762,2200,2,0.8375,36061.129486083984,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,3.4482758045196533,10.344827651977539,3.3333334922790527,0,3.3333334922790527,0,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,0,3.3333334922790527,0,0,3.4482758045196533,0,16665841664,4294963200,849354752,293076992
1000,1744997161687,2861.7815551757813,2200,2,0.8375,22849.7520904541,2200,2,0.8375,63099.78088378906,2200,2,0.8375,23858.968002319336,2200,2,0.8375,52956.82891845703,2200,2,0.8375,25753.065139770508,2200,2,0.8875,10411.570007324219,2200,2,0.8875,43848.26614379883,2200,2,0.8875,36067.28601074219,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849612800,293076992
1000,1744997162687,2861.783493041992,2200,2,0.8375,22849.759063720703,2200,2,0.8375,63099.78373718262,2200,2,0.8375,23858.970504760742,2200,2,0.8375,52956.830627441406,2200,2,0.8375,25753.067947387695,2200,2,0.8375,10411.572265625,2200,2,0.8375,43848.2677154541,2200,2,0.8375,36073.3888092041,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849612800,293076992
1000,1744997163688,2861.786102294922,2200,2,0.825,22849.764907836914,2200,2,0.825,63099.786880493164,2200,2,0.825,23858.973358154297,2200,2,0.825,52956.833404541016,2200,2,0.81875,25753.070083618164,2200,2,0.81875,10411.57682800293,2200,2,0.81875,43848.27000427246,2200,2,0.81875,36079.573806762695,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997164689,2861.789794921875,2200,2,0.8375,22849.77262878418,2200,2,0.8375,63099.78988647461,2133.333333333333,2,0.8375,23858.976974487305,2133.333333333333,2,0.8375,52956.83592224121,2200,2,0.8375,25753.073455810547,2200,2,0.8375,10411.57925415039,2200,2,0.99375,43848.272064208984,2200,2,0.99375,36085.70951843262,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997165689,2861.792266845703,2133.333333333333,2,0.8375,22849.78173828125,3200,1,0.8375,63099.79246520996,2133.333333333333,2,0.8375,23858.97947692871,2133.333333333333,2,0.8375,52956.838775634766,2200,2,0.8375,25753.075225830078,2200,2,0.8375,10411.58186340332,2200,2,0.8375,43848.274154663086,2200,2,0.8375,36091.79588317871,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997166689,2861.793701171875,2200,2,0.8375,22849.78839111328,2200,2,0.8375,63099.79559326172,2200,2,0.8375,23858.98143005371,2200,2,0.8375,52956.840423583984,2200,2,0.8375,25753.079162597656,2200,2,0.8375,10411.583587646484,2200,2,0.8375,43848.27680969238,2200,2,0.8375,36097.899963378906,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997167690,2861.796585083008,2133.333333333333,2,0.85,22849.79620361328,3200,1,0.85,63099.79818725586,2133.333333333333,2,0.85,23858.984970092773,2133.333333333333,2,0.85,52956.84240722656,2200,2,0.85,25753.080978393555,2200,2,0.85,10411.58544921875,2200,2,0.85,43848.278717041016,2200,2,0.85,36104.03707885742,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997168691,2861.7977752685547,2133.333333333333,2,0.81875,22849.801681518555,3200,1,0.81875,63099.800064086914,2133.333333333333,2,0.81875,23858.98616027832,2133.333333333333,2,0.81875,52956.843658447266,2200,2,0.81875,25753.082412719727,2200,2,0.81875,10411.586654663086,2200,2,0.81875,43848.27976989746,2200,2,0.95625,36110.095123291016,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997169691,2861.8008880615234,2133.333333333333,2,0.8375,22849.810760498047,3200,1,0.8375,63099.80291748047,2133.333333333333,2,0.8375,23858.990173339844,2133.333333333333,2,0.8375,52956.84602355957,2200,2,0.8375,25753.084533691406,2200,2,0.8375,10411.588790893555,2200,2,0.8375,43848.28202819824,2200,2,0.8375,36116.21418762207,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997170692,2861.803665161133,2133.333333333333,2,0.8125,22849.82147216797,3200,1,0.8125,63099.80662536621,2133.333333333333,2,0.8125,23858.993743896484,2133.333333333333,2,0.8125,52956.84831237793,2200,2,0.9625,25753.088134765625,2200,2,0.9625,10411.591125488281,2200,2,0.9625,43848.28385925293,2200,2,0.9625,36122.3653717041,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997171692,2861.8060913085938,2133.333333333333,2,0.8375,22849.828170776367,3200,1,0.8375,63099.809158325195,2133.333333333333,2,0.8375,23858.997344970703,2133.333333333333,2,0.8375,52956.850326538086,2200,2,0.8375,25753.090042114258,2200,2,0.8375,10411.59309387207,2200,2,0.8375,43848.28726196289,2200,2,0.8375,36128.505310058594,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997172693,2861.8089904785156,2133.333333333333,2,0.85,22849.83676147461,3200,1,0.85,63099.81155395508,2133.333333333333,2,0.85,23858.999069213867,2133.333333333333,2,0.85,52956.85200500488,2200,2,0.85,25753.09197998047,2200,2,0.85,10411.594619750977,2200,2,0.85,43848.28846740723,2200,2,0.85,36134.594146728516,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997173693,2861.8108520507813,2133.333333333333,2,0.8125,22849.843048095703,3200,1,0.8125,63099.81343078613,2133.333333333333,2,0.8125,23859.000885009766,2133.333333333333,2,0.8125,52956.85366821289,2200,2,0.8125,25753.093368530273,2200,2,0.9625,10411.595901489258,2200,2,0.9625,43848.289627075195,2200,2,0.9625,36140.67501831055,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997174694,2861.8128967285156,2133.333333333333,2,0.8375,22849.85137939453,3200,1,0.8375,63099.81623840332,2133.333333333333,2,0.8375,23859.002395629883,2133.333333333333,2,0.8375,52956.855224609375,2200,2,0.8375,25753.09605407715,2200,2,0.8375,10411.59765625,2200,2,0.8375,43848.29106140137,2200,2,0.8375,36146.75291442871,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,849842176,293076992
1000,1744997175694,2861.822235107422,2133.333333333333,2,0.8125,22849.859405517578,3200,1,0.8125,63099.81895446777,2133.333333333333,2,0.8125,23859.006607055664,2133.333333333333,2,0.8125,52956.8576965332,2200,2,0.8125,25753.098266601563,2200,2,0.9625,10411.599884033203,2200,2,0.9625,43848.293380737305,2200,2,0.9625,36152.920150756836,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,848699392,293076992
1000,1744997176694,2861.832000732422,2133.333333333333,2,0.9625,22849.870086669922,3200,1,0.9625,63099.822326660156,2133.333333333333,2,0.9625,23859.00894165039,2133.333333333333,2,0.9625,52956.86003112793,2200,2,0.9625,25753.101196289063,2200,2,0.9625,10411.602096557617,2200,2,0.9625,43848.29568481445,2200,2,0.9625,36159.01597595215,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,847667200,293076992
1000,1744997177695,2861.835647583008,2133.333333333333,2,0.84375,22849.879333496094,3200,1,0.84375,63099.82467651367,2133.333333333333,2,0.84375,23859.012466430664,2133.333333333333,2,0.95625,52956.862045288086,2200,2,0.95625,25753.102966308594,2200,2,0.95625,10411.603790283203,2200,2,0.95625,43848.297302246094,2200,2,0.95625,36165.12097167969,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,846761984,293076992
1000,1744997178696,2861.837417602539,2133.333333333333,2,0.8375,22849.88543701172,3200,1,0.8375,63099.827377319336,2133.333333333333,2,0.8375,23859.013916015625,2133.333333333333,2,0.8375,52956.86360168457,2200,2,0.8375,25753.10546875,2200,2,0.9812500000000001,10411.605361938477,2200,2,0.9812500000000001,43848.29861450195,2200,2,0.9812500000000001,36171.2174987793,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,845971456,293076992
1000,1744997179696,2861.8451080322266,2133.333333333333,2,0.8375,22849.894134521484,3200,1,0.8375,63099.829528808594,2133.333333333333,2,0.8375,23859.017944335938,2133.333333333333,2,0.8375,52956.865463256836,2200,2,0.8375,25753.107177734375,2200,2,0.8375,10411.607147216797,2200,2,0.8375,43848.30041503906,2200,2,0.8375,36177.31759643555,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,845279232,293076992
1000,1744997180696,2861.846664428711,2133.333333333333,2,0.8125,22849.900604248047,3200,1,0.8125,63099.83168029785,2133.333333333333,2,0.8125,23859.019485473633,2133.333333333333,2,0.8125,52956.8670501709,2200,2,0.8125,25753.10920715332,2200,2,0.9625,10411.608688354492,2200,2,0.9625,43848.301696777344,2200,2,0.9625,36183.38653564453,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844759040,293076992
1000,1744997181697,2861.8516540527344,2133.333333333333,2,0.9125,22849.911087036133,3200,1,0.9125,63099.83517456055,2133.333333333333,2,0.9125,23859.02424621582,2133.333333333333,2,0.9125,52956.870513916016,2200,2,0.95625,25753.11215209961,2200,2,0.95625,10411.611419677734,2200,2,0.95625,43848.30430603027,2200,2,0.95625,36189.50059509277,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844759040,293076992
1000,1744997182697,2861.864013671875,2133.333333333333,2,0.8125,22849.927291870117,3200,1,0.8125,63099.84103393555,2133.333333333333,2,0.8125,23859.028900146484,2133.333333333333,2,0.8125,52956.87545776367,2200,2,0.9625,25753.117797851563,2200,2,0.9625,10411.616455078125,2200,2,0.9625,43848.307876586914,2200,2,0.9625,36195.68878173828,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844759040,293076992
1000,1744997183698,2861.866714477539,2133.333333333333,2,0.9125,22849.937240600586,3200,1,0.9125,63099.84390258789,2133.333333333333,2,0.9125,23859.03253173828,2133.333333333333,2,0.9125,52956.878005981445,2200,2,0.95625,25753.11981201172,2200,2,0.95625,10411.618576049805,2200,2,0.95625,43848.31008911133,2200,2,0.95625,36201.79733276367,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844759040,293076992
1000,1744997184698,2861.869369506836,2133.333333333333,2,0.84375,22849.951889038086,3200,1,0.84375,63099.84803771973,2133.333333333333,2,0.84375,23859.03546142578,2133.333333333333,2,0.84375,52956.8811340332,2200,2,0.84375,25753.123336791992,2200,2,0.84375,10411.621612548828,2200,2,0.84375,43848.311935424805,2200,2,0.84375,36207.89643859863,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844759040,293076992
1000,1744997185699,2861.8711700439453,2175,2,0.88125,22849.958389282227,4350,0,0.88125,63099.8503112793,2175,2,0.88125,23859.039428710938,2175,2,0.88125,52956.88296508789,2200,2,0.88125,25753.124969482422,2200,2,0.88125,10411.623168945313,2200,2,0.88125,43848.313400268555,2200,2,0.88125,36213.959045410156,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844759040,293076992
1000,1744997186699,2861.8746948242188,2133.333333333333,2,0.85,22849.974807739258,3200,1,0.85,63099.85453796387,2133.333333333333,2,0.85,23859.04151916504,2133.333333333333,2,0.85,52956.88520812988,2200,2,0.85,25753.128204345703,2200,2,0.85,10411.625366210938,2200,2,0.85,43848.31523132324,2200,2,0.85,36220.06718444824,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844759040,293076992
1000,1744997187700,2861.881057739258,2175,2,0.88125,22849.982360839844,4350,0,0.88125,63099.85762023926,2175,2,0.88125,23859.047119140625,2175,2,0.88125,52956.88818359375,2200,2,0.88125,25753.130859375,2200,2,0.88125,10411.628372192383,2200,2,0.88125,43848.31802368164,2200,2,0.88125,36226.271743774414,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844759040,293076992
1000,1744997188700,2861.8856048583984,2133.333333333333,2,0.84375,22850.005142211914,3200,1,0.84375,63099.86225891113,2133.333333333333,2,0.84375,23859.050659179688,2133.333333333333,2,0.84375,52956.89170837402,2200,2,0.84375,25753.1357421875,2200,2,0.84375,10411.631591796875,2200,2,0.84375,43848.3210144043,2200,2,0.84375,36232.401626586914,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844759040,293076992
1000,1744997189701,2861.8876190185547,2175,2,0.8875,22850.011947631836,4350,0,0.8875,63099.8643951416,2175,2,0.8875,23859.05308532715,2175,2,0.8875,52956.893814086914,2200,2,0.8875,25753.137481689453,2200,2,0.8875,10411.633010864258,2200,2,0.8875,43848.322341918945,2200,2,0.8875,36238.45765686035,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844759040,293076992
1000,1744997190701,2861.8904571533203,2133.333333333333,2,0.84375,22850.031539916992,3200,1,0.84375,63099.86848449707,2133.333333333333,2,0.84375,23859.055938720703,2133.333333333333,2,0.84375,52956.89700317383,2200,2,0.84375,25753.14141845703,2200,2,0.84375,10411.636535644531,2200,2,0.95625,43848.32450866699,2200,2,0.95625,36244.540267944336,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844742656,293076992
1000,1744997191702,2861.893356323242,2133.333333333333,2,0.9125,22850.041885375977,3200,1,0.9125,63099.871643066406,2133.333333333333,2,0.9125,23859.059997558594,2133.333333333333,2,0.9125,52956.899353027344,2200,2,0.9125,25753.143585205078,2200,2,0.9125,10411.638702392578,2200,2,0.9125,43848.3270111084,2200,2,0.95625,36250.63931274414,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844742656,293076992
1000,1744997192702,2861.895523071289,2133.333333333333,2,0.8125,22850.05355834961,3200,1,0.8125,63099.87478637695,2133.333333333333,2,0.8125,23859.06265258789,2133.333333333333,2,0.8125,52956.902572631836,2200,2,0.8125,25753.147384643555,2200,2,0.8125,10411.641784667969,2200,2,0.9625,43848.3288269043,2200,2,0.9625,36256.71597290039,2070,1983,2193,1944,2192,2140,2185,2187,2071,2125,2167,2180,2135,2071,2169,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844742656,293076992
