Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745072229118,22985.24705505371,2200,2,0.8375,41290.017181396484,2200,2,0.8375,18563.568725585938,2200,2,0.8375,42389.29103088379,2200,2,0.8375,63252.922592163086,2200,2,0.8375,48802.803131103516,2200,2,0.8375,26204.252670288086,2200,2,0.8375,5835.186599731445,2200,2,0.8375,1781.8290252685547,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,6.896551609039307,3.4482758045196533,10.344827651977539,3.5714287757873535,3.5714287757873535,0,3.4482758045196533,6.896551609039307,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,0,3.4482758045196533,16665841664,4294963200,871456768,295960576
1000,1745072229118,22985.247161865234,2200,2,0.8375,41290.01728820801,2200,2,0.8375,18563.572006225586,2200,2,0.8375,42389.29113769531,2200,2,0.8375,63252.92448425293,2200,2,0.84375,48802.803298950195,2200,2,0.84375,26204.254684448242,2200,2,0.84375,5835.187088012695,2200,2,0.84375,1781.8538208007813,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,6.896551609039307,3.4482758045196533,10.344827651977539,3.5714287757873535,3.5714287757873535,0,3.4482758045196533,6.896551609039307,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,0,3.4482758045196533,16665841664,4294963200,871456768,295960576
1000,1745072230119,22985.250106811523,2175,2,0.9125,41290.02040100098,4350,0,0.9125,18563.586044311523,2175,2,0.9125,42389.29574584961,2175,2,0.9125,63252.93226623535,2200,2,0.9125,48802.80892944336,2200,2,0.9125,26204.266357421875,2200,2,1.50625,5835.199996948242,2200,2,1.50625,1788.099624633789,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0.9803922176361084,0,0,0,0,0,16665841664,4294963200,871456768,295960576
1000,1745072231119,22985.255111694336,2000,2,1.48125,41290.02534484863,3000,2,1.48125,18563.603286743164,2000,2,1.48125,42389.299255371094,2000,2,1.48125,63252.93608093262,2200,2,1.48125,48802.812911987305,2200,2,1.48125,26204.270141601563,2200,2,1.48125,5835.207061767578,2200,2,1.48125,1794.2255249023438,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871276544,295960576
1000,1745072232120,22985.262420654297,2200,2,0.8125,41290.03125,2200,2,0.8125,18563.609893798828,2200,2,0.8125,42389.30433654785,2200,2,0.8125,63252.940338134766,2200,2,0.8375,48802.816665649414,2200,2,0.8375,26204.274307250977,2200,2,0.8375,5835.210556030273,2200,2,0.8375,1800.3375091552734,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871276544,295960576
1000,1745072233120,22985.265991210938,2133.333333333333,2,0.9125,41290.03796386719,3200,1,0.9125,18563.6123046875,2133.333333333333,2,0.95625,42389.30630493164,2133.333333333333,2,0.95625,63252.94250488281,2200,2,0.95625,48802.818283081055,2200,2,0.95625,26204.276657104492,2200,2,0.95625,5835.212478637695,2200,2,0.95625,1806.35888671875,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,870408192,295960576
1000,1745072234121,22985.26905822754,2175,2,0.88125,41290.04591369629,4350,0,0.88125,18563.619552612305,2175,2,0.88125,42389.309631347656,2175,2,0.88125,63252.94868469238,2200,2,0.88125,48802.821868896484,2200,2,0.88125,26204.28370666504,2200,2,0.88125,5835.217788696289,2200,2,0.88125,1812.4680786132813,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,870408192,295960576
1000,1745072235121,22985.273239135742,2200,2,0.8375,41290.065505981445,2200,2,0.8375,18563.623306274414,2200,2,0.8375,42389.3127746582,2200,2,0.8375,63252.95193481445,2200,2,0.8375,48802.826736450195,2200,2,0.8625,26204.286880493164,2200,2,0.8625,5835.223220825195,2200,2,0.8625,1818.5290069580078,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,869650432,295960576
1000,1745072236122,22985.276077270508,2133.333333333333,2,0.9125,41290.07092285156,3200,1,0.9125,18563.626373291016,2133.333333333333,2,0.9125,42389.315185546875,2133.333333333333,2,0.9125,63252.954833984375,2200,2,0.9125,48802.82899475098,2200,2,0.95625,26204.2891998291,2200,2,0.95625,5835.225738525391,2200,2,0.95625,1824.5631103515625,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,869314560,295960576
1000,1745072237122,22985.278594970703,2175,2,0.88125,41290.07972717285,4350,0,0.88125,18563.628295898438,2175,2,0.88125,42389.3171081543,2175,2,0.88125,63252.957107543945,2200,2,0.88125,48802.83052062988,2200,2,0.88125,26204.291275024414,2200,2,0.88125,5835.2276611328125,2200,2,0.88125,1830.58447265625,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,867708928,295960576
1000,1745072238123,22985.283935546875,2175,2,0.9125,41290.11535644531,4350,0,0.9125,18563.633407592773,2175,2,1.50625,42389.32092285156,2175,2,1.50625,63252.962890625,2200,2,1.50625,48802.836822509766,2200,2,1.50625,26204.296783447266,2200,2,1.50625,5835.232513427734,2200,2,1.50625,1836.7473449707031,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,867385344,295960576
998,1745072239125,22985.287719726563,2175,2,1.48125,41290.13053894043,4350,0,1.48125,18563.637237548828,2175,2,1.48125,42389.323974609375,2175,2,1.48125,63252.96612548828,2200,2,1.48125,48802.839767456055,2200,2,1.48125,26204.300903320313,2200,2,1.48125,5835.238662719727,2200,2,1.48125,1842.8705139160156,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,866562048,295960576
1000,1745072240124,22985.293914794922,2200,2,0.84375,41290.15419006348,2200,2,0.84375,18563.65020751953,2200,2,0.84375,42389.33067321777,2200,2,0.84375,63252.97164916992,2200,2,0.84375,48802.8450012207,2200,2,0.9,26204.3058013916,2200,2,0.9,5835.242477416992,2200,2,0.9,1848.9995574951172,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865841152,295960576
1000,1745072241124,22985.299346923828,2133.333333333333,2,0.9625,41290.15830993652,3200,1,0.9625,18563.652435302734,2133.333333333333,2,0.9625,42389.33270263672,2133.333333333333,2,0.9625,63252.97373962402,2200,2,0.9625,48802.84666442871,2200,2,0.9625,26204.307846069336,2200,2,0.9625,5835.244232177734,2200,2,0.9625,1854.982192993164,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865210368,295960576
1000,1745072242125,22985.305694580078,2175,2,0.9125,41290.161544799805,4350,0,0.9125,18563.65754699707,2175,2,0.9125,42389.33560180664,2175,2,0.9125,63252.97885131836,2200,2,0.9125,48802.84996032715,2200,2,0.9125,26204.315032958984,2200,2,0.9125,5835.249603271484,2200,2,0.9125,1861.0764923095703,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865210368,295960576
1000,1745072243125,22985.33184814453,2175,2,0.91875,41290.181564331055,4350,0,0.91875,18563.66325378418,2175,2,0.91875,42389.33808898926,2175,2,0.91875,63252.98143005371,2200,2,0.91875,48802.852279663086,2200,2,0.91875,26204.317779541016,2200,2,0.91875,5835.255676269531,2200,2,1.5,1867.1392211914063,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865210368,295960576
1000,1745072244125,22985.337112426758,2175,2,0.88125,41290.197265625,4350,0,0.88125,18563.669647216797,2175,2,0.88125,42389.343032836914,2175,2,0.88125,63252.98545837402,2200,2,0.88125,48802.856018066406,2200,2,0.88125,26204.321823120117,2200,2,0.88125,5835.2593994140625,2200,2,0.88125,1873.2405700683594,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865112064,295960576
1000,1745072245126,22985.341339111328,2175,2,0.9125,41290.22087097168,4350,0,1.5,18563.675811767578,2175,2,1.5,42389.345932006836,2175,2,1.5,63252.98838806152,2200,2,1.5,48802.8585357666,2200,2,1.5,26204.32456970215,2200,2,1.5,5835.262100219727,2200,2,1.5,1879.2906646728516,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865112064,295960576
1000,1745072246126,22985.353103637695,2175,2,0.8875,41290.22444152832,4350,0,1.48125,18563.67938232422,2175,2,1.48125,42389.34927368164,2175,2,1.48125,63252.99284362793,2200,2,1.48125,48802.86315917969,2200,2,1.48125,26204.329162597656,2200,2,1.48125,5835.265823364258,2200,2,1.48125,1885.3265228271484,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865112064,295960576
1000,1745072247127,22985.361297607422,2175,2,0.9125,41290.22787475586,4350,0,0.9125,18563.682342529297,2175,2,0.9125,42389.351959228516,2175,2,0.9125,63252.99690246582,2200,2,0.9125,48802.86685180664,2200,2,0.9125,26204.332977294922,2200,2,0.9125,5835.271499633789,2200,2,1.46875,1891.3777923583984,2187,2193,2194,2086,2191,2193,2184,2181,2193,2194,2189,2194,2160,2115,2105,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,865112064,295960576
