Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744852377797,39217.36631774902,2200,2,0.8375,58530.00799560547,2200,2,0.8375,47944.25115966797,2200,2,0.8375,58334.26950073242,2200,2,0.8375,32061.185623168945,2200,2,0.8375,62382.75012207031,2200,2,0.8375,51079.20715332031,2200,2,0.8375,65120.1697845459,2200,2,0.8375,47710.45962524414,2194,2014,2056,2189,2194,2152,2186,2178,2188,2182,2000,2181,2002,2102,2019,1923,3.22580623626709,3.125,3.0303030014038086,6.060606002807617,3.0303030014038086,0,0,9.375,3.125,0,0,3.125,3.125,0,5.882352828979492,3.0303030014038086,16665841664,4294963200,919511040,242483200
1000,1744852377797,39217.36653137207,2200,2,0.8375,58530.00828552246,2200,2,0.8375,47944.25126647949,2200,2,0.8375,58334.27151489258,2200,2,0.8375,32061.185791015625,2200,2,0.8375,62382.7502746582,2200,2,0.8375,51079.2073059082,2200,2,0.8375,65120.17301940918,2200,2,0.8375,47710.48573303223,2194,2014,2056,2189,2194,2152,2186,2178,2188,2182,2000,2181,2002,2102,2019,1923,3.22580623626709,3.125,3.0303030014038086,6.060606002807617,3.0303030014038086,0,0,9.375,3.125,0,0,3.125,3.125,0,5.882352828979492,3.0303030014038086,16665841664,4294963200,919511040,242483200
1000,1744852378797,39217.37251281738,2175,2,0.88125,58530.01200866699,4350,0,0.88125,47944.25305175781,2175,2,0.88125,58334.274505615234,2175,2,0.88125,32061.187576293945,2200,2,0.88125,62382.752349853516,2200,2,0.88125,51079.20845031738,2200,2,1.475,65120.22152709961,2200,2,1.475,47717.01110839844,2194,2014,2056,2189,2194,2152,2186,2178,2188,2182,2000,2181,2002,2102,2019,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,919511040,242483200
1000,1744852379798,39217.376724243164,2000,2,0.95625,58530.01518249512,3000,2,0.95625,47944.255432128906,2000,2,0.95625,58334.2770690918,2000,2,0.95625,32061.19300842285,2200,2,0.95625,62382.75476074219,2200,2,0.95625,51079.21110534668,2200,2,0.95625,65120.23425292969,2200,2,0.96875,47723.114013671875,2194,2014,2056,2189,2194,2152,2186,2178,2188,2182,2000,2181,2002,2102,2019,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,920596480,242483200
1000,1744852380798,39217.380615234375,2175,2,0.88125,58530.01806640625,4350,0,0.88125,47944.258041381836,2000,2,1.475,58334.27983093262,2000,2,1.475,32061.195693969727,2200,2,1.475,62382.75712585449,2200,2,1.475,51079.21449279785,2200,2,1.475,65120.244552612305,2200,2,1.475,47729.133041381836,2194,2014,2056,2189,2194,2152,2186,2178,2188,2182,2000,2181,2002,2102,2019,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,919629824,242483200
1000,1744852381799,39217.38488769531,2000,2,1.46875,58530.02851867676,3000,2,1.46875,47944.264587402344,2000,2,1.46875,58334.28503417969,2000,2,1.46875,32061.20054626465,2200,2,1.46875,62382.76014709473,2200,2,1.46875,51079.22187805176,2200,2,1.46875,65120.25750732422,2200,2,1.46875,47735.276931762695,2194,2014,2056,2189,2194,2152,2186,2178,2188,2182,2000,2181,2002,2102,2019,1923,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,16665841664,4294963200,918409216,242483200
1000,1744852382799,39217.3913269043,2200,2,0.825,58530.03330993652,2200,2,0.85,47944.27053833008,2200,2,0.85,58334.28973388672,2200,2,0.85,32061.207122802734,2200,2,0.85,62382.76658630371,2200,2,0.85,51079.224700927734,2200,2,0.85,65120.26853942871,2200,2,0.85,47741.38342285156,2194,2014,2056,2189,2194,2152,2186,2178,2188,2182,2000,2181,2002,2102,2019,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,917340160,242483200
1000,1744852383800,39217.39367675781,2133.333333333333,2,0.9125,58530.03709411621,3200,1,0.9125,47944.27299499512,2133.333333333333,2,0.9125,58334.2919921875,2133.333333333333,2,0.9625,32061.210342407227,2200,2,0.9625,62382.768493652344,2200,2,0.9625,51079.22673034668,2200,2,0.9625,65120.276107788086,2200,2,0.9625,47747.481033325195,2194,2014,2056,2189,2194,2152,2186,2178,2188,2182,2000,2181,2002,2102,2019,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916402176,242483200
1000,1744852384800,39217.39630126953,2000,2,0.9625,58530.03965759277,3000,2,0.9625,47944.27542114258,2000,2,0.9625,58334.2939453125,2000,2,0.9625,32061.212509155273,2200,2,0.9625,62382.770416259766,2200,2,0.9625,51079.22871398926,2200,2,0.9625,65120.28434753418,2200,2,0.9625,47753.495056152344,2194,2014,2056,2189,2194,2152,2186,2178,2188,2182,2000,2181,2002,2102,2019,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916402176,242483200
1000,1744852385801,39217.39875793457,2133.333333333333,2,0.88125,58530.04258728027,3200,1,0.88125,47944.279724121094,2133.333333333333,2,0.88125,58334.29849243164,2000,2,0.88125,32061.215255737305,2200,2,0.9625,62382.77395629883,2200,2,0.9625,51079.23112487793,2200,2,0.9625,65120.28991699219,2200,2,0.9625,47759.55369567871,2194,2014,2056,2189,2194,2152,2186,2178,2188,2182,2000,2181,2002,2102,2019,1923,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,16665841664,4294963200,914853888,242483200
