Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744889302327,44786.65950012207,2200,2,0.8375,35013.74687194824,2200,2,0.8375,20273.057861328125,2200,2,0.8375,25103.551483154297,2200,2,0.8375,36343.21318054199,2200,2,0.8375,38022.429626464844,2200,2,0.8375,20939.160903930664,2200,2,0.8375,46941.87641906738,2200,2,0.8375,59391.26693725586,2196,2192,2187,2136,2194,2178,2186,1979,2195,2184,2195,2181,2168,2173,2185,2193,3.125,0,3.22580623626709,10,3.125,3.125,3.22580623626709,3.125,0,0,3.125,0,0,3.125,3.125,3.125,16665841664,4294963200,913178624,249298944
1000,1744889302327,44786.65985107422,2200,2,0.8375,35013.74702453613,2200,2,0.8375,20273.058013916016,2200,2,0.8375,25103.55470275879,2200,2,0.8375,36343.21333312988,2200,2,0.8375,38022.43212890625,2200,2,0.8375,20939.161056518555,2200,2,0.8375,46941.87780761719,2200,2,0.8375,59391.29409790039,2196,2192,2187,2136,2194,2178,2186,1979,2195,2184,2195,2181,2168,2173,2185,2193,3.125,0,3.22580623626709,10,3.125,3.125,3.22580623626709,3.125,0,0,3.125,0,0,3.125,3.125,3.125,16665841664,4294963200,913178624,249298944
1000,1744889303327,44786.66339111328,2000,2,1.48125,35013.75216674805,3000,2,1.48125,20273.062713623047,2000,2,1.48125,25103.572952270508,2000,2,1.48125,36343.218841552734,2200,2,1.48125,38022.43685913086,2200,2,1.48125,20939.16554260254,2200,2,1.48125,46941.883239746094,2200,2,1.48125,59397.574447631836,2196,2192,2187,2136,2194,2178,2186,1979,2195,2184,2195,2181,2168,2173,2185,2193,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,913178624,249298944
1000,1744889304328,44786.66744995117,2133.333333333333,2,0.9125,35013.75473022461,3200,1,0.9125,20273.066314697266,2133.333333333333,2,0.9125,25103.58316040039,2133.333333333333,2,0.9125,36343.223556518555,2200,2,0.9625,38022.439849853516,2200,2,0.9625,20939.170623779297,2200,2,0.9625,46941.8844909668,2200,2,0.9625,59403.68946838379,2196,2192,2187,2136,2194,2178,2186,1979,2195,2184,2195,2181,2168,2173,2185,2193,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,913424384,249298944
1000,1744889305328,44786.669372558594,2200,2,0.84375,35013.757583618164,2200,2,0.84375,20273.068450927734,2200,2,0.84375,25103.589126586914,2200,2,0.84375,36343.22525024414,2200,2,0.84375,38022.441818237305,2200,2,0.84375,20939.173751831055,2200,2,0.84375,46941.88636779785,2200,2,0.84375,59409.79479980469,2196,2192,2187,2136,2194,2178,2186,1979,2195,2184,2195,2181,2168,2173,2185,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,913424384,249298944
1000,1744889306329,44786.67150878906,2200,2,0.8125,35013.76112365723,2200,2,0.8125,20273.07015991211,2200,2,0.8125,25103.595138549805,2200,2,0.8375,36343.22674560547,2200,2,0.8375,38022.443588256836,2200,2,0.8375,20939.17527770996,2200,2,0.8375,46941.88774108887,2200,2,0.8375,59415.87712097168,2196,2192,2187,2136,2194,2178,2186,1979,2195,2184,2195,2181,2168,2173,2185,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,913424384,249298944
1000,1744889307329,44786.67364501953,2200,2,0.84375,35013.7657623291,2200,2,0.84375,20273.07243347168,2200,2,0.84375,25103.60186767578,2200,2,0.84375,36343.228912353516,2200,2,0.84375,38022.44583129883,2200,2,0.84375,20939.177932739258,2200,2,0.85,46941.8899230957,2200,2,0.85,59422.033782958984,2196,2192,2187,2136,2194,2178,2186,1979,2195,2184,2195,2181,2168,2173,2185,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,913424384,249298944
1000,1744889308330,44786.67578125,2200,2,0.8125,35013.767578125,2200,2,0.8375,20273.074508666992,2200,2,0.8375,25103.60726928711,2200,2,0.8375,36343.23025512695,2200,2,0.8375,38022.44743347168,2200,2,0.8375,20939.17919921875,2200,2,0.8375,46941.89112854004,2200,2,0.8375,59428.096923828125,2196,2192,2187,2136,2194,2178,2186,1979,2195,2184,2195,2181,2168,2173,2185,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,913424384,249298944
1000,1744889309330,44786.67727661133,2200,2,0.84375,35013.769790649414,2200,2,0.84375,20273.07618713379,2200,2,0.84375,25103.614181518555,2200,2,0.84375,36343.23196411133,2200,2,0.84375,38022.448974609375,2200,2,0.89375,20939.180465698242,2200,2,0.89375,46941.89268493652,2200,2,0.89375,59434.171951293945,2196,2192,2187,2136,2194,2178,2186,1979,2195,2184,2195,2181,2168,2173,2185,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,913424384,249298944
1000,1744889310331,44786.680114746094,2200,2,0.8375,35013.77296447754,2200,2,0.8375,20273.078887939453,2200,2,0.8375,25103.620086669922,2200,2,0.8375,36343.23564147949,2200,2,0.8375,38022.452239990234,2200,2,0.8375,20939.18360900879,2200,2,0.8375,46941.89468383789,2200,2,0.8375,59440.27131652832,2196,2192,2187,2136,2194,2178,2186,1979,2195,2184,2195,2181,2168,2173,2185,2193,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,913424384,249298944
