Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745013345152,32146.865661621094,2200,2,0.95625,40639.07402038574,2200,2,0.95625,15545.864837646484,2200,2,0.95625,43460.50471496582,2200,2,0.95625,22812.187393188477,2200,2,0.95625,46343.689453125,2200,2,0.8375,30778.995223999023,2200,2,0.8375,779.8224945068359,2200,2,0.8375,49585.280044555664,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,3.3333334922790527,3.3333334922790527,6.6666669845581055,3.3333334922790527,13.333333969116211,0,3.3333334922790527,3.3333334922790527,6.6666669845581055,0,0,3.4482758045196533,0,0,0,16665841664,4294963200,873353216,295174144
1000,1745013345152,32146.86602783203,2200,2,0.8375,40639.07699584961,2200,2,0.8375,15545.865753173828,2200,2,0.8375,43460.504821777344,2200,2,0.8375,22812.1875,2200,2,0.8375,46343.69267272949,2200,2,0.8375,30778.995330810547,2200,2,0.8375,779.8226470947266,2200,2,0.8375,49585.30480957031,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,3.3333334922790527,3.3333334922790527,6.6666669845581055,3.3333334922790527,13.333333969116211,0,3.3333334922790527,3.3333334922790527,6.6666669845581055,0,0,3.4482758045196533,0,0,0,16665841664,4294963200,873353216,295174144
1000,1745013346153,32146.86851501465,2000,2,0.95625,40639.08285522461,3000,2,0.95625,15545.87173461914,2000,2,0.95625,43460.509368896484,2000,2,0.95625,22812.19061279297,2200,2,0.95625,46343.71504211426,2200,2,0.95625,30778.998428344727,2200,2,0.95625,779.8252868652344,2200,2,0.9125,49591.64682006836,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,873353216,295174144
1000,1745013347153,32146.87060546875,2133.333333333333,2,0.88125,40639.08610534668,3000,2,0.9625,15545.87353515625,2000,2,0.9625,43460.51171875,2000,2,0.9625,22812.192352294922,2200,2,0.9625,46343.72201538086,2200,2,0.9625,30779.000396728516,2200,2,0.9625,779.8275756835938,2200,2,0.9625,49597.697189331055,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,873353216,295174144
1000,1745013348154,32146.873626708984,2000,2,0.9625,40639.09022521973,3000,2,0.9625,15545.87663269043,2000,2,0.9625,43460.51626586914,2000,2,0.9625,22812.195724487305,2200,2,0.9625,46343.7311706543,2200,2,0.9625,30779.00360107422,2200,2,0.9625,779.8321075439453,2200,2,0.9625,49603.855560302734,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,873353216,295174144
1000,1745013349154,32146.875289916992,2000,2,0.9625,40639.092224121094,3000,2,0.9625,15545.878128051758,2000,2,0.9625,43460.51779174805,2000,2,0.9625,22812.197296142578,2200,2,0.9625,46343.73588562012,2200,2,0.9625,30779.005126953125,2200,2,0.9625,779.8333282470703,2200,2,0.9625,49609.877670288086,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,873353216,295174144
1000,1745013350155,32146.877212524414,2133.333333333333,2,0.88125,40639.095275878906,3200,1,0.88125,15545.880264282227,2133.333333333333,2,0.88125,43460.520751953125,2000,2,0.88125,22812.201126098633,2200,2,0.9625,46343.74354553223,2200,2,0.9625,30779.0079498291,2200,2,0.9625,779.8374481201172,2200,2,0.9625,49615.98013305664,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872308736,295174144
1000,1745013351155,32146.87989807129,2200,2,0.84375,40639.09846496582,2200,2,0.84375,15545.883712768555,2200,2,0.84375,43460.523193359375,2200,2,0.84375,22812.203643798828,2200,2,0.84375,46343.75166320801,2200,2,0.84375,30779.010787963867,2200,2,0.86875,779.8397216796875,2200,2,0.86875,49622.04556274414,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872308736,295174144
1000,1745013352156,32146.88246154785,2200,2,0.8125,40639.101013183594,2200,2,0.85,15545.885925292969,2200,2,0.85,43460.525390625,2200,2,0.85,22812.2059173584,2200,2,0.85,46343.75749206543,2200,2,0.85,30779.013275146484,2200,2,0.85,779.8418121337891,2200,2,0.85,49628.12254333496,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872308736,295174144
1000,1745013353156,32146.884368896484,2000,2,0.95625,40639.1053314209,3000,2,0.95625,15545.889083862305,2000,2,0.95625,43460.528060913086,2000,2,0.95625,22812.207580566406,2200,2,0.95625,46343.76370239258,2200,2,0.95,30779.014892578125,2200,2,0.95,779.8445281982422,2200,2,0.95,49634.16020202637,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872308736,295174144
1000,1745013354157,32146.886611938477,2000,2,0.9625,40639.10838317871,3000,2,0.9625,15545.891693115234,2000,2,0.9625,43460.530670166016,2000,2,0.9625,22812.209732055664,2200,2,0.9625,46343.76918029785,2200,2,0.9625,30779.01792907715,2200,2,0.9625,779.8469848632813,2200,2,0.9625,49640.211349487305,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871366656,295174144
1000,1745013355157,32146.88818359375,2133.333333333333,2,0.88125,40639.11045837402,3200,1,0.88125,15545.893051147461,2133.333333333333,2,0.88125,43460.532318115234,2133.333333333333,2,0.88125,22812.211395263672,2200,2,0.9625,46343.77680969238,2200,2,0.9625,30779.020416259766,2200,2,0.9625,779.8485260009766,2200,2,0.9625,49646.26811218262,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871366656,295174144
1000,1745013356158,32146.89047241211,2000,2,0.95625,40639.11306762695,3000,2,0.95625,15545.895080566406,2000,2,0.95625,43460.53419494629,2000,2,0.95625,22812.21499633789,2200,2,0.95625,46343.78468322754,2200,2,0.95625,30779.023071289063,2200,2,0.95625,779.8507843017578,2200,2,0.91875,49652.38328552246,2175,2194,2180,2149,2194,2168,2160,2187,2078,2168,2191,2132,2179,2189,2178,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,870539264,295174144
