Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744906088335,15009.387283325195,2200,2,0.8375,53320.762298583984,2200,2,0.8375,34214.17790222168,2200,2,0.8375,48555.31723022461,2200,2,0.8375,1506.1568756103516,2200,2,0.8375,54788.21502685547,2200,2,0.8375,37295.64195251465,2200,2,0.8375,2042.3299407958984,2200,2,0.8375,7219.595062255859,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,6.6666669845581055,6.6666669845581055,3.4482758045196533,13.793103218078613,3.4482758045196533,0,0,0,0,3.3333334922790527,0,0,0,0,6.6666669845581055,16665841664,4294963200,897257472,255328256
1000,1744906088335,15009.387573242188,2200,2,0.8375,53320.76240539551,2200,2,0.8375,34214.1780090332,2200,2,0.8375,48555.31896972656,2200,2,0.8375,1506.1601257324219,2200,2,0.8375,54788.21519470215,2200,2,0.8375,37295.64212036133,2200,2,0.8375,2042.330093383789,2200,2,0.8375,7219.621551513672,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,6.6666669845581055,6.6666669845581055,3.4482758045196533,13.793103218078613,3.4482758045196533,0,0,0,0,3.3333334922790527,0,0,0,0,6.6666669845581055,16665841664,4294963200,897257472,255328256
1000,1744906089335,15009.394393920898,2200,2,0.8375,53320.76722717285,2200,2,0.8375,34214.18151855469,2200,2,0.8375,48555.322845458984,2200,2,0.875,1506.1759643554688,2200,2,0.875,54788.21716308594,2200,2,0.875,37295.64434814453,2200,2,0.875,2042.3319854736328,2200,2,0.875,7225.8671875,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897826816,255328256
1000,1744906090336,15009.397689819336,2200,2,0.8375,53320.77020263672,2200,2,0.8375,34214.18374633789,2200,2,0.8375,48555.324768066406,2200,2,0.8375,1506.1817779541016,2200,2,0.8375,54788.22172546387,2200,2,0.8375,37295.646240234375,2200,2,0.8375,2042.3338775634766,2200,2,0.8375,7232.006500244141,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897826816,255328256
1000,1744906091336,15009.399978637695,2200,2,0.8125,53320.77308654785,2200,2,0.8125,34214.18737792969,2200,2,0.8375,48555.32695007324,2200,2,0.8375,1506.1891632080078,2200,2,0.8375,54788.22398376465,2200,2,0.8375,37295.64846801758,2200,2,0.8375,2042.3370361328125,2200,2,0.8375,7238.151382446289,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897826816,255328256
1000,1744906092337,15009.402755737305,2200,2,0.8375,53320.77615356445,2200,2,0.8375,34214.18991088867,2200,2,0.8375,48555.32925415039,2200,2,0.8375,1506.1971435546875,2200,2,0.8375,54788.2262878418,2200,2,0.875,37295.65089416504,2200,2,0.875,2042.33984375,2200,2,0.875,7244.270797729492,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897826816,255328256
1000,1744906093337,15009.404220581055,2200,2,0.8375,53320.77813720703,2200,2,0.8375,34214.191329956055,2200,2,0.8375,48555.330978393555,2200,2,0.8375,1506.2012634277344,2200,2,0.8375,54788.228591918945,2200,2,0.8375,37295.65203857422,2200,2,0.8375,2042.3409118652344,2200,2,0.8375,7250.333099365234,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897826816,255328256
1000,1744906094338,15009.406845092773,2200,2,0.83125,53320.78080749512,2200,2,0.83125,34214.19332885742,2200,2,0.83125,48555.33409118652,2200,2,0.83125,1506.2102966308594,2200,2,0.83125,54788.2321472168,2200,2,0.875,37295.654296875,2200,2,0.875,2042.342544555664,2200,2,0.875,7256.464599609375,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897826816,255328256
1000,1744906095338,15009.408966064453,2000,2,0.89375,53320.78358459473,3000,2,0.9625,34214.195404052734,2000,2,0.9625,48555.33642578125,2000,2,0.9625,1506.2154693603516,2200,2,0.9625,54788.23388671875,2200,2,0.9625,37295.65608215332,2200,2,0.9625,2042.3443145751953,2200,2,0.9625,7262.556869506836,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897826816,255328256
1000,1744906096339,15009.410995483398,2200,2,0.8375,53320.78663635254,2200,2,0.8375,34214.19755554199,2200,2,0.8375,48555.33868408203,2200,2,0.825,1506.2228698730469,2200,2,0.825,54788.23579406738,2200,2,0.825,37295.657974243164,2200,2,0.825,2042.3457794189453,2200,2,0.825,7268.673416137695,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897658880,255328256
1000,1744906097339,15009.413040161133,2200,2,0.8375,53320.7900390625,2200,2,0.8375,34214.20071411133,2200,2,0.8375,48555.34169006348,2200,2,0.8375,1506.229751586914,2200,2,0.8375,54788.238845825195,2200,2,0.8375,37295.659896850586,2200,2,0.85,2042.347412109375,2200,2,0.85,7274.8289794921875,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897658880,255328256
1000,1744906098340,15009.415252685547,2200,2,0.8125,53320.792251586914,2200,2,0.8375,34214.20246887207,2200,2,0.8375,48555.34492492676,2200,2,0.8375,1506.2379608154297,2200,2,0.8375,54788.241958618164,2200,2,0.8375,37295.661849975586,2200,2,0.8375,2042.3486785888672,2200,2,0.8375,7280.953414916992,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897658880,255328256
1000,1744906099340,15009.417373657227,2200,2,0.8375,53320.794860839844,2200,2,0.8375,34214.204650878906,2200,2,0.8375,48555.34777832031,2200,2,0.8375,1506.2441101074219,2200,2,0.89375,54788.243911743164,2200,2,0.89375,37295.664154052734,2200,2,0.89375,2042.350830078125,2200,2,0.89375,7287.080307006836,2194,2194,2194,2143,2183,2195,2027,2177,2092,2180,2191,2189,2029,2144,2186,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897658880,255328256
