Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744913595146,28436.220153808594,2200,2,0.8375,60922.02081298828,2200,2,0.8375,41841.90954589844,2200,2,0.8375,56592.58474731445,2200,2,0.8375,16451.302612304688,2200,2,0.8375,61216.43232727051,2200,2,0.8375,43880.522033691406,2200,2,0.8375,7727.595809936523,2200,2,0.8375,19686.630859375,2181,2191,2112,2100,2193,2179,2190,2187,2187,2182,2195,2113,2182,2191,2170,2161,3.5714287757873535,3.4482758045196533,7.142857551574707,3.4482758045196533,0,0,0,0,3.4482758045196533,3.5714287757873535,3.5714287757873535,3.5714287757873535,3.5714287757873535,3.4482758045196533,0,0,16665841664,4294963200,910675968,255328256
1000,1744913595146,28436.220474243164,2200,2,0.8375,60922.020919799805,2200,2,0.8375,41841.91276550293,2200,2,0.8375,56592.58485412598,2200,2,0.8375,16451.302795410156,2200,2,0.8375,61216.43418884277,2200,2,0.8375,43880.522201538086,2200,2,0.8375,7727.5977783203125,2200,2,0.8375,19686.656005859375,2181,2191,2112,2100,2193,2179,2190,2187,2187,2182,2195,2113,2182,2191,2170,2161,3.5714287757873535,3.4482758045196533,7.142857551574707,3.4482758045196533,0,0,0,0,3.4482758045196533,3.5714287757873535,3.5714287757873535,3.5714287757873535,3.5714287757873535,3.4482758045196533,0,0,16665841664,4294963200,910675968,255328256
1000,1744913596147,28436.224075317383,2175,2,0.9125,60922.02555847168,4350,0,0.9125,41841.922286987305,2175,2,0.9125,56592.58938598633,2175,2,0.9125,16451.308837890625,2200,2,0.9125,61216.442443847656,2200,2,0.9125,43880.527587890625,2200,2,0.9125,7727.6044921875,2200,2,1.4937500000000001,19692.903549194336,2181,2191,2112,2100,2193,2179,2190,2187,2187,2182,2195,2113,2182,2191,2170,2161,0,0,1.9801980257034302,0,0.9803922176361084,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,910671872,255328256
1000,1744913597147,28436.228240966797,2200,2,0.8375,60922.02946472168,2200,2,0.8375,41841.941650390625,2200,2,0.8375,56592.591796875,2200,2,0.8375,16451.311950683594,2200,2,0.8375,61216.44612121582,2200,2,0.8375,43880.53012084961,2200,2,0.8375,7727.606994628906,2200,2,0.8375,19698.99851989746,2181,2191,2112,2100,2193,2179,2190,2187,2187,2182,2195,2113,2182,2191,2170,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,910671872,255328256
1000,1744913598148,28436.23013305664,2133.333333333333,2,0.8875,60922.03189086914,3200,1,0.8875,41841.94958496094,2133.333333333333,2,0.8875,56592.59437561035,2000,2,0.9625,16451.316009521484,2200,2,0.9625,61216.4504699707,2200,2,0.9625,43880.53373718262,2200,2,0.9625,7727.6097412109375,2200,2,0.9625,19705.12889099121,2181,2191,2112,2100,2193,2179,2190,2187,2187,2182,2195,2113,2182,2191,2170,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,910659584,255328256
1000,1744913599148,28436.23291015625,2000,2,1.5250000000000001,60922.03384399414,3000,2,1.5250000000000001,41841.95962524414,2000,2,1.5250000000000001,56592.596130371094,2000,2,1.5250000000000001,16451.317794799805,2200,2,1.5250000000000001,61216.45263671875,2200,2,1.5250000000000001,43880.535720825195,2200,2,1.5250000000000001,7727.611740112305,2200,2,1.5250000000000001,19711.21893310547,2181,2191,2112,2100,2193,2179,2190,2187,2187,2182,2195,2113,2182,2191,2170,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,910659584,255328256
1000,1744913600149,28436.23648071289,2200,2,0.8125,60922.041091918945,2200,2,0.85,41841.9739074707,2200,2,0.85,56592.60144042969,2200,2,0.85,16451.32405090332,2200,2,0.85,61216.456787109375,2200,2,0.85,43880.540756225586,2200,2,0.85,7727.615539550781,2200,2,0.85,19717.36978149414,2181,2191,2112,2100,2193,2179,2190,2187,2187,2182,2195,2113,2182,2191,2170,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,910659584,255328256
1000,1744913601149,28436.23908996582,2000,2,0.95625,60922.0456237793,3000,2,0.95625,41841.98278808594,2000,2,0.95625,56592.603759765625,2000,2,0.95625,16451.32635498047,2200,2,0.95,61216.46061706543,2200,2,0.95,43880.54309082031,2200,2,0.95,7727.617523193359,2200,2,0.95,19723.467712402344,2181,2191,2112,2100,2193,2179,2190,2187,2187,2182,2195,2113,2182,2191,2170,2161,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,910659584,255328256
1000,1744913602150,28436.242553710938,2000,2,1.5250000000000001,60922.055252075195,3000,2,1.5250000000000001,41841.9963684082,2000,2,1.5250000000000001,56592.6085357666,2000,2,1.5250000000000001,16451.33235168457,2200,2,1.5250000000000001,61216.465255737305,2200,2,1.5250000000000001,43880.54623413086,2200,2,1.5250000000000001,7727.622344970703,2200,2,1.5250000000000001,19729.627410888672,2181,2191,2112,2100,2193,2179,2190,2187,2187,2182,2195,2113,2182,2191,2170,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,910659584,255328256
1000,1744913603150,28436.245651245117,2175,2,0.9125,60922.06167602539,4350,0,0.9125,41842.0115814209,2175,2,0.9125,56592.61087036133,2175,2,0.9125,16451.33465576172,2200,2,0.9125,61216.47001647949,2200,2,0.9125,43880.549392700195,2200,2,1.46875,7727.624664306641,2200,2,1.46875,19735.76383972168,2181,2191,2112,2100,2193,2179,2190,2187,2187,2182,2195,2113,2182,2191,2170,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,910659584,255328256
1000,1744913604150,28436.249465942383,2000,2,1.48125,60922.068298339844,3000,2,1.48125,41842.029357910156,2000,2,1.48125,56592.61682128906,2000,2,1.48125,16451.34034729004,2200,2,1.48125,61216.47492980957,2200,2,1.48125,43880.553970336914,2200,2,1.48125,7727.627990722656,2200,2,1.48125,19741.925720214844,2181,2191,2112,2100,2193,2179,2190,2187,2187,2182,2195,2113,2182,2191,2170,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,910659584,255328256
