Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744836733323,9642.925643920898,2175,2,1.48125,40949.07279968262,4350,0,1.48125,31235.9190826416,2175,2,1.48125,41965.04313659668,2175,2,1.48125,64706.14419555664,2200,2,1.48125,41597.71781921387,2200,2,1.48125,29950.270385742188,2200,2,1.48125,39934.441146850586,2200,2,1.48125,47330.81558227539,2184,2194,2175,2181,2190,2133,2193,2186,2081,2181,2195,2179,2182,2196,2187,2059,3.4482758045196533,10.344827651977539,3.3333334922790527,3.4482758045196533,0,3.4482758045196533,0,0,0,3.4482758045196533,6.6666669845581055,3.4482758045196533,3.4482758045196533,0,0,3.4482758045196533,16665841664,4294963200,927358976,230686720
1000,1744836733323,9642.926712036133,2175,2,1.475,40949.08253479004,4350,0,1.475,31235.919647216797,2175,2,1.475,41965.0489654541,2175,2,1.475,64706.14483642578,2200,2,1.475,41597.71858215332,2200,2,1.475,29950.27085876465,2200,2,1.475,39934.44184875488,2200,2,1.475,47330.85266113281,2184,2194,2175,2181,2190,2133,2193,2186,2081,2181,2195,2179,2182,2196,2187,2059,3.4482758045196533,10.344827651977539,3.3333334922790527,3.4482758045196533,0,3.4482758045196533,0,0,0,3.4482758045196533,6.6666669845581055,3.4482758045196533,3.4482758045196533,0,0,3.4482758045196533,16665841664,4294963200,927358976,230686720
1000,1744836734324,9642.933059692383,2175,2,0.88125,40949.11474609375,4350,0,0.88125,31235.924545288086,2175,2,0.88125,41965.06834411621,2175,2,0.88125,64706.151947021484,2200,2,0.88125,41597.74464416504,2200,2,0.88125,29950.28141784668,2200,2,0.88125,39934.44569396973,2200,2,0.88125,47337.09336853027,2184,2194,2175,2181,2190,2133,2193,2186,2081,2181,2195,2179,2182,2196,2187,2059,0,0.9900990128517151,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,927617024,230686720
1000,1744836735324,9642.936416625977,2133.333333333333,2,0.9125,40949.13423156738,3200,1,0.9125,31235.927291870117,2133.333333333333,2,0.9125,41965.07107543945,2133.333333333333,2,0.9125,64706.154525756836,2200,2,0.9125,41597.747985839844,2200,2,0.9125,29950.28401184082,2200,2,0.9125,39934.45135498047,2200,2,0.9125,47343.19200134277,2184,2194,2175,2181,2190,2133,2193,2186,2081,2181,2195,2179,2182,2196,2187,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,927617024,230686720
1000,1744836736325,9642.940231323242,2133.333333333333,2,0.9125,40949.14163208008,3200,1,0.9125,31235.9296875,2133.333333333333,2,0.9125,41965.07369995117,2133.333333333333,2,0.9125,64706.15718078613,2200,2,0.9625,41597.751541137695,2200,2,0.9625,29950.286376953125,2200,2,0.9625,39934.45301818848,2200,2,0.9625,47349.28495788574,2184,2194,2175,2181,2190,2133,2193,2186,2081,2181,2195,2179,2182,2196,2187,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,926375936,230686720
1000,1744836737325,9642.942245483398,2175,2,0.88125,40949.150329589844,4350,0,0.88125,31235.931549072266,2175,2,0.88125,41965.075744628906,2175,2,0.88125,64706.15916442871,2200,2,0.88125,41597.75325012207,2200,2,0.88125,29950.2880859375,2200,2,0.88125,39934.454666137695,2200,2,0.88125,47355.324478149414,2184,2194,2175,2181,2190,2133,2193,2186,2081,2181,2195,2179,2182,2196,2187,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,926375936,230686720
1000,1744836738326,9642.950759887695,2175,2,0.90625,40949.17842102051,4350,0,0.90625,31235.937911987305,2175,2,0.90625,41965.0799407959,2175,2,0.90625,64706.163635253906,2200,2,0.90625,41597.76103210449,2200,2,0.90625,29950.29624938965,2200,2,1.5125,39934.45765686035,2200,2,1.5125,47361.53140258789,2184,2194,2175,2181,2190,2133,2193,2186,2081,2181,2195,2179,2182,2196,2187,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,926375936,230686720
1000,1744836739326,9642.953231811523,2133.333333333333,2,0.88125,40949.190994262695,3200,1,0.88125,31235.940368652344,2133.333333333333,2,0.88125,41965.083587646484,2133.333333333333,2,0.88125,64706.16616821289,2200,2,0.88125,41597.7638092041,2200,2,0.95625,29950.299255371094,2200,2,0.95625,39934.46174621582,2200,2,0.95625,47367.65718078613,2184,2194,2175,2181,2190,2133,2193,2186,2081,2181,2195,2179,2182,2196,2187,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,925638656,230686720
1000,1744836740327,9642.957702636719,2175,2,0.91875,40949.19590759277,4350,0,0.91875,31235.94270324707,2175,2,0.91875,41965.085525512695,2175,2,0.91875,64706.16793823242,2200,2,0.91875,41597.76599121094,2200,2,0.91875,29950.301223754883,2200,2,0.91875,39934.46337890625,2200,2,0.91875,47373.70442199707,2184,2194,2175,2181,2190,2133,2193,2186,2081,2181,2195,2179,2182,2196,2187,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,925638656,230686720
1000,1744836741327,9642.968444824219,2175,2,0.9,40949.20848083496,4350,0,0.9,31235.946701049805,2175,2,0.9,41965.08973693848,2175,2,0.9,64706.171478271484,2200,2,0.9,41597.76844787598,2200,2,0.9,29950.303634643555,2200,2,0.9,39934.46684265137,2200,2,0.9,47379.776779174805,2184,2194,2175,2181,2190,2133,2193,2186,2081,2181,2195,2179,2182,2196,2187,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,924995584,230686720
