Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744993622681,62335.05497741699,2133.333333333333,2,0.9625,18031.415420532227,3200,1,0.9625,59294.80723571777,2133.333333333333,2,0.9625,17920.796661376953,2133.333333333333,2,0.9625,45364.392181396484,2200,2,0.9625,20480.357498168945,2200,2,0.9625,7242.426071166992,2200,2,0.9625,39687.0138092041,2200,2,0.9625,26420.102157592773,2190,2192,2140,2194,2194,2138,2179,2188,2187,2188,2191,2182,2157,2187,2189,2112,0,0,3.5714287757873535,3.4482758045196533,0,0,0,0,10.344827651977539,3.5714287757873535,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.5714287757873535,16665841664,4294963200,881385472,293339136
1000,1744993622681,62335.05549621582,2133.333333333333,2,0.95625,18031.41566467285,3200,1,0.95625,59294.81150817871,2133.333333333333,2,0.95625,17920.796875,2133.333333333333,2,0.95625,45364.39239501953,2200,2,0.95625,20480.359161376953,2200,2,0.95625,7242.426239013672,2200,2,0.95625,39687.01510620117,2200,2,0.95625,26420.116241455078,2190,2192,2140,2194,2194,2138,2179,2188,2187,2188,2191,2182,2157,2187,2189,2112,0,0,3.5714287757873535,3.4482758045196533,0,0,0,0,10.344827651977539,3.5714287757873535,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.5714287757873535,16665841664,4294963200,881897472,293339136
1000,1744993623682,62335.058822631836,2000,2,0.9625,18031.420211791992,3000,2,0.9625,59294.82286071777,2000,2,0.9625,17920.80015563965,2000,2,0.9625,45364.39709472656,2200,2,0.9625,20480.364349365234,2200,2,0.9625,7242.431304931641,2200,2,0.9625,39687.020568847656,2200,2,0.9625,26426.312438964844,2190,2192,2140,2194,2194,2138,2179,2188,2187,2188,2191,2182,2157,2187,2189,2112,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0.9900990128517151,16665841664,4294963200,882384896,293339136
1000,1744993624682,62335.06172180176,2200,2,0.8125,18031.423538208008,2200,2,0.8125,59294.8307800293,2200,2,0.8125,17920.80308532715,2200,2,0.8125,45364.4005279541,2200,2,0.8375,20480.3670501709,2200,2,0.8375,7242.435638427734,2200,2,0.8375,39687.02296447754,2200,2,0.8375,26432.413345336914,2190,2192,2140,2194,2194,2138,2179,2188,2187,2188,2191,2182,2157,2187,2189,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882384896,293339136
1000,1744993625683,62335.14599609375,2000,2,0.9625,18031.427947998047,3000,2,0.9625,59294.83728027344,2000,2,0.9625,17920.805938720703,2000,2,0.9625,45364.40313720703,2200,2,0.9625,20480.369659423828,2200,2,0.9625,7242.487243652344,2200,2,0.925,39687.02494812012,2200,2,0.925,26439.09359741211,2190,2192,2140,2194,2194,2138,2179,2188,2187,2188,2191,2182,2157,2187,2189,2112,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,16665841664,4294963200,879894528,293339136
1000,1744993626683,62335.148513793945,2133.333333333333,2,0.88125,18031.431427001953,3000,2,0.9625,59294.84649658203,2000,2,0.9625,17920.80975341797,2000,2,0.9625,45364.40635681152,2200,2,0.9625,20480.372299194336,2200,2,0.9625,7242.491592407227,2200,2,0.9625,39687.027435302734,2200,2,0.9625,26445.21450805664,2190,2192,2140,2194,2194,2138,2179,2188,2187,2188,2191,2182,2157,2187,2189,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,879894528,293339136
1000,1744993627684,62335.15141296387,2000,2,0.95625,18031.435516357422,3000,2,0.95625,59294.85583496094,2000,2,0.95625,17920.813400268555,2000,2,0.95625,45364.40951538086,2200,2,0.93125,20480.374954223633,2200,2,0.93125,7242.494689941406,2200,2,0.93125,39687.030044555664,2200,2,0.93125,26451.359146118164,2190,2192,2140,2194,2194,2138,2179,2188,2187,2188,2191,2182,2157,2187,2189,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,879894528,293339136
1000,1744993628684,62335.153900146484,2000,2,1.54375,18031.44158935547,3000,2,1.54375,59294.867446899414,2000,2,1.54375,17920.815353393555,2000,2,1.54375,45364.41149902344,2200,2,1.54375,20480.37696838379,2200,2,1.54375,7242.496978759766,2200,2,1.54375,39687.031661987305,2200,2,1.54375,26457.44496154785,2190,2192,2140,2194,2194,2138,2179,2188,2187,2188,2191,2182,2157,2187,2189,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,879894528,293339136
1000,1744993629685,62335.15693664551,2175,2,0.88125,18031.4453125,4350,0,0.88125,59294.88397216797,2175,2,0.88125,17920.818267822266,2000,2,1.475,45364.41746520996,2200,2,1.475,20480.38021850586,2200,2,1.475,7242.499053955078,2200,2,1.475,39687.03367614746,2200,2,1.475,26463.53256225586,2190,2192,2140,2194,2194,2138,2179,2188,2187,2188,2191,2182,2157,2187,2189,2112,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,879894528,293339136
1000,1744993630685,62335.236099243164,2000,2,0.95625,18031.45021057129,3000,2,0.95625,59294.89274597168,2000,2,0.95625,17920.819915771484,2000,2,0.95625,45364.42010498047,2200,2,0.95625,20480.38214111328,2200,2,0.95625,7242.551071166992,2200,2,0.9375,39687.03591918945,2200,2,0.9375,26470.12612915039,2190,2192,2140,2194,2194,2138,2179,2188,2187,2188,2191,2182,2157,2187,2189,2112,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0303030014038086,0,16665841664,4294963200,876732416,293339136
