Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745072083466,22960.90267944336,2200,2,0.8375,41263.2833404541,2200,2,0.8375,18544.332473754883,2200,2,0.8375,41178.219161987305,2200,2,0.8375,63213.17143249512,2200,2,0.8375,48761.92721557617,2200,2,0.8375,26157.264541625977,2200,2,0.8375,5788.064178466797,2200,2,0.8375,64302.85346984863,2179,2193,2192,2192,2195,2150,1985,2183,2194,2186,2173,2190,1991,2109,2124,2162,0,3.4482758045196533,0,3.5714287757873535,0,3.4482758045196533,6.6666669845581055,3.4482758045196533,3.3333334922790527,6.45161247253418,3.7037036418914795,0,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,16665841664,4294963200,858419200,295960576
1000,1745072083467,22960.903030395508,2200,2,0.8375,41263.28579711914,2200,2,0.8375,18544.333953857422,2200,2,0.8375,41178.219314575195,2200,2,0.8375,63213.17468261719,2200,2,0.8375,48761.92768859863,2200,2,0.8375,26157.264694213867,2200,2,0.8375,5788.064651489258,2200,2,0.8375,64302.879333496094,2179,2193,2192,2192,2195,2150,1985,2183,2194,2186,2173,2190,1991,2109,2124,2162,0,3.4482758045196533,0,3.5714287757873535,0,3.4482758045196533,6.6666669845581055,3.4482758045196533,3.3333334922790527,6.45161247253418,3.7037036418914795,0,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,16665841664,4294963200,858419200,295960576
1000,1745072084467,22960.908462524414,2133.333333333333,2,0.88125,41263.29025268555,3200,1,0.88125,18544.3709564209,2000,2,0.9625,41178.30438232422,2000,2,0.9625,63213.192291259766,2200,2,0.9625,48761.934997558594,2200,2,0.9625,26157.26742553711,2200,2,0.9625,5788.086227416992,2200,2,0.9625,64309.81935119629,2179,2193,2192,2192,2195,2150,1985,2183,2194,2186,2173,2190,1991,2109,2124,2162,0,0,0,2.97029709815979,0,0,0,0,1,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,858677248,295960576
1000,1745072085468,22960.911743164063,2000,2,0.95625,41263.293701171875,3000,2,0.95625,18544.376388549805,2000,2,0.95625,41178.30783081055,2000,2,0.95625,63213.20150756836,2200,2,0.95625,48761.93771362305,2200,2,0.95625,26157.27049255371,2200,2,0.95,5788.088882446289,2200,2,0.95,64315.88269042969,2179,2193,2192,2192,2195,2150,1985,2183,2194,2186,2173,2190,1991,2109,2124,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,859127808,295960576
1000,1745072086468,22960.915786743164,2000,2,1.48125,41263.30033874512,3000,2,1.48125,18544.380798339844,2000,2,1.48125,41178.31130981445,2000,2,1.48125,63213.215240478516,2200,2,1.48125,48761.943283081055,2200,2,1.48125,26157.27508544922,2200,2,1.48125,5788.092956542969,2200,2,1.48125,64321.9797668457,2179,2193,2192,2192,2195,2150,1985,2183,2194,2186,2173,2190,1991,2109,2124,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,859127808,295960576
1000,1745072087469,22960.92042541504,2175,2,0.96875,41263.30653381348,4350,0,0.96875,18544.388702392578,2175,2,0.96875,41178.315170288086,2175,2,0.96875,63213.235412597656,2200,2,0.96875,48761.9469909668,2200,2,0.96875,26157.279983520508,2200,2,0.96875,5788.097686767578,2200,2,0.96875,64328.1360168457,2179,2193,2192,2192,2195,2150,1985,2183,2194,2186,2173,2190,1991,2109,2124,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,859127808,295960576
999,1745072088469,22960.925506591797,2200,2,0.8375,41263.36183166504,2200,2,0.8375,18544.39222717285,2200,2,0.8375,41178.31935119629,2200,2,0.8375,63213.24475097656,2200,2,0.8375,48761.95249938965,2200,2,0.8375,26157.284072875977,2200,2,0.8375,5788.100570678711,2200,2,0.8375,64334.262435913086,2179,2193,2192,2192,2195,2150,1985,2183,2194,2186,2173,2190,1991,2109,2124,2162,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,858312704,295960576
1000,1745072089469,22960.931274414063,2175,2,1.5250000000000001,41263.364669799805,2900,2,1.5250000000000001,18544.44969177246,2175,2,1.5250000000000001,41178.47203063965,4350,0,1.5250000000000001,63213.2548828125,2200,2,1.5250000000000001,48761.95617675781,2200,2,1.5250000000000001,26157.28775024414,2200,2,1.5250000000000001,5788.102554321289,2200,2,1.5250000000000001,64340.81408691406,2179,2193,2192,2192,2195,2150,1985,2183,2194,2186,2173,2190,1991,2109,2124,2162,0,0,0,5.94059419631958,0,0,0,0,1,0,1,0,0,0,0,0,16665841664,4294963200,858157056,295960576
1000,1745072090470,22960.93536376953,2175,2,0.8875,41263.36827087402,3000,2,1.5250000000000001,18544.453155517578,2000,2,1.5250000000000001,41178.52159118652,2000,2,1.5250000000000001,63213.281799316406,2200,2,1.5250000000000001,48761.959701538086,2200,2,1.5250000000000001,26157.29165649414,2200,2,1.5250000000000001,5788.106582641602,2200,2,1.5250000000000001,64347.31640625,2179,2193,2192,2192,2195,2150,1985,2183,2194,2186,2173,2190,1991,2109,2124,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,858157056,295960576
1000,1745072091470,22960.938766479492,2175,2,0.9125,41263.38513183594,4350,0,0.9125,18544.46029663086,2175,2,0.9125,41178.526458740234,2175,2,0.9125,63213.29655456543,2200,2,0.9125,48761.9630279541,2200,2,0.9125,26157.295639038086,2200,2,0.9125,5788.110458374023,2200,2,1.425,64353.49580383301,2179,2193,2192,2192,2195,2150,1985,2183,2194,2186,2173,2190,1991,2109,2124,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,858382336,295960576
