Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744827894238,57179.40342712402,2200,2,0.8375,27611.501907348633,2200,2,0.8375,22098.634887695313,2200,2,0.8375,30359.708099365234,2200,2,0.8375,50868.746353149414,2200,2,0.8375,31017.795166015625,2200,2,0.8375,22011.95881652832,2200,2,0.8375,29262.09898376465,2200,2,0.8375,64577.50682067871,2096,2089,2127,2126,2195,2195,2117,2186,2190,2171,2195,2195,2180,2182,2171,2190,3.4482758045196533,0,3.4482758045196533,0,3.4482758045196533,3.3333334922790527,0,3.4482758045196533,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,3.4482758045196533,0,6.896551609039307,3.4482758045196533,16665841664,4294963200,938393600,219414528
999,1744827894238,57179.40660095215,2200,2,0.8375,27611.50225830078,2200,2,0.8375,22098.635040283203,2200,2,0.8375,30359.708251953125,2200,2,0.8375,50868.74743652344,2200,2,0.8375,31017.795333862305,2200,2,0.8375,22011.958923339844,2200,2,0.8375,29262.100067138672,2200,2,0.8375,64577.51826477051,2096,2089,2127,2126,2195,2195,2117,2186,2190,2171,2195,2195,2180,2182,2171,2190,3.4482758045196533,0,3.4482758045196533,0,3.4482758045196533,3.3333334922790527,0,3.4482758045196533,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,3.4482758045196533,0,6.896551609039307,3.4482758045196533,16665841664,4294963200,938393600,219414528
1000,1744827895238,57179.41551208496,2175,2,0.93125,27611.50634765625,4350,0,0.93125,22098.637634277344,2175,2,0.93125,30359.710891723633,2175,2,0.93125,50868.78886413574,2200,2,0.93125,31017.895599365234,2200,2,0.93125,22011.963790893555,2200,2,0.93125,29262.130645751953,2200,2,0.93125,64584.42462158203,2096,2089,2127,2126,2195,2195,2117,2186,2190,2171,2195,2195,2180,2182,2171,2190,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,16665841664,4294963200,939134976,219414528
1000,1744827896239,57179.42630004883,2200,2,0.84375,27611.521392822266,2200,2,0.84375,22098.642807006836,2200,2,0.84375,30359.71533203125,2200,2,0.84375,50868.79341125488,2200,2,0.84375,31017.918029785156,2200,2,0.84375,22011.96775817871,2200,2,0.84375,29262.137741088867,2200,2,0.85,64590.7151184082,2096,2089,2127,2126,2195,2195,2117,2186,2190,2171,2195,2195,2180,2182,2171,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,938549248,219414528
1000,1744827897239,57179.4289855957,2175,2,0.88125,27611.526260375977,4350,0,0.88125,22098.645614624023,2175,2,0.88125,30359.71809387207,2175,2,0.88125,50868.795806884766,2200,2,0.88125,31017.920120239258,2200,2,0.88125,22011.970184326172,2200,2,0.88125,29262.14126586914,2200,2,0.88125,64596.821380615234,2096,2089,2127,2126,2195,2195,2117,2186,2190,2171,2195,2195,2180,2182,2171,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,938549248,219414528
999,1744827898239,57179.433364868164,2200,2,0.85,27611.5470123291,2200,2,0.85,22098.650482177734,2200,2,0.85,30359.724212646484,2200,2,0.85,50868.80076599121,2200,2,0.85,31017.923416137695,2200,2,0.89375,22011.973922729492,2200,2,0.89375,29262.14569091797,2200,2,0.89375,64602.98564147949,2096,2089,2127,2126,2195,2195,2117,2186,2190,2171,2195,2195,2180,2182,2171,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,937750528,219414528
1000,1744827899240,57179.43647766113,2200,2,0.8125,27611.55258178711,2200,2,0.8125,22098.65296936035,2200,2,0.8125,30359.727996826172,2200,2,0.8125,50868.80303955078,2200,2,0.8125,31017.926681518555,2200,2,0.8375,22011.97608947754,2200,2,0.8375,29262.148559570313,2200,2,0.8375,64609.07406616211,2096,2089,2127,2126,2195,2195,2117,2186,2190,2171,2195,2195,2180,2182,2171,2190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,937054208,219414528
1000,1744827900240,57179.4451751709,2200,2,0.8375,27611.55941772461,2200,2,0.8375,22098.655883789063,2200,2,0.8375,30359.730056762695,2200,2,0.8375,50868.828521728516,2200,2,0.8375,31017.929397583008,2200,2,0.8375,22012.030197143555,2200,2,0.8375,29262.150283813477,2200,2,0.8375,64615.30830383301,2096,2089,2127,2126,2195,2195,2117,2186,2190,2171,2195,2195,2180,2182,2171,2190,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,16665841664,4294963200,936284160,219414528
1000,1744827901240,57179.448989868164,2175,2,0.88125,27611.569763183594,4350,0,0.88125,22098.658615112305,2175,2,0.88125,30359.73304748535,2175,2,0.88125,50868.84031677246,2200,2,0.88125,31017.931564331055,2200,2,0.88125,22012.079696655273,2200,2,0.88125,29262.169494628906,2200,2,0.88125,64621.92428588867,2096,2089,2127,2126,2195,2195,2117,2186,2190,2171,2195,2195,2180,2182,2171,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9607844352722168,0,0,16665841664,4294963200,936202240,219414528
999,1744827902241,57179.457580566406,2200,2,0.8375,27611.58869934082,2200,2,0.8375,22098.675354003906,2200,2,0.8375,30359.74806213379,2200,2,0.8375,50868.848388671875,2200,2,0.8375,31017.945220947266,2200,2,0.8375,22012.086029052734,2200,2,0.8375,29262.172576904297,2200,2,0.84375,64628.21585083008,2096,2089,2127,2126,2195,2195,2117,2186,2190,2171,2195,2195,2180,2182,2171,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,936427520,219414528
