Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745024218769,49078.90689086914,2200,2,0.8375,51467.1983795166,2200,2,0.8375,30641.635833740234,2200,2,0.8375,54684.035583496094,2200,2,0.8375,41359.236389160156,2200,2,0.8375,56363.553955078125,2200,2,0.8375,41669.09226989746,2200,2,0.8375,12792.6494140625,2200,2,0.8375,65129.16874694824,2089,2197,2193,2192,2002,3189,2193,2027,2197,2194,2007,2126,2128,1986,1996,2193,0,0,0,0,0,0,7.407407283782959,0,3.4482758045196533,3.5714287757873535,0,0,0,0,0,3.4482758045196533,16665841664,4294963200,848588800,290717696
1000,1745024218769,49078.909103393555,2200,2,0.8375,51467.20008850098,2200,2,0.8375,30641.635986328125,2200,2,0.8375,54684.035736083984,2200,2,0.8375,41359.236557006836,2200,2,0.8375,56363.55419921875,2200,2,0.8375,41669.09548950195,2200,2,0.8375,12792.64958190918,2200,2,0.8375,65129.19494628906,2089,2197,2193,2192,2002,3189,2193,2027,2197,2194,2007,2126,2128,1986,1996,2193,0,0,0,0,0,0,7.407407283782959,0,3.4482758045196533,3.5714287757873535,0,0,0,0,0,3.4482758045196533,16665841664,4294963200,848588800,290717696
1000,1745024219770,49078.913345336914,2133.333333333333,2,0.88125,51467.20457458496,3200,1,0.88125,30641.638717651367,2000,2,0.88125,54684.038513183594,2000,2,0.9625,41359.23907470703,2200,2,0.9625,56363.55711364746,2200,2,0.9625,41669.124771118164,2200,2,0.9625,12792.653457641602,2200,2,0.9625,65135.634826660156,2089,2197,2193,2192,2002,3189,2193,2027,2197,2194,2007,2126,2128,1986,1996,2193,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,16665841664,4294963200,848588800,290717696
1000,1745024220770,49078.93998718262,2000,2,0.95625,51467.27787780762,3000,2,0.95625,30641.64195251465,2000,2,0.95625,54684.04164123535,2000,2,0.95625,41359.24200439453,2200,2,0.95625,56363.59321594238,2200,2,0.95625,41669.12858581543,2200,2,0.9625,12792.657928466797,2200,2,0.9625,65142.20864868164,2089,2197,2193,2192,2002,3189,2193,2027,2197,2194,2007,2126,2128,1986,1996,2193,0,0,0,0,0,0,0,0,0,0,0,1.0101009607315063,0,0,1.0101009607315063,3,16665841664,4294963200,844689408,290717696
1000,1745024221771,49078.957122802734,2133.333333333333,2,0.8875,51467.281967163086,3200,1,0.9625,30641.645050048828,2133.333333333333,2,0.9625,54684.049880981445,2133.333333333333,2,0.9625,41359.24499511719,2200,2,0.9625,56363.5955657959,2200,2,0.9625,41669.13172912598,2200,2,0.9625,12792.661361694336,2200,2,0.9625,65148.33770751953,2089,2197,2193,2192,2002,3189,2193,2027,2197,2194,2007,2126,2128,1986,1996,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844689408,290717696
1000,1745024222771,49078.963439941406,2133.333333333333,2,0.9125,51467.285903930664,3200,1,0.9125,30641.648651123047,2133.333333333333,2,0.9125,54684.05187988281,2133.333333333333,2,0.9125,41359.24871826172,2200,2,0.9125,56363.59829711914,2200,2,0.9812500000000001,41669.135009765625,2200,2,0.9812500000000001,12792.663970947266,2200,2,0.9812500000000001,65154.429611206055,2089,2197,2193,2192,2002,3189,2193,2027,2197,2194,2007,2126,2128,1986,1996,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844689408,290717696
1000,1745024223772,49078.96836853027,2133.333333333333,2,0.9125,51467.29551696777,3200,1,0.9125,30641.65266418457,2133.333333333333,2,0.9125,54684.05633544922,2133.333333333333,2,0.9125,41359.2516784668,2200,2,0.9625,56363.60102844238,2200,2,0.9625,41669.13818359375,2200,2,0.9625,12792.66633605957,2200,2,0.9625,65160.55081176758,2089,2197,2193,2192,2002,3189,2193,2027,2197,2194,2007,2126,2128,1986,1996,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844689408,290717696
1000,1745024224772,49078.970642089844,2133.333333333333,2,0.88125,51467.30192565918,3200,1,0.88125,30641.655364990234,2133.333333333333,2,0.88125,54684.05839538574,2133.333333333333,2,0.88125,41359.25355529785,2200,2,0.88125,56363.60304260254,2200,2,0.88125,41669.14161682129,2200,2,0.88125,12792.668640136719,2200,2,0.88125,65166.619369506836,2089,2197,2193,2192,2002,3189,2193,2027,2197,2194,2007,2126,2128,1986,1996,2193,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844689408,290717696
1000,1745024225773,49078.97802734375,2133.333333333333,2,0.9125,51467.31137084961,3200,1,0.9125,30641.72640991211,2133.333333333333,2,0.95625,54684.06022644043,2133.333333333333,2,0.95625,41359.25520324707,2200,2,0.95625,56363.63740539551,2200,2,0.95625,41669.14506530762,2200,2,0.95625,12792.669570922852,2200,2,0.95625,65173.1296081543,2089,2197,2193,2192,2002,3189,2193,2027,2197,2194,2007,2126,2128,1986,1996,2193,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0.9900990128517151,0,16665841664,4294963200,844947456,290717696
1000,1745024226773,49078.98173522949,2133.333333333333,2,0.88125,51467.31851196289,3200,1,0.88125,30641.729202270508,2133.333333333333,2,0.88125,54684.0622253418,2133.333333333333,2,0.88125,41359.258392333984,2200,2,0.88125,56363.64012145996,2200,2,0.88125,41669.14839172363,2200,2,0.88125,12792.671951293945,2200,2,0.9625,65179.19772338867,2089,2197,2193,2192,2002,3189,2193,2027,2197,2194,2007,2126,2128,1986,1996,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,844947456,290717696
