Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744877396330,19580.456314086914,2200,2,0.84375,23244.55238342285,2200,2,0.84375,10130.991577148438,2200,2,0.84375,15091.274719238281,2200,2,0.84375,17023.081420898438,2200,2,0.84375,25641.05859375,2200,2,0.84375,8756.65087890625,2200,2,0.84375,32808.772872924805,2200,2,0.84375,24394.583389282227,2166,2193,2192,2171,1994,2178,2172,2134,2193,2178,1952,2078,2175,2144,2171,2194,3.5714287757873535,10.714285850524902,3.5714287757873535,3.5714287757873535,0,3.7037036418914795,3.4482758045196533,0,0,3.7037036418914795,0,3.5714287757873535,0,3.5714287757873535,3.5714287757873535,0,16665841664,4294963200,894144512,248512512
1000,1744877396330,19580.45668029785,2200,2,0.8375,23244.555587768555,2200,2,0.8375,10130.991790771484,2200,2,0.8375,15091.274871826172,2200,2,0.8375,17023.081588745117,2200,2,0.8375,25641.058715820313,2200,2,0.8375,8756.65364074707,2200,2,0.8375,32808.773849487305,2200,2,0.8375,24394.595779418945,2166,2193,2192,2171,1994,2178,2172,2134,2193,2178,1952,2078,2175,2144,2171,2194,3.5714287757873535,10.714285850524902,3.5714287757873535,3.5714287757873535,0,3.7037036418914795,3.4482758045196533,0,0,3.7037036418914795,0,3.5714287757873535,0,3.5714287757873535,3.5714287757873535,0,16665841664,4294963200,894144512,248512512
1000,1744877397330,19580.460357666016,2200,2,0.84375,23244.565002441406,2200,2,0.84375,10130.996154785156,2200,2,0.84375,15091.277725219727,2200,2,0.84375,17023.08529663086,2200,2,0.84375,25641.06248474121,2200,2,0.84375,8756.65788269043,2200,2,0.84375,32808.78341674805,2200,2,0.84375,24400.741790771484,2166,2193,2192,2171,1994,2178,2172,2134,2193,2178,1952,2078,2175,2144,2171,2194,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,16665841664,4294963200,894402560,248512512
1000,1744877398331,19580.464797973633,2200,2,0.8125,23244.56915283203,2200,2,0.8125,10131.000274658203,2200,2,0.8125,15091.282150268555,2200,2,0.8125,17023.0887298584,2200,2,0.85,25641.066345214844,2200,2,0.85,8756.662689208984,2200,2,0.85,32808.78895568848,2200,2,0.85,24406.884872436523,2166,2193,2192,2171,1994,2178,2172,2134,2193,2178,1952,2078,2175,2144,2171,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,894705664,248512512
1000,1744877399331,19580.474502563477,2000,2,0.95625,23244.57241821289,3000,2,0.95625,10131.003524780273,2200,2,0.95625,15091.284484863281,2200,2,0.95625,17023.092315673828,2200,2,0.95625,25641.16746520996,2200,2,0.95625,8756.665054321289,2200,2,0.84375,32808.85292053223,2200,2,0.84375,24413.637725830078,2166,2193,2192,2171,1994,2178,2172,2134,2193,2178,1952,2078,2175,2144,2171,2194,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,16665841664,4294963200,893677568,248512512
1000,1744877400332,19580.477432250977,2200,2,0.8125,23244.577743530273,2200,2,0.8125,10131.006057739258,2200,2,0.85,15091.286361694336,2200,2,0.85,17023.093826293945,2200,2,0.85,25641.16944885254,2200,2,0.85,8756.666763305664,2200,2,0.85,32808.867279052734,2200,2,0.85,24419.721771240234,2166,2193,2192,2171,1994,2178,2172,2134,2193,2178,1952,2078,2175,2144,2171,2194,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893677568,248512512
1000,1744877401332,19580.48011779785,2200,2,0.8375,23244.583984375,2200,2,0.8375,10131.008331298828,2200,2,0.8375,15091.288497924805,2200,2,0.8375,17023.097427368164,2200,2,0.8375,25641.17724609375,2200,2,0.8875,8756.668655395508,2200,2,0.8875,32808.8747253418,2200,2,0.8875,24425.82472229004,2166,2193,2192,2171,1994,2178,2172,2134,2193,2178,1952,2078,2175,2144,2171,2194,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,16665841664,4294963200,893677568,248512512
1000,1744877402333,19580.48272705078,2133.333333333333,2,0.8875,23244.589096069336,3200,1,0.8875,10131.010940551758,2133.333333333333,2,0.8875,15091.291564941406,2133.333333333333,2,0.8875,17023.099884033203,2200,2,0.8875,25641.17950439453,2200,2,0.8875,8756.672454833984,2200,2,0.9625,32808.87760925293,2200,2,0.9625,24431.897689819336,2166,2193,2192,2171,1994,2178,2172,2134,2193,2178,1952,2078,2175,2144,2171,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,16665841664,4294963200,893886464,248512512
1000,1744877403333,19580.485900878906,2200,2,0.8375,23244.599731445313,2200,2,0.8375,10131.013931274414,2200,2,0.8375,15091.296966552734,2200,2,0.8375,17023.104049682617,2200,2,0.86875,25641.182388305664,2200,2,0.86875,8756.675064086914,2200,2,0.86875,32808.88056945801,2200,2,0.86875,24438.099349975586,2166,2193,2192,2171,1994,2178,2172,2134,2193,2178,1952,2078,2175,2144,2171,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893886464,248512512
1000,1744877404334,19580.498077392578,2133.333333333333,2,0.95625,23244.603591918945,3200,1,0.95625,10131.017440795898,2133.333333333333,2,0.95625,15091.299942016602,2133.333333333333,2,0.95625,17023.10581970215,2200,2,0.95625,25641.281356811523,2200,2,0.95625,8756.67707824707,2200,2,0.95625,32808.94137573242,2200,2,0.95625,24444.808212280273,2166,2193,2192,2171,1994,2178,2172,2134,2193,2178,1952,2078,2175,2144,2171,2194,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,16665841664,4294963200,893992960,248512512
