Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744885539273,36867.42295837402,2200,2,0.95625,31386.838760375977,2200,2,0.95625,16328.632598876953,2200,2,0.95625,22749.246780395508,2200,2,0.95625,29512.637435913086,2200,2,0.95625,34366.012130737305,2200,2,0.95625,16786.315826416016,2200,2,0.95625,42878.63264465332,2200,2,0.95625,51547.749450683594,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,3.22580623626709,3.3333334922790527,3.22580623626709,3.125,3.22580623626709,0,3.22580623626709,0,3.22580623626709,3.22580623626709,9.67741870880127,0,3.22580623626709,0,16665841664,4294963200,911724544,248774656
1000,1744885539273,36867.42330932617,2200,2,0.8375,31386.84130859375,2200,2,0.8375,16328.634033203125,2200,2,0.8375,22749.2469329834,2200,2,0.8375,29512.637588500977,2200,2,0.8375,34366.01222229004,2200,2,0.8375,16786.317443847656,2200,2,0.8375,42878.632751464844,2200,2,0.8375,51547.76187133789,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,3.22580623626709,3.3333334922790527,3.22580623626709,3.125,3.22580623626709,0,3.22580623626709,0,3.22580623626709,3.22580623626709,9.67741870880127,0,3.22580623626709,0,16665841664,4294963200,911724544,248774656
1000,1744885540274,36867.42672729492,2000,2,1.475,31386.84666442871,3000,2,1.475,16328.638244628906,2000,2,1.475,22749.249801635742,2000,2,1.475,29512.640075683594,2200,2,1.475,34366.014236450195,2200,2,1.475,16786.351837158203,2200,2,1.475,42878.63456726074,2200,2,1.475,51554.15759277344,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911982592,248774656
1000,1744885541274,36867.429916381836,2175,2,0.9125,31386.84992980957,4350,0,0.9125,16328.642929077148,2175,2,0.9125,22749.254760742188,2175,2,0.9125,29512.645263671875,2200,2,0.9125,34366.0158996582,2200,2,0.9125,16786.36231994629,2200,2,0.9125,42878.63612365723,2200,2,1.475,51560.29035949707,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,16665841664,4294963200,911659008,248774656
1000,1744885542275,36867.433334350586,2000,2,0.9625,31386.85385131836,3000,2,0.9625,16328.646438598633,2000,2,0.9625,22749.25897216797,2000,2,0.9625,29512.651168823242,2200,2,0.9625,34366.02192687988,2200,2,0.9625,16786.373641967773,2200,2,0.9625,42878.63836669922,2200,2,0.9625,51566.407638549805,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911659008,248774656
1000,1744885543275,36867.43635559082,2175,2,0.88125,31386.85774230957,4350,0,0.88125,16328.651275634766,2175,2,0.88125,22749.26397705078,2000,2,1.53125,29512.656311035156,2200,2,1.53125,34366.02444458008,2200,2,1.53125,16786.386627197266,2200,2,1.53125,42878.64115905762,2200,2,1.53125,51572.56118774414,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,16665841664,4294963200,911654912,248774656
1000,1744885544276,36867.43908691406,2000,2,0.95625,31386.860961914063,3000,2,0.95625,16328.653427124023,2000,2,0.95625,22749.265838623047,2000,2,0.95625,29512.65867614746,2200,2,0.95625,34366.02688598633,2200,2,0.95625,16786.396362304688,2200,2,0.95625,42878.642990112305,2200,2,0.95625,51578.60026550293,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911654912,248774656
1000,1744885545276,36867.44256591797,2200,2,0.85,31386.866256713867,2200,2,0.85,16328.656280517578,2200,2,0.85,22749.269821166992,2200,2,0.85,29512.663543701172,2200,2,0.85,34366.02992248535,2200,2,0.85,16786.40348815918,2200,2,0.85,42878.64613342285,2200,2,0.85,51584.74317932129,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911654912,248774656
1000,1744885546276,36867.44429016113,2133.333333333333,2,0.9125,31386.86932373047,3200,1,0.9125,16328.658416748047,2133.333333333333,2,0.9125,22749.271881103516,2133.333333333333,2,0.9125,29512.666625976563,2200,2,1.00625,34366.03291320801,2200,2,1.00625,16786.41033935547,2200,2,1.00625,42878.64775085449,2200,2,1.00625,51590.81857299805,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911654912,248774656
1000,1744885547277,36867.44812011719,2000,2,1.51875,31386.87239074707,3000,2,1.51875,16328.662292480469,2000,2,1.51875,22749.276489257813,2000,2,1.51875,29512.671142578125,2200,2,1.51875,34366.03535461426,2200,2,1.51875,16786.42041015625,2200,2,1.51875,42878.65055847168,2200,2,1.51875,51596.94577026367,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911654912,248774656
1000,1744885548277,36867.450134277344,2175,2,0.88125,31386.874969482422,4350,0,0.88125,16328.665084838867,2175,2,0.88125,22749.279891967773,2175,2,0.88125,29512.67495727539,2200,2,0.88125,34366.0390625,2200,2,0.88125,16786.435668945313,2200,2,0.88125,42878.65263366699,2200,2,1.475,51603.00065612793,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911654912,248774656
1000,1744885549278,36867.45455932617,2000,2,1.51875,31386.879623413086,3000,2,1.51875,16328.668731689453,2000,2,1.51875,22749.28550720215,2000,2,1.51875,29512.6827545166,2200,2,1.51875,34366.04496765137,2200,2,1.51875,16786.452575683594,2200,2,1.51875,42878.65548706055,2200,2,1.51875,51609.13932800293,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911654912,248774656
1000,1744885550278,36867.457458496094,2133.333333333333,2,0.88125,31386.883270263672,3200,1,0.88125,16328.672073364258,2000,2,0.88125,22749.289184570313,2000,2,0.95625,29512.688064575195,2200,2,0.95625,34366.053955078125,2200,2,0.95625,16786.459762573242,2200,2,0.95625,42878.66262817383,2200,2,0.95625,51615.2825012207,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,911654912,248774656
1000,1744885551279,36867.46696472168,2200,2,0.84375,31386.88735961914,2200,2,0.84375,16328.67578125,2200,2,0.84375,22749.29295349121,2200,2,0.8125,29512.69300842285,2200,2,0.8125,34366.05645751953,2200,2,0.8125,16786.46940612793,2200,2,0.8125,42878.666275024414,2200,2,0.8125,51621.50059509277,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,16665841664,4294963200,912076800,248774656
1000,1744885552279,36867.46891784668,2000,2,0.9625,31386.889709472656,3000,2,0.9625,16328.677780151367,2000,2,0.9625,22749.294631958008,2000,2,0.9625,29512.695098876953,2200,2,0.9625,34366.05842590332,2200,2,0.9625,16786.474807739258,2200,2,0.9625,42878.668884277344,2200,2,0.9625,51627.55717468262,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,912076800,248774656
1000,1744885553280,36867.470794677734,2133.333333333333,2,0.9125,31386.892974853516,3200,1,0.93125,16328.681198120117,2000,2,0.93125,22749.29750061035,2000,2,0.93125,29512.698440551758,2200,2,0.93125,34366.05993652344,2200,2,0.93125,16786.482864379883,2200,2,0.93125,42878.670318603516,2200,2,0.93125,51633.66552734375,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,912076800,248774656
1000,1744885554280,36867.4729309082,2000,2,0.95625,31386.8955078125,3000,2,0.95625,16328.683944702148,2000,2,0.95625,22749.29978942871,2000,2,0.95625,29512.703659057617,2200,2,0.95625,34366.06315612793,2200,2,0.95625,16786.488555908203,2200,2,0.95625,42878.67247009277,2200,2,0.95625,51639.745208740234,2180,1990,2192,2180,2146,2053,2143,2099,2135,2040,2193,2181,2180,2179,2142,1949,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,16665841664,4294963200,912076800,248774656
