Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745014438100,34012.11282348633,2200,2,0.85,41557.231201171875,2200,2,0.85,18276.725387573242,2200,2,0.85,44519.7686920166,2200,2,0.85,24704.699096679688,2200,2,0.85,47720.17248535156,2200,2,0.84375,31526.879852294922,2200,2,0.84375,2956.716064453125,2200,2,0.84375,7590.146545410156,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,3.4482758045196533,3.4482758045196533,0,12.90322494506836,6.6666669845581055,0,3.3333334922790527,0,0,3.3333334922790527,3.4482758045196533,0,0,3.3333334922790527,6.6666669845581055,3.4482758045196533,16665841664,4294963200,873660416,290979840
1000,1745014438100,34012.11306762695,2200,2,0.85,41557.231353759766,2200,2,0.85,18276.725509643555,2200,2,0.85,44519.77201843262,2200,2,0.85,24704.69987487793,2200,2,0.85,47720.172592163086,2200,2,0.85,31526.879959106445,2200,2,0.85,2956.7176666259766,2200,2,0.8375,7590.170379638672,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,3.4482758045196533,3.4482758045196533,0,12.90322494506836,6.6666669845581055,0,3.3333334922790527,0,0,3.3333334922790527,3.4482758045196533,0,0,3.3333334922790527,6.6666669845581055,3.4482758045196533,16665841664,4294963200,873660416,290979840
1000,1745014439101,34012.115142822266,2000,2,0.9625,41557.23342895508,3000,2,0.9625,18276.727279663086,2000,2,0.9625,44519.778579711914,2000,2,0.9625,24704.705123901367,2200,2,0.9625,47720.17414855957,2200,2,0.9625,31526.881896972656,2200,2,0.9375,2956.739288330078,2200,2,0.9375,7596.471862792969,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0.9803922176361084,0,0,0,0,0,0,0,0,16665841664,4294963200,873766912,290979840
1000,1745014440101,34012.1220703125,2200,2,0.8125,41557.23710632324,2200,2,0.8125,18276.730346679688,2200,2,0.85,44519.781829833984,2200,2,0.85,24704.708236694336,2200,2,0.85,47720.176208496094,2200,2,0.85,31526.884735107422,2200,2,0.85,2956.7415618896484,2200,2,0.85,7602.5611572265625,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,874184704,290979840
1000,1745014441102,34012.12617492676,2175,2,0.9125,41557.240646362305,4350,0,0.9125,18276.732223510742,2175,2,0.9125,44519.783462524414,2175,2,0.9125,24704.724670410156,2200,2,0.9125,47720.18444824219,2200,2,0.9125,31526.886947631836,2200,2,0.9125,2956.7430572509766,2200,2,0.9125,7608.659973144531,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,873922560,290979840
1000,1745014442102,34012.13920593262,2200,2,0.825,41557.25459289551,2200,2,0.85,18276.73683166504,2200,2,0.85,44519.78742980957,2200,2,0.85,24704.72836303711,2200,2,0.85,47720.187271118164,2200,2,0.85,31526.88995361328,2200,2,0.85,2956.7462768554688,2200,2,0.85,7614.782974243164,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,873394176,290979840
1000,1745014443103,34012.141036987305,2133.333333333333,2,0.9125,41557.25915527344,3200,1,0.9125,18276.738403320313,2133.333333333333,2,0.9125,44519.78875732422,2133.333333333333,2,0.9125,24704.729904174805,2200,2,0.9125,47720.190490722656,2200,2,0.9125,31526.893142700195,2200,2,0.9125,2956.748001098633,2200,2,0.9125,7620.847595214844,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872751104,290979840
1000,1745014444103,34012.14453125,2133.333333333333,2,0.9125,41557.2696685791,3200,1,0.9125,18276.74412536621,2133.333333333333,2,0.9125,44519.79235839844,2133.333333333333,2,0.9125,24704.733795166016,2200,2,0.9625,47720.19348144531,2200,2,0.9625,31526.89796447754,2200,2,0.9625,2956.7511138916016,2200,2,0.9625,7627.024658203125,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872562688,290979840
1000,1745014445104,34012.14707946777,2175,2,0.88125,41557.27749633789,4350,0,0.88125,18276.748123168945,2175,2,0.88125,44519.79507446289,2175,2,0.88125,24704.736862182617,2200,2,0.88125,47720.1960144043,2200,2,0.88125,31526.901168823242,2200,2,0.88125,2956.753463745117,2200,2,0.88125,7633.095138549805,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872562688,290979840
1000,1745014446104,34012.1506652832,2133.333333333333,2,0.90625,41557.29588317871,3200,1,0.90625,18276.753448486328,2133.333333333333,2,0.9625,44519.79930114746,2133.333333333333,2,0.9625,24704.740493774414,2200,2,0.9625,47720.19905090332,2200,2,0.9625,31526.907318115234,2200,2,0.9625,2956.7572174072266,2200,2,0.9625,7639.234832763672,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872562688,290979840
1000,1745014447105,34012.15327453613,2175,2,0.9625,41557.30274963379,4350,0,0.9625,18276.756576538086,2175,2,0.9625,44519.801498413086,2175,2,0.9625,24704.74298095703,2200,2,0.9625,47720.20211791992,2200,2,0.9625,31526.910217285156,2200,2,0.9625,2956.7596282958984,2200,2,1.5,7645.306838989258,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872562688,290979840
1000,1745014448105,34012.167388916016,2200,2,0.84375,41557.31704711914,2200,2,0.84375,18276.763229370117,2200,2,0.84375,44519.80732727051,2200,2,0.84375,24704.747924804688,2200,2,0.84375,47720.20649719238,2200,2,0.8875,31526.918090820313,2200,2,0.8875,2956.764114379883,2200,2,0.8875,7651.483627319336,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872546304,290979840
1000,1745014449106,34012.17393493652,2133.333333333333,2,0.9625,41557.31979370117,3200,1,0.9625,18276.76594543457,2133.333333333333,2,0.9625,44519.808990478516,2133.333333333333,2,0.9625,24704.74952697754,2200,2,0.9625,47720.20846557617,2200,2,0.9625,31526.920043945313,2200,2,0.9625,2956.7657012939453,2200,2,0.9625,7657.495880126953,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872546304,290979840
1000,1745014450106,34012.177474975586,2175,2,0.9125,41557.326400756836,4350,0,0.9125,18276.769241333008,2175,2,0.9125,44519.8137512207,2175,2,0.9125,24704.753616333008,2200,2,0.9125,47720.21156311035,2200,2,0.9125,31526.92495727539,2200,2,0.9125,2956.7694244384766,2200,2,0.9125,7663.6373291015625,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872546304,290979840
1000,1745014451106,34012.18046569824,2175,2,0.9125,41557.34278869629,4350,0,0.9125,18276.77247619629,2175,2,0.9125,44519.81607055664,2175,2,0.9125,24704.755935668945,2200,2,0.9125,47720.21659851074,2200,2,0.9125,31526.9305267334,2200,2,0.9125,2956.7716674804688,2200,2,0.9125,7669.757476806641,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872546304,290979840
1000,1745014452107,34012.18508911133,2133.333333333333,2,0.88125,41557.363708496094,3200,1,0.88125,18276.77684020996,2133.333333333333,2,0.88125,44519.820068359375,2133.333333333333,2,0.88125,24704.760162353516,2200,2,0.88125,47720.219787597656,2200,2,0.88125,31526.93687438965,2200,2,0.88125,2956.7750396728516,2200,2,0.88125,7675.920501708984,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872546304,290979840
1000,1745014453107,34012.18913269043,2175,2,0.9125,41557.38020324707,4350,0,0.9125,18276.7794342041,2175,2,1.4937500000000001,44519.82247924805,2175,2,1.4937500000000001,24704.762634277344,2200,2,1.4937500000000001,47720.222076416016,2200,2,1.4937500000000001,31526.939239501953,2200,2,1.4937500000000001,2956.777099609375,2200,2,1.4937500000000001,7681.997283935547,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872546304,290979840
1000,1745014454108,34012.19900512695,2200,2,0.8125,41557.40023803711,2200,2,0.8125,18276.784118652344,2200,2,0.85,44519.82748413086,2200,2,0.85,24704.767181396484,2200,2,0.85,47720.22624206543,2200,2,0.85,31526.946502685547,2200,2,0.85,2956.7816009521484,2200,2,0.85,7688.182632446289,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014455108,34012.200592041016,2133.333333333333,2,0.9625,41557.40644836426,3200,1,0.9625,18276.785766601563,2133.333333333333,2,0.9625,44519.8288269043,2133.333333333333,2,0.9625,24704.76856994629,2200,2,0.9625,47720.22764587402,2200,2,0.9625,31526.94938659668,2200,2,0.9625,2956.7831268310547,2200,2,0.9625,7694.225891113281,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014456109,34012.2071685791,2200,2,0.85,41557.41061401367,2200,2,0.85,18276.788177490234,2200,2,0.85,44519.830810546875,2200,2,0.85,24704.77113342285,2200,2,0.85,47720.229721069336,2200,2,0.85,31526.952056884766,2200,2,0.85,2956.785186767578,2200,2,0.85,7700.27294921875,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014457109,34012.2108001709,2133.333333333333,2,0.88125,41557.41278076172,3200,1,0.88125,18276.789611816406,2133.333333333333,2,0.88125,44519.83207702637,2133.333333333333,2,0.88125,24704.77227783203,2200,2,0.9625,47720.23091125488,2200,2,0.9625,31526.954711914063,2200,2,0.9625,2956.786178588867,2200,2,0.9625,7706.2864990234375,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014458110,34012.21597290039,2133.333333333333,2,0.90625,41557.42028808594,3200,1,0.90625,18276.793685913086,2133.333333333333,2,0.9625,44519.83483886719,2133.333333333333,2,0.9625,24704.77456665039,2200,2,0.9625,47720.23275756836,2200,2,0.9625,31526.95831298828,2200,2,0.9625,2956.7889404296875,2200,2,0.9625,7712.351135253906,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014459110,34012.21797180176,2175,2,0.88125,41557.426498413086,4350,0,0.88125,18276.79557800293,2175,2,0.88125,44519.83628845215,2175,2,0.88125,24704.77606201172,2200,2,0.88125,47720.23745727539,2200,2,0.88125,31526.96157836914,2200,2,0.88125,2956.7904357910156,2200,2,0.88125,7718.431564331055,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014460111,34012.22944641113,2200,2,0.85,41557.44612121582,2200,2,0.85,18276.800186157227,2200,2,0.85,44519.841705322266,2200,2,0.85,24704.780731201172,2200,2,0.85,47720.24104309082,2200,2,0.9,31526.96533203125,2200,2,0.9,2956.7940979003906,2200,2,0.9,7724.578048706055,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014461111,34012.231185913086,2133.333333333333,2,0.9125,41557.451736450195,3200,1,0.9125,18276.802276611328,2133.333333333333,2,0.9125,44519.84338378906,2133.333333333333,2,0.9125,24704.782440185547,2200,2,0.9125,47720.24253845215,2200,2,0.9625,31526.96842956543,2200,2,0.9625,2956.795440673828,2200,2,0.9625,7730.592636108398,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014462112,34012.2361907959,2175,2,0.88125,41557.46139526367,4350,0,0.88125,18276.80519104004,2175,2,0.88125,44519.84764099121,2175,2,0.88125,24704.78598022461,2200,2,0.88125,47720.245513916016,2200,2,0.88125,31526.973098754883,2200,2,0.88125,2956.798797607422,2200,2,0.88125,7736.667816162109,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014463112,34012.239318847656,2175,2,0.9125,41557.48587036133,4350,0,0.9125,18276.80743408203,2175,2,1.5125,44519.84980773926,2175,2,1.5125,24704.78823852539,2200,2,1.5125,47720.247787475586,2200,2,1.5125,31526.978485107422,2200,2,1.5125,2956.8009490966797,2200,2,1.5125,7742.773468017578,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014464113,34012.24452209473,2200,2,0.8125,41557.50108337402,2200,2,0.8125,18276.812561035156,2200,2,0.85,44519.854064941406,2200,2,0.85,24704.79229736328,2200,2,0.85,47720.2511138916,2200,2,0.85,31526.982192993164,2200,2,0.85,2956.804244995117,2200,2,0.85,7748.895477294922,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014465113,34012.24691772461,2133.333333333333,2,0.95625,41557.5115814209,3200,1,0.95625,18276.816040039063,2133.333333333333,2,0.95625,44519.85585021973,2133.333333333333,2,0.95625,24704.79396057129,2200,2,0.95625,47720.25280761719,2200,2,0.95625,31526.983963012695,2200,2,0.95625,2956.8057708740234,2200,2,0.95625,7754.89990234375,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014466114,34012.25198364258,2200,2,0.85,41557.519943237305,2200,2,0.85,18276.81997680664,2200,2,0.85,44519.85871887207,2200,2,0.85,24704.796417236328,2200,2,0.85,47720.25469970703,2200,2,0.85,31526.987701416016,2200,2,0.85,2956.8084106445313,2200,2,0.85,7760.985107421875,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014467114,34012.25323486328,2133.333333333333,2,0.88125,41557.52526855469,3200,1,0.88125,18276.8214263916,2133.333333333333,2,0.88125,44519.85987854004,2133.333333333333,2,0.88125,24704.797653198242,2200,2,0.88125,47720.25743103027,2200,2,0.88125,31526.990447998047,2200,2,0.88125,2956.8096313476563,2200,2,0.88125,7766.981521606445,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
1000,1745014468115,34012.25596618652,2175,2,0.91875,41557.53941345215,4350,0,0.91875,18276.823928833008,2175,2,0.91875,44519.86227416992,2175,2,0.91875,24704.800003051758,2200,2,0.91875,47720.25942993164,2200,2,0.91875,31526.992767333984,2200,2,1.50625,2956.811767578125,2200,2,1.50625,7773.066940307617,2104,2182,2193,2142,2194,2194,2097,2108,2168,2176,2175,2193,2057,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872538112,290979840
