Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745032812712,1662.1504669189453,2200,2,0.93125,60463.69609069824,2200,2,0.93125,40873.96104431152,2200,2,0.93125,64465.830627441406,2200,2,0.93125,58209.96562194824,2125,2,0.93125,1206.5999908447266,2000,2,1.4375,50254.07794189453,3000,2,1.4375,21930.572952270508,2000,2,1.4375,43996.42414855957,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,6.896551609039307,3.3333334922790527,6.45161247253418,3.22580623626709,6.25,3.4482758045196533,6.896551609039307,6.25,0,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.22580623626709,3.3333334922790527,16665841664,4294963200,864321536,290979840
1000,1745032812712,1662.1513671875,2200,2,0.93125,60463.70390319824,2200,2,0.93125,40873.96664428711,2200,2,0.93125,64465.830795288086,2200,2,0.93125,58209.96580505371,2000,2,1.4375,1206.6001586914063,2000,2,1.4375,50254.078216552734,3000,2,1.4375,21930.580520629883,2000,2,1.4375,43996.461166381836,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,6.896551609039307,3.3333334922790527,6.45161247253418,3.22580623626709,6.25,3.4482758045196533,6.896551609039307,6.25,0,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.22580623626709,3.3333334922790527,16665841664,4294963200,864321536,290979840
1000,1745032813713,1662.1554260253906,2200,2,0.84375,60463.71276855469,2200,2,0.84375,40873.97236633301,2200,2,0.84375,64465.83399963379,2200,2,0.84375,58209.96913146973,2200,2,0.84375,1206.6033172607422,2200,2,0.8875,50254.08297729492,2200,2,0.8875,21930.63703918457,2200,2,0.8875,44003.14303588867,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,1.9417475461959839,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,16665841664,4294963200,864456704,290979840
1000,1745032814713,1662.157699584961,2200,2,0.84375,60463.71661376953,2200,2,0.85,40873.9743347168,2200,2,0.85,64465.83631896973,2200,2,0.85,58209.97090148926,2200,2,0.85,1206.606674194336,2200,2,0.85,50254.086364746094,2200,2,0.85,21930.643524169922,2200,2,0.85,44009.240661621094,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864456704,290979840
1000,1745032815714,1662.1604309082031,2200,2,0.8375,60463.721282958984,2200,2,0.8375,40873.97671508789,2200,2,0.8375,64465.839279174805,2200,2,0.88125,58209.973388671875,2200,2,0.88125,1206.6093139648438,2200,2,0.88125,50254.08915710449,2200,2,0.88125,21930.650833129883,2200,2,0.88125,44015.40264892578,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864456704,290979840
1000,1745032816714,1662.1814270019531,2000,2,0.9625,60463.73371887207,3000,2,0.9625,40873.987731933594,2000,2,0.9625,64465.84484863281,2000,2,0.9625,58209.995849609375,2200,2,0.9625,1206.631576538086,2200,2,0.9625,50254.101333618164,2200,2,0.91875,21930.670974731445,2200,2,0.91875,44021.69902038574,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864456704,290979840
1000,1745032817715,1662.1844940185547,2200,2,0.8125,60463.73654174805,2200,2,0.85,40873.99076843262,2200,2,0.85,64465.849380493164,2200,2,0.85,58209.998443603516,2200,2,0.85,1206.6349182128906,2200,2,0.85,50254.106048583984,2200,2,0.85,21930.67887878418,2200,2,0.85,44027.766677856445,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864432128,290979840
1000,1745032818715,1662.1880950927734,2000,2,0.95625,60463.74041748047,3000,2,0.95625,40873.99394226074,2000,2,0.95625,64465.85188293457,2000,2,0.95625,58210.001068115234,2200,2,0.95625,1206.6390533447266,2200,2,0.95625,50254.10893249512,2200,2,0.95625,21930.68765258789,2200,2,0.95625,44033.873291015625,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864432128,290979840
1000,1745032819716,1662.1912536621094,2200,2,0.8375,60463.743896484375,2200,2,0.85,40873.996673583984,2200,2,0.85,64465.85502624512,2200,2,0.85,58210.00386047363,2200,2,0.85,1206.642349243164,2200,2,0.85,50254.111389160156,2200,2,0.85,21930.694259643555,2200,2,0.85,44039.95980834961,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864432128,290979840
1000,1745032820716,1662.1927185058594,2133.333333333333,2,0.9125,60463.74565124512,3200,1,0.9125,40873.998458862305,2133.333333333333,2,0.9125,64465.856369018555,2133.333333333333,2,0.9125,58210.00521850586,2200,2,0.925,1206.644027709961,2200,2,0.925,50254.11283874512,2200,2,0.925,21930.700927734375,2200,2,0.925,44046.00314331055,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,16665841664,4294963200,864432128,290979840
1000,1745032821717,1662.1949005126953,2000,2,0.95625,60463.74922180176,3000,2,0.95625,40874.00050354004,2000,2,0.95625,64465.858657836914,2000,2,0.95625,58210.007873535156,2200,2,0.95625,1206.6466979980469,2200,2,0.95625,50254.11506652832,2200,2,0.95625,21930.710968017578,2200,2,0.95625,44052.09158325195,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864432128,290979840
1000,1745032822717,1662.1990661621094,2200,2,0.8125,60463.75312805176,2200,2,0.8125,40874.003646850586,2200,2,0.85,64465.86154174805,2200,2,0.85,58210.01077270508,2200,2,0.85,1206.650619506836,2200,2,0.85,50254.11834716797,2200,2,0.85,21930.719665527344,2200,2,0.85,44058.212661743164,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864428032,290979840
1000,1745032823718,1662.2019348144531,2200,2,0.84375,60463.756256103516,2200,2,0.84375,40874.00718688965,2200,2,0.84375,64465.863540649414,2200,2,0.84375,58210.013412475586,2200,2,0.84375,1206.6534576416016,2200,2,0.84375,50254.120849609375,2200,2,0.85,21930.7275390625,2200,2,0.85,44064.356185913086,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864428032,290979840
1000,1745032824718,1662.2039337158203,2133.333333333333,2,0.88125,60463.75877380371,3000,2,0.9625,40874.0090637207,2000,2,0.9625,64465.86534118652,2000,2,0.9625,58210.01499938965,2200,2,0.9625,1206.655532836914,2200,2,0.9625,50254.12275695801,2200,2,0.9625,21930.733352661133,2200,2,0.9625,44070.3779296875,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,16665841664,4294963200,864428032,290979840
1000,1745032825719,1662.2061614990234,2000,2,1.4375,60463.76307678223,3000,2,1.4375,40874.01173400879,2000,2,1.4375,64465.86779785156,2000,2,1.4375,58210.017578125,2200,2,1.4375,1206.657974243164,2200,2,1.4375,50254.126708984375,2200,2,1.4375,21930.74398803711,2200,2,1.4375,44076.47570800781,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864428032,290979840
1000,1745032826719,1662.2091217041016,2000,2,0.95625,60463.76679992676,3000,2,0.95625,40874.01626586914,2000,2,0.95625,64465.87098693848,2000,2,0.95625,58210.020584106445,2200,2,0.95625,1206.6654052734375,2200,2,0.95625,50254.13034057617,2200,2,0.95625,21930.753967285156,2200,2,0.95625,44082.549057006836,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,16665841664,4294963200,864428032,290979840
1000,1745032827720,1662.2120513916016,2175,2,0.9125,60463.770095825195,4350,0,0.9125,40874.02038574219,2175,2,0.9125,64465.87367248535,2175,2,0.9125,58210.023010253906,2200,2,0.9125,1206.6681671142578,2200,2,0.9125,50254.13429260254,2200,2,1.48125,21930.764923095703,2200,2,1.48125,44088.660888671875,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864428032,290979840
1000,1745032828720,1662.2169494628906,2175,2,1.475,60463.779525756836,4350,0,1.475,40874.02479553223,2175,2,1.475,64465.87846374512,2175,2,1.475,58210.02699279785,2200,2,1.475,1206.6724700927734,2200,2,1.475,50254.13899230957,2200,2,1.45625,21930.78663635254,2200,2,1.45625,44094.801696777344,2185,2194,2192,2176,2190,2138,2181,2186,2144,2184,2189,2181,2189,2048,2161,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,864423936,290979840
