Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744859077590,48052.92686462402,2133.333333333333,2,0.95625,84.86366271972656,3200,1,0.95625,55671.39532470703,2133.333333333333,2,0.95625,565.0463562011719,2133.333333333333,2,0.95625,45135.533950805664,2200,2,0.95625,4343.903274536133,2200,2,0.95625,56235.63165283203,2200,2,0.95625,8637.135787963867,2200,2,0.95625,47412.24362182617,2187,2180,2117,2188,2191,2189,2180,2189,2190,1999,2195,2192,2143,2100,2194,2194,6.896551609039307,3.5714287757873535,0,3.5714287757873535,3.4482758045196533,0,3.5714287757873535,0,3.5714287757873535,7.142857551574707,3.5714287757873535,3.4482758045196533,6.896551609039307,0,0,0,16665841664,4294963200,917905408,244318208
999,1744859077590,48052.927505493164,2175,2,0.95625,84.86396789550781,4350,0,0.95625,55671.39547729492,2175,2,0.95625,565.0484771728516,2175,2,0.95625,45135.53416442871,2200,2,0.95625,4343.909729003906,2200,2,0.95625,56235.63185119629,2200,2,0.95625,8637.138305664063,2200,2,0.95625,47412.28645324707,2187,2180,2117,2188,2191,2189,2180,2189,2190,1999,2195,2192,2143,2100,2194,2194,6.896551609039307,3.5714287757873535,0,3.5714287757873535,3.4482758045196533,0,3.5714287757873535,0,3.5714287757873535,7.142857551574707,3.5714287757873535,3.4482758045196533,6.896551609039307,0,0,0,16665841664,4294963200,917905408,244318208
1000,1744859078590,48052.9334564209,2175,2,0.88125,84.86833190917969,4350,0,0.88125,55671.39877319336,2175,2,1.4875,565.0716857910156,2175,2,1.4875,45135.53840637207,2200,2,1.4875,4343.916290283203,2200,2,1.4875,56235.63815307617,2200,2,1.4875,8637.145584106445,2200,2,1.4875,47418.387435913086,2187,2180,2117,2188,2191,2189,2180,2189,2190,1999,2195,2192,2143,2100,2194,2194,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0.9803922176361084,0,0,16665841664,4294963200,918163456,244318208
999,1744859079590,48052.93754577637,2133.333333333333,2,0.85,84.87306213378906,3200,1,0.85,55671.40327453613,2133.333333333333,2,0.85,565.0845642089844,2133.333333333333,2,0.85,45135.54209899902,2200,2,0.85,4343.919616699219,2200,2,0.85,56235.64129638672,2200,2,0.95625,8637.148788452148,2200,2,0.95625,47424.491958618164,2187,2180,2117,2188,2191,2189,2180,2189,2190,1999,2195,2192,2143,2100,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,918392832,244318208
999,1744859080591,48052.94009399414,2133.333333333333,2,0.8125,84.87574768066406,3200,1,0.8125,55671.405685424805,2133.333333333333,2,0.8125,565.0931243896484,2133.333333333333,2,0.9625,45135.54359436035,2200,2,0.9625,4343.921081542969,2200,2,0.9625,56235.64306640625,2200,2,0.9625,8637.15007019043,2200,2,0.9625,47430.51573181152,2187,2180,2117,2188,2191,2189,2180,2189,2190,1999,2195,2192,2143,2100,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,918392832,244318208
999,1744859081591,48052.942962646484,2133.333333333333,2,0.9625,84.87860107421875,3200,1,0.9625,55671.40913391113,2133.333333333333,2,0.9625,565.1002349853516,2133.333333333333,2,0.9625,45135.5477142334,2200,2,0.9625,4343.92448425293,2200,2,0.9625,56235.64579772949,2200,2,0.9625,8637.152648925781,2200,2,0.9625,47436.60752868652,2187,2180,2117,2188,2191,2189,2180,2189,2190,1999,2195,2192,2143,2100,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,917647360,244318208
999,1744859082591,48052.950775146484,2133.333333333333,2,0.85,84.88258361816406,3200,1,0.85,55671.41319274902,2133.333333333333,2,0.85,565.1048583984375,2133.333333333333,2,0.85,45135.55186462402,2200,2,0.85,4343.928619384766,2200,2,0.85,56235.65222167969,2200,2,0.85,8637.158920288086,2200,2,0.85,47442.713287353516,2187,2180,2117,2188,2191,2189,2180,2189,2190,1999,2195,2192,2143,2100,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,917647360,244318208
999,1744859083591,48052.958267211914,2175,2,0.9625,84.88517761230469,4350,0,0.9625,55671.41542053223,2175,2,0.9625,565.1067962646484,2175,2,0.9625,45135.555419921875,2200,2,0.9625,4343.930755615234,2200,2,0.9625,56235.65393066406,2200,2,0.9625,8637.160690307617,2200,2,1.45,47448.787200927734,2187,2180,2117,2188,2191,2189,2180,2189,2190,1999,2195,2192,2143,2100,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916910080,244318208
999,1744859084591,48052.97691345215,2175,2,1.4937500000000001,84.89144897460938,4350,0,1.4937500000000001,55671.41909790039,2175,2,1.4937500000000001,565.1109008789063,2175,2,1.4937500000000001,45135.558853149414,2200,2,1.4937500000000001,4343.933624267578,2200,2,1.4937500000000001,56235.65782165527,2200,2,1.4937500000000001,8637.164352416992,2200,2,1.4875,47454.873474121094,2187,2180,2117,2188,2191,2189,2180,2189,2190,1999,2195,2192,2143,2100,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916910080,244318208
999,1744859085591,48052.99385070801,2133.333333333333,2,0.95625,84.89518737792969,3200,1,0.95625,55671.42167663574,2133.333333333333,2,0.9625,565.1129455566406,2133.333333333333,2,0.9625,45135.561462402344,2200,2,0.9625,4343.937316894531,2200,2,0.9625,56235.660385131836,2200,2,0.9625,8637.166488647461,2200,2,0.9625,47460.93460083008,2187,2180,2117,2188,2191,2189,2180,2189,2190,1999,2195,2192,2143,2100,2194,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916267008,244318208
